nauni: hnit
rasmi-kusajili: frit
ndama: hbof
mwongozo: mwut
kuyeyuka: hjec
kufuta: flas
mwavuli: gras
Boot: bzut
madini: mrim
truce: crus
bata: hbok
mipango: pfam
sabuni: hsuf
doll: gwak
mifupa: klet
villa: blis
kushona: jlin
kupatanisha: dyak
aaaa: kset
kukomaa: mruc
sungura: kruc
kondakta: nwot
utegemezi: djat
mchezaji: jlic
wadudu: pset
mgahawa: cret
owl: lwun
radical: djik
mkazi: zwin
joka: dron
auditory-evidential: drot
kiu: kyos
msiweke: dren
hesabu: glun
udhibiti: ryim
Meya: mlap
wachache: mric
upatikanaji: dwon
mkongwe: bren
orchestra: ryes
Bacon: bjin
hasara: zwat
kitambaa: frap
mwanamuziki: gzik
kiakili: hnep
kushirikiana: nyon
duni: nrip
mbunifu: tsek
lemon: nyim
kikohozi: kcos
maumivu-ya-kichwa: crek
mpangaji: ryet
uzazi: srun
kupona: hfoc
tisini: nwon
random: hbec
kijiko: kcek
puto: blon
chaki: hfip
inferential-evidential: nlet
mchapishaji: pcot
siki: sruk
ash: fyec
expletive: slek
kufufua: nrut
wanahusika: kfim
handaki: tfun
puzzle: hpef
utaratibu: mwim
hisabati: gzit
fade: frun
ini: jwin
sublative-kesi: bwik
kuzamisha: dris
kitengo: twim
ukiritimba: hnop
kamari: hgup
manowari: bzin
tetemeko: hbem
maabara: brot
cork: kruk
binafsi-kudhibiti: syot
buddha: hbus
kuunganishwa: bjat
ubalozi: blas
farthest: sres
declarative-mood: drim
kichocheo: tyuc
chocolate: clot
bahati-mbaya: tyon
glove: gwat
kupiga-magoti: hjek
jiografia: hjif
uwekezaji: nwes
matusi: mrec
mlinganisho: nlip
kidunia: srek
kipanga: blap
saikolojia: nloc
fasten: gjan
chakavu: krep
jukumu: cyum
dozi: hdos
salmon: slom
pudding: pwun
magnetic: gyik
pampu: pcom
oksijeni: ksip
cheti: tfot
medali: hmem
rhetoric: trok
scrape: rwap
kasia: dyas
darubini: trip
mkufu: clek
herufi: prif
whiskey: hwos
Willow: hwof
ngamia: hlum
amateur: myet
exit: crec
wasifu: brif
punda: gzac
kila-mwezi: mwis
kupuuza: nruk
likizo: byit
click: lyik
mviringo: twon
elastic: lyet
kamusi: kfon
ham: gzam
upinde-wa-mvua: rwun
hutumia: kcum
mate: tcup
tank: trek
mwenzake: clok
butterfly: trif
chati: graf
pacha: jwat
kujitegemea: trem
mianzi: hbum
muuzaji: jlat
mkusanyiko: kles
mkaguzi: nyet
tonge: hyos
ndoto: hbom
jam: gjam
makumbusho: mrem
alfabeti: lwam
kuwatawanya: zras
uvamizi: crip
kufichua: clus
kuoza: fraf
fujo: gris
msuguano: mroc
gati: gyac
buibui: brik
viazi: trut
marekebisho: cwon
uchoyo: jlac
mapema: ryot
kuzidisha: gzan
spin: pcip
takwimu: tsok
kalenda: klem
uteuzi: nwen
trilioni: tlos
Attic: tlok
usawa-wa-kijinsia mood: rwim
maombi: pfen
majina: nlon
kutoridhika: sraf
maambukizi: hfok
mtungi: krot
shrug: cyok
waanzilishi: gzin
upungufu: nlif
kabichi: glic
riadha: tlet
ulevi: mrut
idiophone: hdof
lever: lwek
seneta: syem
iris: nrif
ant: mwam
mdudu: hbop
wajawazito: grim
precipitate: hjet
kifundo-cha-mguu: tcok
uainishaji: glik
kutofautiana: prim
wrap: ryap
curly: krec
kiberiti: hsef
kuandikisha: dwik
kuibuka: brun
frog: fram
kupindukia-kesi: twek
sifongo: hjen
annoying: djon
squirrel: slip
grind: zyin
irrealis-mood: flim
volkano: glam
ndani-ya-nyumba: gron
kunyonya: kloc
kijiolojia: jlik
pasipoti: psop
kinyume-cha-maadili: mlet
biskuti: hbuk
ushirikiano: kros
kibao: tlot
relaxation: kces
chembe: trom
misaada: hzip
piramidi: psim
mzunguko: swok
nap: hnup
kinyume-cha-sheria: hjaf
makucha: pfap
shyness: crom
kupatwa: klip
kinanda: lwap
ufagio: srum
jopo: mwen
elimu-ya-nyota: tcom
maze: blen
udhamini: bwit
kobe: kfuc
mshauri: dwak
fiber: fwic
kriketi: jrik
mbaazi: ksom
kukabiliana-na-hali: dyon
pembe-tatu: tfon
mweka-hazina: tsen
hidrojeni: jron
tete: hfuk
printer: pyet
hulisonga: tcof
sugu: gzon
kukabiliana: slaf
mtanziko: dlim
uhandisi: jyin
kamera: hkef
kuomba-msamaha: pluc
lick: lwet
dancer: dret
uhamiaji: mres
tennis: tces
mgongo: clip
kaanga: zrac
kufungwa: tfuc
kumchoma: twuc
nywila: psaf
ncha: praf
mkakati: zrit
quartz: krus
mkasi: jris
doria: proc
glacier: lwic
halfway: dwam
mkataba: mwap
koni: kwuc
ulinganifu: hzut
watengenezaji: zrak
mshtakiwa: fwik
msikiti: djis
chess: cres
toll: htof
cherry: tref
kuenea: kfen
mashaka: tfok
lori: ryok
haradali: mros
asilimia: pfet
mnada: jlam
ungo: srif
unsteady: swoc
sumaku: gjat
Suck: syus
islam: slum
njongwanjongwa: twip
utando: mlen
kunyoa: clet
guitar: gjit
shiny: bzan
elm: hyem
kuongezeka: kcom
pronoun-marker: ryec
kikuu: pcus
spice: zlat
dhamana: jlas
carrier: zyac
vibration: bron
tease: trus
jembe: hlom
kisaikolojia: zlik
gutter: hgok
Comet: cyet
medieval: dyic
shomoro: grec
fidia: twet
plastiki: psuk
footnote: cyot
obiti: rwot
frugal: twum
gofu: hgof
sifuri: zrun
chip: tcep
kuonea: prok
yawn: gjac
kukosekana-kwa-usawa: gwas
mole: tloc
ufinyanzi: frik
mama-wa-nyumbani: hgif
Rye: rwem
muasi: hyes
wavumilivu: glon
kiinitete: brec
miner: jren
kupongeza: zlac
chachu: lyim
premium: pfim
plum: plem
kufilisika: byas
kilimo-cha-umwagiliaji: rwif
mnanaa: nyun
ubepari: glis
elasticity: hlef
papa: gyak
recruit: drut
kuhifadhi: zren
uhalisia: cles
tangawizi: djic
ambulance: blus
kulinganishwa: kwip
mkoba: bjap
grimace: glim
mwanasayansi: gyis
gut: grot
equanimity: hwum
radio: href
lisilo: zlit
maharage: bwam
isiyo-rasmi: frim
mjukuu: gyut
kutokubaliana: dloc
steak: tfek
nitrogen: zron
wembe: hjut
zinazokinzana: krom
propaganda: pcoc
fireworks: fris
pop: pcop
undress: crop
mitaro: cruc
madhara: hzaf
Judaism: hjum
inayosaidia: pluk
Lens: lyes
pegative-kesi: pwek
kansa: kfes
pawn: pyek
mhadhiri: zyat
leak: hzuk
kuhitimu: krif
msongamano: djot
introduktionsutbildning: dyis
kutafuna: htuf
talkative: bzit
lobster: hgos
discount: dyut
teksi: tsuk
uongozi: crem
jade: gyec
gwafua: glaf
mjusi: lyis
maporomoko-ya-maji: crof
kuwakatisha-tamaa: djak
Veto: frot
urais: ryip
mnunuzi: mrif
gallon: jlen
mbu: mruk
kupotoka: dwen
kushindana: lyut
mosaic: myok
kuziba: plok
squat: pcuk
vyakula-na-vinywaji: ksoc
kikomunisti: myos
amaze: mwek
prosecutive-kesi: rwuk
constellation: nlos
dikteta: dwit
preoccupation: tyet
satellite: tlec
slipper: hlop
consonant: fyon
takriban: tsif
ajira: byet
msaidizi: sros
lotus: lwot
lettuce: sles
chloride: lwok
vimelea: bwic
nata: pcek
sehemu: bwon
kernel: klec
jipa: bjak
Byte: bzet
secretion: sruf
waziwazi: pres
sanjari: mloc
ballet: blet
mkojo: mrus
vitunguu: lyun
ilipita: hguc
uchumi: kcem
daraja-la-kati: hdom
agile: gjic
koleo: htef
kufulia: lyoc
strawberry: srem
mijini: pcos
embarrass: mlaf
daftari: tfut
albamu: zlam
baseball: hbep
vuta: sluc
makofi: hbuf
Mmoja: rwip
karakana: grek
utambuzi: djas
mkongojo: ksuc
kujipatia: srom
usajili: psuc
mumunyifu: jlun
phosphorus: psof
kimuundo: rwut
gundi: glum
Thesis: twes
fundi: clif
banana: bwas
axiom: kyom
ubavu: psos
nickel: nyek
pi: pyim
basi: bwos
censor: swes
kombora: mlus
sausage: slos
kudanganywa: nlut
nyanya: tfet
kuimarisha: kfut
tundu: syok
potassium: tsom
retrieve: prup
virtual: zwit
algebra: gjas
daktari-wa-meno: dzit
macho: pcok
Budge: bzen
biolojia: bwim
ukosefu-wa-ajira: byim
caterpillar: krum
solo: slof
kisakuzi: bjac
kijijini-siku-za nyuma uliopo: nyot
kihistoria-uliopo: crep
nyuklia: nluk
wigo: pyem
sodiamu: syom
hysteria: syes
mdhamini: tyos
mateka: byik
gourd: gluk
kasoro: kwuk
uwazi: tfif
Mwiba: swip
kipaumbele: pcif
pedestrian: dyen
atheism: tsem
kufuatilia: mwot
jimbo-la-uchaguzi: nlec
ulafi: hkof
probe: grok
platinum: plip
mbili-idadi: dlun
mapafu: pcep
super: syup
kitoroli: trop
ndani-ya-nchi: lyot
kuchocheana: gzat
petroli: plif
figo: grif
kupora: bzac
tathmini: dlen
arseniki: syek
konokono: nrok
panzi: tsec
equation: fwen
ujamaa: swos
filter: flot
hisia-evidential-mood: hxin
kuongeza: kyot
emit: mwet
leash: pwet
mandarin: drun
jockey: hjok
pneumonia: hnof
mshikamano: gret
pata: cyif
longitudinal: nruc
mgao: dwun
skate: hkep
exponent: slop
ulemavu: dlif
obsession: bwen
mgawo-huo: pfun
mpiga-picha: trof
delta: dlet
digital: djim
Bitch: brut
Eyelid: hyop
diagonal: dyun
subconscious: byon
eyebrow: bruc
kuchafya: pcec
hilarious: dlis
Uhindu: nwum
wakimbizi: nyif
kuhamisha: cwot
protini: pwot
dampo: hdop
kuboresha: flen
matapishi: hwom
jeni: gyen
freshman: hdem
sosholojia: syoc
boga: kwoc
mvuvi: hfuc
kikanda: jyen
mwendo-uphill: hvok
retrospective: hxik
tornado: gyon
inversion: nwos
filamu: twif
cube: kfet
tija: pwuk
karoti: krop
Masi: mwuk
conglomerate: glet
mhasibu: ksum
tango: kyok
orgy: drok
kutengenezea: jlet
phosphate: psef
primer: gwik
alkali: flis
gymnastics: jyas
comma: kwom
mwendo-kuteremka: hvat
kuharibika-kwa-mimba: jwac
ganda: tcop
wafadhili: dzon
manganese: hzem
psychologist: syos
chlorine: clos
keyboard: kyoc
wasomi: zyit
mabano: pfaf
mchezo-wa-raga: rwoc
kidonda: jlon
Inflected: hxit
nibble: nres
quantum: fwam
sweta: swek
evolutionary: fwis
notation: nyoc
bounce: tcuf
dissection: drec
cache: kcep
linear: lyec
antimoni: trum
superessive-kesi: psek
tumor: twom
mmomonyoko: cyos
alpha: flaf
kitovu: nwip
kinga: myip
mafua: flun
kampuni-ya-bia: bjit
kurahisisha: slef
abridge: bram
dent: djen
captivate: dwim
kuilazimisha: brok
sock: bzas
movie: fyim
cosmos: klom
kuchafua: hpuf
gregarious: gjen
uume: zyis
misitu: lyif
alumini: lwum
oscillation: zlon
horoscope: ksop
sua: dlek
ushirikishwaji: nluc
walengwa: byic
dolphin: dlip
muuaji: cyus
mamalia: myaf
kiashiria: swif
dioxide: dwis
colon: zlen
urasimu: brus
kupotosha: jric
jokofu: frip
archaeological: cluk
haikubaliki: kwok
vipimo: pfis
kipeperushi: pfut
anthropolojia: nlom
kitamu: kyec
elekezi: txit
cower: kwus
alizeti: hzuc
chawa: glus
ion: lyos
utalii: tyum
modem: myom
kuongeza-kasi: jrun
kadhibisha: tsoc
chafu: hmef
kidnap: drap
mwingiliano: hwep
hairdresser: pfes
ngano: floc
kapilari: plek
utaifa: nlum
matako: nros
motif: hmuf
sublimate: slem
kuchanganyikiwa: xras
cobalt: kwos
oat: gwam
mwendo-upriver: trup
haja-kubwa: gyam
bovin: bwun
flip: flip
redundancy: dzun
video: hwop
kususia: bjik
jaribio: cwif
magongo: cwok
msituni: grip
magnesium: hgem
rada: drek
chimpanzee: hzif
kuegemea: kwif
mstatili: tyec
kelp: klep
kujumlisha: jlak
amri-ya-kutotoka nje: kfec
mashoga: mlok
scenario: srop
uundaji: flus
reincarnation: nrom
kuwasha: zlak
urani: ryum
catcher: kwes
kuratibu: kyop
walipa-kodi: nwaf
jumuishi: trep
alitoa-maoni-yake: hzap
gamma: hxam
safari: fwim
mwendo-downriver: ht6n
mgawo: kfus
kichwa-cha-habari: zlic
mchambuzi: nles
Checkmate: hzes
mall: hmof
bismuth: bzim
Postcard: psok
muunganiko: bros
digress: djet
mbia: ksem
kidudu: mrip
sehemu-za-siri: jwit
maumbile: mluk
beta: byot
jeans: gjis
database: tles
calculator: klus
X-ray: ksef
Hazrat: zram
mazingira: zyen
sigma: zyim
disjunction: hxon
agenda: gres
visa: bzis
miundombinu: nyuk
kimulimuli: gyun
detector: tyek
adaptive: dyip
biologist: byis
ganga: pyec
bromini: brom
palladium: plum
kwikwi: kfok
Pastel: psec
zoo: zwac
kliniki: lyok
connotation: nwoc
yoga: hjoc
Bookstore: byun
tiba: grap
mzalendo: zlis
behead: zlet
yeah: swec
matatizo: byam
jazz: dzas
Tungsten: tsof
kigaidi: gwis
piga-chenga: droc
kimetaboliki: tlem
alimony: lyaf
mwishoni-mwa-wiki: hfom
Chrysanthemum: gzim
chanjo: byap
pikipiki: tyok
mantra: dyot
muhula: myes
heroin: gwon
folder: flap
cathode: kfoc
itikadi: dlec
maegesho: prek
theta: fret
anticlimax: hxis
selenium: clem
baiskeli: blek
cortex: pros
yanayolinagana: swaf
sasa-umuhimu-marker: hxak
uwanja-wa-ndege: cwoc
butua: gyet
mpira-wa-kikapu: bwet
mzushi: mwip
cockroach: tlek
chromium: hgom
lita: hl6t
hata-hivyo: nwec
homoni: cwom
kiujanja: tluc
toboa: prec
animism: nyom
poligoni: cloc
masuala-ya-kijinsia: hfes
conjugate: kcop
euro: dros
ginseng: hjes
algorithm: hlof
laser: lwes
drugstore: dlot
millimeter: mlem
flex: flek
anode: nlok
nuance: hzus
sehemu-ya-muda: prem
unyeti: nyec
demonstrator: drom
helium: clum
bilingual: dzic
kifupi: hqim
initialism: nl6m
gerund: gros
plasma: psem
chromosome: rwom
makutano: rwok
kilometa: klum
faksi: tfes
genetics: nwek
freckle: frek
bisibisi: dres
broccoli: blok
preterite: xrit
vitamini: tyem
cadmium: kyem
mshambuliaji: bwoc
graphical: gjik
titanium: dyim
splurge: clec
lambda: lwem
mpenzi: pcem
--jamii: kyuk
hourglass: tlus
uelewa: mlif
boroni: bres
helikopta: cwet
tellurium: tlum
Tarehe-ya-mwisho: jyic
kujipanga: gwic
sentimita: hfem
molybdenum: mlom
lithiamu: tfim
multimedia: myum
update: dyet
calorie: clom
robot: ryoc
kazi-ya-nyumbani: groc
logarithm: grom
vunjajungu: gzas
instal: nwut
amino: myoc
glyph: glif
aorist: pyos
ikolojia: plec
sophisticate: flok
bangi: bjam
micro: mrom
kilo: lwom
overeat: jrot
kutabirika: dzik
pizza: zyas
eavesdrop: zris
isimu: bwis
haircut: braf
Iridium: ryom
ubaguzi-wa-rangi: gwim
mojawapo: gyim
viwanda: drif
Makao-makuu: krup
cerium: zrim
congruent: nrum
partitive-kesi: pxik
mkanda: ksep
willpower: blot
dimensional: dzen
parameter: rwet
synchronize: nrop
maximo: dzim
semina: mwec
disco: dyok
neon: nyok
osmium: hzom
Epifania: hp6n
plagiarize: lyap
artifact: rwek
mtambo-huo: fyet
oregano: ryop
plutonium: pwum
yttrium: tyom
augmentative: hxat
username: mrum
Uzamili: zrot
mrengo-wa-kulia: dwaf
argon: jros
phobia: hxot
utakusanyika: sluk
utandawazi: bluc
wavelength: hnef
encode: kfom
kusaga: psoc
Anzisha-tena: nrek
hepatitis: pyes
torus: fros
kidini: myep
modulo: mwok
proton: zwot
diskette: dwet
milligram: mlum
pixel: psep
tantalum: twem
solute: hjot
mauaji-ya-kimbari: nyos
predator: rwes
gallium: glem
zirconium: hzum
determiner: txin
nonlinear: nlem
madawa-ya-kuulia wadudu: pyif
berili: brem
neuron: nrus
predicative: pxit
chupi: tlif
factorial: kref
neutron: zrut
niobamu: nwom
Gerimani: hjem
metalloid: tlop
kuweka-juu-ya: dlap
prolative-kesi: hl6k
viumbe-hai: jwic
joystick: jyok
antibiotic: twok
actinium: gjim
astronaut: srof
extraterrestrial: tyes
crackpot: hwup
marathon: mrof
ytterbium: zwim
autism: tyif
ionize: nlof
Radoni: cwos
Nerium: nrem
magonjwa: pwip
Uzee: lyuc
kambi: kyep
striped: drip
INDIUM: nyum
veridical: hvik
tovuti: bwes
kurani: kwek
flatware: fwet
nth---mzizi: tfec
lawrencium: lyem
kiraia--haki: glip
Simu-ya-rununu: mlof
amepooza: twoc
protactinium: prum
mionzi: hd6n
wanategemea-juu-ya: pxin
thorium-chembe: hxim
bluu--jean: bjun
nyumba-kupanda: hxas
mmoja-mmoja: dvit
mtiririko--sasa: lwuk
mara-tatu--kumweka: ht6t
binadamu--mwili: hn6n
fizikia: bzik
rejareja-duka: hxan
cesium: hs6m
muda-mrefu-iliyopita: hqan
spreadsheet: hxet
kitengo--ya--habari: hn6m
kukusanya: ml6n
mapacha---thamani: vrim
binadamu-kuwa: nyus
na-njia-ya: hvan
depan-dari: pxat
praseodymium: pyom
kadi: kxat
finite-verb: hqik
kesi-idadi: hr6n
pro-hukumu: hr6t
critic: hk6k
ufungaji: pxas
impermanence: pxan
katika-zaidi: txas
descriptor: drop
neodymium: nyem
urafiki: hvit
kusoma-tu: xyak
inaanzisha: xwan
gnomic-mood: kxin
phoneme: hxom
rationality: xlit
kifonolojia: xlin
dining-chumba: hxac
hai-chumba: hxic
centric-kesi: zrik
kabla-hodiernal: hx6n
mgonjwa-kesi: hqak
oblique-kesi: bwok
vijijini-eneo-la: hqat
recurse: hr6s
katikati-sauti: dyos
meitnerium: hm6m
mail--carrier: hvak
noncommittal: kxit
hisa-soko: xrak
zinazotambulika: hxap
lengo-trigger: krof
moja-na-mbili: hxen
lative-kesi: dvak
ration: hr6c
zisizo-binadamu: hg6n
hai-jambo: hvic
pia-kidogo: hxut
movie--ukumbi: hvin
hassium: xyim
attenuative: ty6t
multal-idadi: ml6m
milky-njia: txam
neptunium: nwem
ghostwriter: txik
trans-numeral: ts6s
kumdanganya-kuzunguka: hqun
americium: myem
asubuhi-utukufu: txan
firefighter: xran
berkelium: blem
galaxy-jinsia: kxan
nobelium: blum
kwaheri: hvac
mabudha: hfum
fermium: frem
cyan: xyan
soya: syof
distribuerar: qrit
strikebreaker: txak
processor: ples
abessive-kesi: bvak
adessive-kesi: dvik
kwa-kesi: kxak
agentive-kesi: dvek
rutherfordium: hr6m
antibody: txip
kama-kiasi-kama: hjos
wakala-trigger: hg6t
muigizaji-jukumu: xram
ethidium: txim
kawaida-jinsia: hk6n
accompanier: kl6n
katamu: kxam
francium: fyam
Erbium: ry6m
watazamaji-sauti: xyis
Astatini: hqit
kubugia-gum: hqam
nyota-jinsia: hqin
citation-fomu: ht6m
curium: jrim
Comic--strip: kxis
rangi-kipofu: hqon
euler's---idadi: hl6m
kuangalia-katika: kxas
crosswalk: pwok
uwanja-wa-vita: txat
motorist: vrit
mzunguko-mfupi: txok
matusi-noun: hvis
kilio-nje: hk6t
kitakwimu: xyit
mgando: txot
xenon: hs6n
hypnotize: hxif
kuchukua-mbali: hxaf
kifungu-mkia: hxok
moja-kwa-moja kitu: dwot
vyakula-na-vinywaji duka: kxun
wajumbe-ya: hm6t
ergative-kesi: gvik
katika-lugha: txic
kwanza-mkono: pxam
locative-kesi: hqok
Bwawa-la-kuogelea: slup
adverbial-kesi: vlak
kitalii: hqas
televisheni-seti: ht6s
mwisho-chembe: xlik
evitative-kesi: hvek
ukarabati: xlat
regression: xris
kuzuia-ya-kujaa: kxot
kuamka-up: hxup
polisi-afisa: ps6s
kumwapisha: vran
INTERVIEWER: qrat
rhenium: ryem
erosoli: xres
kutochukua-kesi: kxik
nominalization: mlec
mwendawazimu-kesi: dzak
fedha-zaidi: pxak
msaidizi-verb: xyik
msingi-kitu: mlut
kompyuta-virusi: prus
mtu-wa-biashara: hqis
a-watu: hqen
antessive-kesi: ts6k
Waziri-Mkuu: pxis
lutetium: lyum
europium: rwum
emote: xrot
folk---muziki: zyik
mshairi: vwit
ofisi-ya-Posta: pxot
eti: hvas
animate-jinsia: hven
subessive-kesi: bvik
gesi--kanyagio: glep
polarity: pr6t
gari-jinsia: vlin
madini-jinsia: xrin
kitendo---suffix: hvif
passionate: pc6n
samarium: sr6m
mwezeshaji: hs6t
imaginary--kitengo: xyin
kasi---ya -mwanga: kxac
Jeshi-la-anga: hxes
huruma-furaha: pfec
muhimu-ya-kiwango: qyit
wakati-wote: hxem
hafnium: xyam
kolinesterasi: hn6s
mabadiliko-ya-tukio: qrin
holmium: xlim
tofauti-tukio: hf6t
ulimwengu-jinsia: hvip
eneo-jinsia: kxen
virtual-mashine: hvim
utafiti-jinsia: txen
kisanii-jinsia: ts6n
crastinal-uliopo: sl6t
abstract-jinsia: srep
exocentric-kesi: zrek
elekezi-verb: txif
morpheme: tfom
chauvinist: dvis
siku-za-nyuma perfective: xrat
ufundi: hy6n
moja-kwa-moja hotuba: tyoc
pili-lugha: draf
kwa-kuwa: txis
graveyard-mabadiliko: vrak
pamoja-noun: hxos
absolutive-kesi: bvuk
mgonjwa-trigger: tr6t
binafsi-kujiamini: hs6s
kinyesi: hzos
reflexive-sauti: hf6s
impersonal-verb: hxek
seaborgium: br6m
nafasi-nyeupe: hxep
modal-kesi: dlok
inanimate-jinsia: hj6n
causative: qran
propositive-mood: psom
umeme-sasa: tr6n
associative-kesi: nwok
superlative-kesi: tluk
pia-kiasi: xyut
planetary-jinsia: pxen
animated-cartoon: nwuk
kubadilishana-sauti: vrik
kutunga-sheria: hqaf
katika-angalau: vlas
kisarufi-kesi: qrak
user: pxut
msingi-benefactive: kfef
kipa: hgop
:-except-for: kcef
denominator: dvan
kingine---kama: lyek
sideways: hx6s
kila-mmoja: dles
mfululizo-kifungu: lyuk
kuvaa-nje: hxun
kaptula: ht6k
dysprosium: prom
haraka-baadaye-uliopo: rwec
si-vitengo: vyin
Kriptoni: kxon
mendelevium: dlem
applicative-sauti: hp6s
antipassive-sauti: tsef
continuative-kipengele: ht6p
mionzi--ugonjwa: hr6k
necessitative-mood: hn6t
single-hatua-verb: hqek
railcar: xlak
superlative-shahada: tlup
existential-kifungu: hs6k
californium: kf6n
sasa-Mmoja: vrat
luminous-kiwango: hc6t
singulative-idadi: slus
kisarufi---kitu: hy6t
watazamaji-Mmoja: vris
kupindukia-muda: kxic
supercritical---maji: sr6t
kiasi-ya-Dutu: ks6t
postpositional-kesi: pxok
elective-watakwimu: lwif
gadolinium: dl6n
epenthetic-morpheme: hp6m
negatory-watakwimu: nwif
einsteinium: ny6n
bandia-lugha: txac
connective-chembe: qrik
kijijini-baadaye-uliopo: twec
frequentative-kipengele: hfep
distributive-pronoun: bvin
allocution-makubaliano: hk6m
bald: blos
kitongoji: syum
wote-watakwimu: vlit
kompyuta-programu: mr6m
televisheni-mpango: tr6m
floating-kumweka---idadi: hvun
existential-watakwimu: tl6t
the-siku-baada kesho: dwek
mbadala-watakwimu: lw6t
--tukuta: hdup
siku-za-nyuma watazamaji Mmoja: hp6t
the-siku-kabla jana: txet
locative-directional-kesi: tc6k
counterfactual-masharti: ht6c
