infinitiivi: hnit
hiipiä: hrem
itsemurha: tcos
reportteri: prot
riistää: hpok
taitava: klun
parveke: blik
haarukka: fras
työntekijä: mlek
työnantaja: myot
leveys: jrak
ärtynyt: djit
moittia: klot
eläke: pyen
verbi: kres
apina: mwon
hyväksyttävä: hwek
allekirjoitus: tlim
ortodoksinen: rwos
ironia: fron
lastentarha: nrap
haluttomuus: jlan
tuoda-maahan: tyot
soihtu: croc
kielioppi: gjak
tallettaa: gyat
siirtomaa-: plon
jahti: jyat
johtuva: kwec
kupoli: kwun
paksuus: hfot
itsepäinen: cyon
lihas: hmup
suuruus: ryam
hieroa: ryos
raukkamainen: rwam
valjaat: gwac
malja: tros
hiiri: myus
tavu: slim
nokare: prap
vuoropuhelu: dlaf
neutraali: nrot
ahkeruus: dwin
ristiriitaisuus: trot
saavuttaa: kfic
vuohi: byak
kukoistaa: hfet
määrätä: mlon
anonyymi: nwim
muodollinen-ilmoittautua: frit
vasikka: hbof
manuaalinen: mwut
sulaa: hjec
poistaa: flas
sateenvarjo: gras
tavaratila: bzut
mineraali: mrim
aselepo: crus
ankka: hbok
suunnittelu: pfam
saippua: hsuf
nukke: gwak
luuranko-: klet
huvila: blis
ompelu: jlin
sovittaa-yhteen: dyak
kattila: kset
kypsä: mruc
kani: kruc
kapellimestari: nwot
riippuvuus: djat
pelaaja: jlic
hyönteinen: pset
ravintola: cret
pöllö: lwun
radikaali: djik
asukas: zwin
lohikäärme: dron
auditiivinen-todistusarvo: drot
janoinen: kyos
viipyä: dren
laskeminen: glun
säätö: ryim
pormestari: mlap
vähemmistö: mric
hankinta: dwon
veteraani-: bren
orkesteri: ryes
pekoni: bjin
haitta: zwat
kangas: frap
muusikko: gzik
henkisesti: hnep
luettuna: nyon
riittämätön: nrip
arkkitehti: tsek
sitruuna: nyim
yskä: kcos
päänsärky: crek
vuokralainen: ryet
hedelmällisyys: srun
parantaa: hfoc
yhdeksänkymmentä: nwon
satunnainen: hbec
lusikka: kcek
ilmapallo: blon
liitu-: hfip
inferential-todistusarvo: nlet
kustantaja: pcot
etikka: sruk
tuhka: fyec
voimasana: slek
elvyttää: nrut
altis: kfim
tunneli: tfun
palapeli: hpef
mekanismi: mwim
matematiikka: gzit
häivyttää: frun
maksa: jwin
sublative-tapaus: bwik
sukeltaa: dris
yksikkö: twim
monopoli: hnop
uhkapeli: hgup
sukellusvene: bzin
maanjäristys: hbem
laboratorio: brot
korkki: kruk
itse-ohjaus: syot
buddha: hbus
neuloa: bjat
suurlähetystö: blas
kauimpana: sres
declarative-mieliala: drim
ärsyke: tyuc
suklaa: clot
sattuma: tyon
käsine: gwat
polvistua: hjek
maantiede: hjif
investointi: nwes
sanallinen: mrec
analogia: nlip
maallinen: srek
haukka: blap
psykologia: nloc
kiinnittyä: gjan
romu: krep
rooli: cyum
annos: hdos
lohi: slom
vanukas: pwun
magneettinen: gyik
pumppu: pcom
happi: ksip
todistus: tfot
mitali: hmem
retoriikka: trok
kaapia: rwap
airo: dyas
teleskooppi: trip
kaulakoru: clek
oikeinkirjoitus: prif
viski: hwos
paju: hwof
kameli: hlum
amatööri: myet
poistua: crec
elämäkerta: brif
aasi: gzac
kuukausittain: mwis
jättää-huomiotta: nruk
loma: byit
napsauttaa: lyik
soikea: twon
joustava: lyet
sanakirja: kfon
kinkku: gzam
sateenkaari: rwun
kuluttaa: kcum
sylkeä: tcup
säiliö: trek
kollega: clok
perhonen: trif
kartoittaa: graf
twin: jwat
itsenäisesti: trem
bambu: hbum
kauppias: jlat
kertymä: kles
tarkastaja: nyet
suupala: hyos
painajainen: hbom
hillo: gjam
museo: mrem
aakkoset: lwam
hajottaa: zras
ratsia: crip
paljastaa: clus
laho: fraf
aggressiivinen: gris
kitka: mroc
laituri: gyac
hämähäkki: brik
peruna: trut
tarkistus: cwon
ahneus: jlac
ennenaikainen: ryot
moninkertaistaa: gzan
kierre: pcip
tilastotiedot: tsok
kalenteri: klem
nimitys: nwen
biljoona: tlos
ullakko: tlok
myöntävä-mieliala: rwim
sovellukset: pfen
nimellinen: nlon
tyytymättömyys: sraf
infektio: hfok
syöttäjä: krot
olankohautus: cyok
pioneeri: gzin
laiminlyönti: nlif
kaali: glic
urheilu-: tlet
juoppous: mrut
idiofoni: hdof
vipu: lwek
senaattori: syem
iiris: nrif
muurahainen: mwam
vika: hbop
raskaana: grim
saostaa: hjet
nilkka: tcok
luokittelu: glik
muuttuja: prim
kietoa: ryap
kihara: krec
rikki: hsef
sanella: dwik
ilmaantua: brun
sammakko: fram
liiallinen-tapaus: twek
sieni: hjen
ärsyttävä: djon
orava: slip
jauhaa: zyin
irrealis-mieliala: flim
tulivuori: glam
sisällä: gron
hyödyntää: kloc
geologinen: jlik
passi: psop
moraaliton: mlet
keksi: hbuk
yhteistyö: kros
tabletti: tlot
rentoutuminen: kces
atomi: trom
aids: hzip
pyramidi: psim
sykli: swok
torkut: hnup
laiton: hjaf
tassu: pfap
ujous: crom
pimennys: klip
luuttu: lwap
luuta: srum
paneeli: mwen
tähtitiede: tcom
sokkelo: blen
apuraha: bwit
kilpikonna: kfuc
neuvonantaja: dwak
kuitu: fwic
kriketti: jrik
kyyhkynen: ksom
sovittaminen: dyon
kolmio: tfon
rahastonhoitaja: tsen
vety: jron
hauras: hfuk
kirjoitin: pyet
tukehtua: tcof
krooninen: gzon
selviytyä: slaf
dilemma: dlim
tekniikka: jyin
kamera: hkef
pyydä-anteeksi: pluc
nuolla: lwet
tanssija: dret
muutto: mres
tennis: tces
selkä: clip
paistaa: zrac
kangaspuut: tfuc
puukottaa: twuc
salasana: psaf
aivopuolisko: praf
strategia: zrit
kvartsi: krus
sakset: jris
partio: proc
jäätikkö: lwic
puolitiessä: dwam
muistio: mwap
kartio: kwuc
symmetria: hzut
valmistaja: zrak
vastaaja: fwik
moskeija: djis
shakki: cres
tietulli: htof
kirsikka: tref
laajalle-levinnyt: kfen
kompastella: tfok
kuorma-auto: ryok
sinappi: mros
prosentti: pfet
huutokaupata: jlam
seula: srif
epävakaa: swoc
magneetti: gjat
imeminen: syus
islam: slum
hiipiä-varpaisillaan: twip
kalvo: mlen
parranajo: clet
kitara: gjit
kiiltävä: bzan
jalava: hyem
liidellä: kcom
pronomini-merkki: ryec
nitoa: pcus
mauste: zlat
takaus: jlas
kantaja: zyac
värähtely: bron
härnätä: trus
aura: hlom
fysiologinen: zlik
räystäskouru: hgok
komeetta: cyet
keskiaikainen: dyic
varpunen: grec
hyvittää: twet
muovi-: psuk
alaviite: cyot
kiertorata: rwot
säästäväinen: twum
golf: hgof
nolla-: zrun
siru: tcep
sortaa: prok
haukotus: gjac
eriarvoisuus: gwas
mooli: tloc
keramiikka: frik
kotiäiti: hgif
ruis: rwem
rikkoa: hyes
suvaitseva: glon
alkio: brec
kaivosmies: jren
kiitellä: zlac
hiiva: lyim
palkkio: pfim
luumu: plem
konkurssi: byas
kastelu: rwif
minttu: nyun
kapitalisti: glis
jousto: hlef
hai: gyak
rekrytoida: drut
varastointi: zren
realismi: cles
inkivääri: djic
ambulanssi: blus
vertailukelpoinen: kwip
lompakko: bjap
irvistys: glim
tiedemies: gyis
tyhjentää: grot
mielentyyneys: hwum
radio: href
merkityksetön: zlit
papu: bwam
epävirallinen: frim
tyttärentytär: gyut
erimielisyys: dloc
pihvi: tfek
typpi: zron
partakone: hjut
erottuva: krom
propaganda: pcoc
ilotulitus: fris
pop-: pcop
riisua: crop
vako: cruc
haitallinen: hzaf
juutalaisuus: hjum
täydentää: pluk
linssi: lyes
pegative-tapaus: pwek
syöpä: kfes
sotilas: pyek
lehtori: zyat
vuotaa: hzuk
pätevöityä: krif
tiheys: djot
induktio: dyis
pureskella: htuf
puhelias: bzit
hummeri: hgos
alennus: dyut
Taksi: tsuk
hierarkia: crem
jade: gyec
sotkea: glaf
lisko: lyis
vesiputous: crof
ikävä: djak
veto: frot
puheenjohtajuus: ryip
ostaja: mrif
gallona: jlen
hyttynen: mruk
poikkeama: dwen
painia: lyut
mosaiikki: myok
pistoke: plok
kyykky: pcuk
ruokakauppa: ksoc
kommunistinen: myos
hämmästyttää: mwek
prosecutive-tapaus: rwuk
tähdistö: nlos
diktaattori: dwit
huoli: tyet
satelliitti: tlec
tohveli: hlop
konsonantti: fyon
lähentää: tsif
työtön: byet
tukija: sros
lootus: lwot
lehtisalaatti: sles
kloridi: lwok
bakteerit: bwic
tahmea: pcek
komponentti: bwon
ydin: klec
teeskennellä: bjak
tavu: bzet
eritys: sruf
nimenomaisesti: pres
samaan-aikaan: mloc
baletti: blet
virtsa: mrus
valkosipuli: lyun
kulunut: hguc
taloustiede: kcem
keskiluokka: hdom
ketterä: gjic
pihdit: htef
pesula: lyoc
mansikka: srem
kaupunki-: pcos
nolata: mlaf
muistikirja: tfut
albumi: zlam
baseball: hbep
haistella: sluc
noutopöytä: hbuf
partisiippi: rwip
autotalli: grek
diagnoosi: djas
kainalosauva: ksuc
kiristää: srom
rekisteröinti: psuc
liukeneva: jlun
fosfori: psof
rakenteellinen: rwut
liima: glum
tutkielma: twes
käsityöläinen: clif
banaani: bwas
selviö: kyom
kylkiluu: psos
nikkeli: nyek
pii: pyim
bussi: bwos
sensuroida: swes
ohjus: mlus
makkara: slos
manipulointi: nlut
tomaatti: tfet
vahvistaa: kfut
pistorasia: syok
kalium: tsom
hakea: prup
virtuaali-: zwit
algebra: gjas
hammaslääkäri: dzit
optinen: pcok
perääntyä: bzen
biologia: bwim
työttömyys: byim
toukka: krum
yksin: slof
selain: bjac
kauko--ohi-jännittynyt: nyot
historiallinen-jännittynyt: crep
ydinaseiden: nluk
spektri: pyem
natrium: syom
hysteria: syes
edunvalvoja: tyos
panttivanki: byik
kurpitsa: gluk
rypistyä: kwuk
läpinäkyvyys: tfif
piikki: swip
prioriteetti: pcif
jalankulkija: dyen
ateismi: tsem
monitori: mwot
vaalipiiri: nlec
kontrolloimaton: hkof
koetin: grok
platina: plip
kaksois--määrä: dlun
keuhko: pcep
Super: syup
johdinauto: trop
paikallisesti: lyot
yllyttää: gzat
bensiini: plif
munuainen: grif
ryöstää: bzac
arviointi: dlen
arsenikki: syek
etana: nrok
heinäsirkka: tsec
yhtälö: fwen
sosialistinen: swos
suodattaa: flot
aisti--todistusarvo-mieliala: hxin
laajentaa: kyot
päästää: mwet
talutushihna: pwet
mandariini: drun
kuski: hjok
keuhkokuume: hnof
solidaarisuus: gret
sarana: cyif
pitkittäinen: nruc
osinko: dwun
luistella: hkep
eksponentti: slop
vammaisuus: dlif
pakkomielle: bwen
siirtolapuutarha: pfun
valokuvaaja: trof
delta: dlet
digitaalinen: djim
narttu: brut
silmäluomi: hyop
diagonaalinen: dyun
alitajunta: byon
kulmakarva: bruc
aivastus: pcec
hilpeä: dlis
hindulaisuus: nwum
pakolainen: nyif
sukkula: cwot
proteiini: pwot
kaatopaikka: hdop
jalostaa: flen
oksentaa: hwom
geeni: gyen
fuksi: hdem
sosiologia: syoc
squash: kwoc
kalastaja: hfuc
alueellinen: jyen
liike-ylämäkeä: hvok
takautuva: hxik
tornado: gyon
inversio: nwos
TV: twif
kuutio: kfet
tuottavuus: pwuk
porkkana: krop
molekyyli-: mwuk
monialayritys: glet
kirjanpitäjä: ksum
kurkku: kyok
vimma: drok
liuotin: jlet
fosfaatti: psef
pohjamaali: gwik
emäksinen: flis
voimistelu: jyas
pilkku: kwom
liike-alamäkeä: hvat
keskenmeno: jwac
palko: tcop
luovuttaja: dzon
mangaani: hzem
psykologi: syos
kloori: clos
näppäimistö: kyoc
eliitti: zyit
sulkumerkki: pfaf
Rugby: rwoc
haava: jlon
taivutettu: hxit
napostella: nres
kvantti: fwam
villapaita: swek
evoluutio-: fwis
merkintätapa: nyoc
pomppia: tcuf
leikkely: drec
kätkö: kcep
lineaarinen: lyec
antimoni: trum
superessive-tapaus: psek
kasvain: twom
eroosio: cyos
alpha: flaf
napa: nwip
immuuni: myip
influenssa: flun
panimo: bjit
yksinkertaistaa: slef
lyhentää: bram
lommo: djen
valloittaa: dwim
hallita-pakolla: brok
sukka: bzas
elokuva: fyim
maailmankaikkeus: klom
saastuttaa: hpuf
seuraa-rakastava: gjen
penis: zyis
metsänhoito: lyif
alumiini: lwum
värähtely: zlon
horoskooppi: ksop
eject: dlek
sisällyttäminen: nluc
edunsaaja: byic
delfiini: dlip
tappaja: cyus
nisäkäs: myaf
osoitin: swif
dioksidi: dwis
kaksoispiste: zlen
byrokratia: brus
vääristää: jric
jääkaappi: frip
arkeologinen: cluk
mahdoton-hyväksyä: kwok
määrittely: pfis
esite: pfut
antropologia: nlom
maukas: kyec
transitiivinen: txit
kyyristyä: kwus
auringonkukka: hzuc
täi: glus
ioni: lyos
matkailu: tyum
modeemi: myom
kiihtyvyys: jrun
väärentää: tsoc
emissio: hmef
siepata: drap
päällekkäisyys: hwep
kampaaja: pfes
kansanperinne: floc
kapillaari: plek
nationalismi: nlum
takapuoli: nros
motiivi: hmuf
sublimoida: slem
pettymys: xras
koboltti: kwos
kaura: gwam
liike-yläjuoksulle: trup
peräaukko: gyam
nauta: bwun
kääntää: flip
irtisanominen: dzun
video-: hwop
boikotoida: bjik
tietokilpailu: cwif
jääkiekko: cwok
sissi: grip
magnesium: hgem
tutka: drek
simpanssi: hzif
luotettavuus: kwif
suorakulmio: tyec
rakkolevä: klep
yleistää: jlak
ulkonaliikkumiskielto: kfec
homoseksuaalinen: mlok
skenaario: srop
muotoilu: flus
reinkarnaatio: nrom
sytyttää: zlak
uraani: ryum
sieppari: kwes
koordinoida: kyop
veronmaksaja: nwaf
integroitu: trep
opined: hzap
gamma: hxam
safari: fwim
liike-alajuoksulla: ht6n
kerroin: kfus
otsikko: zlic
analyytikko: nles
Shakki-Matti: hzes
ostoskeskus: hmof
vismutti: bzim
postikortti: psok
lähentyminen: bros
eksyä: djet
osakas: ksem
mikrobi: mrip
sukupuolielinten: jwit
morfologiset: mluk
beeta: byot
farkut: gjis
tietokanta: tles
laskin: klus
röntgen: ksef
jäsentää: zram
ympäristö-: zyen
sigma: zyim
disjunktio: hxon
esityslista: gres
Visa: bzis
infrastruktuuri: nyuk
tulikärpänen: gyun
ilmaisin: tyek
mukautuva: dyip
biologi: byis
liitos: pyec
bromi: brom
palladium: plum
hikka: kfok
pastellityö: psec
eläintarha: zwac
klinikka: lyok
konnotaatio: nwoc
jooga: hjoc
kirjakauppa: byun
terapia: grap
nationalistinen: zlis
mestata: zlet
Joo: swec
ongelmallinen: byam
jazz: dzas
volframi: tsof
terroristi: gwis
tiputtaa: droc
aineenvaihdunta: tlem
elatusapu: lyaf
viikonloppu: hfom
krysanteemi: gzim
rokote: byap
moottoripyörä: tyok
mantra: dyot
lukukausi: myes
heroiini: gwon
kansio: flap
katodi: kfoc
ideologia: dlec
pysäköinti: prek
theta: fret
antikliimaksi: hxis
seleeni: clem
pyöräily: blek
aivokuori: pros
vastaavuus: swaf
nykyinen-merkityksellisyys-merkki: hxak
lentokenttä: cwoc
amputoida: gyet
koripallo: bwet
huijarin: mwip
torakka: tlek
kromi: hgom
litra: hl6t
kuitenkin: nwec
hormoni: cwom
virheellinen: tluc
lävistää: prec
animismista: nyom
monikulmio: cloc
feministi: hfes
konjugaatti: kcop
euro: dros
ginseng: hjes
algoritmi: hlof
laser: lwes
apteekki: dlot
millimetri: mlem
flex: flek
anodi: nlok
vivahde: hzus
osa-aikainen: prem
herkkyys: nyec
mielenosoittaja: drom
helium: clum
kaksikielinen: dzic
akronyymi: hqim
alkukirjainlyhenne: nl6m
gerundi: gros
plasma: psem
kromosomi: rwom
järjestysluku: rwok
kilometri: klum
faksi: tfes
genetiikka: nwek
pisama: frek
ruuvimeisseli: dres
parsakaali: blok
preteriti: xrit
vitamiini: tyem
kadmium: kyem
pommikone: bwoc
graafinen: gjik
titaani: dyim
törsätä: clec
lambda: lwem
tyttöystävä: pcem
paritella: kyuk
tiimalasi: tlus
empatia: mlif
boori: bres
helikopteri: cwet
telluuria: tlum
takaraja: jyic
kohdista: gwic
senttimetri: hfem
molybdeeni: mlom
litium: tfim
multimedia: myum
päivittää: dyet
kalori: clom
robotti: ryoc
kotitehtävät: groc
logaritmi: grom
rukoilijasirkka: gzas
asentaa: nwut
amino: myoc
glyph: glif
aoristi: pyos
ekologia: plec
hieno-ihminen: flok
marihuana: bjam
mikro: mrom
kilogramma: lwom
syödä-liikaa: jrot
ennustettavissa: dzik
pizza: zyas
kuunnella-salaa: zris
kielitiede: bwis
hiustyyli: braf
iridium: ryom
rasismi: gwim
optimaalinen: gyim
teollistuminen: drif
pääkonttori: krup
cerium: zrim
yhtenevä: nrum
partitiivi-tapaus: pxik
kasetti: ksep
tahdonvoima: blot
ulotteinen: dzen
parametri: rwet
synkronoida: nrop
maksimoida: dzim
seminaari: mwec
disko: dyok
neon: nyok
osmium: hzom
loppiainen: hp6n
plagioida: lyap
artefakti: rwek
reaktori: fyet
oregano: ryop
plutonium: pwum
yttrium: tyom
puhetta-tukevaa: hxat
käyttäjätunnus: mrum
jatko: zrot
oikeisto: dwaf
argon: jros
fobia: hxot
seurustella: sluk
globalisaatio: bluc
aallonpituus: hnef
koodittaa: kfom
kierrättää: psoc
uudelleenkäynnistää: nrek
maksatulehdus: pyes
torus: fros
kemoterapiaa: myep
modulo: mwok
protoni: zwot
levyke: dwet
milligramma: mlum
pixel: psep
tantaali: twem
liuenneen-aineen: hjot
kansanmurha: nyos
petoeläin: rwes
gallium: glem
zirkonium: hzum
määritin: txin
epälineaarinen: nlem
torjunta-aine: pyif
beryllium: brem
neuroni: nrus
predikatiivinen: pxit
alushousut: tlif
kertoma: kref
neutroni: zrut
niobia: nwom
germanium: hjem
metalloidi: tlop
laittaa-päälle: dlap
prolative-tapaus: hl6k
biodiversiteetti: jwic
peliohjain: jyok
antibiootti: twok
aktinium: gjim
astronautti: srof
avaruusolento: tyes
hullu: hwup
maraton-: mrof
ytterbium: zwim
autismi: tyif
ionisoi: nlof
radon: cwos
nerium: nrem
epidemiologia: pwip
vanhuus: lyuc
telttailu: kyep
raidallinen: drip
indium: nyum
veridical: hvik
verkkosivusto: bwes
Koraani: kwek
flatware: fwet
nnen---root: tfec
lawrencium: lyem
siviili---oikeudet: glip
kännykkä: mlof
halvaantunut: twoc
Protaktinium: prum
säteily: hd6n
riippua-päälle: pxin
torium-atomi: hxim
blue---jean: bjun
huonekasvi: hxas
erikseen: dvit
flow---virta: lwuk
triple---piste: ht6t
ihmiskehon: hn6n
fysiikka: bzik
jälleenmyynti-kauppa: hxan
cesium: hs6m
pitkä-sitten: hqan
taulukkolaskentaohjelma: hxet
yksikkö---of- massa: hn6m
koota: ml6n
binary---arvo: vrim
ihmisen-ollessa: nyus
mukaan-välineet-of: hvan
depan-dari: pxat
praseodyymi: pyom
pahvi: kxat
rajallinen-verbi: hqik
oikeudenkäynti-määrä: hr6n
ammattilainen-tuomita: hr6t
kriitikko: hk6k
pakkaus: pxas
väliaikaisuuden: pxan
at-suurin-osa: txas
avainsana: drop
neodyymi: nyem
ystävyys: hvit
lukea-vain: xyak
loisi: xwan
genomisen-mieliala: kxin
foneemi: hxom
järkevyys: xlit
fonologisten: xlin
ruokailu-huone: hxac
elävä-huone: hxic
centric-tapaus: zrik
pre-hodiernal: hx6n
potilas-tapaus: hqak
vino-tapaus: bwok
maaseudun-alue: hqat
recurse: hr6s
keskimmäinen-ääni: dyos
Meitnerium: hm6m
postimies: hvak
välttelevä: kxit
kalusto-markkinoida: xrak
tunnistettavissa: hxap
tavoite-laukaista: krof
yksi-sekunti: hxen
dännön-tapaus: dvak
säännöstellä: hr6c
ei-ihmisen: hg6n
elävä-asia: hvic
liian-vähän: hxut
elokuvateatteri: hvin
hassium: xyim
vaimentavat: ty6t
multal-määrä: ml6m
maitomainen-tapa: txam
neptunium: nwem
haamukirjoittaja: txik
trans-numero: ts6s
pelleillä: hqun
amerikium: myem
aamu-kunnia: txan
palomies: xran
berkelium: blem
galaxy-sukupuoli: kxan
nobelium: blum
bye-Bye: hvac
buddhalaisuus: hfum
fermium: frem
syaani: xyan
soija: syof
jakelija: qrit
rikkuri: txak
suoritin: ples
abessiivi-tapaus: bvak
adessiivi-tapaus: dvik
että-tapaus: kxak
agentive-tapaus: dvek
rutherfordium: hr6m
vasta-aine: txip
kuten-paljon-kuten: hjos
agentti-laukaista: hg6t
näyttelijä-rooli: xram
eti-: txim
yhteinen-sukupuoli: hk6n
accompanier: kl6n
saflori: kxam
frankium: fyam
erbium: ry6m
passiivinen-ääni: xyis
astatiini: hqit
pureskelua-purukumi: hqam
tähti-sukupuoli: hqin
lainaus-muoto: ht6m
curium: jrim
sarjakuva: kxis
värisokea: hqon
euler's---numero: hl6m
Katso-at: kxas
suojatie: pwok
taistelukenttä: txat
autoilija: vrit
oikosulku: txok
sanallinen-substantiivi: hvis
itkeä-ulos: hk6t
tilastollisesti: xyit
jogurtti: txot
xenon: hs6n
hypnotisoida: hxif
ottaa-pois: hxaf
lauseke-hännän: hxok
suoraan-esine: dwot
ruokakauppa-kauppa: kxun
muodostuvat-of: hm6t
ergative-tapaus: gvik
in--kielellä: txic
ensi-käden: pxam
locative-tapaus: hqok
uima-allas: slup
adverbiaali-tapaus: vlak
sightsee: hqas
televisio-sarja: ht6s
lopullinen-hiukkanen: xlik
evitative-tapaus: hvek
kuntoutus: xlat
regressio: xris
lohko-of-asuntoja: kxot
herätä-ylös: hxup
valvoa-upseeri: ps6s
vannon---in: vran
haastattelija: qrat
renium: ryem
aerosoli: xres
omistushaluinen-tapaus: kxik
nominalization: mlec
riivattu-tapaus: dzak
ylihinta: pxak
apu--verbi: xyik
ensisijainen-esine: mlut
tietokone---virus: prus
Bisneshenkilö: hqis
ihmiset: hqen
antessive-tapaus: ts6k
pääministeri: pxis
lutetium: lyum
europium: rwum
emote: xrot
kansanmusiikki: zyik
runoilija: vwit
postitoimisto: pxot
muka: hvas
elävöittää-sukupuoli: hven
subessive-tapaus: bvik
kaasupedaali: glep
vastakkaisuus: pr6t
ajoneuvo-sukupuoli: vlin
mineraali-sukupuoli: xrin
verbi---pääte: hvif
intohimoinen: pc6n
samarium: sr6m
helpottajana: hs6t
kuvitteellinen---yksikkö: xyin
nopeus---of- light: kxac
ilmavoimat: hxes
empaattinen-ilo: pfec
Kriittinen-piste: qyit
täysaikainen: hxem
hafnium: xyam
esto: hn6s
muuttaa-of-tapahtuma: qrin
holmium: xlim
eri-tapahtuma: hf6t
maailmankaikkeus-sukupuoli: hvip
sijainti-sukupuoli: kxen
virtuaali--kone: hvim
tutkimus-sukupuoli: txen
taiteellinen-sukupuoli: ts6n
crastinal-jännittynyt: sl6t
abstrakti-sukupuoli: srep
exocentric-tapaus: zrek
transitiivinen-verbi: txif
morfeemi: tfom
shovinisti: dvis
ohi-perfektiivinen: xrat
ammatillinen: hy6n
epäsuora-puhe: tyoc
toinen-kieli: draf
että-olla: txis
hautausmaa-siirtää: vrak
kollektiivinen-substantiivi: hxos
absolutive-tapaus: bvuk
potilas-laukaista: tr6t
itse-luottamus: hs6s
ulosteet: hzos
refleksiivinen-ääni: hf6s
persoonaton-verbi: hxek
seaborgium: br6m
valkoinen-tila: hxep
modaalinen-tapaus: dlok
eloton-sukupuoli: hj6n
syynä-oleva: qran
propositive-mieliala: psom
sähköinen-nykyinen: tr6n
assosiatiivinen-tapaus: nwok
superlatiivi--tapaus: tluk
liian-paljon: xyut
planeettojen-sukupuoli: pxen
eloisa-sarjakuva: nwuk
vastavuoroinen-ääni: vrik
säätää-lakeja: hqaf
at-vähiten: vlas
kieliopin---tapaus: qrak
käyttäjä: pxut
ydin-benefactive: kfef
maalivahti: hgop
:-except-for: kcef
nimittäjä: dvan
muu---jos: lyek
sivuttain: hx6s
toisiaan: dles
peräkkäinen-lauseke: lyuk
kulua: hxun
shortsit: ht6k
dysprosium: prom
pian-tulevaisuus-jännittynyt: rwec
si-yksiköt: vyin
krypton: kxon
mendelevium: dlem
applicative-ääni: hp6s
antipassive-ääni: tsef
continuative-näkökohta: ht6p
säteily---sairaus: hr6k
necessitative-mieliala: hn6t
yksittäinen-toiminta-verbi: hqek
junavaunujen: xlak
superlatiivi--aste: tlup
eksistentiaalinen-lauseke: hs6k
kalifornium: kf6n
esittää-partisiippi: vrat
valoisa-intensiteetti: hc6t
singulative-määrä: slus
kieliopin---esine: hy6t
passiivinen-partisiippi: vris
liiallinen-kesto: kxic
ylikriittinen---neste: sr6t
määrä-of-aine: ks6t
postpositional-tapaus: pxok
valinnainen-kvantisointi: lwif
gadolinium: dl6n
epenthetic-morfeemi: hp6m
negatory-kvantisointi: nwif
einsteinium: ny6n
keinotekoinen-kieli: txac
yhdistävä-hiukkanen: qrik
kauko--tulevaisuus-jännittynyt: twec
frequentative-näkökohta: hfep
jakelu-pronomini: bvin
allocution-sopimus: hk6m
kalju: blos
lähiö: syum
yleismaailmallinen-kvantisointi: vlit
tietokone-ohjelmointi: mr6m
televisio-ohjelmoida: tr6m
kelluva---point- numero: hvun
eksistentiaalinen-kvantisointi: tl6t
päivä-jälkeen-huomenna: dwek
vaihtoehto-kvantisointi: lw6t
pahantuulinen: hdup
ohi-passiivinen-partisiippi: hp6t
päivä-ennen-eilen: txet
locative-suunta--tapaus: tc6k
vaihtoehtoisen-ehdollinen: ht6c
