क्रियाकासाधारण रूप: hnit
नियुक्तमामला: hnak
तृप्त: nlot
झूला: swun
घासकामैदान: gram
जटिल: klos
इस्तीफा: hzis
नम्ररजिस्टर: nret
साजिश: swim
मिर्च: prip
टट्टू: pron
उम्मीदवार: hzam
लोमड़ी: flik
चिमनी: tcon
अधिकारक्षेत्र: drik
कृषि: rwic
शुद्धता: tcuk
भूतपूर्वमृतक: brim
डेमोक्रेटिक: mrek
कली: hbos
कंबल: bwat
जयहो: hgep
सूअर: srus
आकारका: krek
हाथीदांत: craf
क्लासिक: ksok
पर्यवेक्षक: nwet
हाथी: lwit
नाखून: nwus
मधुमक्खी: hmif
दफनाना: dzan
अभिनेता: bzat
पसीना: zwan
पोलिश: ploc
माया: hlus
अनिश्चितता: pcet
माध्यमिक: syif
तह: tsot
ग्रामीण: grun
कराह: nyen
जैसेलगतेहैं: slec
उद्धरण: hzun
थैला: cyek
चिढ़: fren
सुई: hjun
संगृहीत: nroc
मुर्गी: truk
संगत: kwot
बैरल: bras
अभ्यस्तपहलू: hcep
विशेषज्ञ: ksec
प्रभावितकरना: blin
जैतून: zlin
वैन: myen
बाधा: bwak
सिरकाइशारा: kcec
पालक: plaf
परिभाषा: fyic
जन्मदिन: gjin
हथौड़ा: hcof
सुगंधित: hfon
दुहराव: trun
तुच्छ: twut
लात: hjik
खुदाई: kwaf
पालतू: plot
खोपड़ी: hcop
विधायिका: dlik
एड़ी: cruk
भ्रूभंग: crun
पेटेंट: plet
एकअरब: blim
रासायनिक: fyik
पायलट: pyot
कीनकल: mlot
स्कर्ट: kwet
असामान्यरूपसे: srap
साप्ताहिक: jwik
तकनीकी: tfip
वनस्पतियां: tset
कौआ: kraf
सूर्योदय: sruc
जीवनकाल: glin
योगदान: hyom
अंकुड़ा: hdok
बाघ: blic
घुसना: crut
आस्तीन: slun
हाइवे: jras
मिलिशिया: mlip
खाई: kroc
अखंडता: kret
उन्नीस: dzin
कार्बनिक: rwik
धर्मशास्र: flic
नाव: flut
डायन: byac
ऊब: hwuk
राजनयिक: dyik
स्टूडियो: twos
सेअधिक: kcok
शैंपेन: cyen
कोप्रेरित: crif
बैनर: hbes
तलाक: lwon
पेंच: hbut
नस: jyan
निष्क्रिय: psif
झाग: hgum
कंकड़: grik
तहबंद: tyen
ग्रह: gren
शेल्फ: claf
प्रशंसक: flon
उष्णकटिबंधीय: hjip
अवस्था: fwas
मनमाना: rwen
उच्चारण: kfun
पारा: krok
रेंगना: hrem
आत्महत्या: tcos
रिपोर्टर: prot
वंचित: hpok
कुशल: klun
बालकनी: blik
कांटा: fras
कर्मचारी: mlek
नियोक्ता: myot
चौड़ाई: jrak
कुपित: djit
आरोपलगातेहैं: klot
पेंशन: pyen
क्रिया: kres
बंदर: mwon
स्वीकार्य: hwek
हस्ताक्षर: tlim
रूढ़िवादी: rwos
व्यंग्य: fron
नर्सरी: nrap
अनिच्छा: jlan
आयात: tyot
मशाल: croc
व्याकरण: gjak
जमा: gyat
औपनिवेशिक: plon
नौका: jyat
अहम: kwec
गुंबद: kwun
मोटाई: hfot
हठी: cyon
मांसपेशी: hmup
परिमाण: ryam
रगड़: ryos
राड़: rwam
साज़: gwac
टोस्ट: tros
माउस: myus
शब्दांश: slim
थपथपाना: prap
संवाद: dlaf
तटस्थ: nrot
लगन: dwin
अंतर्विरोध: trot
लक्ष्यकोहासिल: kfic
बकरा: byak
पनपने: hfet
थोपना: mlon
गुमनाम: nwim
औपचारिकरजिस्टर: frit
बछड़ा: hbof
गाइड: mwut
पिघल: hjec
मिटाना: flas
छाता: gras
बूट: bzut
खनिज: mrim
संघर्षविराम: crus
बत्तख: hbok
आयोजन: pfam
साबुन: hsuf
गुड़िया: gwak
कंकाल: klet
विला: blis
सिलाई: jlin
समाधानकरना: dyak
केतली: kset
प्रौढ़: mruc
खरगोश: kruc
कंडक्टर: nwot
निर्भरता: djat
खिलाड़ी: jlic
कीट: pset
भोजनालय: cret
उल्लू: lwun
उग्र: djik
निवासी: zwin
अजगर: dron
श्रवणप्रत्यक्ष: drot
प्यास: kyos
ठहराना: dren
गणना: glun
विनियमन: ryim
महापौर: mlap
अल्पसंख्यक: mric
अर्जन: dwon
दिग्गज: bren
ऑर्केस्ट्रा: ryes
बेकन: bjin
हानि: zwat
कपड़ा: frap
संगीतकार: gzik
मानसिकरूपसे: hnep
संयोजन: nyon
अपर्याप्त: nrip
वास्तुकार: tsek
नींबू: nyim
खांसी: kcos
सिरदर्द: crek
किरायेदार: ryet
उपजाऊपन: srun
चंगा: hfoc
नव्वे: nwon
बिनासोचेसमझे: hbec
चम्मच: kcek
गुब्बारा: blon
चाक: hfip
आनुमानिकप्रत्यक्ष: nlet
प्रकाशक: pcot
सिरका: sruk
एश: fyec
दुर्वचन: slek
पुनर्जीवित: nrut
कोमल: kfim
सुरंग: tfun
पहेली: hpef
तंत्र: mwim
गणित: gzit
मुरझाना: frun
जिगर: jwin
Sublativeमामला: bwik
डुबकी: dris
इकाई: twim
एकाधिकार: hnop
जुआ: hgup
पनडुब्बी: bzin
भूकंप: hbem
प्रयोगशाला: brot
काग: kruk
स्वयंनियंत्रण: syot
बुद्धा: hbus
बुनना: bjat
दूतावास: blas
सबसेअधिक दूर: sres
कथात्मकमनोदशा: drim
प्रोत्साहन: tyuc
चॉकलेट: clot
संयोग: tyon
दस्ताना: gwat
घुटनाटेकना: hjek
भूगोल: hjif
निवेश: nwes
मौखिक: mrec
समानता: nlip
धर्मनिरपेक्ष: srek
बाज़: blap
मनोविज्ञान: nloc
जकड़ना: gjan
स्क्रैप: krep
भूमिका: cyum
ख़ुराक: hdos
सैल्मन: slom
पुडिंग: pwun
चुंबकीय: gyik
पंप: pcom
ऑक्सीजन: ksip
प्रमाणपत्र: tfot
पदक: hmem
वक्रपटुता: trok
परिमार्जन: rwap
डांड़: dyas
दूरबीन: trip
हार: clek
वर्तनी: prif
व्हिस्की: hwos
विलो: hwof
ऊंट: hlum
शौकिया: myet
बाहरजाएं: crec
जीवनी: brif
गधा: gzac
मासिक: mwis
उपेक्षा: nruk
छुट्टी: byit
क्लिककरें: lyik
अंडाकार: twon
लोचदार: lyet
शब्दकोश: kfon
जांघ: gzam
इंद्रधनुष: rwun
उपभोगकरना: kcum
थूक: tcup
टैंक: trek
सहयोगी: clok
तितली: trif
चार्ट: graf
जुड़वां: jwat
स्वतंत्ररूपसे: trem
बांस: hbum
विक्रेता: jlat
संचय: kles
इंस्पेक्टर: nyet
निवाला: hyos
बुरासपना: hbom
जाम: gjam
संग्रहालय: mrem
वर्णमाला: lwam
बिखराव: zras
छापा: crip
खुलासा: clus
सड़ांध: fraf
आक्रामक: gris
टकराव: mroc
घाट: gyac
मकड़ी: brik
आलू: trut
संशोधन: cwon
लालच: jlac
असामयिक: ryot
गुणाकरना: gzan
स्पिन: pcip
सांख्यिकी: tsok
कैलेंडर: klem
नामांकन: nwen
ट्रिलियन: tlos
अटारी: tlok
सकारात्मकमनोदशा: rwim
आवेदन: pfen
नाममात्र: nlon
असंतोष: sraf
संक्रमण: hfok
मटकी: krot
कंधेउचकानेकी क्रिया: cyok
अगुआ: gzin
चूक: nlif
गोभी: glic
पुष्ट: tlet
मादकता: mrut
idiophone: hdof
उत्तोलक: lwek
सीनेटर: syem
आँखकीपुतली: nrif
चींटी: mwam
बग: hbop
गर्भवती: grim
वेग: hjet
टखने: tcok
वर्गीकरण: glik
परिवर्तनशील: prim
कपड़ेमेंलपेटकर: ryap
घुंघराले: krec
गंधक: hsef
हुक्म: dwik
उभरना: brun
मेढक: fram
अत्यधिकमामला: twek
स्पंज: hjen
कष्टप्रद: djon
गिलहरी: slip
पीसना: zyin
irrealisमनोदशा: flim
ज्वालामुखी: glam
घरकेअंदर: gron
शोषण: kloc
भूवैज्ञानिक: jlik
पासपोर्ट: psop
अनैतिक: mlet
बिस्कुट: hbuk
सहयोग: kros
गोली: tlot
विश्राम: kces
परमाणु: trom
एड्स: hzip
पिरामिड: psim
चक्र: swok
झपकी: hnup
ग़ैरक़ानूनी: hjaf
पंजा: pfap
शर्म: crom
ग्रहण: klip
वीणा: lwap
झाड़ू: srum
पैनल: mwen
खगोल: tcom
भूलभुलैया: blen
छात्रवृत्ति: bwit
कछुआ: kfuc
सलाहकार: dwak
रेशा: fwic
क्रिकेट: jrik
कबूतर: ksom
अनुकूलन: dyon
त्रिकोण: tfon
कोषाध्यक्ष: tsen
हाइड्रोजन: jron
नाज़ुक: hfuk
मुद्रक: pyet
गलाघोंटना: tcof
जीर्ण: gzon
सामना: slaf
दुविधा: dlim
इंजीनियरिंग: jyin
कैमरा: hkef
माफीमाँगताहूँ: pluc
चाटना: lwet
नर्तकी: dret
प्रवास: mres
टेनिस: tces
रीढ़कीहड्डी: clip
तलना: zrac
करघा: tfuc
आवेश: twuc
पासवर्ड: psaf
गोलार्द्ध: praf
रणनीति: zrit
क्वार्ट्ज: krus
कैंची: jris
पहरा: proc
हिमनद: lwic
आधेरास्ते: dwam
ज्ञापन: mwap
शंकु: kwuc
समरूपता: hzut
उत्पादक: zrak
प्रतिवादी: fwik
मस्जिद: djis
शतरंज: cres
टोल: htof
चेरी: tref
बड़ेपैमानेपर: kfen
ठोकर: tfok
ट्रक: ryok
सरसों: mros
प्रतिशत: pfet
नीलाम: jlam
चलनी: srif
अस्थिर: swoc
चुंबक: gjat
चूसना: syus
इसलाम: slum
छिपकरजाना: twip
झिल्ली: mlen
हजामत: clet
गिटार: gjit
चमकदार: bzan
एल्म: hyem
ऊंचीउड़ानभरना: kcom
सर्वनामनिशान: ryec
प्रधान: pcus
मसाला: zlat
जमानत: jlas
वाहक: zyac
कंपन: bron
चिढ़ाना: trus
हल: hlom
शारीरिक: zlik
नाली: hgok
धूमकेतु: cyet
मध्यकालीन: dyic
गौरैया: grec
क्षतिपूर्ति: twet
प्लास्टिक: psuk
फुटनोट: cyot
कक्षा: rwot
मितव्ययी: twum
गोल्फ़: hgof
शून्य: zrun
टुकड़ा: tcep
अत्याचारकरना: prok
जंभाई: gjac
असमानता: gwas
तिल: tloc
मिट्टीकेबर्तनों: frik
गृहिणी: hgif
राई: rwem
आज्ञाकाउल्लंघन करना: hyes
सहिष्णु: glon
भ्रूण: brec
खानमेंकाम करनेवाला: jren
सराहना: zlac
ख़मीर: lyim
प्रीमियम: pfim
बेर: plem
दिवालियापन: byas
सिंचाई: rwif
पुदीना: nyun
पूंजीवादी: glis
लोच: hlef
शार्क: gyak
रंगरूट: drut
भंडारण: zren
यथार्थवाद: cles
अदरक: djic
एम्बुलेंस: blus
तुलनीय: kwip
बटुआ: bjap
मुंहबनाना: glim
वैज्ञानिक: gyis
आंत: grot
समभाव: hwum
रेडियो: href
असंगत: zlit
सेम: bwam
अनौपचारिक: frim
पोती: gyut
बहस: dloc
स्टेक: tfek
नाइट्रोजन: zron
उस्तरा: hjut
विषम: krom
प्रचार: pcoc
आतिशबाजी: fris
पॉप: pcop
घरकाकपड़ा: crop
कुंड: cruc
हानिकारक: hzaf
जूदाईस्म: hjum
पूरकहैं: pluk
लेंस: lyes
pegativeमामला: pwek
कैंसर: kfes
प्यादा: pyek
व्याख्याता: zyat
रिसाव: hzuk
अर्हता: krif
घनत्व: djot
अधिष्ठापन: dyis
जुगल: htuf
बातूनी: bzit
झींगामछली: hgos
छूट: dyut
टैक्सी: tsuk
पदक्रम: crem
जेड: gyec
गिरह: glaf
छिपकली: lyis
झरना: crof
निराशाजनक: djak
वीटो: frot
राष्ट्रपतिपद: ryip
क्रेता: mrif
गैलन: jlen
मच्छर: mruk
विचलन: dwen
कुश्ती: lyut
मौज़ेक: myok
प्लग: plok
फूहड़: pcuk
किराना: ksoc
साम्यवादी: myos
विस्मितकरना: mwek
prosecutiveमामला: rwuk
नक्षत्र: nlos
तानाशाह: dwit
अतिव्यस्तता: tyet
उपग्रह: tlec
चप्पल: hlop
व्यंजन: fyon
अनुमानित: tsif
बेरोज़गार: byet
समर्थक: sros
कमल: lwot
सलाद: sles
क्लोराइड: lwok
जीवाणु: bwic
चिपचिपा: pcek
अंग: bwon
गुठली: klec
बहानाकरना: bjak
बाइट: bzet
स्राव: sruf
स्पष्टरूपसे: pres
मेलखाना: mloc
बैले: blet
मूत्र: mrus
लहसुन: lyun
गुजरचुके: hguc
अर्थशास्त्र: kcem
मध्यमवर्ग: hdom
चुस्त: gjic
चिमटा: htef
लॉन्ड्री: lyoc
स्ट्रॉबेरी: srem
शहरी: pcos
असमंजसमेंडालना: mlaf
नोटबुक: tfut
एल्बम: zlam
बेसबॉल: hbep
सूंघना: sluc
बुफ़े: hbuf
कृदंत: rwip
गेराज: grek
निदान: djas
बैसाखी: ksuc
धमकीदेकरमांगना: srom
पंजीकरण: psuc
घुलनशील: jlun
फास्फोरस: psof
संरचनात्मक: rwut
गोंद: glum
थीसिस: twes
शिल्पी: clif
केला: bwas
स्वयंसिद्ध: kyom
पसली: psos
निकल: nyek
गड़बड़ी: pyim
बस: bwos
सेंसर: swes
मिसाइल: mlus
सॉस: slos
जोड़-तोड़: nlut
टमाटर: tfet
कोमजबूत: kfut
सॉकेट: syok
पोटैशियम: tsom
पुनःप्राप्त: prup
वास्तविक: zwit
बीजगणित: gjas
दंतचिकित्सक: dzit
ऑप्टिकल: pcok
हिलना: bzen
जीवविज्ञान: bwim
बेरोजगारी: byim
कमला: krum
एकल: slof
ब्राउज़र: bjac
दूरस्थअतीतकाल: nyot
ऐतिहासिककाल: crep
नाभिकीय: nluk
स्पेक्ट्रम: pyem
सोडियम: syom
हिस्टीरिया: syes
ट्रस्टी: tyos
बंधक: byik
लौकी: gluk
शिकन: kwuk
पारदर्शिता: tfif
कील: swip
प्राथमिकता: pcif
पैदलयात्री: dyen
नास्तिकता: tsem
मॉनिटर: mwot
चुनावक्षेत्र: nlec
अनियंत्रित: hkof
जांच: grok
प्लैटिनम: plip
दोहरीसंख्या: dlun
फेफड़ा: pcep
सुपर: syup
ट्राली: trop
स्थानीयस्तरपर: lyot
उत्तेजितकरना: gzat
पेट्रोल: plif
गुर्दे: grif
लूटमार: bzac
मूल्यांकन: dlen
संखिया: syek
घोंघा: nrok
टिड्डी: tsec
समीकरण: fwen
समाजवादी: swos
फिल्टर: flot
ग्रहणशीलप्रत्यक्षमनोदशा: hxin
चौड़ा: kyot
फेंकना: mwet
पट्टा: pwet
अकर्मण्य: drun
जॉकी: hjok
निमोनिया: hnof
एकजुटता: gret
काज: cyif
अनुदैर्ध्य: nruc
लाभांश: dwun
स्केट: hkep
प्रतिपादक: slop
विकलांगता: dlif
जुनून: bwen
आवंटन: pfun
फोटोग्राफर: trof
डेल्टा: dlet
डिजिटल: djim
कुतिया: brut
पपोटा: hyop
विकर्ण: dyun
अचेतन: byon
भौं: bruc
छींक: pcec
उल्लसित: dlis
हिन्दूधर्म: nwum
शरणार्थी: nyif
शटल: cwot
प्रोटीन: pwot
ढेर: hdop
निखारने: flen
वमन: hwom
जीन: gyen
नए: hdem
समाजशास्त्र: syoc
स्क्वाश: kwoc
मछुआ: hfuc
क्षेत्रीय: jyen
प्रस्तावऊपरकी ओर: hvok
पूर्वप्रभावी: hxik
बवंडर: gyon
पलटना: nwos
टीवी: twif
घनक्षेत्र: kfet
उत्पादकता: pwuk
गाजर: krop
आणविक: mwuk
समूह: glet
मुनीम: ksum
खीरा: kyok
नंगानाच: drok
विलायक: jlet
फॉस्फेट: psef
भजनकीपुस्तक: gwik
क्षारीय: flis
कसरत: jyas
अल्पविराम: kwom
प्रस्तावउतार: hvat
गर्भपात: jwac
फली: tcop
दाता: dzon
मैंगनीज: hzem
मनोविज्ञानी: syos
क्लोरीन: clos
कीबोर्ड: kyoc
अभिजातवर्ग: zyit
कोष्टक: pfaf
रग्बी: rwoc
व्रण: jlon
विभक्ति: hxit
कुतरना: nres
मात्रा: fwam
स्वेटर: swek
विकासवादी: fwis
नोटेशन: nyoc
उछाल: tcuf
विच्छेदन: drec
कैश: kcep
रैखिक: lyec
सुरमा: trum
superessiveमामला: psek
फोडा: twom
कटाव: cyos
अल्फा: flaf
नाभि: nwip
प्रतिरक्षा: myip
इंफ्लुएंजा: flun
शराबकीभठ्ठी: bjit
आसानबनानेमें: slef
संक्षेपकरना: bram
काटनेकानिशान: djen
बंदीबनाना: dwim
मजबूरकरना: brok
मौज़ा: bzas
चलचित्र: fyim
कास्मोस\ब्रह्मांड: klom
नापाककियाहुआ: hpuf
झुण्डमेंरहनेवाला: gjen
लिंग: zyis
वानिकी: lyif
अल्युमीनियम: lwum
कंपन: zlon
कुंडली: ksop
बेदखलकरना: dlek
समावेश: nluc
लाभार्थी: byic
डॉल्फिन: dlip
हत्यारा: cyus
स्तनपायी: myaf
सूचक: swif
डाइऑक्साइड: dwis
पेटके: zlen
नौकरशाही: brus
बिगाड़ना: jric
फ्रिज: frip
पुरातात्विक: cluk
अस्वीकार्य: kwok
विनिर्देश: pfis
पत्रक: pfut
नृविज्ञान: nlom
स्वादिष्ट: kyec
सकर्मक: txit
cower: kwus
सूरजमुखी: hzuc
जूं: glus
आयन: lyos
पर्यटन: tyum
मोडम: myom
त्वरण: jrun
मिथ्यासिद्धकरना: tsoc
उत्सर्जन: hmef
अपहरणकरना: drap
ओवरलैप: hwep
नाई: pfes
लोक-साहित्य: floc
केशिका: plek
राष्ट्रवाद: nlum
नितंबों: nros
मूलभाव: hmuf
उदात्तीकरणकरना: slem
निराशा: xras
कोबाल्ट: kwos
जई: gwam
प्रस्तावupriver: trup
गुदा: gyam
मंद: bwun
फ्लिप: flip
फालतूपन: dzun
वीडियो: hwop
बहिष्कार: bjik
प्रश्नोत्तरी: cwif
हॉकी: cwok
गुरिल्ला: grip
मैग्नीशियम: hgem
राडार: drek
चिंपांज़ी: hzif
विश्वसनीयता: kwif
आयत: tyec
सिवार: klep
सामान्यीकरण: jlak
निषेधाज्ञा: kfec
समलैंगिक: mlok
परिदृश्य: srop
सूत्रीकरण: flus
पुनर्जन्म: nrom
आगलगना: zlak
यूरेनियम: ryum
पकड़नेवाला: kwes
समन्वयस्थापित: kyop
करदाता: nwaf
एकीकृत: trep
राय: hzap
गामा: hxam
सफारी: fwim
प्रस्तावdownriver: ht6n
गुणक: kfus
शीर्षक: zlic
विश्लेषक: nles
मात: hzes
मॉल: hmof
विस्मुट: bzim
पोस्टकार्ड: psok
अभिसरण: bros
पीछेहटना: djet
हिस्सेदार: ksem
सूक्ष्मजीव: mrip
जनन: jwit
रूपात्मक: mluk
बीटा: byot
जीन्स: gjis
डेटाबेस: tles
कैलकुलेटर: klus
एक्स-रे: ksef
पार्स: zram
पर्यावरण: zyen
सिग्मा: zyim
अलगाव: hxon
कार्यसूची: gres
वीसा: bzis
बुनियादीढांचे: nyuk
जुगनू: gyun
डिटेक्टर: tyek
अनुकूली: dyip
जीवविज्ञानी: byis
ब्याह: pyec
ब्रोमिन: brom
दुर्ग: plum
हिचकी: kfok
पस्टेल: psec
चिड़ियाघर: zwac
क्लिनिक: lyok
अर्थ: nwoc
योग: hjoc
किताबोंकीदुकान: byun
चिकित्सा: grap
राष्ट्रवादी: zlis
सिरकाटलेना: zlet
हाँ: swec
समस्यात्मक: byam
जाज: dzas
टंगस्टन: tsof
आतंकवादी: gwis
बूँदबूँदकर टपकना: droc
चयापचय: tlem
गुजाराभत्ता: lyaf
सप्ताहकेअंत में: hfom
गुलदाउदी: gzim
टीका: byap
मोटरसाइकिल: tyok
मंत्र: dyot
छमाही: myes
हेरोइन: gwon
फ़ोल्डर: flap
कैथोड: kfoc
विचारधारा: dlec
पार्किंग: prek
थीटा: fret
अवनति: hxis
सेलेनियम: clem
साइकिलचलाना: blek
कोर्टेक्स: pros
समानक: swaf
वर्तमानप्रासंगिकतानिशान: hxak
हवाईअड्डा: cwoc
अंग-विच्छेदकरना: gyet
बास्केटबाल: bwet
ढोंगी: mwip
तिलचट्टा: tlek
क्रोमियम: hgom
लीटर: hl6t
फिरभी: nwec
हार्मोन: cwom
त्रुटिपूर्ण: tluc
छेदना: prec
सर्वात्मवाद: nyom
बहुभुज: cloc
नारीवादी: hfes
एकत्रित: kcop
यूरो: dros
जिनसेंग: hjes
कलनविधि: hlof
लेज़र: lwes
दवाकीदुकान: dlot
मिलीमीटर: mlem
फ्लेक्स: flek
एनोड: nlok
अतिसूक्ष्मअंतर: hzus
पार्टटाईम: prem
संवेदनशीलता: nyec
प्रदर्शक: drom
हीलियम: clum
द्विभाषिक: dzic
संक्षिप्त: hqim
initialism: nl6m
क्रियावाचकसंज्ञा: gros
प्लाज्मा: psem
क्रोमोसाम: rwom
क्रमवाचक: rwok
किलोमीटर: klum
फैक्स: tfes
आनुवंशिकी: nwek
झाई: frek
पेंचकस: dres
ब्रोकली: blok
भूत-काल: xrit
विटामिन: tyem
कैडमियम: kyem
बमवर्षक: bwoc
चित्रात्मक: gjik
टाइटेनियम: dyim
शेख़ी: clec
लैम्ब्डा: lwem
प्रेमिका: pcem
मैथुनकरना: kyuk
hourglass: tlus
सहानुभूति: mlif
बोरान: bres
हेलीकाप्टर: cwet
टेल्यूरियम: tlum
समयसीमा: jyic
संरेखित: gwic
सेंटीमीटर: hfem
मोलिब्डेनम: mlom
लिथियम: tfim
मल्टीमीडिया: myum
अद्यतन: dyet
कैलोरी: clom
रोबोट: ryoc
घरकापाठ: groc
लोगारित्म: grom
एकप्रकारका कीड़ा: gzas
जमाना: nwut
अमीनो: myoc
ग्लिफ़: glif
AORIST: pyos
परिस्थितिकी: plec
मिलावटकरना: flok
मारिजुआना: bjam
सूक्ष्म: mrom
किलोग्राम: lwom
पेटभरखा जाना: jrot
उम्मीदकेमुताबिक: dzik
पिज़्ज़ा: zyas
छिपकरबातेंसुनना: zris
भाषाविज्ञान: bwis
बालकाटना: braf
इरीडियम: ryom
जातिवाद: gwim
इष्टतम: gyim
औद्योगीकरण: drif
मुख्यालय: krup
सैरियम: zrim
अनुकूल: nrum
ज़ातीमामला: pxik
कैसेट: ksep
इच्छाशक्ति: blot
आकार: dzen
पैरामीटर: rwet
सिंक्रनाइज़: nrop
अधिकतम: dzim
सेमिनार: mwec
डिस्को: dyok
नीयन: nyok
आज़मियम: hzom
इपिफ़नी: hp6n
plagiarize: lyap
विरूपणसाक्ष्य: rwek
रिएक्टर: fyet
अजवायनकीपत्ती: ryop
प्लूटोनियम: pwum
yttrium: tyom
वृद्धिकरनेवाला: hxat
उपयोगकर्तानाम: mrum
स्नातकोत्तर: zrot
दांयाविंग: dwaf
आर्गन: jros
भय: hxot
सामूहीकरणकरना: sluk
भूमंडलीकरण: bluc
तरंगदैर्ध्य: hnef
सांकेतिकशब्दोंमें बदलना: kfom
अपनीबातदोहराना: psoc
पुनःआरंभकरें: nrek
हैपेटाइटिस: pyes
टोरस्र्स: fros
कीमोथेरपी: myep
सापेक्ष: mwok
प्रोटॉन: zwot
डिस्केट: dwet
मिलीग्राम: mlum
पिक्सेल: psep
टैंटलम: twem
घुलाहुआपदार्थ: hjot
नरसंहार: nyos
दरिंदा: rwes
गैलियम: glem
zirconium: hzum
निर्धारक: txin
nonlinear: nlem
कीटनाशक: pyif
फीरोज़ा: brem
न्यूरॉन: nrus
विधेय: pxit
जांघिया: tlif
कारख़ानेका: kref
न्यूट्रॉन: zrut
नाइओबियम: nwom
जर्मेनियम: hjem
धातुकेरूप-रंग का एक अधातु पदार्थ: tlop
डालपर: dlap
prolativeमामला: hl6k
जैवविविधता: jwic
जोस्टिक: jyok
एंटीबायोटिकदवाओं: twok
जंगी: gjim
अंतरिक्षयात्री: srof
अलौकिक: tyes
बेवकूफ: hwup
मैराथन: mrof
ytterbium: zwim
आत्मकेंद्रित: tyif
योणबनाना: nlof
राडोण: cwos
Nerium: nrem
महामारीविज्ञान: pwip
बुढ़ापा: lyuc
कैंपिंग: kyep
धारीदार: drip
ईण्डीयुम: nyum
सत्यप्रिय: hvik
वेबसाइट: bwes
कुरान: kwek
flatware: fwet
वेंजड़: tfec
लॉरेंशियम: lyem
नागरिकअधिकार: glip
मोबाइलफोन: mlof
स्तंभित: twoc
एकप्रकारका रसायनिक मूलतत्त्व: prum
विकिरण: hd6n
निर्भरपर: pxin
थोरियमपरमाणु: hxim
ब्लूजीन: bjun
घरेलुपौध्ाा: hxas
व्यक्तिगतरूपसे: dvit
प्रवाहचालू: lwuk
तीनबिंदु: ht6t
मानवशरीर: hn6n
भौतिकविज्ञान: bzik
खुदरादुकान: hxan
सीज़ियम: hs6m
लंबापूर्व: hqan
स्प्रेडशीट: hxet
यूनिटकेद्रव्यमान: hn6m
संकलन: ml6n
द्विआधारीमूल्य: vrim
मानवकियाजा रहा है: nyus
द्वारामतलबका: hvan
depandari: pxat
प्रेसियोडीमियम: pyom
गत्ता: kxat
सीमितक्रिया: hqik
परीक्षणसंख्या: hr6n
समर्थकवाक्य: hr6t
आलोचक: hk6k
पैकेजिंग: pxas
अनस्थिरता: pxan
परअधिकांश: txas
वर्णनकर्ता: drop
Neodymium: nyem
मित्रता: hvit
पढ़नाकेवल: xyak
founds: xwan
सूक्तिकामनोदशा: kxin
स्वनिम: hxom
चेतना: xlit
ध्वनी: xlin
भोजनकक्ष: hxac
जीवितकक्ष: hxic
केंद्रीयमामला: zrik
पूर्वअव्तन: hx6n
मरीजमामला: hqak
परोक्षमामला: bwok
ग्रामीणक्षेत्र: hqat
recurse: hr6s
मध्यआवाज़: dyos
meitnerium: hm6m
डाकवाहक: hvak
noncommittal: kxit
स्टॉकबाजार: xrak
पहचानयोग्य: hxap
लक्ष्यट्रिगर: krof
एकक्षण: hxen
lativeमामला: dvak
राशन: hr6c
गैरमानव: hg6n
जीवितचीज़: hvic
बहुतथोड़ा: hxut
सिनेमाघर: hvin
हैशियम: xyim
attenuative: ty6t
multalसंख्या: ml6m
दूधकामार्ग: txam
नैप्टुनियम: nwem
असलीलेखक: txik
ट्रांसअंक: ts6s
सुस्तीमेंसमय गंवाना: hqun
रेडियोऐक्टिव: myem
सुबहमहिमा: txan
फायरफाइटर: xran
बर्कीलियम: blem
आकाशगंगालिंग: kxan
Nobelium: blum
अलविदा: hvac
बुद्धधर्म: hfum
Fermium: frem
सियान: xyan
सोया: syof
वितरक: qrit
हड़तालतोड़नेवाला: txak
प्रोसेसर: ples
abessiveमामला: bvak
adessiveमामला: dvik
कोमामला: kxak
agentiveमामला: dvek
रदरफोर्डियम: hr6m
एंटीबॉडी: txip
जैसाबहुतजैसा: hjos
एजेंटट्रिगर: hg6t
अभिनेताभूमिका: xram
ethidium: txim
सामान्यलिंग: hk6n
accompanier: kl6n
कुसुम: kxam
francium: fyam
अर्बियम: ry6m
निष्क्रियआवाज़: xyis
एस्टाटिन: hqit
चबानेगम: hqam
तारालिंग: hqin
उद्धरणप्रपत्र: ht6m
क्यूरियम: jrim
कॉमिकस्ट्रिप: kxis
रंगअंधा: hqon
euler'sसंख्या: hl6m
देखनापर: kxas
crosswalk: pwok
रणभूमि: txat
मोटरयात्री: vrit
शार्टसर्किट: txok
मौखिकसंज्ञा: hvis
रोनाबाहर: hk6t
सांख्यिकीयरूपसे: xyit
दही: txot
क्सीनन: hs6n
सम्मोहित: hxif
लेनाबंद: hxaf
खंड-पूंछ: hxok
प्रत्यक्षवस्तु: dwot
किरानादुकान: kxun
मिलकरका: hm6t
ergativeमामला: gvik
इन-भाषा: txic
पहलीहाथ: pxam
लोकैटिवमामला: hqok
स्विमिंगपूल: slup
क्रिया-विशेषण-संबंधीमामला: vlak
sightsee: hqas
टेलीविजनसेट: ht6s
अंतिमकण: xlik
evitativeमामला: hvek
पुनर्वास: xlat
वापसी: xris
खंडकाफ्लैटों: kxot
जागनाऊपर: hxup
पुलिसअफ़सर: ps6s
शपथलेना: vran
साक्षात्कारकर्ता: qrat
रेनीयाम: ryem
