infinitivo: hnit
atrito: mroc
pier: gyac
aranha: brik
batata: trut
revisão: cwon
ganância: jlac
prematuro: ryot
multiplicar: gzan
girar: pcip
estatística: tsok
calendário: klem
nomeação: nwen
trilhão: tlos
sótão: tlok
afirmativo-humor: rwim
aplicações: pfen
nominal: nlon
descontentamento: sraf
infecção: hfok
jarro: krot
encolher-de-ombros: cyok
pioneiro: gzin
omissão: nlif
repolho: glic
atlético: tlet
embriaguez: mrut
idiophone: hdof
alavanca: lwek
senador: syem
íris: nrif
formiga: mwam
erro: hbop
grávida: grim
precipitado: hjet
tornozelo: tcok
classificação: glik
variável: prim
embrulho: ryap
encaracolado: krec
enxofre: hsef
ditar: dwik
emergir: brun
rã: fram
excessivo-caso: twek
esponja: hjen
chato: djon
esquilo: slip
moer: zyin
irrealis-humor: flim
vulcão: glam
dentro-de-casa: gron
explorar: kloc
geológico: jlik
passaporte: psop
imoral: mlet
bolacha: hbuk
cooperação: kros
comprimido: tlot
relaxamento: kces
átomo: trom
Auxilia: hzip
pirâmide: psim
ciclo: swok
sesta: hnup
ilegal: hjaf
pata: pfap
acanhamento: crom
eclipse: klip
alaúde: lwap
vassoura: srum
painel: mwen
astronomia: tcom
labirinto: blen
bolsa-de-estudo: bwit
tartaruga: kfuc
conselheiro: dwak
fibra: fwic
grilo: jrik
Pombo: ksom
adaptação: dyon
triângulo: tfon
tesoureiro: tsen
hidrogênio: jron
frágil: hfuk
impressora: pyet
estrangulamento: tcof
crônico: gzon
lidar: slaf
dilema: dlim
engenharia: jyin
Câmera: hkef
pedir-desculpas: pluc
lamber: lwet
dançarino: dret
migração: mres
tênis: tces
espinha: clip
fritar: zrac
tear: tfuc
facada: twuc
senha: psaf
hemisfério: praf
estratégia: zrit
quartzo: krus
tesoura: jris
patrulha: proc
geleira: lwic
a-meio-caminho: dwam
memorando: mwap
cone: kwuc
simetria: hzut
fabricante: zrak
réu: fwik
mesquita: djis
xadrez: cres
Pedágio: htof
cereja: tref
muito-difundido: kfen
tropeçar: tfok
caminhão: ryok
mostarda: mros
por-cento: pfet
leilão: jlam
peneira: srif
instável: swoc
ímã: gjat
chupar: syus
islamismo: slum
na-ponta-dos pés: twip
membrana: mlen
barbear: clet
violão: gjit
brilhante: bzan
olmo: hyem
planar: kcom
pronome-marcador: ryec
grampo: pcus
especiaria: zlat
fiança: jlas
portador: zyac
vibração: bron
provocação: trus
arado: hlom
fisiológica: zlik
calha: hgok
cometa: cyet
medieval: dyic
pardal: grec
compensar: twet
plástico: psuk
nota-de-rodapé: cyot
órbita: rwot
frugal: twum
golfe: hgof
zero: zrun
lasca: tcep
oprimir: prok
bocejar: gjac
desigualdade: gwas
toupeira: tloc
cerâmica: frik
dona-de-casa: hgif
centeio: rwem
desobedecer: hyes
tolerante: glon
embrião: brec
mineiro: jren
aplaudir: zlac
fermento: lyim
prêmio: pfim
ameixa: plem
falência: byas
irrigação: rwif
hortelã: nyun
capitalista: glis
elasticidade: hlef
Tubarão: gyak
recrutar: drut
armazenamento: zren
realismo: cles
gengibre: djic
ambulância: blus
comparável: kwip
carteira: bjap
careta: glim
cientista: gyis
intestino: grot
equanimidade: hwum
rádio: href
irrelevante: zlit
feijão: bwam
informal: frim
neta: gyut
desacordo: dloc
bife: tfek
azoto: zron
navalha: hjut
contrastando: krom
propaganda: pcoc
Fogos-de-artifício: fris
estouro: pcop
despir: crop
sulco: cruc
prejudicial: hzaf
judaísmo: hjum
complemento: pluk
lente: lyes
pegative-caso: pwek
Câncer: kfes
penhor: pyek
conferencista: zyat
vazamento: hzuk
qualificar: krif
densidade: djot
indução: dyis
mastigar: htuf
falador: bzit
lagosta: hgos
desconto: dyut
Táxi: tsuk
hierarquia: crem
jade: gyec
rosnar: glaf
lagarto: lyis
Cachoeira: crof
decepcionante: djak
veto: frot
presidência: ryip
comprador: mrif
galão: jlen
mosquito: mruk
desvio: dwen
lutar: lyut
mosaico: myok
plugue: plok
agachamento: pcuk
mercearia: ksoc
comunista: myos
surpreender: mwek
prosecutive-caso: rwuk
constelação: nlos
ditador: dwit
preocupação: tyet
satélite: tlec
chinelo: hlop
consoante: fyon
aproximado: tsif
desempregado: byet
suporte: sros
lótus: lwot
alface: sles
cloreto: lwok
bactérias: bwic
pegajoso: pcek
componente: bwon
núcleo: klec
fingir: bjak
byte: bzet
secreção: sruf
explicitamente: pres
coincidir: mloc
balé: blet
urina: mrus
alho: lyun
decorrido: hguc
economia: kcem
classe-média: hdom
ágil: gjic
tenaz: htef
lavanderia: lyoc
morango: srem
urbano: pcos
embaraçar: mlaf
caderno: tfut
álbum: zlam
beisebol: hbep
fungar: sluc
buffet: hbuf
particípio: rwip
garagem: grek
diagnóstico: djas
muleta: ksuc
extorquir: srom
inscrição: psuc
solúvel: jlun
fósforo: psof
estrutural: rwut
cola: glum
tese: twes
artesão: clif
banana: bwas
axioma: kyom
costela: psos
níquel: nyek
pi: pyim
autocarro: bwos
censurar: swes
míssil: mlus
linguiça: slos
manipulação: nlut
tomate: tfet
reforçar: kfut
soquete: syok
potássio: tsom
recuperar: prup
virtual: zwit
álgebra: gjas
dentista: dzit
ótico: pcok
mover: bzen
biologia: bwim
desemprego: byim
lagarta: krum
solo: slof
navegador: bjac
controlo-remoto-passado tenso: nyot
histórico-tenso: crep
nuclear: nluk
espectro: pyem
sódio: syom
histeria: syes
administrador: tyos
refém: byik
cabaça: gluk
ruga: kwuk
transparência: tfif
espigão: swip
prioridade: pcif
pedestre: dyen
ateísmo: tsem
monitor: mwot
eleitorado: nlec
descontrolado: hkof
sonda: grok
platina: plip
dual-número: dlun
pulmão: pcep
super: syup
carrinho: trop
localmente: lyot
incitar: gzat
gasolina: plif
rim: grif
pilhagem: bzac
avaliação: dlen
arsênico: syek
caracol: nrok
gafanhoto: tsec
equação: fwen
socialista: swos
filtro: flot
sensorial-comprobatório-humor: hxin
ampliar: kyot
emitir: mwet
trela: pwet
tangerina: drun
jóquei: hjok
pneumonia: hnof
solidariedade: gret
dobradiça: cyif
longitudinal: nruc
dividendo: dwun
patim: hkep
expoente: slop
inabilidade: dlif
obsessão: bwen
atribuição: pfun
fotógrafo: trof
delta: dlet
digital: djim
cadela: brut
pálpebra: hyop
diagonal: dyun
subconsciente: byon
sobrancelha: bruc
espirrar: pcec
divertido: dlis
hinduismo: nwum
refugiado: nyif
transporte: cwot
proteína: pwot
lixeira: hdop
refinar: flen
vomitar: hwom
gene: gyen
calouro: hdem
sociologia: syoc
abóbora: kwoc
pescador: hfuc
regional: jyen
movimento-ladeira-acima: hvok
retrospectivo: hxik
tornado: gyon
inversão: nwos
TV: twif
cubo: kfet
produtividade: pwuk
cenoura: krop
molecular: mwuk
conglomerado: glet
contador: ksum
pepino: kyok
orgia: drok
solvente: jlet
fosfato: psef
cartilha: gwik
alcalino: flis
ginástica: jyas
vírgula: kwom
movimento-declive: hvat
aborto-espontâneo: jwac
vagem: tcop
doador: dzon
manganês: hzem
psicólogo: syos
cloro: clos
teclado: kyoc
elite: zyit
parêntese: pfaf
rúgbi: rwoc
úlcera: jlon
flexionada: hxit
mordidela: nres
quantidade: fwam
suéter: swek
evolutivo: fwis
notação: nyoc
ressalto: tcuf
dissecação: drec
esconderijo: kcep
linear: lyec
antimônio: trum
superessive-caso: psek
tumor: twom
erosão: cyos
alfa: flaf
umbigo: nwip
imune: myip
gripe: flun
cervejaria: bjit
simplificar: slef
abreviar: bram
dente: djen
cativar: dwim
coagir: brok
meia: bzas
filme: fyim
cosmos: klom
poluir: hpuf
gregário: gjen
pênis: zyis
silvicultura: lyif
alumínio: lwum
oscilação: zlon
horóscopo: ksop
ejetar: dlek
inclusão: nluc
beneficiário: byic
golfinho: dlip
assassino: cyus
mamífero: myaf
indicador: swif
dióxido: dwis
cólon: zlen
burocracia: brus
distorcer: jric
frigorífico: frip
arqueológico: cluk
inaceitável: kwok
especificação: pfis
folheto: pfut
antropologia: nlom
saboroso: kyec
transitivo: txit
encolher-se: kwus
girassol: hzuc
piolho: glus
íon: lyos
turismo: tyum
modem: myom
aceleração: jrun
falsificar: tsoc
emissão: hmef
seqüestrar: drap
sobreposição: hwep
cabeleireiro: pfes
folclore: floc
capilar: plek
nacionalismo: nlum
nádegas: nros
motivo: hmuf
sublimado: slem
frustração: xras
cobalto: kwos
aveia: gwam
movimento-upriver: trup
ânus: gyam
bovino: bwun
giro: flip
redundância: dzun
vídeo: hwop
boicote: bjik
questionário: cwif
hóquei: cwok
guerrilha: grip
magnésio: hgem
radar: drek
chimpanzé: hzif
confiabilidade: kwif
retângulo: tyec
kelp: klep
generalizar: jlak
toque-de-recolher: kfec
homossexual: mlok
cenário: srop
formulação: flus
reincarnação: nrom
inflamar: zlak
urânio: ryum
Apanhador: kwes
coordenada: kyop
contribuinte: nwaf
integrado: trep
opinou: hzap
gama: hxam
safári: fwim
movimento-rio-abaixo: ht6n
coeficiente: kfus
título: zlic
analista: nles
xeque-mate: hzes
shopping: hmof
bismuto: bzim
cartão-postal: psok
convergência: bros
divagar: djet
acionista: ksem
micróbio: mrip
genital: jwit
morfológica: mluk
beta: byot
calça-jeans: gjis
banco-de-dados: tles
calculadora: klus
raio-X: ksef
analisar: zram
de-Meio-Ambiente: zyen
sigma: zyim
disjunção: hxon
agenda: gres
Visa: bzis
a-infraestrutura: nyuk
vaga-lume: gyun
detetor: tyek
adaptativo: dyip
biólogo: byis
emendar: pyec
bromo: brom
paládio: plum
soluço: kfok
pastel: psec
jardim-zoológico: zwac
clínica: lyok
conotação: nwoc
ioga: hjoc
livraria: byun
terapia: grap
nacionalista: zlis
decapitar: zlet
sim: swec
problemático: byam
jazz: dzas
tungstênio: tsof
terrorista: gwis
driblar: droc
metabolismo: tlem
pensão-alimentícia: lyaf
fim-de-semana: hfom
crisântemo: gzim
vacina: byap
motocicleta: tyok
mantra: dyot
semestre: myes
heroína: gwon
pasta: flap
cátodo: kfoc
ideologia: dlec
estacionamento: prek
theta: fret
anticlímax: hxis
selênio: clem
andar-de-bicicleta: blek
córtex: pros
equivalência: swaf
atual-relevância-marcador: hxak
aeroporto: cwoc
amputar: gyet
basquete: bwet
impostor: mwip
barata: tlek
crômio: hgom
litro: hl6t
no-entanto,: nwec
hormônio: cwom
falho: tluc
perfurar: prec
animismo: nyom
polígono: cloc
feminista: hfes
conjugado: kcop
euro: dros
ginseng: hjes
algoritmo: hlof
laser: lwes
Drogaria: dlot
milímetro: mlem
flexionar: flek
ânodo: nlok
nuança: hzus
meio-período: prem
sensibilidade: nyec
demonstrador: drom
hélio: clum
bilíngüe: dzic
acrônimo: hqim
initialism: nl6m
gerúndio: gros
plasma: psem
cromossoma: rwom
ordinal: rwok
quilômetro: klum
fax: tfes
genética: nwek
sarda: frek
chave-de-fenda: dres
brócolis: blok
pretérito: xrit
vitamina: tyem
cádmio: kyem
bombardeiro: bwoc
gráfico: gjik
titânio: dyim
fazer-alarde: clec
lambda: lwem
namorada: pcem
copular: kyuk
ampulheta: tlus
empatia: mlif
boro: bres
helicóptero: cwet
telúrio: tlum
data-limite: jyic
alinhar: gwic
centímetro: hfem
molibdênio: mlom
lítio: tfim
multimídia: myum
atualizar: dyet
caloria: clom
robô: ryoc
dever-de-casa: groc
logaritmo: grom
mantis: gzas
instalar: nwut
amino: myoc
glifo: glif
aorista: pyos
ecologia: plec
sofisticar: flok
maconha: bjam
micro: mrom
quilograma: lwom
comer-demasiado: jrot
previsível: dzik
pizza: zyas
bisbilhotar: zris
linguística: bwis
corte-de-cabelo: braf
irídio: ryom
racismo: gwim
optimal: gyim
industrialização: drif
sede: krup
cério: zrim
congruente: nrum
partitivo-caso: pxik
cassete: ksep
força-de-vontade: blot
dimensional: dzen
parâmetro: rwet
sincronizar: nrop
maximizar: dzim
seminário: mwec
discoteca: dyok
néon: nyok
ósmio: hzom
Epifania: hp6n
plagiar: lyap
artefato: rwek
reator: fyet
orégano: ryop
plutônio: pwum
ítrio: tyom
aumentativo: hxat
nome-de-usuário: mrum
pós-graduado: zrot
ASA-direita: dwaf
argão: jros
fobia: hxot
socializar: sluk
globalização: bluc
Comprimento-de-onda: hnef
codificar: kfom
reciclar: psoc
reiniciar: nrek
hepatite: pyes
toro: fros
quimioterapia: myep
modulo: mwok
próton: zwot
disquete: dwet
miligrama: mlum
pixels: psep
tântalo: twem
soluto: hjot
genocídio: nyos
predador: rwes
gálio: glem
zircônio: hzum
determinador: txin
não-linear: nlem
pesticida: pyif
berílio: brem
neurônio: nrus
predicativo: pxit
cuecas: tlif
fatorial: kref
nêutron: zrut
nióbio: nwom
germânio: hjem
metalóide: tlop
colocar-em: dlap
prolative-caso: hl6k
biodiversidade: jwic
joystick: jyok
antibiótico: twok
actínio: gjim
astronauta: srof
extraterrestre: tyes
crackpot: hwup
maratona: mrof
itérbio: zwim
autismo: tyif
ionizar: nlof
radão: cwos
nerium: nrem
epidemiologia: pwip
de-velhice: lyuc
acampamento: kyep
listrado: drip
índio: nyum
verídico: hvik
site: bwes
Alcorão: kwek
talher: fwet
nth--raiz: tfec
lawrencium: lyem
direitos-civis: glip
celular: mlof
paralisado: twoc
protactínio: prum
radiação: hd6n
depender-em: pxin
tório-átomo: hxim
jeans-azul: bjun
planta-da-casa: hxas
individualmente: dvit
fluxo-circulante: lwuk
triple--ponto: ht6t
corpo-humano: hn6n
física: bzik
varejo-loja: hxan
césio: hs6m
grandes-atrás: hqan
planilha: hxet
unidade-de-massa: hn6m
compilar: ml6n
--valor-binário: vrim
humano-ser: nyus
de-significa-do: hvan
depan-dari: pxat
praseodímio: pyom
cartão: kxat
finito-verbo: hqik
tentativas-número: hr6n
pró-frase: hr6t
crítico: hk6k
embalagem: pxas
impermanência: pxan
em-a-maioria: txas
descritor: drop
neodímio: nyem
amizade: hvit
ler-só: xyak
encontrados: xwan
sentencioso-humor: kxin
fonema: hxom
racionalidade: xlit
fonológica: xlin
jantar-quarto: hxac
vivo-quarto: hxic
central-caso: zrik
pré-hodierna: hx6n
paciente-caso: hqak
oblíquo-caso: bwok
rural-área: hqat
recurse: hr6s
meio-voz: dyos
meitnerium: hm6m
correio--carrier: hvak
noncommittal: kxit
estoque-mercado: xrak
identificável: hxap
objetivo-gatilho: krof
um-segundo: hxen
lativo-caso: dvak
ração: hr6c
não-humano: hg6n
vivo-coisa: hvic
também-pequeno: hxut
cinema: hvin
hassium: xyim
attenuative: ty6t
multal-número: ml6m
leitoso-caminho: txam
neptúnio: nwem
Escritor-fantasma: txik
trans-numeral: ts6s
enganá--around: hqun
amerício: myem
manhã-glória: txan
bombeiro: xran
berkelium: blem
galáxia-gênero: kxan
nobelium: blum
tchau: hvac
budismo: hfum
fermium: frem
ciano: xyan
soja: syof
distribuidor: qrit
fura-greve: txak
processador: ples
abessive-caso: bvak
adessive-caso: dvik
para-caso: kxak
agentive-caso: dvek
rutherfórdio: hr6m
anticorpo: txip
Como-muito-Como: hjos
agente-gatilho: hg6t
ator-Função: xram
etídio: txim
comum-gênero: hk6n
acompanhante: kl6n
cártamo: kxam
francium: fyam
erbium: ry6m
passiva-voz: xyis
astatine: hqit
mastigação-Chiclete: hqam
estrela-gênero: hqin
citação-Formato: ht6m
curandeiro: jrim
tirinha: kxis
daltônico: hqon
Euler--number: hl6m
Veja-em: kxas
passadeira: pwok
campo-de-batalha: txat
motorista: vrit
circuito-curto: txok
verbal-substantivo: hvis
chorar-Fora: hk6t
estatisticamente: xyit
iogurte: txot
xênon: hs6n
hipnotizar: hxif
leva-fora: hxaf
cláusula--tail: hxok
direto-objeto: dwot
mercearia-loja: kxun
consistir-do: hm6t
ergative-caso: gvik
na---língua: txic
em-primeira-mão: pxam
locativo-caso: hqok
piscina: slup
adverbial-caso: vlak
passear: hqas
televisão-conjunto: ht6s
final-partícula: xlik
evitative-caso: hvek
reabilitação: xlat
regressão: xris
quadra-do-apartamentos: kxot
acordar-acima: hxup
polícia-oficial: ps6s
Juro--in: vran
entrevistador: qrat
rênio: ryem
aerossol: xres
possessivo-caso: kxik
nominalization: mlec
possesso-caso: dzak
sobrecarga: pxak
auxiliar-verbo: xyik
primário-objeto: mlut
computador--vírus: prus
pessoa-de-negócios: hqis
uma-pessoas: hqen
antessive-caso: ts6k
primeiro-ministro: pxis
lutécio: lyum
európio: rwum
fotografar: xrot
música-folclórica: zyik
poeta: vwit
Agência-dos-Correios: pxot
supostamente: hvas
animar-gênero: hven
subessive-caso: bvik
acelerador: glep
polaridade: pr6t
veículo-gênero: vlin
mineral-gênero: xrin
sufixo-verbo-: hvif
apaixonado: pc6n
samário: sr6m
facilitador: hs6t
imaginário---unidade: xyin
velocidade-da-luz: kxac
força-Aérea: hxes
empática-alegria: pfec
ponto-crítico: qyit
tempo-total: hxem
háfnio: xyam
inibição: hn6s
alterar-do-evento: qrin
holmium: xlim
diferente-evento: hf6t
universo-gênero: hvip
localidade-gênero: kxen
virtual-máquina: hvim
pesquisa-gênero: txen
artístico-gênero: ts6n
crastinal-tenso: sl6t
abstrato-gênero: srep
excêntrica-caso: zrek
transitivo-verbo: txif
morfema: tfom
chauvinista: dvis
passado-perfectivo: xrat
profissional: hy6n
indireto-discurso: tyoc
segundo-língua: draf
para-estar: txis
cemitério-mudança: vrak
coletivo-substantivo: hxos
absolutivo-caso: bvuk
paciente-gatilho: tr6t
auto-confiança: hs6s
fezes: hzos
reflexivo-voz: hf6s
impessoal-verbo: hxek
seaborgium: br6m
espaço-em-branco: hxep
modal-caso: dlok
inanimado-gênero: hj6n
causativo: qran
propositiva-humor: psom
elétrico-atual: tr6n
associativo-caso: nwok
superlativo-caso: tluk
também-muito: xyut
planetário-gênero: pxen
animado-desenho-animado: nwuk
recíproca-voz: vrik
legislar: hqaf
em-mínimo: vlas
gramatical-caso: qrak
do-utilizador: pxut
testemunho-benefactivo: kfef
goleiro: hgop
:-except-is: kcef
denominador: dvan
else-if: lyek
lateralmente: hx6s
entre-si: dles
sucessivo-cláusula: lyuk
desgastar: hxun
Bermudas: ht6k
disprósio: prom
em-breve-futuro tenso: rwec
si-unidades: vyin
criptônio: kxon
mendelevium: dlem
aplicativa-voz: hp6s
antipasiva-voz: tsef
continuativo-aspecto: ht6p
radiação-de-doença: hr6k
necessitative-humor: hn6t
solteiro-açao-verbo: hqek
vagão-ferroviário: xlak
superlativo-grau: tlup
existencial-cláusula: hs6k
californium: kf6n
presente-particípio: vrat
luminoso-intensidade: hc6t
singulative-número: slus
gramatical---objeto: hy6t
passiva-particípio: vris
excessivo-duração: kxic
fluido-supercrítico--: sr6t
quantidade-do-substância: ks6t
postpositional-caso: pxok
eletivo-quantificador: lwif
gadolínio: dl6n
epentético-morfema: hp6m
negatório-quantificador: nwif
einsteinium: ny6n
artificial-língua: txac
conectivo-partícula: qrik
controlo-remoto-futuro tenso: twec
freqüentativo-aspecto: hfep
distributivo-pronome: bvin
alocução-acordo: hk6m
calvo: blos
subúrbio: syum
universal-quantificador: vlit
computador-programação: mr6m
televisão-programa: tr6m
ponto-flutuante-número -: hvun
existencial-quantificador: tl6t
a-dia-depois de amanhã: dwek
alternativa-quantificador: lw6t
mal-humorado: hdup
passado-passiva-particípio: hp6t
a-dia-antes ontem: txet
locativo-direcional-caso: tc6k
contrafactual-condicional: ht6c
