infinitiv: hnit
pir: gyac
spindel: brik
potatis: trut
revision: cwon
girighet: jlac
för-tidig: ryot
multiplicera: gzan
snurra: pcip
statistik: tsok
kalender: klem
utnämning: nwen
biljon: tlos
vind: tlok
jakande-humör: rwim
tillämpningar: pfen
nominell: nlon
missnöje: sraf
infektion: hfok
tillbringare: krot
rycka-på-axlarna: cyok
pionjär: gzin
underlåtenhet: nlif
kål: glic
idrotts-: tlet
fylleri: mrut
idiofoner: hdof
spak: lwek
senator: syem
iris: nrif
myra: mwam
insekt: hbop
gravid: grim
fällning: hjet
vrist: tcok
klassificering: glik
variabel: prim
slå-in: ryap
lockig: krec
svavel: hsef
diktera: dwik
uppstå: brun
groda: fram
överdriven-fall: twek
svamp: hjen
irriterande: djon
ekorre: slip
slipa: zyin
irrealis-humör: flim
vulkan: glam
inomhus: gron
utnyttja: kloc
geologisk: jlik
pass: psop
omoralisk: mlet
kex: hbuk
samarbete: kros
tablett: tlot
avkoppling: kces
atom: trom
aids: hzip
pyramid: psim
cykel: swok
nap: hnup
olaglig: hjaf
tass: pfap
blyghet: crom
förmörkelse: klip
luta: lwap
kvast: srum
panel: mwen
astronomi: tcom
labyrint: blen
stipendium: bwit
sköldpadda: kfuc
rådgivare: dwak
fiber: fwic
syrsa: jrik
duva: ksom
anpassning: dyon
triangel: tfon
skattmästare: tsen
väte: jron
ömtålig: hfuk
skrivare: pyet
sätta-i-halsen: tcof
kronisk: gzon
klara: slaf
dilemma: dlim
teknik: jyin
kamera: hkef
be-om-ursäkt: pluc
slicka: lwet
dansare: dret
migration: mres
tennis: tces
ryggrad: clip
steka: zrac
vävstol: tfuc
hugg: twuc
lösenord: psaf
hemisfär: praf
strategi: zrit
kvarts: krus
sax: jris
patrullera: proc
glaciär: lwic
halvvägs: dwam
promemoria: mwap
kon: kwuc
symmetri: hzut
tillverkare: zrak
svarande: fwik
moské: djis
schack: cres
vägtull: htof
körsbär: tref
utbredd: kfen
snubbla: tfok
lastbil: ryok
senap: mros
procent: pfet
auktion: jlam
sikt: srif
ostadig: swoc
magnet: gjat
suga: syus
islam: slum
tå: twip
membran: mlen
rakning: clet
gitarr: gjit
glänsande: bzan
alm: hyem
sväva: kcom
pronomen-markör: ryec
häftklammer: pcus
krydda: zlat
borgen: jlas
bärare: zyac
vibration: bron
reta: trus
plog: hlom
fysiologisk: zlik
ränna: hgok
komet: cyet
medeltida: dyic
Sparv: grec
kompensera: twet
plast: psuk
fotnot: cyot
bana: rwot
sparsam: twum
golf: hgof
noll-: zrun
chips: tcep
förtrycka: prok
gäspa: gjac
olikhet: gwas
mol: tloc
krukmakeri: frik
hemmafru: hgif
råg: rwem
inte-lyda: hyes
tolerant: glon
embryo: brec
gruvarbetare: jren
applådera: zlac
jäst: lyim
premie: pfim
plommon: plem
konkurs: byas
bevattning: rwif
mynta: nyun
kapitalist: glis
elasticitet: hlef
haj: gyak
rekrytera: drut
lagring: zren
realism: cles
ingefära: djic
ambulans: blus
jämförbar: kwip
plånbok: bjap
grimas: glim
forskare: gyis
gut: grot
jämnmod: hwum
radio: href
irrelevant: zlit
böna: bwam
informell: frim
sondotter: gyut
oenighet: dloc
stek: tfek
kväve: zron
rakkniv: hjut
kontrasterande: krom
propaganda: pcoc
fyrverkeri: fris
pop-: pcop
klä-av-sig: crop
fåra: cruc
skadlig: hzaf
judendom: hjum
komplement: pluk
lins: lyes
pegative-fall: pwek
cancer: kfes
pantsätta: pyek
föreläsare: zyat
läcka: hzuk
kvalificera: krif
densitet: djot
induktion: dyis
tugga: htuf
pratsam: bzit
hummer: hgos
rabatt: dyut
taxi: tsuk
hierarki: crem
jade: gyec
morra: glaf
ödla: lyis
vattenfall: crof
besvikelse: djak
veto: frot
ordförandeskap: ryip
köpare: mrif
gallon: jlen
mygga: mruk
avvikelse: dwen
brottas: lyut
mosaik-: myok
plugg: plok
sitta-på-huk: pcuk
matvaror: ksoc
kommunist: myos
förvåna: mwek
prosecutive-fall: rwuk
konstellation: nlos
diktator: dwit
upptagenhet: tyet
satellit: tlec
toffel: hlop
konsonant: fyon
ungefärlig: tsif
arbetslös: byet
anhängare: sros
lotus: lwot
sallad: sles
klorid: lwok
bakterier: bwic
klibbig: pcek
komponent: bwon
kärna: klec
hyckla: bjak
bitgrupp: bzet
utsöndring: sruf
uttryckligen: pres
sammanfaller: mloc
balett: blet
urin: mrus
vitlök: lyun
förflutit: hguc
ekonomi: kcem
medelklass: hdom
vig: gjic
tång: htef
tvätt: lyoc
jordgubbe: srem
urban: pcos
besvära: mlaf
Anteckningsblock: tfut
album: zlam
baseball: hbep
Sniff: sluc
buffé: hbuf
particip: rwip
garage: grek
diagnos: djas
krycka: ksuc
pressa-ut: srom
registrering: psuc
löslig: jlun
fosfor: psof
strukturell: rwut
lim: glum
avhandling: twes
hantverkare: clif
banan: bwas
axiom: kyom
revben: psos
nickel: nyek
pi: pyim
buss: bwos
censurera: swes
missil: mlus
korv: slos
manipulation: nlut
tomat: tfet
förstärka: kfut
uttag: syok
kalium: tsom
hämta: prup
virtuell: zwit
algebra: gjas
tandläkare: dzit
optisk: pcok
röra-sig-ur fläcken: bzen
biologi: bwim
arbetslöshet: byim
larv: krum
solo-: slof
webbläsare: bjac
avlägsen-dåtid-spänd: nyot
historisk-spänd: crep
nukleär: nluk
spektrum: pyem
natrium: syom
hysteri: syes
förvaltare: tyos
gisslan: byik
kalebass: gluk
skrynkla: kwuk
genomskinlighet: tfif
spika: swip
prioritet: pcif
fotgängare: dyen
ateism: tsem
övervaka: mwot
valkrets: nlec
okontrollerad: hkof
sond: grok
platina: plip
dubbel-antal: dlun
lunga: pcep
super: syup
vagn: trop
lokalt: lyot
hetsa: gzat
bensin: plif
njure: grif
plundra: bzac
värdering: dlen
arsenik: syek
snigel: nrok
gräshoppa: tsec
ekvation: fwen
socialistisk: swos
filtrera: flot
sensorisk-bevis-humör: hxin
bredda: kyot
avge: mwet
koppel: pwet
mandarin: drun
jockey: hjok
lunginflammation: hnof
solidaritet: gret
gångjärn: cyif
longitudinell: nruc
utdelning: dwun
skridsko: hkep
exponent: slop
handikapp: dlif
besatthet: bwen
tilldelning: pfun
fotograf: trof
delta: dlet
digital: djim
tik: brut
ögonlock: hyop
diagonal: dyun
undermedvetna: byon
ögonbryn: bruc
nysa: pcec
munter: dlis
hinduism: nwum
flykting: nyif
transfer: cwot
protein: pwot
dumpa: hdop
förfina: flen
kräkas: hwom
gen: gyen
förstaårselev: hdem
sociologi: syoc
squash: kwoc
fiskare: hfuc
regional: jyen
rörelse-uppför: hvok
retrospektiv: hxik
tornado: gyon
inversion: nwos
tv: twif
kub: kfet
produktivitet: pwuk
morot: krop
molekyl-: mwuk
konglomerat: glet
revisor: ksum
gurka: kyok
orgie: drok
lösningsmedel: jlet
fosfat: psef
primer: gwik
alkalisk: flis
gymnastik: jyas
kommatecken: kwom
rörelse-utför: hvat
missfall: jwac
pod: tcop
givare: dzon
mangan: hzem
psykolog: syos
klor: clos
tangentbord: kyoc
elit: zyit
parentes: pfaf
rugby: rwoc
ulcus: jlon
varierad-lutning: hxit
knapra: nres
kvant: fwam
Tröja: swek
evolutionära: fwis
notation: nyoc
studsa: tcuf
dissektion: drec
cache: kcep
linjär: lyec
antimon: trum
superessive-fall: psek
tumör: twom
erosion: cyos
alfa: flaf
navel: nwip
immun: myip
influensa: flun
bryggeri: bjit
förenkla: slef
förkorta: bram
buckla: djen
fängsla: dwim
tvinga: brok
socka: bzas
film: fyim
kosmos: klom
förorena: hpuf
sällskaplig: gjen
penis: zyis
skogsbruk: lyif
aluminium: lwum
svängning: zlon
horoskop: ksop
mata-ut: dlek
integration: nluc
förmånstagare: byic
delfin: dlip
mördare: cyus
däggdjur: myaf
indikator: swif
dioxid: dwis
kolon: zlen
byråkrati: brus
förvränga: jric
kylskåp: frip
arkeologisk: cluk
oacceptabel: kwok
specifikation: pfis
folder: pfut
antropologi: nlom
välsmakande: kyec
transitiv: txit
krypa-ihop: kwus
solros: hzuc
lus: glus
Jon: lyos
turism: tyum
modem: myom
acceleration: jrun
förfalska: tsoc
utsläpp: hmef
kidnappa: drap
överlappning: hwep
frisör: pfes
folklore: floc
kapillär: plek
nationalism: nlum
rumpa: nros
motiv: hmuf
sublimera: slem
frustration: xras
kobolt: kwos
havre: gwam
rörelse-uppför-floden: trup
anus: gyam
bovint: bwun
flip: flip
redundans: dzun
video-: hwop
bojkotta: bjik
frågesport: cwif
hockey: cwok
gerilla-: grip
magnesium: hgem
radar: drek
schimpans: hzif
pålitlighet: kwif
rektangel: tyec
kelp: klep
generalisera: jlak
utegångsförbud: kfec
homosexuell: mlok
scenario: srop
formulering: flus
reinkarnation: nrom
antända: zlak
uran: ryum
catcher: kwes
samordna: kyop
skattebetalaren: nwaf
integrerad: trep
menade: hzap
gamma: hxam
safari: fwim
rörelse-nedströms: ht6n
koefficient: kfus
rubrik: zlic
analytiker: nles
schackmatt: hzes
köpcenter: hmof
vismut: bzim
vykort: psok
konvergens: bros
avvika: djet
aktieägare: ksem
mikrob: mrip
genital: jwit
morfologiska: mluk
beta: byot
jeans: gjis
databas: tles
kalkylator: klus
röntgen: ksef
parse: zram
miljö-: zyen
sigma: zyim
åtskiljande: hxon
dagordning: gres
visum: bzis
infrastruktur: nyuk
eldfluga: gyun
detektor: tyek
adaptiv: dyip
biolog: byis
splitsa: pyec
brom: brom
palladium: plum
hicka: kfok
pastell: psec
Zoo: zwac
klinik: lyok
konnotation: nwoc
yoga: hjoc
bokhandel: byun
terapi: grap
nationalist: zlis
halshugga: zlet
ja: swec
problematisk: byam
jazz: dzas
volfram: tsof
terrorist: gwis
dribbla: droc
metabolism: tlem
underhållsbidrag: lyaf
helgen: hfom
krysantemum: gzim
vaccin: byap
motorcykel: tyok
mantra: dyot
termin: myes
heroin: gwon
mapp: flap
katod: kfoc
ideologi: dlec
parkering: prek
theta: fret
anticlimax: hxis
selen: clem
cykling: blek
bark: pros
likvärdighet: swaf
nuvarande-relevans-markör: hxak
flygplats: cwoc
amputera: gyet
basketboll: bwet
bedragare: mwip
kackerlacka: tlek
krom: hgom
liter: hl6t
ändå: nwec
hormon: cwom
bristfällig: tluc
perforera: prec
animism: nyom
polygon: cloc
feminist: hfes
konjugat: kcop
euro: dros
ginseng: hjes
algoritm: hlof
laser: lwes
apotek: dlot
millimeter: mlem
böja: flek
anod: nlok
nyans: hzus
deltid: prem
känslighet: nyec
demonstrant: drom
helium: clum
tvåspråkig: dzic
akronym: hqim
Förkortning: nl6m
gerundium: gros
plasma: psem
kromosom: rwom
ordningstal: rwok
kilometer: klum
fax: tfes
genetik: nwek
fräkne: frek
skruvmejsel: dres
broccoli: blok
preteritum: xrit
vitamin: tyem
kadmium: kyem
bombplan: bwoc
grafiska: gjik
titan: dyim
splurge: clec
lambda: lwem
flickvän: pcem
kopulera: kyuk
timglas: tlus
empati: mlif
bor: bres
helikopter: cwet
tellur: tlum
deadline: jyic
rikta: gwic
centimeter: hfem
molybden: mlom
litium: tfim
multimedia: myum
uppdatera: dyet
kalori: clom
robot: ryoc
läxor: groc
logaritm: grom
bönsyrsa: gzas
installera: nwut
amino: myoc
glyph: glif
aorist: pyos
ekologi: plec
sophisticate: flok
marijuana: bjam
mikro: mrom
kilogram: lwom
äta-för-mycket: jrot
förutsägbar: dzik
pizza: zyas
tjuvlyssna: zris
lingvistik: bwis
frisyr: braf
iridium: ryom
rasism: gwim
optimal: gyim
industrialisering: drif
huvudkontor: krup
cerium: zrim
kongruent: nrum
partitiv-fall: pxik
kassett: ksep
viljestyrka: blot
dimensionell: dzen
parameter: rwet
synkronisera: nrop
maximera: dzim
seminarium: mwec
disko: dyok
neon: nyok
osmium: hzom
uppenbarelse: hp6n
plagiera: lyap
artefakt: rwek
reaktor: fyet
oregano: ryop
plutonium: pwum
yttrium: tyom
augmentative: hxat
användarnamn: mrum
doktorand: zrot
högra-vingen: dwaf
argon: jros
fobi: hxot
socialisera: sluk
globaliseringen: bluc
våglängd: hnef
koda: kfom
återvinna: psoc
omstart: nrek
hepatit: pyes
torus: fros
kemoterapi: myep
modulo: mwok
proton: zwot
diskett: dwet
milligram: mlum
pixel: psep
tantal: twem
löst-ämne: hjot
folkmord: nyos
rovdjur: rwes
gallium: glem
zirkonium: hzum
bestämmare: txin
icke-linjär: nlem
pesticid: pyif
beryllium: brem
neuron: nrus
predicative: pxit
kalsonger: tlif
faktoriell: kref
neutron: zrut
niob: nwom
germanium: hjem
metalloid: tlop
sätta-på: dlap
prolative-fall: hl6k
biologisk-mångfald: jwic
joystick: jyok
antibiotikum: twok
aktinium: gjim
astronaut: srof
utomjordisk: tyes
crackpot: hwup
maraton-: mrof
ytterbium: zwim
autism: tyif
jonisera: nlof
radon: cwos
Nerium: nrem
epidemiologi: pwip
gammal-ålder: lyuc
camping: kyep
randig: drip
indium: nyum
veridical: hvik
webbplats: bwes
koran: kwek
bestick: fwet
n:-te--root: tfec
lawrencium: lyem
medborgerliga-rättigheter: glip
mobiltelefon: mlof
lam: twoc
protaktinium: prum
strålning: hd6n
bero-på: pxin
torium-atom: hxim
blå---jean: bjun
krukväxt: hxas
individuellt: dvit
flödesström: lwuk
trippelpunkt: ht6t
människokropp: hn6n
fysik: bzik
detaljhandeln-lagra: hxan
cesium: hs6m
lång-sedan: hqan
kalkylark: hxet
enhet--of-- massa: hn6m
sammanställa: ml6n
binary--värde: vrim
mänsklig-varelse: nyus
av-betyder-av: hvan
depan-dari: pxat
praseodym: pyom
kartong: kxat
ändlig-verb: hqik
rättegång-antal: hr6n
pro-mening: hr6t
kritiker: hk6k
förpackning: pxas
obeständighet: pxan
på-mest: txas
deskriptor: drop
neodym: nyem
vänskap: hvit
läsa-endast: xyak
grundlägger: xwan
gnomic-humör: kxin
fonem: hxom
rationalitet: xlit
fonologiska: xlin
dining-rum: hxac
levande-rum: hxic
centrerad-fall: zrik
pre-hodiernal: hx6n
patient-fall: hqak
sned-fall: bwok
lantlig-område: hqat
recurse: hr6s
mitten-röst: dyos
meitnerium: hm6m
brevbärare: hvak
noncommittal: kxit
stock-marknadsföra: xrak
identifierbar: hxap
mål-avtryckare: krof
en---sekund: hxen
mulativa-fall: dvak
ransonera: hr6c
icke-mänsklig: hg6n
levande-sak: hvic
för-liten: hxut
biograf: hvin
hassium: xyim
attenuative: ty6t
multal-antal: ml6m
mjölkig-sätt: txam
neptunium: nwem
spökskrivare: txik
trans-siffra: ts6s
larva-sig: hqun
americium: myem
morgon--härlighet: txan
brandman: xran
berkelium: blem
galax-kön: kxan
nobelium: blum
hejdå: hvac
buddhism: hfum
fermium: frem
cyan: xyan
soja: syof
distributör: qrit
strejkbrytare: txak
processor: ples
abessive-fall: bvak
adessive-fall: dvik
till-fall: kxak
agentive-fall: dvek
rutherfordium: hr6m
antikropp: txip
som-mycket-som: hjos
ombud-avtryckare: hg6t
skådespelare-roll: xram
etidium: txim
gemensam-kön: hk6n
accompanier: kl6n
safflor: kxam
francium: fyam
erbium: ry6m
passiv-röst: xyis
astat: hqit
tugga-gummi: hqam
stjärna-kön: hqin
citat-form: ht6m
curium: jrim
tecknad-serie: kxis
färgblind: hqon
euler's---nummer: hl6m
se-på: kxas
övergångsställe: pwok
slagfält: txat
bilist: vrit
kortslutning: txok
verbal-substantiv: hvis
gråta-ut: hk6t
statistiskt: xyit
yoghurt: txot
xenon: hs6n
hypnotisera: hxif
ta-av: hxaf
klausul--tail: hxok
direkt-objekt: dwot
matvaror-lagra: kxun
bestå-av: hm6t
ergative-fall: gvik
i---språk: txic
första-hand: pxam
locative-fall: hqok
simbassäng: slup
adverbial-fall: vlak
sightsee: hqas
tv-uppsättning: ht6s
slutlig-partikel: xlik
evitative-fall: hvek
rehabilitering: xlat
regression: xris
blockera-av-flats: kxot
vakna-upp: hxup
polis-officer: ps6s
svär--in: vran
intervjuare: qrat
renium: ryem
aerosol: xres
possessiv-fall: kxik
nominalization: mlec
besatt-fall: dzak
överpris: pxak
extra-verb: xyik
primär-objekt: mlut
datorvirus: prus
affärsperson: hqis
en-personer: hqen
antessive-fall: ts6k
premiärminister: pxis
lutetium: lyum
europium: rwum
emote: xrot
folkmusik: zyik
poet: vwit
postkontor: pxot
förment: hvas
animera-kön: hven
subessive-fall: bvik
gas---pedal: glep
polaritet: pr6t
fordon-kön: vlin
mineral--kön: xrin
verb---suffix: hvif
brinner-för: pc6n
samarium: sr6m
facilitator: hs6t
imaginär---enhet: xyin
ljusets-hastighet: kxac
flygvapen: hxes
empathetic-glädje: pfec
kritisk-punkt: qyit
heltid: hxem
hafnium: xyam
hämning: hn6s
ändra-av-händelse: qrin
holmium: xlim
olik-händelse: hf6t
universum-kön: hvip
lokalitet-kön: kxen
virtuell-maskin: hvim
forskning-kön: txen
konstnärlig-kön: ts6n
crastinal-spänd: sl6t
abstrakt-kön: srep
exocentric-fall: zrek
transitiv-verb: txif
morfem: tfom
chauvinist: dvis
dåtid-perfektiv: xrat
yrkesmässig: hy6n
indirekt-tal: tyoc
andra-språk: draf
till-vara: txis
kyrkogård-flytta: vrak
kollektiv-substantiv: hxos
absolutive-fall: bvuk
patient-avtryckare: tr6t
själv-förtroende: hs6s
avföring: hzos
reflexiv-röst: hf6s
opersonlig-verb: hxek
seaborgium: br6m
blank: hxep
modal-fall: dlok
livlös-kön: hj6n
orsakande: qran
propositive-humör: psom
elektrisk-nuvarande: tr6n
associativ-fall: nwok
superlativ-fall: tluk
för-mycket: xyut
planet-kön: pxen
animerad-tecknad-serie: nwuk
ömsesidig-röst: vrik
lagstifta: hqaf
på-minst: vlas
grammatisk-fall: qrak
användare: pxut
kärna-benefactive: kfef
målvakt: hgop
:-except-for: kcef
nämnare: dvan
Else--om: lyek
sidled: hx6s
varandra: dles
på-varandra-följande klausul: lyuk
slita-ut: hxun
shorts: ht6k
dysprosium: prom
snart-framtida-spänd: rwec
si-enheter: vyin
krypton: kxon
mendelevium: dlem
applikativ-röst: hp6s
antipassive-röst: tsef
continuative-aspekt: ht6p
strålningssjuka: hr6k
necessitative-humör: hn6t
enda-handling-verb: hqek
rälsbuss: xlak
superlativ-grad: tlup
existentiell-klausul: hs6k
californium: kf6n
presentera-particip: vrat
lysande-intensitet: hc6t
singulative-antal: slus
grammatisk---objekt: hy6t
passiv-particip: vris
överdriven-varaktighet: kxic
kritisk-fluid: sr6t
belopp-av-ämne: ks6t
postpositional-fall: pxok
valfri-kvantifierare: lwif
gadolinium: dl6n
epenthetic-morfem: hp6m
Negatory-kvantifierare: nwif
einsteinium: ny6n
artificiell-språk: txac
connective-partikel: qrik
avlägsen-framtida-spänd: twec
frequentative-aspekt: hfep
distributiv-pronomen: bvin
allocution-avtal: hk6m
skallig: blos
förort: syum
universell-kvantifierare: vlit
dator-programmering: mr6m
tv-program: tr6m
flyttal--nummer: hvun
existentiell-kvantifierare: tl6t
de-dag-efter i morgon: dwek
alternativ-kvantifierare: lw6t
PÅ-DÅLIGT-HUMÖR: hdup
dåtid-passiv-particip: hp6t
de-dag-innan i går: txet
locative-riktnings-fall: tc6k
kontra-villkorlig: ht6c
