infinitivo: hnit
bocado: hyos
pesadilla: hbom
atasco: gjam
museo: mrem
alfabeto: lwam
dispersión: zras
RAID: crip
revelar: clus
putrefacción: fraf
agresivo: gris
fricción: mroc
muelle: gyac
araña: brik
Papa: trut
revisión: cwon
codicia: jlac
prematuro: ryot
multiplicar: gzan
girar: pcip
estadística: tsok
calendario: klem
nominación: nwen
billones: tlos
ático: tlok
afirmativo-estado-animico: rwim
aplicaciones: pfen
nominal: nlon
insatisfacción: sraf
infección: hfok
lanzador: krot
encogimiento-de-hombros: cyok
pionero: gzin
omisión: nlif
repollo: glic
atlético: tlet
embriaguez: mrut
idiophone: hdof
palanca: lwek
senador: syem
iris: nrif
hormiga: mwam
error: hbop
embarazada: grim
precipitado: hjet
tobillo: tcok
clasificación: glik
variable: prim
envolver: ryap
Rizado: krec
azufre: hsef
dictar: dwik
surgir: brun
rana: fram
excesivo-caso: twek
esponja: hjen
molesto: djon
ardilla: slip
moler: zyin
irrealis-estado-animico: flim
volcán: glam
dentro: gron
explotar: kloc
geológico: jlik
pasaporte: psop
inmoral: mlet
galleta: hbuk
cooperación: kros
tableta: tlot
relajación: kces
átomo: trom
SIDA: hzip
pirámide: psim
ciclo: swok
siesta: hnup
ilegal: hjaf
pata: pfap
timidez: crom
eclipse: klip
laúd: lwap
Escoba: srum
panel: mwen
astronomía: tcom
laberinto: blen
beca: bwit
Tortuga: kfuc
asesor: dwak
fibra: fwic
Grillo: jrik
Paloma: ksom
adaptación: dyon
triángulo: tfon
tesorero: tsen
hidrógeno: jron
frágil: hfuk
impresora: pyet
ahogo: tcof
crónico: gzon
capa-pluvial: slaf
dilema: dlim
ingeniería: jyin
camara-fotografica: hkef
disculparse: pluc
lamer: lwet
bailarín: dret
migración: mres
tenis: tces
espina: clip
freír: zrac
telar: tfuc
puñalada: twuc
clave: psaf
hemisferio: praf
estrategia: zrit
cuarzo: krus
tijeras: jris
patrulla: proc
glaciar: lwic
a-medio-camino: dwam
memorándum: mwap
cono: kwuc
simetría: hzut
fabricante: zrak
acusado: fwik
mezquita: djis
ajedrez: cres
Peaje: htof
Cereza: tref
extendido: kfen
tropezón: tfok
camión: ryok
mostaza: mros
por-ciento: pfet
subasta: jlam
tamiz: srif
inestable: swoc
imán: gjat
chupar: syus
islam: slum
punta-del-pie: twip
membrana: mlen
afeitado: clet
guitarra: gjit
brillante: bzan
olmo: hyem
remontarse: kcom
pronombre-marcador: ryec
grapa: pcus
condimentar: zlat
fianza: jlas
portador: zyac
vibración: bron
molestar: trus
arado: hlom
fisiológico: zlik
canal: hgok
cometa: cyet
medieval: dyic
gorrión: grec
compensar: twet
el-plastico: psuk
nota: cyot
órbita: rwot
frugal: twum
golf: hgof
cero: zrun
chip: tcep
oprimir: prok
bostezo: gjac
desigualdad: gwas
Topo: tloc
cerámica: frik
ama-de-casa: hgif
centeno: rwem
desobedecer: hyes
tolerante: glon
embrión: brec
minero: jren
aplaudir: zlac
levadura: lyim
prima: pfim
ciruela: plem
quiebra: byas
irrigación: rwif
menta: nyun
capitalista: glis
elasticidad: hlef
tiburón: gyak
recluta: drut
almacenamiento: zren
realismo: cles
jengibre: djic
ambulancia: blus
comparable: kwip
billetera: bjap
mueca: glim
científico: gyis
intestino: grot
ecuanimidad: hwum
radio: href
irrelevante: zlit
haba: bwam
informal: frim
nieta: gyut
desacuerdo: dloc
bistec: tfek
nitrógeno: zron
maquinilla-de-afeitar: hjut
en-contraste: krom
propaganda: pcoc
fuegos-artificiales: fris
popular: pcop
desnudo: crop
surco: cruc
perjudicial: hzaf
judaísmo: hjum
complemento: pluk
lente: lyes
pegative-caso: pwek
cáncer: kfes
empeñar: pyek
conferencista: zyat
fuga: hzuk
calificar: krif
densidad: djot
inducción: dyis
masticar: htuf
hablador: bzit
langosta: hgos
descuento: dyut
taxi: tsuk
jerarquía: crem
jade: gyec
gruñido: glaf
lagartija: lyis
cascada: crof
decepcionante: djak
veto: frot
presidencia: ryip
comprador: mrif
galón: jlen
mosquito: mruk
desviación: dwen
luchar: lyut
mosaico: myok
enchufe: plok
agacharse: pcuk
tienda-de-comestibles: ksoc
comunista: myos
asombro: mwek
prosecutive-caso: rwuk
constelación: nlos
dictador: dwit
preocupación: tyet
satélite: tlec
zapatilla: hlop
consonante: fyon
aproximado: tsif
desempleados: byet
seguidor: sros
loto: lwot
lechuga: sles
cloruro: lwok
bacterias: bwic
pegajoso: pcek
componente: bwon
núcleo: klec
fingir: bjak
byte: bzet
secreción: sruf
explícitamente: pres
coincidir: mloc
ballet: blet
orina: mrus
ajo: lyun
transcurrido: hguc
ciencias-económicas: kcem
clase-media: hdom
ágil: gjic
tenazas: htef
lavandería: lyoc
fresa: srem
urbano: pcos
avergonzar: mlaf
cuaderno: tfut
álbum: zlam
béisbol: hbep
oler: sluc
bufé: hbuf
participio: rwip
garaje: grek
diagnóstico: djas
muleta: ksuc
extorsionar: srom
registro: psuc
soluble: jlun
fósforo: psof
estructural: rwut
cola: glum
tesis: twes
artesano: clif
plátano: bwas
axioma: kyom
costilla: psos
níquel: nyek
pi: pyim
autobús: bwos
censurar: swes
misil: mlus
salchicha: slos
manipulación: nlut
tomate: tfet
reforzarse: kfut
enchufe: syok
potasio: tsom
recuperar: prup
virtual: zwit
álgebra: gjas
dentista: dzit
óptico: pcok
ceder: bzen
biología: bwim
desempleo: byim
oruga: krum
solo: slof
navegador: bjac
remoto-pasado-tiempo: nyot
histórico-tiempo: crep
nuclear: nluk
espectro: pyem
sodio: syom
histeria: syes
fideicomisario: tyos
rehén: byik
calabaza: gluk
arruga: kwuk
transparencia: tfif
espiga: swip
prioridad: pcif
peatonal: dyen
ateísmo: tsem
monitor: mwot
distrito-electoral: nlec
sin-control: hkof
sonda: grok
platino: plip
dual-número: dlun
pulmón: pcep
súper: syup
carretilla: trop
en-la-zona: lyot
incitar: gzat
gasolina: plif
riñón: grif
botín: bzac
evaluación: dlen
arsénico: syek
caracol: nrok
saltamontes: tsec
ecuación: fwen
socialista: swos
filtrar: flot
sensorial-probatorio-estado animico: hxin
ensanchar: kyot
emitir: mwet
correa: pwet
mandarín: drun
jockey: hjok
neumonía: hnof
solidaridad: gret
bisagra: cyif
longitudinal: nruc
dividendo: dwun
patinar: hkep
exponente: slop
discapacidad: dlif
obsesión: bwen
asignación: pfun
fotógrafo: trof
delta: dlet
digital: djim
perra: brut
párpado: hyop
diagonal: dyun
subconsciente: byon
ceja: bruc
estornudar: pcec
divertidísimo: dlis
hinduismo: nwum
refugiado: nyif
lanzadera: cwot
proteína: pwot
tugurio: hdop
refinar: flen
vomitar: hwom
gene: gyen
estudiante-de-primer año: hdem
sociología: syoc
squash: kwoc
pescador: hfuc
regional: jyen
movimiento-cuesta-arriba: hvok
retrospectivo: hxik
tornado: gyon
inversión: nwos
televisión: twif
cubo: kfet
productividad: pwuk
Zanahoria: krop
molecular: mwuk
conglomerado: glet
contador: ksum
Pepino: kyok
orgía: drok
solvente: jlet
fosfato: psef
cebador: gwik
alcalino: flis
gimnasia: jyas
coma: kwom
movimiento-cuesta-abajo: hvat
aborto-espontáneo: jwac
vaina: tcop
donante: dzon
manganeso: hzem
psicólogo: syos
cloro: clos
teclado: kyoc
élite: zyit
paréntesis: pfaf
rugby: rwoc
úlcera: jlon
declinada: hxit
picar: nres
cuántico: fwam
suéter: swek
evolutivo: fwis
notación: nyoc
bote: tcuf
disección: drec
cache: kcep
lineal: lyec
antimonio: trum
superessive-caso: psek
tumor: twom
erosión: cyos
alfa: flaf
ombligo: nwip
inmune: myip
influenza: flun
cervecería: bjit
simplificar: slef
abreviar: bram
mella: djen
cautivar: dwim
obligar: brok
calcetín: bzas
película: fyim
cosmos: klom
contaminar: hpuf
gregario: gjen
pene: zyis
silvicultura: lyif
aluminio: lwum
oscilación: zlon
horóscopo: ksop
expulsar: dlek
inclusión: nluc
beneficiario: byic
delfín: dlip
asesino: cyus
mamífero: myaf
indicador: swif
dióxido: dwis
colon: zlen
burocracia: brus
distorsionar: jric
refrigerador: frip
arqueológico: cluk
inaceptable: kwok
especificación: pfis
prospecto: pfut
antropología: nlom
sabroso: kyec
transitivo: txit
acobardarse: kwus
girasol: hzuc
piojo: glus
ion: lyos
turismo: tyum
módem: myom
aceleración: jrun
falsificar: tsoc
emisión: hmef
secuestrar: drap
superposición: hwep
peluquero: pfes
folklore: floc
capilar: plek
nacionalismo: nlum
nalgas: nros
motivo: hmuf
sublimado: slem
frustración: xras
cobalto: kwos
avena: gwam
movimiento-río-arriba: trup
ano: gyam
bovino: bwun
dar-la-vuelta: flip
redundancia: dzun
vídeo: hwop
boicotear: bjik
examen: cwif
hockey: cwok
guerrilla: grip
magnesio: hgem
radar: drek
chimpancé: hzif
confiabilidad: kwif
rectángulo: tyec
quelpo: klep
generalizar: jlak
toque-de-queda: kfec
homosexual: mlok
guión: srop
formulación: flus
reencarnación: nrom
encender: zlak
uranio: ryum
colector: kwes
coordinar: kyop
contribuyente: nwaf
integrado: trep
opinado: hzap
gama: hxam
safari: fwim
movimiento-río-abajo: ht6n
coeficiente: kfus
titular: zlic
analista: nles
mate: hzes
centro-commercial: hmof
bismuto: bzim
tarjeta-postal: psok
convergencia: bros
divagar: djet
accionista: ksem
microbio: mrip
genital: jwit
morfológica: mluk
beta: byot
jeans: gjis
base-de-datos: tles
calculadora: klus
radiografía: ksef
analizar-gramaticalmente: zram
ambiental: zyen
sigma: zyim
disyunción: hxon
orden-del-día: gres
visa: bzis
infraestructura: nyuk
luciérnaga: gyun
detector: tyek
adaptado: dyip
biólogo: byis
empalme: pyec
bromo: brom
paladio: plum
hipo: kfok
pastel: psec
Zoo: zwac
clínica: lyok
connotación: nwoc
yoga: hjoc
librería: byun
terapia: grap
nacionalista: zlis
decapitar: zlet
sí: swec
problemático: byam
jazz: dzas
tungsteno: tsof
terrorista: gwis
regatear: droc
metabolismo: tlem
pensión-alimenticia: lyaf
fin-de-semana: hfom
crisantemo: gzim
vacuna: byap
motocicleta: tyok
mantra: dyot
semestre: myes
heroína: gwon
carpeta: flap
cátodo: kfoc
ideología: dlec
estacionamiento: prek
theta: fret
anticlímax: hxis
selenio: clem
ciclismo: blek
corteza: pros
equivalencia: swaf
corriente-pertinencia-marcador: hxak
aeropuerto: cwoc
amputar: gyet
baloncesto: bwet
impostor: mwip
cucaracha: tlek
cromo: hgom
litro: hl6t
sin-embargo: nwec
hormona: cwom
defectuoso: tluc
perforar: prec
animismo: nyom
polígono: cloc
feminista: hfes
conjugado: kcop
euro: dros
ginseng: hjes
algoritmo: hlof
láser: lwes
farmacia: dlot
milímetro: mlem
flexionar: flek
ánodo: nlok
matiz: hzus
medio-tiempo: prem
sensibilidad: nyec
demostrador: drom
helio: clum
bilingüe: dzic
acrónimo: hqim
initialism: nl6m
gerundio: gros
plasma: psem
cromosoma: rwom
ordinal: rwok
kilómetro: klum
fax: tfes
genética: nwek
peca: frek
destornillador: dres
brócoli: blok
pretérito: xrit
vitamina: tyem
cadmio: kyem
bombardeo: bwoc
gráfico: gjik
titanio: dyim
derroche: clec
lambda: lwem
novia: pcem
copular: kyuk
reloj-de-arena: tlus
empatía: mlif
boro: bres
helicóptero: cwet
telurio: tlum
fecha-tope: jyic
alinear: gwic
centímetro: hfem
molibdeno: mlom
litio: tfim
multimedia: myum
actualizar: dyet
caloría: clom
robot: ryoc
deberes: groc
logaritmo: grom
mantis: gzas
instalar: nwut
aminado: myoc
glifo: glif
aoristo: pyos
ecología: plec
sofisticar: flok
marijuana: bjam
micro: mrom
kilogramo: lwom
comer-con-exceso: jrot
previsible: dzik
Pizza: zyas
escuchar-a-escondidas: zris
lingüística: bwis
corte-de-pelo: braf
iridio: ryom
racismo: gwim
óptima: gyim
industrialización: drif
sede: krup
cerio: zrim
congruente: nrum
partitivo-caso: pxik
casete: ksep
fuerza-de-voluntad: blot
dimensional: dzen
parámetro: rwet
sincronizar: nrop
maximizar: dzim
seminario: mwec
disco: dyok
neón: nyok
osmio: hzom
Epifanía: hp6n
plagiar: lyap
artefacto: rwek
reactor: fyet
orégano: ryop
plutonio: pwum
itrio: tyom
aumentativo: hxat
nombre-de-usuario: mrum
graduado: zrot
derechista: dwaf
argón: jros
fobia: hxot
socializar: sluk
la-globalización: bluc
longitud-de-onda: hnef
codificar: kfom
reciclar: psoc
reiniciar: nrek
hepatitis: pyes
toro: fros
quimioterapia: myep
módulo: mwok
protón: zwot
disquete: dwet
miligramo: mlum
píxel: psep
tantalio: twem
sustancia-disoluta: hjot
genocidio: nyos
depredador: rwes
galio: glem
circonio: hzum
determinador: txin
no-lineal: nlem
pesticida: pyif
berilio: brem
neurona: nrus
predicativo: pxit
calzoncillos: tlif
factorial: kref
neutrón: zrut
niobio: nwom
germanio: hjem
metaloide: tlop
poner-en: dlap
prolative-caso: hl6k
biodiversidad: jwic
palanca-de-mando: jyok
antibiótico: twok
actinio: gjim
astronauta: srof
extraterrestre: tyes
chiflado: hwup
maratón: mrof
iterbio: zwim
autismo: tyif
ionizar: nlof
radón: cwos
nerium: nrem
epidemiología: pwip
de-vejez: lyuc
cámping: kyep
a-rayas: drip
de-indio: nyum
verídico: hvik
sitio-web: bwes
Corán: kwek
mostrada: fwet
nth--root: tfec
lawrencio: lyem
derechos-civiles: glip
teléfono-móvil: mlof
paralizado: twoc
protactinio: prum
radiación: hd6n
depender-en: pxin
torio-átomo: hxim
Jean-azul: bjun
planta-de-casa: hxas
individualmente: dvit
flujo-de-corriente: lwuk
punto-triple: ht6t
cuerpo-humano: hn6n
física: bzik
Al-por-menor almacenar: hxan
cesio: hs6m
largo-hace: hqan
hoja-de-cálculo: hxet
unidad-de-masa: hn6m
compilar: ml6n
binary--valor: vrim
humano-siendo: nyus
por-medio-de: hvan
depan-dari: pxat
praseodimio: pyom
cartulina: kxat
finito-verbo: hqik
prueba-número: hr6n
Pro-frase: hr6t
crítico: hk6k
embalaje: pxas
impermanencia: pxan
a-más: txas
descriptor: drop
neodimio: nyem
amistad: hvit
leer-solamente: xyak
encontradas: xwan
gnomic-estado-animico: kxin
fonema: hxom
racionalidad: xlit
fonológico: xlin
comida-habitación: hxac
vivo-habitación: hxic
céntrico-caso: zrik
hodierno-pre: hx6n
paciente-caso: hqak
oblicuo-caso: bwok
rural-zona: hqat
Recurse: hr6s
medio-voz: dyos
meitnerio: hm6m
cartero: hvak
evasivo: kxit
valores-mercado: xrak
identificable: hxap
Gol-desencadenar: krof
un-segundo: hxen
lative-caso: dvak
racionar: hr6c
no-humano: hg6n
vivo-cosa: hvic
también-pequeño: hxut
cine: hvin
hassio: xyim
atenuantes: ty6t
multal-número: ml6m
lechoso-camino: txam
neptunio: nwem
escritor-fantasma: txik
trans-número: ts6s
perder-el-tiempo: hqun
americio: myem
Mañana-gloria: txan
Bombero: xran
berkelio: blem
galaxia-género: kxan
nobelio: blum
adiós: hvac
budismo: hfum
fermium: frem
cian: xyan
soja: syof
distribuidor: qrit
rompehuelgas: txak
procesador: ples
abessive-caso: bvak
adesivo-caso: dvik
a-caso: kxak
agentiva-caso: dvek
rutherfordio: hr6m
anticuerpo: txip
como-mucho-como: hjos
agente-desencadenar: hg6t
actor-papel: xram
etidio: txim
común-género: hk6n
acompañante: kl6n
cártamo: kxam
francio: fyam
erbio: ry6m
pasivo-voz: xyis
astato: hqit
masticación-chicle: hqam
estrella-género: hqin
citación-formar: ht6m
curio: jrim
tira-cómica: kxis
daltoniano: hqon
de-Euler-- serie: hl6m
Mira-a: kxas
paso-de-peatones: pwok
campo-de-batalla: txat
automovilista: vrit
cortocircuito: txok
verbal-sustantivo: hvis
llorar-fuera: hk6t
estadísticamente: xyit
yogur: txot
xenón: hs6n
hipnotizar: hxif
tomar-apagado: hxaf
cláusula-de-la cola: hxok
directo-objeto: dwot
tienda-de-comestibles almacenar: kxun
consistir-de: hm6t
ergative-caso: gvik
en-su-idioma: txic
de-primera-mano: pxam
locativo-caso: hqok
piscina: slup
adverbial-caso: vlak
turismo: hqas
televisión-conjunto: ht6s
final-partícula: xlik
evitative-caso: hvek
rehabilitación: xlat
regresión: xris
bloquear-de-pisos: kxot
despertar-arriba: hxup
policía-oficial: ps6s
jurar---en: vran
entrevistador: qrat
renio: ryem
aerosol: xres
posesivo-caso: kxik
nominalización: mlec
poseído-caso: dzak
sobrecargar: pxak
auxiliar-verbo: xyik
primario-objeto: mlut
Virus-de-computadora: prus
persona-de-negocios: hqis
un-gente: hqen
antessive-caso: ts6k
primer-ministro: pxis
lutecio: lyum
europio: rwum
ser-emocionado: xrot
música-folclórica: zyik
poeta: vwit
Oficina-de-correo: pxot
según-cabe-suponer: hvas
animar-género: hven
subessive-caso: bvik
acelerador: glep
polaridad: pr6t
vehículo-género: vlin
mineral-género: xrin
verbo---sufijo: hvif
apasionado: pc6n
samario: sr6m
facilitador: hs6t
imaginaria---unidad: xyin
velocidad-de-la luz: kxac
fuerza-Aerea: hxes
empático-alegría: pfec
punto-crítico: qyit
tiempo-completo: hxem
hafnio: xyam
inhibición: hn6s
cambio-de-evento: qrin
holmio: xlim
diferente-evento: hf6t
universo-género: hvip
localidad-género: kxen
virtual-máquina: hvim
investigación-género: txen
artístico-género: ts6n
crastinal-tiempo: sl6t
abstracto-género: srep
exocéntrica-caso: zrek
transitivo-verbo: txif
morfema: tfom
chauvinista: dvis
pasado-perfectivo: xrat
profesional: hy6n
indirecto-habla: tyoc
segundo-idioma: draf
a-ser: txis
cementerio-cambio: vrak
colectivo-sustantivo: hxos
absolutive-caso: bvuk
paciente-desencadenar: tr6t
yo-confianza: hs6s
heces: hzos
reflexivo-voz: hf6s
impersonal-verbo: hxek
seaborgio: br6m
espacio-en-blanco: hxep
modal-caso: dlok
inanimado-género: hj6n
causante: qran
propositiva-estado-animico: psom
eléctrico-corriente: tr6n
de-asociación-caso: nwok
superlativo-caso: tluk
también-mucho: xyut
planetario-género: pxen
animado-caricatura: nwuk
recíproco-voz: vrik
legislar: hqaf
a-menos: vlas
gramatical-de-los casos: qrak
usuario: pxut
núcleo-benefactivo: kfef
portero: hgop
:-except-for: kcef
denominador: dvan
else-if: lyek
oblicuo: hx6s
El-uno-al otro: dles
sucesivo-cláusula: lyuk
al-desgaste-a cabo: hxun
pantalones-cortos: ht6k
disprosio: prom
pronto-futuro-tiempo: rwec
si-unidades: vyin
criptón: kxon
mendelevio: dlem
aplicativo-voz: hp6s
antipasiva-voz: tsef
continuativas-aspecto: ht6p
radiación-de-la enfermedad: hr6k
necessitative-estado-animico: hn6t
soltero-acción-verbo: hqek
automotor: xlak
superlativo-la-licenciatura: tlup
existencial-cláusula: hs6k
californio: kf6n
presente-participio: vrat
luminoso-intensidad: hc6t
singulativo-número: slus
gramatical-a-objetos: hy6t
pasivo-participio: vris
excesivo-duración: kxic
fluido-supercrítico: sr6t
cantidad-de-sustancia: ks6t
postposicional-caso: pxok
electivo-cuantificador: lwif
gadolinio: dl6n
epentético-morfema: hp6m
negativo-cuantificador: nwif
einstenio: ny6n
artificial-idioma: txac
conectivo-partícula: qrik
remoto-futuro-tiempo: twec
frecuentativo-aspecto: hfep
distributivo-pronombre: bvin
alocución-acuerdo: hk6m
calvo: blos
suburbio: syum
universal-cuantificador: vlit
computadora-programación: mr6m
televisión-programa: tr6m
de-punto-flotante de números: hvun
existencial-cuantificador: tl6t
la-día-después mañana: dwek
alternativa-cuantificador: lw6t
de-mal-humor: hdup
pasado-pasivo-participio: hp6t
la-día-antes de ayer: txet
locativo-direccional-caso: tc6k
contrafactual-condicional: ht6c
