动词不定式: hnit
救护车: blus
可比: kwip
钱包: bjap
鬼脸: glim
科学家: gyis
胆: grot
泰然处之: hwum
无线电: href
不相干: zlit
豆: bwam
非正式的: frim
孙女: gyut
异议: dloc
牛排: tfek
氮: zron
剃刀: hjut
对比: krom
宣传: pcoc
烟花: fris
流行的: pcop
脱衣服: crop
畦: cruc
有害: hzaf
犹太教: hjum
补充: pluk
透镜: lyes
pegative外壳: pwek
癌症: kfes
典当: pyek
讲师: zyat
泄漏: hzuk
修饰: krif
密度: djot
感应: dyis
嚼: htuf
贫嘴: bzit
龙虾: hgos
折扣: dyut
出租车: tsuk
等级制度: crem
玉: gyec
搞乱: glaf
蜥蜴: lyis
瀑布: crof
令人失望: djak
否决: frot
总统任期: ryip
买方: mrif
加仑: jlen
蚊子: mruk
偏差: dwen
搏斗: lyut
镶嵌: myok
插头: plok
蹲: pcuk
杂货: ksoc
共产: myos
惊奇: mwek
检举外壳: rwuk
星座: nlos
独裁者: dwit
当务之急: tyet
卫星: tlec
拖鞋: hlop
辅音: fyon
近似: tsif
失业的: byet
支持者: sros
莲花: lwot
生菜: sles
氯化物: lwok
菌: bwic
黏: pcek
零件: bwon
核心: klec
假装: bjak
字节: bzet
分泌: sruf
明确地: pres
重合: mloc
芭蕾舞: blet
尿: mrus
大蒜: lyun
过去: hguc
经济学: kcem
中产阶级: hdom
敏捷: gjic
钳: htef
洗衣店: lyoc
草莓: srem
城市的: pcos
阻碍: mlaf
笔记本: tfut
专辑: zlam
棒球: hbep
吸气: sluc
自助餐: hbuf
分词: rwip
车库: grek
诊断: djas
拐杖: ksuc
勒索: srom
注册: psuc
易溶: jlun
磷: psof
结构: rwut
胶: glum
论文: twes
工匠: clif
香蕉: bwas
公理: kyom
肋骨: psos
镍: nyek
圆周率: pyim
总线: bwos
审查: swes
导弹: mlus
香肠: slos
操作: nlut
番茄: tfet
加强: kfut
插座: syok
钾: tsom
取回: prup
虚拟: zwit
代数: gjas
牙医: dzit
光纤: pcok
让步: bzen
生物学: bwim
失业: byim
毛虫: krum
独奏: slof
浏览器: bjac
远程过去紧张: nyot
历史性紧张: crep
核: nluk
光谱: pyem
钠: syom
歇斯底里: syes
受托人: tyos
人质: byik
葫芦: gluk
皱纹: kwuk
透明度: tfif
穗: swip
优先: pcif
行人: dyen
无神论: tsem
监控: mwot
选民: nlec
失控: hkof
探测: grok
铂: plip
双重数: dlun
肺: pcep
超: syup
手推车: trop
本地: lyot
煽动: gzat
汽油: plif
肾: grif
抢劫: bzac
评定: dlen
砷: syek
蜗牛: nrok
蚱蜢: tsec
方程: fwen
社会主义的: swos
过滤: flot
感觉的证据心情: hxin
扩大: kyot
发射: mwet
皮带: pwet
普通话: drun
骑师: hjok
肺炎: hnof
团结: gret
合页: cyif
纵: nruc
股利: dwun
滑冰: hkep
指数: slop
失能: dlif
困扰: bwen
配股: pfun
摄影师: trof
三角洲: dlet
数字: djim
婊子: brut
眼皮: hyop
对角线: dyun
潜意识: byon
眉: bruc
喷嚏: pcec
欢闹的: dlis
印度教: nwum
难民: nyif
穿梭: cwot
蛋白: pwot
倾倒: hdop
提炼: flen
呕吐: hwom
基因: gyen
大一: hdem
社会学: syoc
壁球: kwoc
费舍尔: hfuc
区域性: jyen
运动上坡: hvok
回顾: hxik
龙卷风: gyon
逆温: nwos
电视: twif
立方体: kfet
生产率: pwuk
胡萝卜: krop
分子: mwuk
集团: glet
会计: ksum
黄瓜: kyok
狂欢: drok
溶剂: jlet
磷酸盐: psef
底漆: gwik
碱性: flis
体操: jyas
逗号: kwom
运动下坡: hvat
流产: jwac
荚: tcop
捐赠者: dzon
锰: hzem
心理学家: syos
氯: clos
键盘: kyoc
精英: zyit
插入语: pfaf
橄榄球: rwoc
溃疡: jlon
屈折: hxit
蚕食: nres
量子: fwam
毛线衣: swek
发展的: fwis
符号: nyoc
弹跳: tcuf
解剖: drec
高速缓存: kcep
线性: lyec
锑: trum
superessive外壳: psek
瘤: twom
侵蚀: cyos
α: flaf
脐: nwip
免疫的: myip
流感: flun
酿酒厂: bjit
简化: slef
删节: bram
凹痕: djen
着迷: dwim
胁迫: brok
袜子: bzas
电影: fyim
宇宙: klom
污染: hpuf
群居: gjen
阴茎: zyis
林业: lyif
铝: lwum
振荡: zlon
星座运势: ksop
喷射: dlek
包容: nluc
受益: byic
海豚: dlip
凶手: cyus
哺乳动物: myaf
指示符: swif
二氧化碳: dwis
结肠: zlen
官僚: brus
歪曲: jric
冰箱: frip
考古学的: cluk
不可接受: kwok
规范: pfis
传单: pfut
人类学: nlom
可口: kyec
及物: txit
退缩: kwus
向日葵: hzuc
虱: glus
离子: lyos
旅游: tyum
调制解调器: myom
促进: jrun
伪造: tsoc
排放: hmef
绑架: drap
交叠: hwep
理发师: pfes
民俗学: floc
毛细管: plek
民族主义: nlum
臀部: nros
主题: hmuf
升华: slem
挫折: xras
钴: kwos
燕麦: gwam
运动上游: trup
肛门: gyam
牛: bwun
翻动: flip
冗余: dzun
视频: hwop
抵制: bjik
测验: cwif
曲棍球: cwok
游击队: grip
镁: hgem
雷达: drek
黑猩猩: hzif
可靠性: kwif
矩形: tyec
海带: klep
概括: jlak
宵禁: kfec
同性: mlok
脚本: srop
公式: flus
投胎: nrom
点燃: zlak
铀: ryum
捕手: kwes
坐标: kyop
纳税人: nwaf
集成: trep
opined: hzap
伽马: hxam
野生动物园: fwim
运动下游: ht6n
系数: kfus
标题: zlic
分析人士: nles
将死: hzes
购物中心: hmof
铋: bzim
明信片: psok
收敛: bros
离题: djet
股东: ksem
微生物: mrip
生殖器: jwit
形态: mluk
公测: byot
牛仔裤: gjis
数据库: tles
计算器: klus
X-射线: ksef
解析: zram
环境的: zyen
西格玛: zyim
脱节: hxon
议程: gres
签证: bzis
基础设施: nyuk
萤火虫: gyun
探测器: tyek
自适应: dyip
生物学家: byis
拼接: pyec
溴: brom
钯: plum
嗝: kfok
柔和: psec
动物园: zwac
诊所: lyok
意义: nwoc
瑜伽: hjoc
书店: byun
治疗: grap
民族主义者: zlis
斩首: zlet
是啊: swec
问题: byam
爵士乐: dzas
钨: tsof
恐怖分子: gwis
运球: droc
代谢: tlem
赡养费: lyaf
周末: hfom
菊花: gzim
疫苗: byap
摩托车: tyok
口头禅: dyot
学期: myes
海洛因: gwon
夹: flap
阴极: kfoc
思想: dlec
停车: prek
THETA: fret
虎头蛇尾: hxis
硒: clem
循环: blek
皮层: pros
等价: swaf
当前关联标记: hxak
机场: cwoc
截肢: gyet
篮球: bwet
冒名顶替: mwip
蟑螂: tlek
铬: hgom
升: hl6t
尽管如此，: nwec
激素: cwom
有缺陷: tluc
穿孔: prec
万物有灵论: nyom
多边形: cloc
女权主义者: hfes
共轭: kcop
欧元: dros
参: hjes
算法: hlof
激光: lwes
药店: dlot
毫米: mlem
柔性: flek
阳极: nlok
细微之处: hzus
兼职: prem
灵敏度: nyec
示威者: drom
氦: clum
双语: dzic
首字母缩写: hqim
首字母缩略词: nl6m
动名词: gros
等离子体: psem
染色体: rwom
序数词: rwok
公里: klum
传真: tfes
遗传学: nwek
雀斑: frek
螺丝刀: dres
西兰花: blok
过去式: xrit
维他命: tyem
镉: kyem
轰炸机: bwoc
图形: gjik
钛: dyim
挥霍: clec
拉姆达: lwem
女朋友: pcem
媾: kyuk
滴漏: tlus
同情: mlif
硼: bres
直升机: cwet
碲: tlum
截止日期: jyic
对齐: gwic
厘米: hfem
钼: mlom
锂: tfim
多媒体: myum
更新: dyet
卡路里: clom
机器人: ryoc
功课: groc
对数: grom
螂: gzas
安装: nwut
氨基: myoc
字形: glif
不定过去: pyos
生态: plec
阅历: flok
大麻: bjam
微: mrom
公斤: lwom
吃得过多: jrot
预测: dzik
比萨: zyas
窃听: zris
语言学: bwis
理发: braf
铱: ryom
种族主义: gwim
最佳: gyim
工业化: drif
总部: krup
铈: zrim
全等: nrum
表分词外壳: pxik
暗盒: ksep
意志: blot
尺寸的: dzen
参数: rwet
同步: nrop
最大化: dzim
研讨会: mwec
迪斯科: dyok
氖: nyok
锇: hzom
顿悟: hp6n
抄袭: lyap
神器: rwek
反应堆: fyet
牛至: ryop
钚: pwum
钇: tyom
强化的: hxat
用户名: mrum
研究生: zrot
右翼: dwaf
氩: jros
恐怖症: hxot
周旋: sluk
全球化: bluc
波长: hnef
编码: kfom
回收: psoc
重新开始: nrek
肝炎: pyes
花托: fros
化疗: myep
模: mwok
质子: zwot
软盘: dwet
毫克: mlum
像素: psep
钽: twem
溶质: hjot
种族灭绝: nyos
捕食者: rwes
镓: glem
锆: hzum
确定: txin
非线性: nlem
农药: pyif
铍: brem
神经元: nrus
表语: pxit
内裤: tlif
阶乘: kref
中子: zrut
铌: nwom
锗: hjem
非金属: tlop
放上: dlap
prolative外壳: hl6k
生物多样性: jwic
操纵杆: jyok
抗生素: twok
锕: gjim
宇航员: srof
外星人: tyes
疯子: hwup
马拉松: mrof
镱: zwim
自闭症: tyif
电离: nlof
氡: cwos
夹竹桃: nrem
流行病学: pwip
老年: lyuc
露营: kyep
条纹: drip
铟: nyum
不虚伪: hvik
网站: bwes
可兰经: kwek
餐具: fwet
第n根: tfec
铹: lyem
公民权利: glip
移动电话: mlof
瘫: twoc
镤: prum
辐射: hd6n
依靠上: pxin
钍原子: hxim
蓝色牛仔: bjun
室内植物: hxas
逐个: dvit
流流: lwuk
三相点: ht6t
人体用: hn6n
物理: bzik
零售商店: hxan
铯: hs6m
长前: hqan
电子表格: hxet
单位质量的: hn6m
编: ml6n
二值: vrim
人的存在: nyus
通过手段的: hvan
depandari: pxat
镨: pyom
纸板: kxat
有限动词: hqik
审讯数: hr6n
亲句子: hr6t
评论家: hk6k
包装: pxas
无常: pxan
在最: txas
描述符: drop
钕: nyem
友谊: hvit
读只要: xyak
创立: xwan
格言心情: kxin
音素: hxom
理性: xlit
音韵: xlin
用餐房间: hxac
活的房间: hxic
中心外壳: zrik
预hodiernal: hx6n
患者外壳: hqak
斜外壳: bwok
乡村区: hqat
递归: hr6s
中间语音: dyos
䥑: hm6m
邮递员: hvak
不置可否: kxit
股票市场: xrak
识别: hxap
目标触发: krof
一秒: hxen
lative外壳: dvak
配给: hr6c
非人的: hg6n
活的事情: hvic
太小: hxut
电影院: hvin
𨭆: xyim
衰减性: ty6t
multal数: ml6m
乳白色办法: txam
镎: nwem
代笔: txik
反式数字: ts6s
傻瓜左右: hqun
銤: myem
早上荣耀: txan
消防队员: xran
锫: blem
星系性别: kxan
锘: blum
再见: hvac
佛教: hfum
镄: frem
青色: xyan
黄豆: syof
经销商: qrit
罢工破坏者: txak
处理器: ples
abessive外壳: bvak
adessive外壳: dvik
至外壳: kxak
施事外壳: dvek
rutherfordium: hr6m
抗体: txip
如许多如: hjos
代理人触发: hg6t
演员角色: xram
溴化乙锭: txim
共同性别: hk6n
accompanier: kl6n
红花: kxam
钫: fyam
铒: ry6m
被动语音: xyis
砹: hqit
咀嚼胶: hqam
星性别: hqin
引用形成: ht6m
锔: jrim
漫画条: kxis
色盲: hqon
euler's号码: hl6m
看在: kxas
人行横道: pwok
战场: txat
司机: vrit
短路: txok
口头名词: hvis
哭出: hk6t
统计学: xyit
酸奶: txot
氙: hs6n
催眠: hxif
采取离: hxaf
从句尾: hxok
直接目的: dwot
杂货商店: kxun
由的: hm6t
作格外壳: gvik
在语言: txic
第一手: pxam
方位外壳: hqok
游泳池: slup
状语外壳: vlak
观光: hqas
电视组: ht6s
最终粒子: xlik
evitative外壳: hvek
复原: xlat
回归: xris
块的公寓: kxot
唤醒向上: hxup
警察官: ps6s
发誓式: vran
访问者: qrat
铼: ryem
气雾剂: xres
所有格案件: kxik
名词: mlec
附身案件: dzak
过度充电: pxak
辅动词: xyik
主目的: mlut
计算机病毒: prus
商务人士: hqis
一个人: hqen
antessive外壳: ts6k
总理: pxis
镏: lyum
铕: rwum
表现感情: xrot
民间音乐: zyik
诗人: vwit
邮政局: pxot
按说: hvas
赋予生命性别: hven
subessive外壳: bvik
油门踏板: glep
极性: pr6t
车辆性别: vlin
矿物性别: xrin
动词后缀: hvif
多情: pc6n
钐: sr6m
主持人: hs6t
虚数单位: xyin
光速: kxac
空军: hxes
移情喜悦: pfec
临界点: qyit
全职: hxem
铪: xyam
抑制: hn6s
更改的事件: qrin
钬: xlim
不同事件: hf6t
宇宙性别: hvip
局部性性别: kxen
虚拟机: hvim
研究性别: txen
艺术的性别: ts6n
crastinal紧张: sl6t
抽象性别: srep
exocentric外壳: zrek
及物动词: txif
词素: tfom
沙文主义: dvis
过去完成式: xrat
专业: hy6n
间接言语: tyoc
第二语言: draf
至是: txis
墓地转移: vrak
集体名词: hxos
absolutive外壳: bvuk
患者触发: tr6t
自置信度: hs6s
屎: hzos
反思语音: hf6s
非人的动词: hxek
seaborgium: br6m
空白: hxep
语气外壳: dlok
老成性别: hj6n
致病: qran
propositive心情: psom
电动当前: tr6n
联想外壳: nwok
最高级外壳: tluk
太许多: xyut
行星性别: pxen
动画动画片: nwuk
倒数语音: vrik
立法: hqaf
在最小: vlas
语法情况: qrak
用户: pxut
核心benefactive: kfef
守门员: hgop
:ExceptAs Buddha: kcef
分母: dvan
否则，如果: lyek
侧身: hx6s
彼此: dles
连续条款: lyuk
磨损: hxun
短裤: ht6k
镝: prom
不久未来紧张: rwec
SI单位: vyin
氪: kxon
钔: dlem
合用的语音: hp6s
antipassive语音: tsef
接续方面: ht6p
辐射病: hr6k
necessitative心情: hn6t
单行动动词: hqek
轨道车: xlak
最高级度: tlup
存在条款: hs6k
锎: kf6n
当下分词: vrat
发光的强度: hc6t
singulative数: slus
语法对象: hy6t
被动分词: vris
过多为期: kxic
超临界流体: sr6t
量的物质: ks6t
后置外壳: pxok
选修量词: lwif
钆: dl6n
epenthetic词素: hp6m
否定性量词: nwif
锿: ny6n
人造语言: txac
结缔组织粒子: qrik
远程未来紧张: twec
重复型成对方面: hfep
分配的代词: bvin
训示协议: hk6m
秃: blos
市郊: syum
普遍量词: vlit
计算机程序设计: mr6m
电视程序: tr6m
浮点数: hvun
存在量词: tl6t
该日后 明天: dwek
替代量词: lw6t
易怒的: hdup
过去被动分词: hp6t
该日之前 昨天: txet
方位定向外壳: tc6k
反有条件的: ht6c
