infinitif: hnit
bambou: hbum
revendeur: jlat
accumulation: kles
inspecteur: nyet
morceau: hyos
cauchemar: hbom
confiture: gjam
musée: mrem
alphabet: lwam
dispersion: zras
raid: crip
divulguer: clus
pourrir: fraf
agressif: gris
friction: mroc
jetée: gyac
Araign?-e: brik
pomme-de-terre: trut
révision: cwon
avidité: jlac
prématuré: ryot
multiplier: gzan
tourner: pcip
statistiques: tsok
calendrier: klem
nomination: nwen
billion: tlos
grenier: tlok
affirmative-humeur: rwim
applications: pfen
nominal: nlon
insatisfaction: sraf
infection: hfok
lanceur: krot
hausser-les-épaules: cyok
pionnier: gzin
omission: nlif
chou: glic
athlétique: tlet
ivresse: mrut
idiophone: hdof
levier: lwek
sénateur: syem
iris: nrif
fourmi: mwam
punaise: hbop
Enceinte: grim
précipité: hjet
cheville: tcok
classification: glik
variable: prim
emballage: ryap
bouclé: krec
soufre: hsef
dicter: dwik
émerger: brun
grenouille: fram
excessif-cas: twek
éponge: hjen
agaçant: djon
écureuil: slip
moudre: zyin
irréel-humeur: flim
volcan: glam
à-l'intérieur: gron
exploit: kloc
géologique: jlik
le-passeport: psop
immoral: mlet
biscuit: hbuk
collaboration: kros
tablette: tlot
relaxation: kces
atome: trom
le-sida: hzip
pyramide: psim
cycle: swok
sieste: hnup
illicite: hjaf
patte: pfap
la-timidité: crom
éclipse: klip
luth: lwap
balai: srum
panneau: mwen
astronomie: tcom
labyrinthe: blen
Bourse-d'études: bwit
tortue: kfuc
conseiller: dwak
fibre: fwic
cricket: jrik
Pigeon: ksom
adaptation: dyon
triangle: tfon
trésorier: tsen
hydrogène: jron
fragile: hfuk
imprimante: pyet
étranglement: tcof
chronique: gzon
chape: slaf
dilemme: dlim
ingénierie: jyin
Camera: hkef
s'excuser: pluc
lécher: lwet
danseur: dret
migration: mres
tennis: tces
colonne-vertébrale: clip
frire: zrac
métier-à-tisser: tfuc
coup-de-couteau: twuc
mot-de-passe: psaf
hémisphère: praf
stratégie: zrit
quartz: krus
les-ciseaux: jris
patrouille: proc
glacier: lwic
à-mi-chemin: dwam
mémorandum: mwap
cône: kwuc
symétrie: hzut
fabricant: zrak
défendeur: fwik
mosquée: djis
échecs: cres
péage: htof
cerise: tref
répandu: kfen
trébucher: tfok
un-camion: ryok
moutarde: mros
pour-cent: pfet
enchères: jlam
tamis: srif
instable: swoc
aimant: gjat
sucer: syus
Islam: slum
la-pointe-des pieds: twip
membrane: mlen
se-raser: clet
guitare: gjit
brillant: bzan
orme: hyem
monter-en-flèche: kcom
pronom-marqueur: ryec
agrafe: pcus
pimenter: zlat
caution: jlas
transporteur: zyac
vibration: bron
taquiner: trus
charrue: hlom
physiologique: zlik
gouttière: hgok
comète: cyet
médiéval: dyic
moineau: grec
compenser: twet
Plastique: psuk
note-de-bas de page: cyot
orbite: rwot
frugal: twum
golf: hgof
zéro: zrun
puce: tcep
opprimer: prok
bâillement: gjac
inégalité: gwas
môle: tloc
poterie: frik
femme-au-foyer: hgif
seigle: rwem
désobéir: hyes
tolérant: glon
embryon: brec
mineur: jren
applaudir: zlac
levure: lyim
prime: pfim
prune: plem
faillite: byas
irrigation: rwif
menthe: nyun
capitaliste: glis
élasticité: hlef
requin: gyak
recruter: drut
espace-de-rangement: zren
le-réalisme: cles
gingembre: djic
ambulance: blus
comparable: kwip
portefeuille: bjap
grimace: glim
scientifique: gyis
intestin: grot
équanimité: hwum
radio: href
hors-de-propos: zlit
haricot: bwam
informel: frim
petite-fille: gyut
désaccord: dloc
bifteck: tfek
azote: zron
le-rasoir: hjut
contrastant: krom
la-propagande: pcoc
des-feux-d'artifice: fris
pop: pcop
déshabiller: crop
sillon: cruc
nocif: hzaf
judaïsme: hjum
complément: pluk
lentille: lyes
pegative-cas: pwek
cancer: kfes
pion: pyek
Maître-de-conférences: zyat
fuite: hzuk
qualifier: krif
densité: djot
induction: dyis
mâcher: htuf
bavard: bzit
homard: hgos
remise: dyut
Taxi: tsuk
hiérarchie: crem
jade: gyec
gronder: glaf
lézard: lyis
cascade: crof
décevant: djak
veto: frot
présidence: ryip
acheteur: mrif
gallon: jlen
moustique: mruk
déviation: dwen
lutter: lyut
mosaïque: myok
prise-de-courant: plok
s'accroupir: pcuk
épicerie: ksoc
communiste: myos
étonner: mwek
prosecutive-cas: rwuk
constellation: nlos
dictateur: dwit
la-préoccupation: tyet
Satellite: tlec
pantoufle: hlop
consonne: fyon
approximatif: tsif
sans-emploi: byet
supporter: sros
lotus: lwot
salade: sles
chlorure: lwok
bactéries: bwic
gluant: pcek
composant: bwon
noyau: klec
feindre: bjak
octet: bzet
sécrétion: sruf
explicitement: pres
coïncider: mloc
ballet: blet
urine: mrus
ail: lyun
passé: hguc
économie: kcem
classe-moyenne: hdom
agile: gjic
pinces: htef
blanchisserie: lyoc
fraise: srem
Urbain: pcos
embarrasser: mlaf
cahier: tfut
album: zlam
base-ball: hbep
renifler: sluc
buffet: hbuf
participe: rwip
garage: grek
diagnostic: djas
béquille: ksuc
extorquer: srom
enregistrement: psuc
soluble: jlun
phosphore: psof
de-construction: rwut
colle: glum
thèse: twes
artisan: clif
banane: bwas
axiome: kyom
nervure: psos
nickel: nyek
pi: pyim
autobus: bwos
censurer: swes
missile: mlus
saucisse: slos
manipulation: nlut
tomate: tfet
renforcer: kfut
douille: syok
potassium: tsom
récupérer: prup
virtuel: zwit
algèbre: gjas
dentiste: dzit
optique: pcok
bouger: bzen
la-biologie: bwim
chômage: byim
chenille: krum
solo: slof
navigateur: bjac
éloigné-passé-tendu: nyot
historique-tendu: crep
le-nucléaire: nluk
spectre: pyem
sodium: syom
hystérie: syes
curateur: tyos
otage: byik
gourde: gluk
ride: kwuk
transparence: tfif
pointe: swip
priorité: pcif
piéton: dyen
athéisme: tsem
moniteur: mwot
circonscription-électorale: nlec
incontrôlé: hkof
sonde: grok
platine: plip
double-nombre: dlun
poumon: pcep
super: syup
chariot: trop
localement: lyot
inciter: gzat
de-l'essence: plif
le-rein: grif
butin: bzac
évaluation: dlen
arsenic: syek
escargot: nrok
sauterelle: tsec
équation: fwen
socialiste: swos
filtre: flot
sensoriel-évident-humeur: hxin
élargir: kyot
émettre: mwet
laisse: pwet
mandarin: drun
jockey: hjok
pneumonie: hnof
la-solidarité: gret
charnière: cyif
longitudinal: nruc
dividende: dwun
patin: hkep
exposant: slop
invalidité: dlif
obsession: bwen
attribution: pfun
photographe: trof
delta: dlet
numérique: djim
chienne: brut
paupière: hyop
diagonale: dyun
subconscient: byon
sourcil: bruc
éternuement: pcec
hilarant: dlis
hindouisme: nwum
réfugié: nyif
la-navette: cwot
protéine: pwot
déverser: hdop
affiner: flen
vomir: hwom
gène: gyen
étudiant-de-première année: hdem
sociologie: syoc
squash: kwoc
pêcheur: hfuc
régional: jyen
mouvement-montée: hvok
rétrospective: hxik
tornade: gyon
inversion: nwos
la-télé: twif
cube: kfet
productivité: pwuk
carotte: krop
moléculaire: mwuk
conglomérat: glet
comptable: ksum
concombre: kyok
orgie: drok
solvant: jlet
phosphate: psef
apprêt: gwik
alcalin: flis
gymnastique: jyas
virgule: kwom
mouvement-une-descente: hvat
fausse-couche: jwac
cosse: tcop
donneur: dzon
manganèse: hzem
psychologue: syos
chlore: clos
clavier: kyoc
élite: zyit
parenthèse: pfaf
le-rugby: rwoc
ulcère: jlon
fléchie: hxit
grignoter: nres
quantum: fwam
chandail: swek
évolutionniste: fwis
notation: nyoc
rebondir: tcuf
dissection: drec
cachette: kcep
linéaire: lyec
antimoine: trum
superessive-cas: psek
tumeur: twom
érosion: cyos
alpha: flaf
nombril: nwip
immunitaire: myip
grippe: flun
Brasserie: bjit
simplifier: slef
abréger: bram
bosse: djen
captiver: dwim
contraindre: brok
chaussette: bzas
film: fyim
cosmos: klom
polluer: hpuf
grégaire: gjen
pénis: zyis
sylviculture: lyif
aluminium: lwum
oscillation: zlon
horoscope: ksop
éjecter: dlek
inclusion: nluc
bénéficiaire: byic
dauphin: dlip
tueur: cyus
mammifère: myaf
indicateur: swif
dioxyde: dwis
côlon: zlen
bureaucratie: brus
fausser: jric
réfrigérateur: frip
archéologique: cluk
inacceptable: kwok
spécification: pfis
brochure: pfut
anthropologie: nlom
délicieux: kyec
transitif: txit
se-recroqueviller: kwus
tournesol: hzuc
pou: glus
ion: lyos
le-tourisme: tyum
modem: myom
accélération: jrun
falsifier: tsoc
émission: hmef
kidnapper: drap
chevauchement: hwep
coiffeur: pfes
folklore: floc
capillaire: plek
nationalisme: nlum
fesses: nros
motif: hmuf
sublimé: slem
frustration: xras
cobalt: kwos
avoine: gwam
mouvement-en-amont: trup
anus: gyam
bovine: bwun
bascule: flip
redondance: dzun
vidéo: hwop
boycotter: bjik
quiz: cwif
le-hockey: cwok
guérilla: grip
magnésium: hgem
radar: drek
chimpanzé: hzif
fiabilité: kwif
rectangle: tyec
varech: klep
généraliser: jlak
couvre-feu: kfec
homosexuel: mlok
scénario: srop
formulation: flus
réincarnation: nrom
enflammer: zlak
uranium: ryum
catcher: kwes
coordonner: kyop
contribuable: nwaf
intégré: trep
opiné: hzap
gamma: hxam
safari: fwim
mouvement-en-aval: ht6n
coefficient: kfus
gros-titre: zlic
analyste: nles
échec-et-mat: hzes
centre-commercial: hmof
bismuth: bzim
carte-postale: psok
convergence: bros
faire-une-digression: djet
actionnaire: ksem
microbe: mrip
génital: jwit
morphologique: mluk
bêta: byot
jeans: gjis
base-de-données: tles
calculatrice: klus
radiographie: ksef
analyser: zram
écologique: zyen
sigma: zyim
disjonction: hxon
ordre-du-jour: gres
visa: bzis
Infrastructure: nyuk
luciole: gyun
détecteur: tyek
adaptatif: dyip
biologiste: byis
épissure: pyec
brome: brom
palladium: plum
hoquet: kfok
pastel: psec
zoo: zwac
clinique: lyok
connotation: nwoc
yoga: hjoc
librairie: byun
thérapie: grap
nationaliste: zlis
décapiter: zlet
Oui: swec
problématique: byam
jazz: dzas
tungstène: tsof
terroriste: gwis
dribble: droc
métabolisme: tlem
pension: lyaf
fin-de-semaine: hfom
chrysanthème: gzim
vaccin: byap
moto: tyok
mantra: dyot
semestre: myes
héroïne: gwon
dossier: flap
cathode: kfoc
idéologie: dlec
parking: prek
thêta: fret
déception: hxis
sélénium: clem
Faire-du-vélo: blek
cortex: pros
équivalence: swaf
courant-pertinence-marqueur: hxak
aéroport: cwoc
amputer: gyet
basket: bwet
imposteur: mwip
cafard: tlek
chrome: hgom
litre: hl6t
toutefois: nwec
hormone: cwom
imparfait: tluc
perforer: prec
animisme: nyom
polygone: cloc
féministe: hfes
conjuguer: kcop
euro: dros
ginseng: hjes
algorithme: hlof
laser: lwes
pharmacie: dlot
millimètre: mlem
fléchir: flek
anode: nlok
nuancer: hzus
à-temps-partiel: prem
sensibilité: nyec
démonstrateur: drom
hélium: clum
bilingue: dzic
acronyme: hqim
initialism: nl6m
gérondif: gros
plasma: psem
chromosome: rwom
ordinal: rwok
kilomètre: klum
fax: tfes
la-génétique: nwek
rousseur: frek
tournevis: dres
brocoli: blok
prétérit: xrit
vitamine: tyem
cadmium: kyem
bombardier: bwoc
graphique: gjik
titane: dyim
folie: clec
lambda: lwem
copine: pcem
copuler: kyuk
Sablier: tlus
empathie: mlif
bore: bres
hélicoptère: cwet
tellure: tlum
date-limite: jyic
aligner: gwic
centimètre: hfem
molybdène: mlom
lithium: tfim
multimédia: myum
mettre-à-jour: dyet
calorie: clom
robot: ryoc
devoirs: groc
logarithme: grom
mante: gzas
installer: nwut
amino: myoc
glyphe: glif
aoriste: pyos
écologie: plec
distordre: flok
marijuana: bjam
micro: mrom
kilogramme: lwom
trop-manger: jrot
prévisible: dzik
Pizza: zyas
espionner: zris
linguistique: bwis
la-Coupe-de cheveux: braf
iridium: ryom
racisme: gwim
optimal: gyim
industrialisation: drif
siège-social: krup
cérium: zrim
conforme: nrum
partitif-cas: pxik
cassette: ksep
volonté: blot
dimensionnelle: dzen
paramètre: rwet
synchroniser: nrop
maximiser: dzim
séminaire: mwec
disco: dyok
néon: nyok
osmium: hzom
Épiphanie: hp6n
plagier: lyap
artefact: rwek
réacteur: fyet
origan: ryop
plutonium: pwum
yttrium: tyom
augmentatif: hxat
Nom-d'utilisateur: mrum
de-troisième-cycle: zrot
Aile-droite: dwaf
argon: jros
phobie: hxot
socialiser: sluk
mondialisation: bluc
longueur-d'ondes: hnef
encoder: kfom
recycler: psoc
redémarrer: nrek
hépatite: pyes
torus: fros
chimiothérapie: myep
modulo: mwok
proton: zwot
disquette: dwet
milligramme: mlum
pixel: psep
tantale: twem
soluté: hjot
génocide: nyos
prédateur: rwes
gallium: glem
zirconium: hzum
déterminant: txin
non-linéaire: nlem
pesticide: pyif
béryllium: brem
neurone: nrus
prédicatif: pxit
slip: tlif
factorielle: kref
neutron: zrut
niobium: nwom
germanium: hjem
métalloïde: tlop
mettre-sur: dlap
prolative-cas: hl6k
biodiversité: jwic
manette: jyok
antibiotique: twok
actinium: gjim
astronaute: srof
extra-terrestre: tyes
cinglé: hwup
marathon: mrof
ytterbium: zwim
autisme: tyif
ioniser: nlof
radon: cwos
nerium: nrem
épidémiologie: pwip
vieillesse: lyuc
camping: kyep
rayé: drip
indium: nyum
véridique: hvik
site-Internet: bwes
Coran: kwek
couverts: fwet
nième-racine: tfec
lawrencium: lyem
droits-civils: glip
téléphone-portable: mlof
paralysé: twoc
protactinium: prum
radiation: hd6n
dépendre-sur: pxin
thorium-atome: hxim
blue--jean: bjun
plante-d'appartement: hxas
individuellement: dvit
flux-de-courant: lwuk
point-triple: ht6t
corps-humain: hn6n
la-physique: bzik
vente-au-détail boutique: hxan
césium: hs6m
longue-depuis: hqan
tableur: hxet
unité-de-masse: hn6m
compiler: ml6n
binaire-valeur: vrim
Humain-étant: nyus
par-veux-dire de: hvan
depan-dari: pxat
praséodyme: pyom
carton: kxat
fini-verbe: hqik
procès-nombre: hr6n
Pro-phrase: hr6t
critique: hk6k
conditionnement: pxas
impermanence: pxan
à-les-plus: txas
descripteur: drop
néodyme: nyem
relation-amicale: hvit
lire-seulement: xyak
fonde: xwan
gnomique-humeur: kxin
phonème: hxom
rationalité: xlit
phonologique: xlin
à-manger-chambre: hxac
vivant-chambre: hxic
central-cas: zrik
hodiernal-pré: hx6n
patient-cas: hqak
oblique-cas: bwok
rural-région: hqat
recurse: hr6s
milieu-voix: dyos
meitnerium: hm6m
postier: hvak
évasif: kxit
stock-marché: xrak
identifiable: hxap
objectif-gâchette: krof
une-seconde: hxen
latif-cas: dvak
ration: hr6c
non-Humain: hg6n
vivant-chose: hvic
aussi-peu: hxut
cinéma: hvin
hassium: xyim
atténuant: ty6t
multal-nombre: ml6m
laiteux-façon: txam
neptunium: nwem
Fantôme-écrivain: txik
trans-numéral: ts6s
duper-autour: hqun
américium: myem
matin-gloire: txan
pompier: xran
berkelium: blem
galaxie-le-genre: kxan
nobelium: blum
au-revoir: hvac
bouddhisme: hfum
fermium: frem
cyan: xyan
soya: syof
distributeur: qrit
briseur-de-grève: txak
processeur: ples
abessive-cas: bvak
adessive-cas: dvik
à-cas: kxak
agentive-cas: dvek
rutherfordium: hr6m
anticorps: txip
comme-beaucoup-comme: hjos
agent-gâchette: hg6t
acteur-rôle: xram
éthidium: txim
commun-le-genre: hk6n
accompagnateur: kl6n
carthame: kxam
francium: fyam
erbium: ry6m
passif-voix: xyis
astate: hqit
mastication-gomme: hqam
étoile-le-genre: hqin
citation-forme: ht6m
curium: jrim
Bande-dessinée: kxis
daltonien: hqon
euler's-numéro: hl6m
Regarde-à: kxas
passage-clouté: pwok
champ-de-bataille: txat
automobiliste: vrit
court-circuit: txok
verbal-nom: hvis
cri-en-dehors: hk6t
statistiquement: xyit
yaourt: txot
xénon: hs6n
hypnotiser: hxif
prendre-de: hxaf
clause---queue: hxok
direct-objet: dwot
épicerie-boutique: kxun
consister-de: hm6t
ergative-cas: gvik
en-langue: txic
première-main: pxam
locatif-cas: hqok
piscine: slup
adverbial-cas: vlak
sightsee: hqas
télévision-ensemble: ht6s
final-particule: xlik
evitative-cas: hvek
réhabilitation: xlat
régression: xris
Bloc-de-appartements: kxot
réveiller-en-haut: hxup
police-officier: ps6s
jurer-de: vran
intervieweur: qrat
rhénium: ryem
aérosol: xres
possessif-cas: kxik
nominalisation: mlec
possédé-cas: dzak
surcharge: pxak
auxiliaire-verbe: xyik
primaire-objet: mlut
virus-informatique: prus
homme-d'affaires: hqis
une-gens: hqen
antessive-cas: ts6k
premier-ministre: pxis
lutétium: lyum
europium: rwum
emote: xrot
musique-folklorique: zyik
poète: vwit
bureau-de-poste: pxot
soi-disant: hvas
animer-le-genre: hven
subessive-cas: bvik
gaz---pédale: glep
polarité: pr6t
véhicule-le-genre: vlin
minéral-le-genre: xrin
verbe---suffixe: hvif
passionné: pc6n
samarium: sr6m
animateur: hs6t
unité-imaginaire--: xyin
vitesse-de-la lumière: kxac
armée-de-l'air: hxes
empathique-joie: pfec
point-critique: qyit
à-plein-temps: hxem
hafnium: xyam
inhibition: hn6s
changement-de-un événement: qrin
holmium: xlim
différent-un-événement: hf6t
univers-le-genre: hvip
localité-le-genre: kxen
virtuel-machine: hvim
recherche-le-genre: txen
artistique-le-genre: ts6n
crastinal-tendu: sl6t
abstrait-le-genre: srep
exocentrique-cas: zrek
transitif-verbe: txif
morphème: tfom
chauvin: dvis
passé-perfectif: xrat
professionnel: hy6n
indirect-parole: tyoc
seconde-la-langue: draf
à-être: txis
cimetière-décalage: vrak
collectif-nom: hxos
absolutive-cas: bvuk
patient-gâchette: tr6t
soi-confiance: hs6s
excréments: hzos
réfléchi-voix: hf6s
impersonnel-verbe: hxek
seaborgium: br6m
espace-blanc: hxep
modal-cas: dlok
inanimé-le-genre: hj6n
causal: qran
propositive-humeur: psom
électrique-courant: tr6n
associatif-cas: nwok
superlatif-cas: tluk
aussi-beaucoup: xyut
planétaire-le-genre: pxen
animé-dessin-animé: nwuk
réciproque-voix: vrik
légiférer: hqaf
à-moins: vlas
grammaticale-cas: qrak
utilisateur: pxut
noyau-benefactive: kfef
gardien-de-but: hgop
:-except-for: kcef
dénominateur: dvan
else-if: lyek
de-côté: hx6s
l'un-et-l'autre: dles
successif-clause: lyuk
épuisé: hxun
short: ht6k
dysprosium: prom
bientôt-avenir-tendu: rwec
si-unités: vyin
krypton: kxon
mendelevium: dlem
applicative-voix: hp6s
antipassif-voix: tsef
continuative-aspect: ht6p
le-mal-de rayonnement: hr6k
necessitative-humeur: hn6t
unique-action-verbe: hqek
autorail: xlak
superlatif-degré: tlup
existentiel-clause: hs6k
californium: kf6n
présent-participe: vrat
lumineux-intensité: hc6t
singulative-nombre: slus
grammaticale---objet: hy6t
passif-participe: vris
excessif-durée: kxic
fluide-supercritique: sr6t
montant-de-substance: ks6t
postpositionnel-cas: pxok
électif-quantificateur: lwif
gadolinium: dl6n
épenthétique-morphème: hp6m
négatoire-quantificateur: nwif
einsteinium: ny6n
artificiel-la-langue: txac
conjonctif-particule: qrik
éloigné-avenir-tendu: twec
fréquentatif-aspect: hfep
distributif-pronom: bvin
allocution-une-entente: hk6m
chauve: blos
banlieue: syum
universel-quantificateur: vlit
ordinateur-la-programmation: mr6m
télévision-programme: tr6m
virgule-flottante-nombre: hvun
existentiel-quantificateur: tl6t
la-journée-après demain: dwek
alternative-quantificateur: lw6t
de-mauvaise-humeur: hdup
passé-passif-participe: hp6t
la-journée-avant hier: txet
locatif-directionnel-cas: tc6k
contrefactuelle-conditionnel: ht6c
