ﺭﺪﺼﻣ: hnit
ﻥﺎﯾﺮﺟ: lyam
ﻥﺎﻧ: hpup
ﯽﻓﺎﺿﺍ: tfak
ﻥﺩﺮﻛ-ﺏﺎﺨﺘﻧﺍ: twas
ﻥﺍﻮﯿﺣ: nwam
zoic-ﺲﻨﺟ: hzin
eventive-ﺖﻟﺎﺣ: hwim
ﻥﺎﺴﮑﯾ-ﻪﻌﻗﺍﻭ-ﺮﮕﻧﺎﺸﻧ: hcom
ﯽﺑﺮﺿ-ﺩﺭﻮﻣ: tlak
ﻢﯿﺨﺿ: hmus
ﺩﻮﺟﻮﻣ: hyum
ﻥﺍﺭﺎﺑ: myic
ﺢﻄﺳ: pfas
ﺱﺪﻘﻣ: swis
ﯼﻻ﻿ﻮﺟ: clim
ﺵﺭﺍﺰﮔ: hfut
ﻞﺣﺎﺳ: pwas
ﻞﯾﺎﻓ: hfif
ﻪﻧﺎﺷ: cwut
ﻥﺪﺷ-ﺮﯿﮕﻠﻓﺎﻏ: kran
ﯽﺘﻨﻄﻠﺳ: klik
ﻪﻧﺍﺮﺗ: hkuf
ﯽﺘﺣﺍﺭ: kfaf
ﯽﺴﮐ-ﺮﻫ: nyic
ﻦﻤﭼ: kcap
ﻢﺳﺭ: cwik
ﺡﺎﺘﺘﻓﺍ: cyic
ﻦﺋﻭﮊ: cwun
ﯽﻫﺎﻣ: mlic
ﺖﺨﺘﯾﺎﭘ-،ﻪﯾﺎﻣﺮﺳ: klin
ﻥﺎﺘﺴﭘ: cyut
ﻑﺮﺑ: hcif
ﺕﻼ﻿ﯿﺼﺤﺗ: tlik
ﺰﯿﺗ: tcaf
ﻢﺣﺮﺗ: hdam
ﻪﻨﯾﺰﻫ: fyas
ﺎﻤﺷ-ﻝﺎﻣ: hmuc
ﻥﻮﯿﻠﯿﻣ: mlun
ﻪﺘﺴﺧ: tcik
ﻦﺘﺸﮐ: ksam
ﻪﯾﺎﺳ: cwap
ﻥﺯﻭ: plas
ﻡﺮﺟ: mlas
ﺩﺎﺠﯾﺍ: tlip
ﻉﺎﺠﺷ: pyam
ﺮﻏﻻ﻿: plic
ﯽﺿﺍﺭ: srat
ﯽﺳﺭﺮﺑ: kcik
ﺍﻮﻘﺗ: hdet
ﯽﻠﻣ: nyaf
ﯽﻬﻟﺍ: swin
ﻩﺭﺩ: clak
ﻥﺰﺑ-ﺱﺪﺣ: kwam
ﯼﺮﮑﻔﺗ-ﺖﻟﺎﺣ: hken
ﺩﺭﺯ-ﮓﻧﺭ: clas
ﯽﻗﺎﺑ: mwac
ﻩﺪﺷ-ﻢﺧ: nlac
ﻪﺒﻌﺟ: pwak
ﻞﺼﻓ: tsim
ﯽﺑﺮﺠﺗ-ﻡﻮﻠﻋ: slas
ﻥﺩﺮﮐ-ﺥﺍﺭﻮﺳ-ﻪﺘﻣ ﺎﺑ: kcuc
ﯽﯾﺍﺩ: hmuk
ﺖﺳﺮﻬﻓ: lyit
ﺕﻭﺍ: ksut
ﺪﻨﺴﭘ-ﻪﻣﺎﻋ: hlup
ﻪﺘﺧﺎﻨﺷﺎﻧ: fyit
ﺎﻨﺷﺁ: flak
ﺎﻨﺷﺁ-ﻡﺎﻧ-ﺖﺒﺛ: krit
ﻩﺪﻨﻧﺍﻮﺧ: tsut
ﺵﻭﺭ: pcuc
ﺮﺑﺍﺮﺑ-ﻭﺩ: tsap
ﯼﺮﮑﻓ: tfik
ﯽﺘﺳﺍﺮﺑ: tsam
ﺶﯿﺸﮐ: pcis
ﺡﻭﺮﺠﻣ: fran
ﻩﻭﺪﻧﺍ-ﻭ-ﻢﻏ: hpom
ﺥﺎﮐ: kfas
ﻢﺘﺷ-ﻭ-ﺏﺮﺿ: clap
؟ﯽﻤﯾﻼ﻿ﻣ-ﺪﻨﮔﻮﺳ: hnec
ﻖﻤﺣﺍ: myuk
ﻪﺒﻟ: pfac
ﺮﻔﻧ-ﻪﻧ: nwun
ﺭﺎﺠﻔﻧﺍ: psut
ﻥﺩﺮﺑ-ﺞﻧﺭ: tfas
ﺍﺪﺻ-ﻭ-ﺮﺳ: hcus
ﺕﺎﯿﺑﺩﺍ: lyic
ﺖﺤﯿﺼﻧ: swas
ﯽﻟﺎﺧ: kcuk
ﻪﺒﺗﺭ: psik
ﻥﺎﻓﻮﻃ: tcut
ﺐﯿﺟ: kyip
ﻞﯿﺨﺗ: nlin
ﻪﻠﻤﺟ: cwas
ﺮﺒﻣﺍﻮﻧ: nwap
ﺮﺒﻣﺎﺳﺩ: tsip
ﻡﺪﻋ: psic
ﺮﮑﺸﺗ: ryak
ﯽﻧﺎﺸﻧ: tyis
ﻩﺪﻧﺮﭘ: pyuc
ﮏﻟﺎﻣ: mlik
ﺖﮐ: kwut
ﻥﺩﺮﮐ-ﻩﺩﺎﻣﺁ: tyip
ﻂﺑﺍﻭﺭ: lwan
ﺩﻭﺩ: htum
ﻪﯾﻮﻧﺍﮊ: nwak
ﻦﯿﺷﺎﻣ: clic
ﺍﻮﺘﺤﻣ: nyik
ﺎﻬﻧﺍﺪﻧﺩ: tlis
ﻡﺮﺷ: hcet
ﺰﻣﺮﻗ-ﻪﺑ-ﻞﯾﺎﻣ ﺥﺮﺳ: kcaf
ﺰﻐﻣ: pyuk
ﻪﻘﻠﺣ: klic
ﺕﺭﺎﺒﻋ-ﺮﮕﻧﺎﺸﻧ: frak
ﻊﺑﺮﻣ: ksap
ﻩﻮﯿﻣ: fyut
ﯼﺎﭼ: tsic
ﺢﯿﺿﻮﺗ: slam
ﯼﺪﻣﺁ-ﺵﻮﺧ: cwam
ﺮﻌﺷ: pwis
ﺪﯾﺮﺧ: klam
ﻥﺎﻤﯾﺍ-ﺎﺑ: hdic
ﻥﺎﺠﯿﻫ: hcen
ﻞﻬﭼ: klis
ﻞﯾﺭﻭﺁ: pyip
ﺰﯿﻣﺁ-ﺖﺒﺤﻣ: kfit
ﺮﺒﺘﮐﺍ: kfap
ﺦﻠﺗ: kyuc
ﻩﺩﺮﺑ: tlaf
ﻞﺷ: hluk
ﻦﺘﻣ: tsus
ﺭﺎﺒﺘﻋﺍ: cyip
ﻩﺩﺰﻧﺎﭘ: pfit
ﻪﻧﺎﻤﻟﺎﻇ: kcim
ﻥﺩﺮﮐ-ﻞﺻﻭ: cluc
ﺪﻨﯾﺁﺮﻓ: hpif
ﻩﺰﺑ-؛ﺖﯾﺎﻨﺟ-؛ﻡﺮﺟ: kyaf
ﮎﺎﺧ-ﻭ-ﺩﺮﮔ: tsuc
ﯽﻠﻤﻋ: plik
ﮓﻧﺭ: nlak
ﻦﺘﻓﺭ-ﻦﯿﺑ-ﺯﺍ: nyuc
ﻥﺩﺍﺩ-ﺶﯾﺍﺰﻓﺍ: lyas
ﯽﻨﯿﺑ: hnus
ﻥﺩﺮﮐ-ﺭﺍﺮﻗﺍ: tyim
ﺯﻭﺮﯾﺩ: kfac
hesternal-ﺖﻔﺳ: tlen
ﺖﺴﮑﺷ: slap
ﻪﻣﺍﺩﺍ: tcim
ﻥﺪﯿﺷﻮﭘ: pwam
ﺎﻨﯿﺑﺎﻧ: nlit
ﻦﯿﺟﻭﺩ: tsun
ﺯﺍﻭﺮﭘ: fyap
ﺶﯾﺎﺘﺳ: cwin
ﻥﺎﻄﯿﺷ: cwaf
ﻪﺘﻓﺭ-ﻪﺘﻓﺭ: twic
ﯽﻧﺎﺑﺮﻗ: kyif
ﻦﯾﺮﻤﺗ: cyis
ﻥﺍﺪﺟﻭ: tfin
ﻪﯾﺮﻈﻧ: tlic
ﺮﯾﺯﻭ: myis
ﺕﺮﻔﻧ: hnet
ﻪﭼﺎﯾﺭﺩ: cwic
ﺰﮐﺮﻣ: syun
ﻦﺘﻓﺭ-ﻝﺎﺣ-ﺯﺍ: pfic
ﯽﻘﻄﻨﻣ-ﺲﻨﺟ: hron
ﻖﯿﻗﺩ: fwac
ﺪﯾﺮﺒﺑ-ﺕﺬﻟ: nlam
ﺕﺩﺎﺒﻋ: pwap
ﺕﻻ﻿ﻮﺼﺤﻣ: twap
ﺖﺳﻮﭘ: twaf
ﻒﻘﺳ: tlut
ﯽﻫﺎﺷﺩﺎﭘ-ﺝﺎﺗ: gyan
ﻪﻌﻠﻗ: klap
ﯽﻫﺎﺷﺩﺎﭘ-ﺖﺨﺗ: tcus
ﻪﺘﺴﺑﺍﻭ: nlaf
ﻞﯾﺎﻣ: mlim
ﻁﺮﻔﻣ: krim
ﻥﺍﺪﻧﺯ: fyis
ﻥﺎﺠﻨﻓ: kcip
ﻮﻀﻋ: mlam
ﯽﻧﺪﻣ: syim
ﺎﺟ-ﻪﻤﻫ-ﺭﺩ: tsaf
ﺩﻮﻬﺸﻣ: tfic
ﺮﻫﻮﺷ-ﻭ-ﻥﺯ: pwaf
ﻢﺠﺣ: clam
ﯽﺷﺭﺎﻔﺳ: ksaf
ﻢﯿﻈﻌﺗ: ksun
ﺖﺳﺍﻮﺧﺩﺍﺩ: slut
ﺖﺷﻮﮔ: mwak
ﺮﯿﺷ: hluc
ﯽﻫﺎﯿﮔ-ﺲﻨﺟ: hwen
ﺯﺍﺪﻧﺍ-ﻢﺸﭼ: slic
ﺭﺩﺎﻧ: nlap
ﻩﺩﺍﺯ-ﻪﻟﺎﺧ: ksic
ﻞﭘ: pwut
ﺖﻈﻓﺎﺤﻣ: pfak
ﮏﻤﻧ: swam
ﻩﺎﻨﮔ-ﯽﺑ: hwus
ﻪﮑﻠﻣ: kwim
ﻥﺩﺮﻤﺷ: kcus
ﯼﻭﺎﮑﺠﻨﮐ-ﺲﺣ: hras
ﺺﻗﺭ: tyus
ﻞﺘﻫ: clut
ﻥﺩﺮﮐ-ﺮﭘ: flin
ﯽﻧﺍﺪﻧﺯ: psun
ﻩﺎﮕﺷﻭﺮﻓ: hjan
ﺎﻫ-ﻪﻠﭘ: sric
ﻥﺩﺮﻛ-ﺶﻫﺍﻮﺧ: hmen
ﻦﺷ: sran
ﺪﯾﺪﺷ: hgit
ﺮﺒﻣﺎﺘﭙﺳ: hsem
ﺖﻤﯾﺰﻋ: prac
ﯽﻫﺎﺒﺗ: crin
ﺕﺭﺎﻬﻣ: krin
ﻭﺎﮔ: hwec
ﺕﺍﺰﯿﻬﺠﺗ: hwip
ﻪﻧﺎﺧﺰﭙﺷﺁ: hkon
ﺵﻭﺮﻓ: hbak
ﺖﻋﺮﺳ: hsot
ﻪﺠﯿﺘﻧ: clon
ﺮﺗﻮﯿﭙﻣﺎﮐ: hkot
ﯼﺪﺑﺍ: hsen
ﺩﻭﺪﺤﻣ: mrit
ﻪﻧﺎﺨﺑﺎﺘﮐ: hbek
ﯼﺎﻨﺑ-ﺮﯾﺯ: hbac
ﯽﺠﯿﮔ: hrun
ﻩﻮﮑﺷ-ﺎﺑ: cris
ﺐﯿﺗﺮﺗ-ﻦﯿﻤﻫ-ﻪﺑ: hjic
ﻩﺩﺯ-ﺖﺸﺣﻭ: hbic
ﻡﺎﮐﺎﻧ: prin
ﻪﻟﺎﻘﻣ: hrek
ﻦﺘﺨﭘ: kfin
ﺪﻧﺎﺑ: hbat
ﺮﯾﻮﮐ: hget
ﻪﺳﻮﺑ: hbun
ﭖﻮﺗ: hbot
ﺏﻮﭼ: hpot
ﻝﺪﺟ-ﻭ-ﺚﺤﺑ: hrut
ﻥﺩﺮﮐ-ﻩﺪﻫﺎﺸﻣ: nrak
ﺶﯾﺎﯿﻧ-ﺖﻟﺎﺣ: hbim
ﻪﺟﻮﺗ-ﻞﺑﺎﻗ: hrim
ﺭﺎﮑﻫﺎﻨﮔ: hdis
ﮓﻨﻔﺗ: hgin
ﺲﯿﻠﭘ: plis
ﻥﺩﺮﮐ-ﯽﻔﺨﻣ: hzan
ﺮﻔﺳ: srin
ﻥﺍﺩﺎﻧ: nrin
ﻩﺪﻨﺸﺨﺑ: drac
ﺮﺑﺍ: blan
ﯽﻨﺘﺨﯾﺭ-ﺭﻭﺩ: htek
ﻪﯾﺭﻮﻓ: frif
ﯼﺭﺎﻤﯿﺑ: hren
ﻥﺩﺮﮐ-ﺝﺮﺧ: bwan
ﻊﺒﻨﻣ: sron
ﺭﺎﮑﺘﺑﺍ-ﺩﺭﻮﻣ: hnok
ﻪﻤﻋ: hbam
ﻦﺘﺧﺍﺪﻧﺍ-ﺮﯿﺧﺎﺗ: dlic
ﺮﯿﺧﺎﺗ-ﺎﺑ-ﯼﺭﻭﺮﺿ ﯼﺮﻣﺍ: hlip
ﺵﺭﺍﺰﮔ-ﯽﮐﺭﺪﻣ: prat
ﺐﺷ-ﻪﻤﯿﻧ: dyit
ﻥﺎﻣﺮﻬﻗ: nrac
ﻪﻔﺴﻠﻓ: hfof
ﺖﺸﮕﻧﺍ: hjit
ﺖﺣﺍﺭ: hzat
ﯽﯾﺎﺟ-ﮏﯾ: hmoc
ﺕﺎﻋﻮﺒﻄﻣ: bran
ﻥﺎﻨﮐﺭﺎﮐ: hraf
ﻩﺰﯾﺎﺟ: rwan
ﺶﻧﺯﺮﺳ: dlac
ﯽﺘﺨﺑﺪﺑ: krat
ﯽﻧﺎﺸﯿﭘ: htec
ﺩﻼ﻿ﯿﻣ-ﺯﺍ-ﺪﻌﺑ: glan
ﻪﺘﺷﺮﻓ: htet
ﺩﺮﻔﻣ-ﺩﺪﻋ: hgam
ﻡﺩ-ﻩﺪﯿﭙﺳ: hbon
ﯼﺭﺎﺠﺗ: krak
ﺶﺨﺒﺑ: pran
ﺪﻨﻔﺳﻮﮔ: hcec
ﺮﺒﺻ: hpen
ﻪﻋﺭﺰﻣ: crac
ﯽﻋﺎﺟﺭﺍ: hrec
ﺕﺭﺫ: mran
ﺪﯿﻠﮐ: kcif
ﺖﯾﺮﺜﮐﺍ: hmot
ﻒﻌﺿ: hdut
ﻮﺟ: traf
ﻩﺁ: tcoc
ﺖﯾﺮﺸﺑ: mlis
ﺖﻔﻟﺎﺨﻣ: pric
ﮏﺴﯾﺩ: hdik
ﺎﻬﻨﺗ: hket
ﺪﻨﻣﺮﻨﻫ: nrat
ﻪﯿﻟﺍﻮﺷ: cwis
ﻥﻮﺴﻓﺍ: tran
ﻢﯿﻤﺼﺗ: drin
ﺭﺍﺪﻧﺎﻣﺮﻓ: gran
ﻪﺧﺎﺷ: rwac
ﻊﺿﻭ: hsoc
ﻕﺎﯿﺘﺷﺍ: tsum
ﯽﺋﺎﻘﻟﺍ-ﺖﻟﺎﺣ: hdum
ﻉﺎﻤﺘﺟﺍ: hmum
ﺖﻔﻧ: hyen
ﻪﻟﻮﻟ: hbap
ﭖﺎﭼ: trat
ﻩﻭﺍ: dyoc
ﻦﺨﺳ-ﻪﻨﯿﻣﺯ: hros
ﯽﯾﺍﺪﻧ-ﺩﺭﻮﻣ: hwok
ﻦﯿﺑﺎﮐ: ksen
ﺮﻄﺧ-ﮓﻧﺯ: plam
ﯽﺒﺼﻋ: hnes
ﻲﻤﺋﺍﺩ: hset
ﻮﻗﺎﭼ: ksuk
ﻢﺸﯾﺮﺑﺍ: slik
ﺮﯿﻘﺤﺗ: grin
ﻢﻨﻬﺟ: nrik
ﻢﻫ-ﺯﺍ-ﺍﺪﺟ: plen
ﯼﺪﺟ-ﺭﻮﻃ-ﻪﺑ: mrat
ﻁﻮﻠﺨﻣ: mrik
ﯽﺑﻮﭼ: mrak
ﻢﻫﺩ-ﯽﻣ-ﺢﯿﺟﺮﺗ: hpet
ﺭﺍﺪﺸﻫ: trin
ﺮﮐﺬﺗ-ﺖﻟﺎﺣ: htom
ﻪﺑ-ﻥﺩﺍﺩ-ﻩﺰﯿﮕﻧﺍ: hmos
ﯽﺒﻠﻃ-ﻩﺎﺟ: mrac
ﺭﺎﮑﻧﺍ: hnek
ﻲﺳﺎﺳﺍ-ﻥﻮﻧﺎﻗ: swic
ﺭﺍﺰﺑﺍ: srit
ﻡﻭﺍﺪﻣ-ﻪﺒﻨﺟ: hnip
ﺪﻣ-ﻭ-ﺭﺰﺟ: hgas
ﺞﻟﺎﮐ: klen
ﻡﺩ: hkek
ﻞﺴﻧ: nric
ﻪﺑﺮﮔ: blat
ﻢﯿﻘﺘﺴﻣ-ﯽﮐﺭﺪﻣ: hret
ﻪﮐﻭﺮﺘﻣ: trac
ﻩﺩﺯﺎﯾ: hyec
ﻩﺰﯾﺮﻏ: nlik
ﻪﺼﺨﺸﻣ: trit
ﻪﻠﯿﺒﻗ: hgik
ﻥﺍﺮﮕﻧ-ﺖﻟﺎﺣ: pcim
ﻩﺎﻨﭘ-ﻥﺎﺟ: crat
ﺏﺩﺍ-ﯽﺑ: hruc
ﯼﺭﺍﻮﺳ: hris
ﺵﺯﺮﻟ: hmon
ﺖﻌﻨﺻ: hdot
ﻪﻓﺮﺣ: hres
ﭗﻣﻻ﻿: hdap
ﻩﻮﻬﻗ: kfif
ﻥﺩﺮﮐ-ﺖﻋﺎﻃﺍ: htot
ﯽﻟﺎﻤﺷ: nrit
ﺭﺎﺘﺳﺮﭘ: nris
ﻥﺩﺍﺩ-ﻥﺎﻨﯿﻤﻃﺍ: hjat
ﺮﯿﺠﻧﺯ: ryin
ﻢﯿﻠﻌﺗ: cric
ﺶﻔﮐ: hgut
ﻁﺎﯿﺣ: mram
ﻢﻬﺒﻣ: hmec
ﺮﮕﯾﺩ-ﯼﺎﺟ-ﺭﺩ: hlet
ﯽﻧﻮﮑﺴﻣ-ﻥﺎﻤﺗﺭﺎﭘﺁ: pret
ﺖﯿﻟﺎﻌﻓ: twot
ﻪﺒﻨﺷ-ﺯﻭﺭ: cram
ﺏﺎﺘﻓﺍ-ﺭﻮﻧ: hduc
ﻩﻮﯿﺑ: hwuc
ﺮﺼﻨﻋ: hlem
ﺱﺎﮑﻌﻧﺍ: hfen
ﻥﺎﻣﺯﺎﺳ: hgis
ﻩﺭﺎﺘﺳ: tram
ﻪﺛﺩﺎﺣ: hgon
ﻥﺎﻤﻬﻣ: hgip
ﺭﺎﺑ: brap
ﯼﺮﻄﺑ: hbet
ﺖﮐﺮﺑ: blak
ﻥﺩﺯ-ﻢﻬﺑ: crak
ﯽﻠﺧﺍﺩ: trik
ﺖﺑﺎﺛ: krik
ﻖﺘﺸﻣ: prit
ﯽﻟﺎﺧﻮﺗ: hcot
ﻥﺎﺘﺳﺍ: hpos
ﻥﺪﻤﺗ: srac
ﻥﺪﺷ-ﻥﺍﺰﯾﻭﺁ: hgak
ﻥﺪﺷ-ﻪﮐﻮﺷ: crok
ﺎﻨﺜﺘﺳﺍ: swap
ﺩﺍﮋﻧ: tren
ﺩﺭﺍﺪﻧﺎﺘﺳﺍ: ryan
ﯽﮔﺪﻨﻧﺍﺭ: dran
ﺮﺷ-ﺯﺍ-ﻥﺪﺷ ﺹﻼ﻿ﺧ: hruk
ﺪﻨﮔﻮﺳ: kses
ﺞﻨﮔ: zran
ﻪﻧﺍﺩ: hbis
ﺝﺮﺑ: tras
ﺏﻮﺒﺤﻣ: fwit
ﯽﮔﺯﺎﺗ-ﻪﺑ: hcem
ﺮﯿﺧﺍ-ﻪﺘﺷﺬﮔ-ﺖﻔﺳ: hrot
ﺭﺍﺪﯿﺑ: srik
ﻪﻧﺎﺧ-ﺏﺎﺒﺳﺍ: mrin
ﺏﺎﻨﻃ: hkos
ﺍﺮﺟﺎﻣ: hdas
ﯽﺘﻨﻄﻠﺳ-ﻩﺩﺍﻮﻧﺎﺧ-ﯼﺎﻀﻋﺍ: ryit
ﻦﺸﺟ: dyat
ﻥﺩﺮﮐ-ﻒﯿﺻﻮﺗ: dras
ﺖﺼﺷ: hses
ﺱﺎﯿﻘﻣ: hkem
ﻢﺳﺍﺮﻣ: srec
ﺪﯿﺻ: clik
ﻥﺩﺮﮐ-ﻪﻣﺰﻣﺯ: psus
ﯼﺩﺎﯾﺯ-ﺪﺣ-ﺎﺗ: ryat
ﺖﯿﺤﯿﺴﻣ: ksim
ﻞﯿﮐﻭ: hwif
ﺕﺎﯿﺋﺰﺟ: drit
ﻢﻧﺎﺧ-ﻩﺩﺍﺰﻫﺎﺷ: hrus
ﺏﺍﺮﺤﻣ: dlat
ﺏﻭ: hwes
ﺶﻔﻨﺑ-ﮓﻧﺭ: brin
ﻥﺩﺮﮐ-ﻊﻤﺟ: hkoc
ﺏﺎﺨﺘﻧﺍ: hben
ﺭﻮﺼﺗ: kren
ﺖﺴﻣ: crik
ﻦﺘﺨﯾﺭ: brac
ﻥﺩﺮﮐ-ﺪﻨﻠﺑ: hlif
ﺖﺳﮊ: hjis
ﺖﯾﺮﯾﺪﻣ: rwin
ﻝﺩﺎﺒﺗ: tcen
ﯽﻌﻄﻗ-ﻪﻟﺎﻘﻣ: hdek
ﺭﻮﺗﺍﺮﭙﻣﺍ: mras
ﺭﻭﺩ-ﻩﺍﺭ-ﺯﺍ: hroc
ﺖﺷﺯ: clup
ﺭﺍﺯﺁ-ﯽﺑ: cras
ﻝﻭﺭ: hrof
ﭻﻨﯾﺍ: nlic
ﻪﻣﺎﻧﺯﻭﺭ: grat
ﺶﯾﺭ: dric
ﻥﺩﺍﺩ-ﺮﺟ: srim
ﻥﻮﯿﺴﯿﻤﮐ: kson
ﻪﮑﯿﻟﺎﺣ-ﺭﺩ: grak
ﺭﻮﺒﻋ: kcoc
ﻝﻼ﻿ﻘﺘﺳﺍ: htes
ﻮﺑ: hwon
ﻩﺪﺠﻫ: hdec
ﯽﺨﯾﺭﺎﺗ: tris
ﺖﺷﺭﺩ: krut
ﻪﺸﯾﺭ: hrok
ﻞﮔ: hbik
ﺱﻭﺮﻋ-ﻩﺯﺎﺗ: dlan
ﻪﻧﺎﻧﺯ-ﺭﺩﺎﭼ: pras
ﺮﺗﺎﺌﺗ: tret
ﻪﺴﯾﺎﻘﻣ: kras
ﺐﯿﻗﺭ: rwis
ﻝﺩﺎﻌﺗ: slen
ﯽﺑﺮﻣ: kron
ﯽﻌﺒﻃ-ﺥﻮﺷ: hnum
ﻥﺎﻣﺭ: rwas
ﻡﺎﻘﺘﻧﺍ: hbaf
ﺩﻮﺴﺣ: ryut
ﺥﺮﭼ: hlok
ﻪﺘﺧﻮﺳ: glat
ﻥﺩﺯ-ﻕﺮﺑ: flac
ﻥﺩﺭﻭﺁ-ﺩﻮﺟﻭ-ﻪﺑ: hkec
ﺩﺎﻀﺗ: hnot
ﺖﻨﻌﻟ: hlos
ﺰﯿﻣﺍ-ﺖﻨﻌﻟ-ﺖﻟﺎﺣ: pram
ﻩﺪﻧﺎﻣﺭﺩ: hces
ﺖﺒﺜﻣ: hzit
ﻩﺎﮕﺷﺎﺑ: klup
ﻞﯿﺳ: nras
ﺕﻼ﻿ﻏ: gwan
ﯽﮕﻗﻼ﻿ﻋ-ﯽﺑ: hdun
ﻖﻓﺍ: crim
ﯽﺿﺮﻓ-ﺖﻟﺎﺣ: hsom
ﺪﻨﺗ-ﺐﯿﺷ: htop
ﯽﻧﻮﻣﺭﺎﻫ: mron
ﺪﻋﺭ: hgot
ﯽﮐﺩﻮﮐ-ﻥﺍﺭﻭﺩ: htok
ﻮﻧﺍﺯ: hgun
ﺭﺍﺰﻓﺍ-ﻡﺮﻧ: pwen
ﯽﮔﺪﯾﺩ-ﺐﯿﺳﺁ: kram
ﻝﻮﺻﻭ-ﻡﻼ﻿ﻋﺍ: ryis
ﻦﺘﺧﺎﺳ-ﺭﺩﺎﻗ: nlim
ﯽﻣﻭﺭ-ﻢﯾﺪﻗ-ﻡﺍﺭﺩ ﺖﻤﺴﻗ ﻦﯿﺘﺴﺨﻧ: hpoc
ﺵﺰﻐﻟ: slok
ﺏﻼ﻿ﻘﻧﺍ: hrif
ﺭﺍﺩ-ﻪﻋﺭﺰﻣ: hjim
ﻪﺑﺮﺿ: trak
ﻮﮑﺳ: hpof
ﻝﻮﺳﺭ: hmes
ﺯﺎﯿﺘﻣﺍ: hpek
ﻪﺘﻓﺎﯾ-ﻥﺎﻣﺯﺎﺳ: hyot
ﻮﺠﺸﻧﺍﺩ: clen
ﺭﺎﻏ: hgec
ﺖﻨﺳ: rwat
ﯼﺩﮊﺍﺮﺗ: tses
ﯽﻈﻓﺎﺣﺍﺪﺧ: hjap
ﺩﺎﻘﺘﻧﺍ: ryik
ﻪﺒﻨﭘ: krap
ﻥﺎﺘﺳﺭﺎﻤﯿﺑ: slot
ﻥﺩﺮﮐ-ﻩﺭﺎﺟﺍ: kris
ﺭﺎﺨﺑ-،ﺯﺎﮔ-،ﺩﻭﺩ: hges
ﺮﯾﺬﭘﺎﻧ-ﺏﺎﻨﺘﺟﺍ: pwic
ﺭﺎﺒﮔﺮﻣ: hgim
ﮒﺮﺑ: glit
ﺭﺎﺸﺘﻧﺍ: plun
ﻢﺻﺎﺨﺘﻣ: tsup
ﻪﻤﺟﺮﺗ: dwan
ﯼﺭﺎﭙﺴﮐﺎﺧ: jran
ﺭﺩﻮﭘ: mrun
ﺕﺎﺒﺗﺎﮑﻣ: ryon
ﮏﯿﺘﻧﺎﻣﻭﺭ: hrom
ﻪﺒﻠﮐ: clun
ﺩﺎﻬﻨﺸﯿﭘ: psot
ﺪﯿﻠﻘﺗ-ﻪﺑ-ﻪﺘﺴﺑﺍﻭ: hmet
ﺭﻻ﻿ﺩ: dlon
ﻦﺷﻭﺭ-ﺯﻭﺭ: hjac
ﻩﺩﺰﻧﺎﺷ: hsos
ﮊﺎﺘﻧﻮﻣ: hzac
ﻩﺮﻤﻌﺘﺴﻣ: klon
ﻝﺎﺑ: gyin
ﺮﯿﺷ-ﻥﺍﻮﯿﺣ: hles
ﮓﻨﻫﺮﻓ: klut
ﻥﻮﺘﺳ: hkom
ﯼﺮﮔ-ﻪﻠﯿﺣ: glak
ﻡﺍﺭﺩ: dram
ﯽﺧﻮﺷ: hjuc
ﺭﺎﺒﻏ: hdus
ﻭﺭﺍﺩ: dwas
ﻩﺩﺭﺎﻬﭼ: hkes
ﺪﯿﺳﺍ: sram
ﯽﻨﻌﯾ: hyet
ﺪﻣﺁﺭﺩ: hmok
ﻒﻘﺳﺍ: hbip
ﯽﺠﻧﺭﺎﻧ: tron
ﻥﺍﻭ: byan
ﻪﯿﻟﻭﺍ: rwit
ﺪﺒﺳ: ksek
ﺮﯿﺑﺩ: sris
ﯽﻧ: prak
ﺮﺒﺻ-ﯽﺑ: pfif
ﺕﺎﺠﻧ: slon
hodiernal-ﺖﻔﺳ: dlin
ﺪﺼﻗ: zrin
ﺭﺎﺨﺑ: tcip
ﻢﺳ: hwoc
ﺩﺍﺪﻌﺘﺳﺍ: tlon
ﻢﯿﻠﻗﺍ: lwim
ﺭﺍﺬﮔ-ﺮﻴﺛﺎﺗ: fric
ﻥﺩﺍﺩ-ﺰﯿﻤﺗ: tcif
ﻮﺸﺘﺴﺷ: dwac
ﺭﺍﺮﻗﺍ: kfis
ﻑﺮﺧﺰﻣ: hjas
ﮓﻨﺳ-ﻝﺎﻏﺯ: kyon
ﯽﻧﺍﺭ-ﻖﯾﺎﻗ: kwon
ﺖﻗﻮﻣ: tric
delimitative-ﻪﺒﻨﺟ: hdip
ﻥﺍﻮﺨﺘﺳﺍ: hcos
ﻪﺒﻨﺷﻭﺩ: nwic
ﻪﺒﻨﺸﻬﺳ: glac
ﻪﺒﻨﺷ-ﺭﺎﻬﭼ: bwac
ﻝﺍﺭﺪﻓ: frin
ﺏﻮﻠﻄﻣ: hzic
ﻩﺪﻨﯾﺎﻤﻧ: ryic
ﯽﻧﺎﺘﮐ-ﻪﭼﺭﺎﭘ: lwin
ﯽﯾﻮﺸﻓﺮﻇ-ﮏﻨﯿﺳ: swuk
ﺭﺩﺍﺮﺑ-ﺎﯾ-ﺮﻫﺍﻮﺧ ﺮﺴﭘ: bwin
ﻦﯿﻧﻮﺧ: kric
ﻩﺮﺻﺎﺤﻣ: cren
