bezokolicznik: hnit
pracowitość: dwin
sprzeczność: trot
osiągać: kfic
Koza: byak
zakrętas: hfet
nakładać: mlon
anonimowy: nwim
formalny-zarejestrować: frit
cielę: hbof
instrukcja-obslugi: mwut
stopić: hjec
kasować: flas
parasol: gras
but: bzut
minerał: mrim
rozejm: crus
kaczka: hbok
planowanie: pfam
mydło: hsuf
lalka: gwak
szkielet: klet
willa: blis
szycie: jlin
pogodzić: dyak
czajnik: kset
dojrzały: mruc
królik: kruc
konduktor: nwot
zależność: djat
gracz: jlic
owad: pset
restauracja: cret
sowa: lwun
rodnik: djik
rezydent: zwin
smok: dron
słuchowy-dowodowy: drot
spragniony: kyos
marudzić: dren
obliczenie: glun
regulacja: ryim
burmistrz: mlap
mniejszość: mric
nabycie: dwon
weteran: bren
orkiestra: ryes
boczek: bjin
niekorzyść: zwat
tkanina: frap
muzyk: gzik
umysłowo: hnep
spójnik: nyon
niewystarczający: nrip
architekt: tsek
cytrynowy: nyim
kaszel: kcos
bol-glowy: crek
najemca: ryet
płodność: srun
leczyć-się: hfoc
dziewięćdziesiąt: nwon
losowy: hbec
łyżka: kcek
balon: blon
kreda: hfip
inferential-dowodowy: nlet
wydawca: pcot
ocet-winny: sruk
popiół: fyec
dopełniający: slek
wskrzesić: nrut
podatny: kfim
tunel: tfun
puzzle: hpef
mechanizm: mwim
matematyka: gzit
blaknąć: frun
wątroba: jwin
sublative-sprawa: bwik
zanurzać: dris
jednostka: twim
monopol: hnop
hazard: hgup
Łódź-podwodna: bzin
trzęsienie-ziemi: hbem
laboratorium: brot
korek: kruk
samego-siebie-kontrola: syot
budda: hbus
robić-na-drutach: bjat
ambasada: blas
najdalej: sres
deklaracyjny-humor: drim
bodziec: tyuc
czekolada: clot
zbieg-okoliczności: tyon
rękawica: gwat
klęczeć: hjek
geografia: hjif
inwestycja: nwes
słowny: mrec
analogia: nlip
świecki: srek
jastrząb: blap
psychologia: nloc
przymocować: gjan
skrawek: krep
rola: cyum
dawka: hdos
łosoś: slom
pudding: pwun
magnetyczny: gyik
pompa: pcom
tlen: ksip
certyfikat: tfot
medal: hmem
retoryka: trok
zeskrobać: rwap
wiosło: dyas
teleskop: trip
naszyjnik: clek
pisownia: prif
whisky: hwos
wierzba: hwof
wielbłąd: hlum
amator: myet
wyjście: crec
biografia: brif
osioł: gzac
miesięczny: mwis
ignorować: nruk
wakacje: byit
trzask: lyik
owalny: twon
elastyczny: lyet
słownik: kfon
szynka: gzam
tęcza: rwun
konsumować: kcum
pluć: tcup
czołg: trek
kolega: clok
latające-masło: trif
wykres: graf
bliźniak: jwat
niezależnie: trem
bambus: hbum
kupiec: jlat
akumulacja: kles
inspektor: nyet
kąsek: hyos
koszmar: hbom
dżem: gjam
muzeum: mrem
alfabet: lwam
rozpraszać: zras
nalot: crip
ujawniać: clus
gnić: fraf
agresywny: gris
tarcie: mroc
molo: gyac
pająk: brik
ziemniak: trut
rewizja: cwon
chciwość: jlac
przedwczesny: ryot
zwielokrotniać: gzan
spin: pcip
Statystyka: tsok
kalendarz: klem
nominacja: nwen
trylion: tlos
poddasze: tlok
twierdzący-humor: rwim
Aplikacje: pfen
nominalny: nlon
niezadowolenie: sraf
zakażenie: hfok
dzban: krot
wzruszać-ramionami: cyok
pionier: gzin
pominięcie: nlif
kapusta: glic
atletyczny: tlet
pijaństwo: mrut
idiofony: hdof
dźwignia: lwek
senator: syem
irys: nrif
mrówka: mwam
pluskwa: hbop
w-ciąży: grim
osad: hjet
kostka: tcok
klasyfikacja: glik
zmienna: prim
owinąć: ryap
kręcone: krec
siarka: hsef
dyktować: dwik
wyłaniać-się: brun
żaba: fram
nadmierny-sprawa: twek
gąbka: hjen
irytujący: djon
wiewiórka: slip
szlifować: zyin
irrealis-humor: flim
wulkan: glam
wewnątrz: gron
wykorzystać: kloc
geologiczny: jlik
paszport: psop
niemoralny: mlet
Herbatnik: hbuk
współpraca: kros
tablet: tlot
relaks: kces
atom: trom
AIDS: hzip
piramida: psim
cykl: swok
drzemka: hnup
bezprawny: hjaf
łapa: pfap
nieśmiałość: crom
zaćmienie: klip
lutnia: lwap
miotła: srum
płyta: mwen
astronomia: tcom
labirynt: blen
stypendium: bwit
żółw: kfuc
doradca: dwak
włókno: fwic
krykiet: jrik
gołąb: ksom
dostosowanie: dyon
trójkąt: tfon
skarbnik: tsen
wodór: jron
kruchy: hfuk
drukarka: pyet
dławić-się: tcof
chroniczny: gzon
sprostać: slaf
dylemat: dlim
inżynieria: jyin
aparat-fotograficzny: hkef
przepraszać: pluc
lizać: lwet
tancerz: dret
emigracja: mres
tenis: tces
kręgosłup: clip
smażyć: zrac
warsztat-tkacki: tfuc
zasztyletować: twuc
Hasło: psaf
półkula: praf
strategia: zrit
kwarc: krus
nożyczki: jris
patrol: proc
lodowiec: lwic
wpół: dwam
memorandum: mwap
stożek: kwuc
symetria: hzut
producent: zrak
pozwany: fwik
meczet: djis
szachy: cres
myto: htof
wiśnia: tref
rozpowszechniony: kfen
potknąć-się: tfok
ciężarówka: ryok
musztarda: mros
procent: pfet
Aukcja: jlam
sito: srif
niepewny: swoc
magnes: gjat
ssać: syus
islam: slum
chodzić-na-palcach: twip
membrana: mlen
golić-się: clet
gitara: gjit
błyszczący: bzan
wiąz: hyem
szybować: kcom
zaimek-znacznik: ryec
zszywka: pcus
przyprawa: zlat
kaucja: jlas
nośnik: zyac
wibracja: bron
droczyć-się: trus
pług: hlom
fizjologiczny: zlik
rynna: hgok
kometa: cyet
średniowieczny: dyic
wróbel: grec
kompensować: twet
Plastikowy: psuk
notatka: cyot
orbita: rwot
oszczędny: twum
golf: hgof
zero: zrun
żeton: tcep
uciskać: prok
ziewać: gjac
nierówność: gwas
kret: tloc
garncarstwo: frik
gospodyni-domowa: hgif
żyto: rwem
być-nieposłusznym: hyes
tolerancyjny: glon
zarodek: brec
górnik: jren
bić-brawo: zlac
drożdże: lyim
premia: pfim
śliwka: plem
bankructwo: byas
nawadnianie: rwif
mennica: nyun
kapitalista: glis
elastyczność: hlef
rekin: gyak
rekrut: drut
przechowywanie: zren
realizm: cles
imbir: djic
ambulans: blus
porównywalny: kwip
portfel: bjap
grymas: glim
naukowiec: gyis
jelito: grot
spokój-umysłu: hwum
radio: href
nieistotny: zlit
fasola: bwam
nieformalny: frim
wnuczka: gyut
niezgoda: dloc
stek: tfek
azot: zron
brzytwa: hjut
kontrastujące: krom
propaganda: pcoc
fajerwerki: fris
muzyka-pop: pcop
rozbierać-się: crop
bruzda: cruc
szkodliwy: hzaf
judaizm: hjum
uzupełnienie: pluk
obiektyw: lyes
pegative-sprawa: pwek
nowotwór: kfes
pionek: pyek
wykładowca: zyat
nieszczelność: hzuk
zakwalifikować: krif
gęstość: djot
indukcja: dyis
żuć: htuf
gadatliwy: bzit
Homar: hgos
obniżka-cen: dyut
Taxi: tsuk
hierarchia: crem
jadeit: gyec
warczenie: glaf
jaszczurka: lyis
wodospad: crof
niezadowalający: djak
weto: frot
przewodnictwo: ryip
kupujący: mrif
galon: jlen
komar: mruk
odchylenie: dwen
zmagać-się: lyut
mozaika: myok
wtyczka: plok
kucać: pcuk
sklep-spożywczy: ksoc
komunistyczny: myos
zadziwiać: mwek
prosecutive-sprawa: rwuk
konstelacja: nlos
dyktator: dwit
zaabsorbowanie: tyet
satelita: tlec
pantofel: hlop
spółgłoska: fyon
przybliżony: tsif
bezrobotny: byet
kibic: sros
lotos: lwot
sałata: sles
chlorek: lwok
bakteria: bwic
lepki: pcek
składnik: bwon
jądro: klec
udać: bjak
bajt: bzet
wydzielanie: sruf
wyraźnie: pres
zbiec-się: mloc
balet: blet
mocz: mrus
czosnek: lyun
Kapitalna: hguc
ekonomika: kcem
klasa-średnia: hdom
zwinny: gjic
szczypce: htef
pralnia: lyoc
truskawka: srem
miejski: pcos
zawstydzić: mlaf
notatnik: tfut
album: zlam
baseball: hbep
wąchać: sluc
bufet: hbuf
imiesłów: rwip
garaż: grek
diagnoza: djas
krocze: ksuc
wymusić: srom
rejestracja: psuc
rozpuszczalny: jlun
fosfor: psof
strukturalny: rwut
klej: glum
Praca-dyplomowa: twes
rzemieślnik: clif
banan: bwas
aksjomat: kyom
żebro: psos
nikiel: nyek
liczba-pi: pyim
autobus: bwos
cenzor: swes
pocisk: mlus
kiełbasa: slos
manipulacja: nlut
pomidor: tfet
wzmacniać: kfut
gniazdo-elektryczne: syok
potas: tsom
odzyskać: prup
wirtualny: zwit
algebra: gjas
dentysta: dzit
optyczny: pcok
drgnąć: bzen
biologia: bwim
bezrobocie: byim
gąsienica: krum
solo: slof
przeglądarka: bjac
zdalny-przeszłość-czas: nyot
historyczny-czas: crep
jądrowy: nluk
widmo: pyem
sód: syom
histeria: syes
powiernik: tyos
zakładnik: byik
gurda: gluk
marszczyć: kwuk
przezroczystość: tfif
kolec: swip
priorytet: pcif
pieszy: dyen
ateizm: tsem
monitor: mwot
okręg-wyborczy: nlec
niekontrolowane: hkof
sonda: grok
platyna: plip
podwójny-numer: dlun
płuco: pcep
Wspaniały: syup
wózek-sklepowy: trop
lokalnie: lyot
nawoływać: gzat
benzyna: plif
nerka: grif
łup: bzac
ocenianie: dlen
arsen: syek
ślimak: nrok
konik-polny: tsec
równanie: fwen
socjalista: swos
filtr: flot
sensoryczny-dowodowy-humor: hxin
poszerzać: kyot
emitować: mwet
smycz: pwet
mandarynka: drun
jockey: hjok
zapalenie-płuc: hnof
solidarność: gret
zawias: cyif
wzdłużny: nruc
dywidenda: dwun
łyżwa: hkep
wykładnik-potęgowy: slop
inwalidztwo: dlif
obsesja: bwen
przydział: pfun
fotograf: trof
delta: dlet
cyfrowy: djim
suka: brut
powieka: hyop
przekątna: dyun
podświadomy: byon
brew: bruc
kichać: pcec
wesoły: dlis
hinduizm: nwum
uchodźca: nyif
czółenko: cwot
białko: pwot
wysypisko: hdop
oczyścić: flen
wymiotować: hwom
gen: gyen
student-pierwszego-roku: hdem
socjologia: syoc
zdusić: kwoc
rybak: hfuc
regionalny: jyen
ruch-pod-górkę: hvok
z-mocą-wsteczną: hxik
tornado: gyon
odwrócenie: nwos
telewizja: twif
sześcian: kfet
wydajność: pwuk
marchew: krop
molekularny: mwuk
konglomerat: glet
księgowa: ksum
ogórek: kyok
orgia: drok
rozpuszczalnik: jlet
fosforan: psef
elementarz: gwik
alkaliczny: flis
gimnastyka: jyas
przecinek: kwom
ruch-spadek: hvat
poronienie: jwac
strąk: tcop
dawca: dzon
mangan: hzem
psycholog: syos
chlor: clos
klawiatura: kyoc
elita: zyit
nawias: pfaf
rugby: rwoc
wrzód: jlon
fleksyjny: hxit
skubać: nres
kwant: fwam
sweter: swek
ewolucyjny: fwis
notacja: nyoc
odbić-się: tcuf
sekcja: drec
Pamięć-podręczna: kcep
liniowy: lyec
antymon: trum
superessive-sprawa: psek
guz: twom
erozja: cyos
alfa: flaf
pępek: nwip
odporny: myip
grypa: flun
browar: bjit
upraszczać: slef
ograniczać: bram
wygięcie: djen
urzec: dwim
przymusić: brok
skarpetka: bzas
film: fyim
kosmos: klom
zanieczyszczać: hpuf
towarzyski: gjen
penis: zyis
leśnictwo: lyif
aluminium: lwum
oscylacja: zlon
horoskop: ksop
wyrzucać: dlek
włączenie: nluc
beneficjant: byic
delfin: dlip
zabójca: cyus
ssak: myaf
wskaźnik: swif
dwutlenek: dwis
dwukropek: zlen
biurokracja: brus
zniekształcać: jric
lodówka: frip
archeologiczny: cluk
gorszący: kwok
specyfikacja: pfis
ulotka: pfut
antropologia: nlom
pyszne: kyec
przechodni: txit
czołgać-się: kwus
słonecznik: hzuc
wesz: glus
jon: lyos
turystyka: tyum
modem: myom
przyśpieszenie: jrun
fałszować: tsoc
emisja: hmef
porwać-kogoś: drap
zakładka: hwep
fryzjer: pfes
folklor: floc
kapilarny: plek
nacjonalizm: nlum
zad: nros
motyw: hmuf
sublimować: slem
udaremnienie: xras
kobalt: kwos
owies: gwam
ruch-upriver: trup
odbyt: gyam
wołowy: bwun
trzepnięcie: flip
nadmierność: dzun
wideo: hwop
bojkot: bjik
kartkówka: cwif
hokej: cwok
partyzant: grip
magnez: hgem
radar: drek
szympans: hzif
niezawodność: kwif
prostokąt: tyec
wodorosty-morskie: klep
generalizować: jlak
cisza-nocna: kfec
homoseksualista: mlok
scenariusz: srop
sformułowanie: flus
reinkarnacja: nrom
zapalać: zlak
uran: ryum
łapacz: kwes
koordynować: kyop
podatnik: nwaf
zintegrowany: trep
zawyrokował: hzap
gamma: hxam
safari: fwim
ruch-downriver: ht6n
współczynnik: kfus
nagłówek: zlic
analityk: nles
Szach-mat: hzes
centrum-handlowe: hmof
bizmut: bzim
Pocztówka: psok
konwergencja: bros
błądzić: djet
akcjonariusz: ksem
mikrob: mrip
płciowy: jwit
morfologiczne: mluk
beta: byot
dżinsy: gjis
Baza-danych: tles
kalkulator: klus
rentgenowski: ksef
analizować: zram
środowiskowy: zyen
sigma: zyim
dysjunkcja: hxon
program: gres
wiza: bzis
infrastruktura: nyuk
robaczek-świętojański: gyun
detektor: tyek
adaptacyjny: dyip
biolog: byis
splatać: pyec
brom: brom
paladium: plum
czkawka: kfok
pastel: psec
ogród-zoologiczny: zwac
klinika: lyok
konotacja: nwoc
joga: hjoc
księgarnia: byun
terapia: grap
nacjonalista: zlis
ściąć-głowę: zlet
tak: swec
problematyczny: byam
jazz: dzas
wolfram: tsof
terrorysta: gwis
dryblować: droc
metabolizm: tlem
alimenty: lyaf
weekend: hfom
chryzantema: gzim
szczepionka: byap
motocykl: tyok
mantra: dyot
semestr: myes
heroina: gwon
teczka: flap
katoda: kfoc
ideologia: dlec
parking: prek
theta: fret
rozczarowanie: hxis
selen: clem
jazda-rowerem: blek
kora: pros
równorzędność: swaf
obecny-Znaczenie,-związek z tematem znacznik: hxak
Lotnisko: cwoc
odciąć: gyet
Koszykówka: bwet
oszust: mwip
karaluch: tlek
chrom: hgom
litr: hl6t
niemniej-jednak: nwec
hormon: cwom
wadliwa: tluc
przedziurawić: prec
animizm: nyom
wielokąt: cloc
feminista: hfes
sprzężony: kcop
euro: dros
żeń-szeń: hjes
algorytm: hlof
laser: lwes
apteka: dlot
milimetr: mlem
zgiąć: flek
anoda: nlok
niuans: hzus
w-niepełnym-wymiarze godzin: prem
wrażliwość: nyec
demonstrator: drom
hel: clum
dwujęzyczny: dzic
akronim: hqim
initialism: nl6m
rzeczownik-odsłowny: gros
osocze: psem
chromosom: rwom
porządkowy: rwok
kilometr: klum
faks: tfes
genetyka: nwek
pieg: frek
śrubokręt: dres
brokuł: blok
Preterite: xrit
witamina: tyem
kadm: kyem
bombowiec: bwoc
graficzny: gjik
tytan: dyim
popisywać-się: clec
lambda: lwem
przyjaciółka: pcem
spółkować: kyuk
klepsydra: tlus
empatia: mlif
bor: bres
śmigłowiec: cwet
tellur: tlum
ostateczny-termin: jyic
wyrównać: gwic
centymetr: hfem
molibdenu: mlom
lit: tfim
multimedialny: myum
aktualizacja: dyet
kaloria: clom
robot: ryoc
Praca-domowa: groc
logarytm: grom
modliszka: gzas
zainstalować: nwut
amino: myoc
glifów: glif
aoryst: pyos
ekologia: plec
sophisticate: flok
marihuana: bjam
mikro: mrom
kilogram: lwom
przejadać-się: jrot
możliwy-do-przewidzenia: dzik
pizza: zyas
podsłuchiwać: zris
językoznawstwo: bwis
ostrzyżenie: braf
iryd: ryom
rasizm: gwim
optymalny: gyim
uprzemysłowienie: drif
centrala: krup
cer: zrim
przystający,-zgodny: nrum
cząstkowy-sprawa: pxik
kaseta: ksep
siła-woli: blot
wymiarowy: dzen
parametr: rwet
synchronizować: nrop
wyolbrzymiać: dzim
seminarium: mwec
dyskoteka: dyok
neon: nyok
osm: hzom
Święto-Trzech-Króli: hp6n
popełnić-plagiat: lyap
artefakt: rwek
reaktor: fyet
oregano: ryop
pluton: pwum
itr: tyom
augmentatywny: hxat
nazwa-użytkownika: mrum
podyplomowy: zrot
prawica: dwaf
argon: jros
fobia: hxot
uspołecznić: sluk
globalizacja: bluc
długość-fali: hnef
kodować: kfom
recykling: psoc
restart: nrek
zapalenie-wątroby: pyes
torus: fros
chemoterapia: myep
modulo: mwok
proton: zwot
dyskietka: dwet
miligram: mlum
piksel: psep
tantal: twem
substancji-rozpuszczonej: hjot
ludobójstwo: nyos
drapieżnik: rwes
gal: glem
cyrkon: hzum
determinantem: txin
nieliniowy: nlem
pestycyd: pyif
beryl: brem
neuron: nrus
predykatywny: pxit
slipy: tlif
silnia: kref
neutron: zrut
niob: nwom
german: hjem
metaloid: tlop
położyć-na: dlap
prolative-sprawa: hl6k
bioróżnorodność: jwic
drążek-sterowy: jyok
antybiotyk: twok
aktyn: gjim
astronauta: srof
pozaziemski: tyes
głupek: hwup
maraton: mrof
iterb: zwim
autyzm: tyif
zjonizować: nlof
radon: cwos
Nerium: nrem
epidemiologia: pwip
podeszły-wiek: lyuc
kemping: kyep
pasiasty: drip
ind: nyum
veridical: hvik
Strona-www: bwes
Koran: kwek
sztućce: fwet
nth--korzeniowy: tfec
lorens: lyem
prawa-obywatelskie: glip
telefon-komórkowy: mlof
sparaliżowany: twoc
protaktyn: prum
promieniowanie: hd6n
zależeć-na: pxin
tor-atom: hxim
niebiesko--Jean: bjun
roślina-domowa: hxas
indywidualnie: dvit
Przepływ-prądu: lwuk
triple--punkt: ht6t
Ludzkie-ciało: hn6n
fizyka: bzik
sprzedaż-sklep: hxan
cez: hs6m
długi-temu: hqan
arkusz: hxet
Jednostka--of--mas: hn6m
skompilować: ml6n
Wartość-binarna: vrim
człowiek-istota: nyus
przez-znaczy-z: hvan
depan-dari: pxat
prazeodym: pyom
karton: kxat
skończone-czasownik: hqik
próba-numer: hr6n
zawodowiec-zdanie: hr6t
krytyk: hk6k
Opakowania: pxas
nietrwałość: pxan
w-większość: txas
deskryptor: drop
neodym: nyem
przyjaźń: hvit
czytać-tylko: xyak
zakłada: xwan
gnomiczny-humor: kxin
fonem: hxom
racjonalność: xlit
fonologiczny: xlin
jadalnia-pokój: hxac
życie-pokój: hxic
centryczny-sprawa: zrik
pre-hodiernal: hx6n
cierpliwy-sprawa: hqak
ukośny-sprawa: bwok
wiejski-powierzchnia: hqat
-recurse: hr6s
środkowy-głos: dyos
Meitner: hm6m
poczty-przewoźnika: hvak
wymijający: kxit
Zbiory-rynek: xrak
zidentyfikowania: hxap
cel-cyngiel: krof
sekundę: hxen
lative-sprawa: dvak
racjonować: hr6c
nie-człowiek: hg6n
życie-rzecz: hvic
także-mało: hxut
film---teatr: hvin
has: xyim
odfermentowujące: ty6t
multal-numer: ml6m
mleczny-droga: txam
neptun: nwem
Autor-widmo: txik
trans-liczbowy: ts6s
wygłupiać-się: hqun
ameryk: myem
ranek-chwała: txan
strażak: xran
Berkelium: blem
galaktyka-płeć: kxan
nobel: blum
do-widzenia: hvac
buddyzm: hfum
ferm: frem
cyan: xyan
soja: syof
dystrybutor: qrit
łamistrajk: txak
edytor: ples
abessive-sprawa: bvak
adessive-sprawa: dvik
do-sprawa: kxak
agentive-sprawa: dvek
rutherfordium: hr6m
przeciwciało: txip
tak-jak-dużo tak jak: hjos
agent-cyngiel: hg6t
aktor-rola: xram
etydyny: txim
wspólny-płeć: hk6n
accompanier: kl6n
szafranowy: kxam
francium: fyam
erb: ry6m
pasywny-głos: xyis
astat: hqit
żucie-guma: hqam
gwiazda-płeć: hqin
cytat-formularz: ht6m
kiur: jrim
komiks: kxis
ślepy-na-kolory: hqon
euler's-numer: hl6m
wygląd-w: kxas
Przejściu: pwok
pole-bitwy: txat
kierowca: vrit
zwarcie: txok
werbalny-rzeczownik: hvis
płakać-na-zewnątrz: hk6t
statystycznie: xyit
jogurt: txot
ksenon: hs6n
zahipnotyzować: hxif
brać-poza: hxaf
Klauzula-ogon: hxok
bezpośredni-obiekt: dwot
sklep-spożywczy-sklep: kxun
składać-się-z: hm6t
ergative-sprawa: gvik
w---języka: txic
z-pierwszej-ręki: pxam
miejscownik-sprawa: hqok
basen: slup
przysłówkowy-sprawa: vlak
zwiedzać: hqas
telewizja-nastawić: ht6s
finał-cząstka: xlik
evitative-sprawa: hvek
rehabilitacja: xlat
regresja: xris
blok-z-mieszkania: kxot
budzić-w-górę: hxup
policja-oficer: ps6s
przysięgam-w: vran
przeprowadzający-wywiad: qrat
ren: ryem
aerosol: xres
zaborczy-sprawa: kxik
nominalization: mlec
opętany-sprawa: dzak
przeciążenie: pxak
pomocniczy-czasownik: xyik
Podstawowa-obiekt: mlut
wirus-komputerowy: prus
biznesmen: hqis
za-ludzie: hqen
antessive-sprawa: ts6k
Premier: pxis
lutet: lyum
europ: rwum
emote: xrot
muzyka-ludowa: zyik
poeta: vwit
Poczta: pxot
podobno: hvas
animować-płeć: hven
subessive-sprawa: bvik
pedał-gazu: glep
biegunowość: pr6t
pojazd-płeć: vlin
minerał-płeć: xrin
czasownik---przyrostek: hvif
namiętny: pc6n
samar: sr6m
moderator: hs6t
urojone--unit: xyin
prędkość-światła: kxac
siły-Powietrzne: hxes
empatyczny-radość: pfec
punkt-krytyczny: qyit
pełny-etat: hxem
hafn: xyam
zahamowanie: hn6s
zmiana-z-zdarzenie: qrin
holmium: xlim
różne-zdarzenie: hf6t
wszechświat-płeć: hvip
miejscowość-płeć: kxen
wirtualny-maszyna: hvim
Badania-płeć: txen
artystyczny-płeć: ts6n
crastinal-czas: sl6t
abstrakcyjny-płeć: srep
exocentric-sprawa: zrek
przechodni-czasownik: txif
morfem: tfom
szowinista: dvis
przeszłość-perfektywny: xrat
zawodowy: hy6n
pośredni-przemówienie: tyoc
Sekunda-język: draf
do-być: txis
cmentarz-zmiana: vrak
kolektyw-rzeczownik: hxos
absolutive-sprawa: bvuk
cierpliwy-cyngiel: tr6t
samego-siebie-pewność siebie: hs6s
kał: hzos
zwrotny-głos: hf6s
bezosobowy-czasownik: hxek
seaborg: br6m
spacje: hxep
modalny-sprawa: dlok
nieożywiony-płeć: hj6n
przyczynowy: qran
propositive-humor: psom
elektryczny-aktualny: tr6n
asocjacyjny-sprawa: nwok
superlatyw-sprawa: tluk
także-dużo: xyut
planetarny-płeć: pxen
ożywiony-rysunek: nwuk
odwrotność-głos: vrik
wprowadzać-ustawodawstwo: hqaf
w-najmniej: vlas
gramatyczno--case: qrak
użytkownik: pxut
rdzeń-benefactive: kfef
bramkarz: hgop
:-except-for: kcef
mianownik: dvan
else--if: lyek
bokiem: hx6s
wzajemnie: dles
kolejny-klauzula: lyuk
ścieranie-się: hxun
spodenki: ht6k
dysproz: prom
wkrótce-przyszłość-czas: rwec
si-jednostki: vyin
krypton: kxon
mendelew: dlem
aplikacyjnych-głos: hp6s
antipassive-głos: tsef
continuative-aspekt: ht6p
promieniowanie-chorobowe: hr6k
necessitative-humor: hn6t
pojedynczy-czynność-czasownik: hqek
torpeda: xlak
superlatyw-stopień: tlup
egzystencjalny-klauzula: hs6k
kaliforn: kf6n
obecny-imiesłów: vrat
świetlny-intensywność: hc6t
singulative-numer: slus
gramatyczno---obiektu: hy6t
pasywny-imiesłów: vris
nadmierny-trwanie: kxic
płynu-w-stanie nadkrytycznym: sr6t
ilość-z-substancja: ks6t
postpositional-sprawa: pxok
obieralny-kwantyfikator: lwif
gadolin: dl6n
epentetyczny-morfem: hp6m
przeczący-kwantyfikator: nwif
einstein: ny6n
sztuczny-język: txac
łączący-cząstka: qrik
zdalny-przyszłość-czas: twec
częstotliwy-aspekt: hfep
dystrybucyjny-zaimek: bvin
przemówienie-umowa: hk6m
łysy: blos
przedmieście: syum
uniwersalny-kwantyfikator: vlit
komputer-programowanie: mr6m
telewizja-program: tr6m
zmiennoprzecinkową-numer: hvun
egzystencjalny-kwantyfikator: tl6t
dzień-po-jutro: dwek
alternatywny-kwantyfikator: lw6t
gderliwy: hdup
przeszłość-pasywny-imiesłów: hp6t
dzień-przed-wczoraj: txet
miejscownik-kierunkowy-sprawa: tc6k
alternatywę-warunkowy: ht6c
