infinitive: hnit
leak: hzuk
qualify: krif
density: djot
induction: dyis
chew: htuf
talkative: bzit
lobster: hgos
discount: dyut
taxi: tsuk
hierarchy: crem
jade: gyec
snarl: glaf
lizard: lyis
waterfall: crof
disappointing: djak
veto: frot
presidency: ryip
buyer: mrif
gallon: jlen
mosquito: mruk
deviation: dwen
wrestle: lyut
mosaic: myok
plug: plok
squat: pcuk
grocery: ksoc
communist: myos
amaze: mwek
prosecutive-case: rwuk
constellation: nlos
dictator: dwit
preoccupation: tyet
satellite: tlec
slipper: hlop
consonant: fyon
approximate: tsif
unemployed: byet
supporter: sros
lotus: lwot
lettuce: sles
chloride: lwok
bacteria: bwic
sticky: pcek
component: bwon
kernel: klec
feign: bjak
byte: bzet
secretion: sruf
explicitly: pres
coincide: mloc
ballet: blet
urine: mrus
garlic: lyun
elapse: hguc
economics: kcem
middle-class: hdom
agile: gjic
tongs: htef
laundry: lyoc
strawberry: srem
urban: pcos
embarrass: mlaf
notebook: tfut
album: zlam
baseball: hbep
sniff: sluc
buffet: hbuf
participle: rwip
garage: grek
diagnosis: djas
crutch: ksuc
extort: srom
registration: psuc
soluble: jlun
phosphorus: psof
structural: rwut
glue: glum
thesis: twes
artisan: clif
banana: bwas
axiom: kyom
rib: psos
nickel: nyek
pi: pyim
bus: bwos
censor: swes
missile: mlus
sausage: slos
manipulation: nlut
tomato: tfet
reinforce: kfut
socket: syok
potassium: tsom
retrieve: prup
virtual: zwit
algebra: gjas
dentist: dzit
optical: pcok
budge: bzen
biology: bwim
unemployment: byim
caterpillar: krum
solo: slof
browser: bjac
remote-past-tense: nyot
historic-tense: crep
nuclear: nluk
spectrum: pyem
sodium: syom
hysteria: syes
trustee: tyos
hostage: byik
gourd: gluk
wrinkle: kwuk
transparency: tfif
spike: swip
priority: pcif
pedestrian: dyen
atheism: tsem
monitor: mwot
constituency: nlec
uncontrolled: hkof
probe: grok
platinum: plip
dual-number: dlun
lung: pcep
super: syup
trolley: trop
locally: lyot
incite: gzat
gasoline: plif
kidney: grif
loot: bzac
assessment: dlen
arsenic: syek
snail: nrok
grasshopper: tsec
equation: fwen
socialist: swos
filter: flot
sensory-evidential-mood: hxin
widen: kyot
emit: mwet
leash: pwet
mandarin: drun
jockey: hjok
pneumonia: hnof
solidarity: gret
hinge: cyif
longitudinal: nruc
dividend: dwun
skate: hkep
exponent: slop
disability: dlif
obsession: bwen
allotment: pfun
photographer: trof
delta: dlet
digital: djim
bitch: brut
eyelid: hyop
diagonal: dyun
subconscious: byon
eyebrow: bruc
sneeze: pcec
hilarious: dlis
hinduism: nwum
refugee: nyif
shuttle: cwot
protein: pwot
dump: hdop
refine: flen
vomit: hwom
gene: gyen
freshman: hdem
sociology: syoc
squash: kwoc
fisher: hfuc
regional: jyen
motion-uphill: hvok
retrospective: hxik
tornado: gyon
inversion: nwos
tv: twif
cube: kfet
productivity: pwuk
carrot: krop
molecular: mwuk
conglomerate: glet
accountant: ksum
cucumber: kyok
orgy: drok
solvent: jlet
phosphate: psef
primer: gwik
alkaline: flis
gymnastics: jyas
comma: kwom
motion-downhill: hvat
miscarriage: jwac
pod: tcop
donor: dzon
manganese: hzem
psychologist: syos
chlorine: clos
keyboard: kyoc
elite: zyit
parenthesis: pfaf
rugby: rwoc
ulcer: jlon
inflected: hxit
nibble: nres
quantum: fwam
sweater: swek
evolutionary: fwis
notation: nyoc
bounce: tcuf
dissection: drec
cache: kcep
linear: lyec
antimony: trum
superessive-case: psek
tumor: twom
erosion: cyos
alpha: flaf
navel: nwip
immune: myip
influenza: flun
brewery: bjit
simplify: slef
abridge: bram
dent: djen
captivate: dwim
coerce: brok
sock: bzas
movie: fyim
cosmos: klom
pollute: hpuf
gregarious: gjen
penis: zyis
forestry: lyif
aluminum: lwum
oscillation: zlon
horoscope: ksop
eject: dlek
inclusion: nluc
beneficiary: byic
dolphin: dlip
killer: cyus
mammal: myaf
indicator: swif
dioxide: dwis
colon: zlen
bureaucracy: brus
distort: jric
refrigerator: frip
archaeological: cluk
unacceptable: kwok
specification: pfis
leaflet: pfut
anthropology: nlom
tasty: kyec
transitive: txit
cower: kwus
sunflower: hzuc
louse: glus
ion: lyos
tourism: tyum
modem: myom
acceleration: jrun
falsify: tsoc
emission: hmef
kidnap: drap
overlap: hwep
hairdresser: pfes
folklore: floc
capillary: plek
nationalism: nlum
buttocks: nros
motif: hmuf
sublimate: slem
frustration: xras
cobalt: kwos
oat: gwam
motion-upriver: trup
anus: gyam
bovine: bwun
flip: flip
redundancy: dzun
video: hwop
boycott: bjik
quiz: cwif
hockey: cwok
guerrilla: grip
magnesium: hgem
radar: drek
chimpanzee: hzif
reliability: kwif
rectangle: tyec
kelp: klep
generalize: jlak
curfew: kfec
homosexual: mlok
scenario: srop
formulation: flus
reincarnation: nrom
ignite: zlak
uranium: ryum
catcher: kwes
coordinate: kyop
taxpayer: nwaf
integrated: trep
opine: hzap
gamma: hxam
safari: fwim
motion-downriver: ht6n
coefficient: kfus
headline: zlic
analyst: nles
checkmate: hzes
mall: hmof
bismuth: bzim
postcard: psok
convergence: bros
digress: djet
shareholder: ksem
microbe: mrip
genital: jwit
morphological: mluk
beta: byot
jeans: gjis
database: tles
calculator: klus
x-ray: ksef
parse: zram
environmental: zyen
sigma: zyim
disjunction: hxon
agenda: gres
visa: bzis
infrastructure: nyuk
firefly: gyun
detector: tyek
adaptive: dyip
biologist: byis
splice: pyec
bromine: brom
palladium: plum
hiccup: kfok
pastel: psec
zoo: zwac
clinic: lyok
connotation: nwoc
yoga: hjoc
bookstore: byun
therapy: grap
nationalist: zlis
behead: zlet
yeah: swec
problematic: byam
jazz: dzas
tungsten: tsof
terrorist: gwis
dribble: droc
metabolism: tlem
alimony: lyaf
weekend: hfom
chrysanthemum: gzim
vaccine: byap
motorcycle: tyok
mantra: dyot
semester: myes
heroin: gwon
folder: flap
cathode: kfoc
ideology: dlec
parking: prek
theta: fret
anticlimax: hxis
selenium: clem
cycling: blek
cortex: pros
equivalence: swaf
current-relevance-marker: hxak
airport: cwoc
amputate: gyet
basketball: bwet
imposter: mwip
cockroach: tlek
chromium: hgom
litre: hl6t
nonetheless: nwec
hormone: cwom
flawed: tluc
perforate: prec
animism: nyom
polygon: cloc
feminist: hfes
conjugate: kcop
euro: dros
ginseng: hjes
algorithm: hlof
laser: lwes
drugstore: dlot
millimeter: mlem
flex: flek
anode: nlok
nuance: hzus
part-time: prem
sensitivity: nyec
demonstrator: drom
helium: clum
bilingual: dzic
acronym: hqim
initialism: nl6m
gerund: gros
plasma: psem
chromosome: rwom
ordinal: rwok
kilometre: klum
fax: tfes
genetics: nwek
freckle: frek
screwdriver: dres
broccoli: blok
preterite: xrit
vitamin: tyem
cadmium: kyem
bomber: bwoc
graphical: gjik
titanium: dyim
splurge: clec
lambda: lwem
girlfriend: pcem
copulate: kyuk
hourglass: tlus
empathy: mlif
boron: bres
helicopter: cwet
tellurium: tlum
deadline: jyic
align: gwic
centimetre: hfem
molybdenum: mlom
lithium: tfim
multimedia: myum
update: dyet
calorie: clom
robot: ryoc
homework: groc
logarithm: grom
mantis: gzas
instal: nwut
amino: myoc
glyph: glif
aorist: pyos
ecology: plec
sophisticate: flok
marijuana: bjam
micro: mrom
kilogram: lwom
overeat: jrot
predictable: dzik
pizza: zyas
eavesdrop: zris
linguistics: bwis
haircut: braf
iridium: ryom
racism: gwim
optimal: gyim
industrialization: drif
headquarter: krup
cerium: zrim
congruent: nrum
partitive-case: pxik
cassette: ksep
willpower: blot
dimensional: dzen
parameter: rwet
synchronize: nrop
maximize: dzim
seminar: mwec
disco: dyok
neon: nyok
osmium: hzom
epiphany: hp6n
plagiarize: lyap
artifact: rwek
reactor: fyet
oregano: ryop
plutonium: pwum
yttrium: tyom
augmentative: hxat
username: mrum
postgraduate: zrot
right-wing: dwaf
argon: jros
phobia: hxot
socialize: sluk
globalization: bluc
wavelength: hnef
encode: kfom
recycle: psoc
restart: nrek
hepatitis: pyes
torus: fros
chemotherapy: myep
modulo: mwok
proton: zwot
diskette: dwet
milligram: mlum
pixel: psep
tantalum: twem
solute: hjot
genocide: nyos
predator: rwes
gallium: glem
zirconium: hzum
determiner: txin
nonlinear: nlem
pesticide: pyif
beryllium: brem
neuron: nrus
predicative: pxit
underpants: tlif
factorial: kref
neutron: zrut
niobium: nwom
germanium: hjem
metalloid: tlop
put-on: dlap
prolative-case: hl6k
biodiversity: jwic
joystick: jyok
antibiotic: twok
actinium: gjim
astronaut: srof
extraterrestrial: tyes
crackpot: hwup
marathon: mrof
ytterbium: zwim
autism: tyif
ionize: nlof
radon: cwos
netium: nrem
epidemiology: pwip
old-age: lyuc
camping: kyep
striped: drip
indium: nyum
veridical: hvik
web-site: bwes
koran: kwek
flatware: fwet
nth-root: tfec
lawrencium: lyem
civil-rights: glip
mobile-phone: mlof
paralyzed: twoc
protactinium: prum
radiation: hd6n
depend-on: pxin
thorium-atom: hxim
blue-jean: bjun
houseplant: hxas
individually: dvit
flow-current: lwuk
triple-point: ht6t
human-body: hn6n
physics: bzik
retail-store: hxan
cesium: hs6m
long-ago: hqan
spreadsheet: hxet
unit-of-mass: hn6m
compile: ml6n
binary-value: vrim
human-being: nyus
by-means-of: hvan
in-front-of: pxat
praseodymium: pyom
cardboard: kxat
finite-verb: hqik
trial-number: hr6n
pro-sentence: hr6t
critic: hk6k
packaging: pxas
impermanence: pxan
at-most: txas
descriptor: drop
neodymium: nyem
friendship: hvit
read-only: xyak
founds: xwan
gnomic-mood: kxin
phoneme: hxom
rationality: xlit
phonological: xlin
dining-room: hxac
living-room: hxic
centric-case: zrik
prehodiernal: hx6n
patient-case: hqak
oblique-case: bwok
rural-area: hqat
recurse: hr6s
middle-voice: dyos
meitnerium: hm6m
mail-carrier: hvak
nonremittal: kxit
stock-market: xrak
identifiable: hxap
goal-trigger: krof
one-second: hxen
lative-case: dvak
ration: hr6c
non-human: hg6n
living-thing: hvic
too-little: hxut
movie-theater: hvin
hassium: xyim
attenuative: ty6t
multal-number: ml6m
milky-way: txam
neptunium: nwem
ghostwriter: txik
trans-numeral: ts6s
fool-around: hqun
americium: myem
morning-glory: txan
firefighter: xran
berkelium: blem
galaxy-gender: kxan
nobelium: blum
byebye: hvac
buddhism: hfum
fermium: frem
cyan: xyan
soya: syof
distributor: qrit
strikebreaker: txak
processor: ples
abessive-case: bvak
adessive-case: dvik
to-case: kxak
agentive-case: dvek
rutherfordium: hr6m
antibody: txip
as-much-as: hjos
agent-trigger: hg6t
actor-role: xram
ethium: txim
common-gender: hk6n
accompanier: kl6n
safflower: kxam
francium: fyam
erbium: ry6m
passive-voice: xyis
astatine: hqit
chewing-gum: hqam
star-gender: hqin
citation-form: ht6m
curium: jrim
comic-strip: kxis
color-blind: hqon
eulers-number: hl6m
look-at: kxas
crosswalk: pwok
battlefield: txat
motorist: vrit
short-circuit: txok
verbal-noun: hvis
cry-out: hk6t
statistically: xyit
yogurt: txot
xenon: hs6n
hypnothize: hxif
take-off: hxaf
clause-tail: hxok
direct-object: dwot
grocery-store: kxun
consist-of: hm6t
ergative-case: gvik
in-language: txic
first-hand: pxam
locative-case: hqok
swimming-pool: slup
adverbial-case: vlak
sightsee: hqas
television-set: ht6s
final-particle: xlik
evitative-case: hvek
rehabilitation: xlat
regression: xris
block-of-flats: kxot
wake-up: hxup
police-officer: ps6s
swear-in: vran
interviewer: qrat
rhenium: ryem
aerosol: xres
posessive-case: kxik
nominalization: mlec
possessed-case: dzak
overcharge: pxak
auxiliary-verb: xyik
primary-object: mlut
computer-virus: prus
businessperson: hqis
a-people: hqen
antessive-case: ts6k
prime-minister: pxis
lutetium: lyum
europium: rwum
emote: xrot
folk-music: zyik
poet: vwit
post-office: pxot
supposedly: hvas
animate-gender: hven
subessive-case: bvik
gas-pedal: glep
polarity: pr6t
vehicle-gender: vlin
mineral-gender: xrin
verb-affix: hvif
passionate: pc6n
samarium: sr6m
facilitator: hs6t
imaginary-unit: xyin
speed-of-light: kxac
air-force: hxes
empathetic-joy: pfec
critical-point: qyit
full-time: hxem
hafnium: xyam
inhibition: hn6s
change-of-event: qrin
holmium: xlim
different-event: hf6t
universe-gender: hvip
locality-gender: kxen
virtual-machine: hvim
research-gender: txen
artistic-gender: ts6n
crastinal-tense: sl6t
abstract-gender: srep
exocentric-case: zrek
transitive-verb: txif
morpheme: tfom
chauvinist: dvis
past-perfective: xrat
vocational: hy6n
indirect-speech: tyoc
second-language: draf
to-be: txis
graveyard-shift: vrak
collective-noun: hxos
absolutive-case: bvuk
patient-trigger: tr6t
self-confidence: hs6s
feces: hzos
reflexive-voice: hf6s
impersonal-verb: hxek
seaborgium: br6m
whitespace: hxep
modal-case: dlok
inanimate-gender: hj6n
causative: qran
propositive-mood: psom
electric-current: tr6n
associative-case: nwok
superlative-case: tluk
too-much: xyut
planetary-gender: pxen
animated-cartoon: nwuk
reciprocal-voice: vrik
legislate: hqaf
at-least: vlas
grammatical-case: qrak
user-: pxut
core-benefactive: kfef
goalkeeper: hgop
except-for: kcef
denominator: dvan
else-if: lyek
sideways: hx6s
each-other: dles
successive-clause: lyuk
wear-out: hxun
shorts: ht6k
dysprosium: prom
soon-future-tense: rwec
si-units: vyin
krypton: kxon
mendelevium: dlem
applicative-voice: hp6s
antipassive-voice: tsef
continutive-aspect: ht6p
radiation-sickness: hr6k
necessitative-mood: hn6t
single-action-verb: hqek
railcar: xlak
superlative-degree: tlup
existential-clause: hs6k
californium: kf6n
present-participle: vrat
luminous-intensity: hc6t
singulative-number: slus
grammatical-object: hy6t
passive-participle: vris
excessive-duration: kxic
supercritical-fluid: sr6t
amount-of-substance: ks6t
postpositional-case: pxok
elective-quantifier: lwif
gadolinium: dl6n
epenthetic-morpheme: hp6m
negatory-quantifier: nwif
einsteinium: ny6n
artificial-language: txac
connective-particle: qrik
remote-future-tense: twec
frequentative-aspect: hfep
distributive-pronoun: bvin
allocutive-agreement: hk6m
bald: blos
suburb: syum
universal-quantifier: vlit
computer-programming: mr6m
television-programme: tr6m
floating-point-number: hvun
existential-quantifier: tl6t
the-day-after-tomorrow: dwek
alternative-quantifier: lw6t
bad-tempered: hdup
past-passive-participle: hp6t
the-day-before-yesterday: txet
locative-directional-case: tc6k
counterfactual-conditional: ht6c
