инфинитив: hnit
мрав: mwam
буба: hbop
трудна: grim
убрзати: hjet
članak: tcok
класификација: glik
варијабла: prim
замотати: ryap
kovrdžava: krec
сумпор: hsef
диктирати: dwik
појављују: brun
жаба: fram
прекомеран-случај: twek
сунђер: hjen
досадан: djon
веверица: slip
млевење: zyin
ирреалис-расположење: flim
вулкан: glam
унутра: gron
искористити: kloc
геолошки: jlik
пасош: psop
неморалан: mlet
бисквит: hbuk
сарадња: kros
таблета: tlot
релаксација: kces
атом: trom
помагала: hzip
пирамида: psim
циклус: swok
одспавати: hnup
незаконит: hjaf
шапа: pfap
снебивљивост: crom
помрачење: klip
лаута: lwap
метла: srum
табла: mwen
астрономија: tcom
лавиринт: blen
стипендија: bwit
корњача: kfuc
саветник: dwak
влакно: fwic
крикет: jrik
голуб: ksom
адаптација: dyon
троугао: tfon
благајник: tsen
водоник: jron
крхак: hfuk
штампач: pyet
чок: tcof
хроничан: gzon
цопе: slaf
дилема: dlim
инжењеринг: jyin
Kamera: hkef
izvinjavam-се: pluc
лизати: lwet
плесач: dret
миграција: mres
тенис: tces
kičma: clip
пржити: zrac
разбој: tfuc
убод: twuc
лозинка: psaf
хемисфера: praf
стратегија: zrit
кварц: krus
маказе: jris
патрола: proc
глечер: lwic
на-пола-пута: dwam
меморандум: mwap
купа: kwuc
симетрија: hzut
произвођач: zrak
оптужени: fwik
џамија: djis
шах: cres
путарина: htof
трешња: tref
распрострањен: kfen
посрнути: tfok
kamion: ryok
сенф: mros
проценат: pfet
аукција: jlam
сито: srif
нестабилан: swoc
магнет: gjat
сисати: syus
ислам: slum
на-врховима-прстију: twip
мембрана: mlen
бријање: clet
гитара: gjit
сјајан: bzan
брест: hyem
соар: kcom
заменица-маркер: ryec
спајалица: pcus
зачин: zlat
кауција: jlas
носач: zyac
вибрација: bron
зафркавати: trus
плуг: hlom
физиолошки: zlik
олук: hgok
комета: cyet
средњевековни: dyic
врабац: grec
надокнадити: twet
пластика: psuk
фуснота: cyot
орбита: rwot
штедљив: twum
голф: hgof
нула: zrun
чип: tcep
угњетавати: prok
зевање: gjac
неједнакост: gwas
кртица: tloc
грнчарија: frik
домаћица: hgif
раж: rwem
бити-непослушан: hyes
толерантан: glon
ембрион: brec
рудар: jren
аплаудирати: zlac
квасац: lyim
премија: pfim
шљива: plem
стечај: byas
наводњавање: rwif
нана: nyun
капиталистички: glis
еластичност: hlef
ајкула: gyak
регрут: drut
складиштење: zren
реализам: cles
ђумбир: djic
ambulantna-kola: blus
упоредив: kwip
новчаник: bjap
гримаса: glim
научник: gyis
гут: grot
сталоженост: hwum
радио: href
безначајан: zlit
пасуљ: bwam
неформалан: frim
унука: gyut
неслагање: dloc
бифтек: tfek
азот: zron
бријач: hjut
упоредан: krom
пропаганда: pcoc
ватромет: fris
pop: pcop
свући-се: crop
бразда: cruc
штетан: hzaf
јудаизам: hjum
допуна: pluk
објектив: lyes
пегативе-случај: pwek
рак: kfes
пешак: pyek
предавач: zyat
цурење: hzuk
квалификовати: krif
густина: djot
индукција: dyis
жвакати: htuf
говорљив: bzit
јастог: hgos
попуст: dyut
такси: tsuk
хијерархија: crem
жад: gyec
режање: glaf
гуштер: lyis
водопад: crof
разочаравајући: djak
вето: frot
председништво: ryip
купац: mrif
галон: jlen
комарац: mruk
одступање: dwen
рвати-се: lyut
мозаик: myok
утикач: plok
чучањ: pcuk
бакалница: ksoc
комуниста: myos
задивити: mwek
просецутиве-случај: rwuk
констелација: nlos
диктатор: dwit
преокупација: tyet
сателит: tlec
папучица: hlop
сугласник: fyon
приближан: tsif
незапослен: byet
присталица: sros
лотос: lwot
зелена-салата: sles
хлорид: lwok
бактерије: bwic
лепљив: pcek
саставни-део: bwon
језгро: klec
симулирати: bjak
бајт: bzet
лучење: sruf
експлицитно: pres
подударати: mloc
балет: blet
урин: mrus
бели-лук: lyun
протекло: hguc
економија: kcem
Средња-класа: hdom
окретан: gjic
клешта: htef
веш: lyoc
јагода: srem
урбани: pcos
збунити: mlaf
свеска: tfut
албум: zlam
бејзбол: hbep
мирисати: sluc
bife: hbuf
партицип: rwip
гаража: grek
дијагноза: djas
штака: ksuc
изнудити: srom
регистрација: psuc
растворљив: jlun
фосфор: psof
структурни: rwut
лепак: glum
теза: twes
занатлија: clif
банана: bwas
аксиом: kyom
ребро: psos
никл: nyek
ПИ: pyim
аутобус: bwos
цензор: swes
ракета: mlus
kobasica: slos
манипулација: nlut
парадајз: tfet
појачати: kfut
утичница: syok
калијум: tsom
повратити: prup
виртуелна: zwit
алгебра: gjas
зубар: dzit
оптички: pcok
померити: bzen
биологија: bwim
незапосленост: byim
гусеница: krum
соло: slof
прегледач: bjac
даљински-прошлост-напет: nyot
историјски-напет: crep
нуклеарна: nluk
спектар: pyem
натријум: syom
хистерија: syes
повереник: tyos
талац: byik
тиква: gluk
бора: kwuk
провидност: tfif
шиљак: swip
приоритет: pcif
пешачки: dyen
атеизам: tsem
монитор: mwot
изборна-јединица: nlec
неконтролисан: hkof
сонда: grok
платина: plip
Дуал-број: dlun
плућно-крило: pcep
супер: syup
тролејбус: trop
локално: lyot
подстицање: gzat
бензин: plif
бубрег: grif
пљачкати: bzac
процена: dlen
арсен: syek
пуж: nrok
скакавац: tsec
једначина: fwen
социјалистички: swos
филтер: flot
чулни-доказни-расположење: hxin
проширити: kyot
емитовати: mwet
поводац: pwet
мандарински: drun
џокеј: hjok
упала-плућа: hnof
солидарност: gret
шарка: cyif
уздужни: nruc
дивиденда: dwun
клизати: hkep
експонент: slop
инвалидитет: dlif
опсесија: bwen
расподела: pfun
фотограф: trof
делта: dlet
дигитални: djim
кучка: brut
očni-kapak: hyop
дијагонала: dyun
подсвестан: byon
обрва: bruc
кијање: pcec
смешан: dlis
хиндуизам: nwum
избеглица: nyif
шатл: cwot
беланчевина: pwot
депонија: hdop
прерадити: flen
повраћати: hwom
ген: gyen
бруцош: hdem
социологија: syoc
бундева: kwoc
риболовац: hfuc
регионална: jyen
кретање-узбрдо: hvok
ретроспективан: hxik
торнадо: gyon
инверзија: nwos
ТВ: twif
коцка: kfet
продуктивност: pwuk
шаргарепа: krop
молекуларна: mwuk
конгломерат: glet
рачуновођа: ksum
краставац: kyok
оргија: drok
растварач: jlet
фосфат: psef
буквар: gwik
алкалне: flis
гимнастика: jyas
зарез: kwom
кретање-низбрдо: hvat
побачај: jwac
махуна: tcop
давалац: dzon
манган: hzem
психолог: syos
хлор: clos
тастатура: kyoc
елита: zyit
уметак: pfaf
рагби: rwoc
чир: jlon
инфлецтед: hxit
залогај: nres
квантни: fwam
џемпер: swek
еволуциони: fwis
нотација: nyoc
скок: tcuf
дисекција: drec
кеш: kcep
линеаран: lyec
антимон: trum
суперессиве-случај: psek
тумор: twom
ерозија: cyos
алфа: flaf
пупак: nwip
имун: myip
грип: flun
пивара: bjit
поједноставити: slef
скратити: bram
удубљење: djen
заробити: dwim
приморати: brok
чарапа: bzas
филм: fyim
космос: klom
загадити: hpuf
друштвен: gjen
пенис: zyis
шумарство: lyif
алуминијум: lwum
осцилација: zlon
хороскоп: ksop
избацити: dlek
укључење: nluc
корисник: byic
делфин: dlip
убица: cyus
сисар: myaf
индикатор: swif
диоксид: dwis
дебело-црево: zlen
бирократија: brus
искривити: jric
фрижидер: frip
археолошки: cluk
неприхватљив: kwok
спецификација: pfis
летак: pfut
антропологија: nlom
укусан: kyec
прелазан: txit
најежити-се: kwus
сунцокрет: hzuc
вашка: glus
јон: lyos
туризам: tyum
модем: myom
убрзање: jrun
фалсификовати: tsoc
емисија: hmef
киднаповати: drap
преклапање: hwep
фризер: pfes
фолклор: floc
капиларни: plek
национализам: nlum
задњица: nros
мотив: hmuf
сублимат: slem
фрустрација: xras
кобалт: kwos
овас: gwam
кретање-узводно: trup
чмар: gyam
говеђи: bwun
flip: flip
redundancija: dzun
видео: hwop
бојкот: bjik
квиз: cwif
хокеј: cwok
герила: grip
магнезијум: hgem
радар: drek
шимпанзо: hzif
поузданост: kwif
правоугаоник: tyec
морске-алге: klep
уопштити: jlak
полицијски-час: kfec
хомосексуалац: mlok
сценарио: srop
формулисање: flus
реинкарнација: nrom
запалити: zlak
уранијум: ryum
хватач: kwes
координата: kyop
порески-обвезник: nwaf
интегрисан: trep
изнео-мишљење: hzap
гама: hxam
сафари: fwim
кретање-низводно: ht6n
коефицијент: kfus
наслов: zlic
аналитичар: nles
мат: hzes
тржни-центар: hmof
бизмут: bzim
разгледница: psok
конвергенција: bros
одступити: djet
акционар: ksem
микроб: mrip
генитални: jwit
морфолошке: mluk
бета: byot
фармерке: gjis
база-података: tles
калкулатор: klus
рендген: ksef
рашчланити: zram
еколошки: zyen
sigma: zyim
раздвајање: hxon
дневни-ред: gres
виза: bzis
инфраструктура: nyuk
свитац: gyun
детектор: tyek
прилагодљив: dyip
биолог: byis
сплет: pyec
бром: brom
паладијум: plum
штуцање: kfok
пастел: psec
зоолошки-врт: zwac
клиника: lyok
конотација: nwoc
јога: hjoc
књижара: byun
терапија: grap
националиста: zlis
одсећи-главу: zlet
да: swec
проблематичан: byam
џез: dzas
волфрам: tsof
терориста: gwis
дриблинг: droc
метаболизам: tlem
алиментација: lyaf
викенд: hfom
хризантема: gzim
вакцина: byap
мотоцикл: tyok
mantra: dyot
семестар: myes
хероин: gwon
фасцикла: flap
катода: kfoc
идеологија: dlec
паркирање: prek
тета: fret
антиклимакс: hxis
селен: clem
вожња-бициклом: blek
кора: pros
еквиваленција: swaf
струја-релевантност-маркер: hxak
аеродром: cwoc
ампутирати: gyet
кошарка: bwet
уљез: mwip
бубашваба: tlek
хром: hgom
литар: hl6t
поред-тога: nwec
хормон: cwom
погрешна: tluc
пробушити: prec
анимизам: nyom
полигон: cloc
феминиста: hfes
коњугатом: kcop
евро: dros
гинсенг: hjes
алгоритам: hlof
ласер: lwes
апотека: dlot
милиметар: mlem
flex: flek
анода: nlok
нијанса: hzus
скраћено-време: prem
осетљивост: nyec
демонстрант: drom
хелијум: clum
билингвални: dzic
акроним: hqim
Инитиалисм: nl6m
герундив: gros
плазма: psem
хромозом: rwom
редни: rwok
километар: klum
факс: tfes
генетика: nwek
пега: frek
шрафцигер: dres
броколи: blok
претерите: xrit
витамин: tyem
кадмиум: kyem
бомбардер: bwoc
графички: gjik
титанијум: dyim
разметање: clec
lambda: lwem
девојка: pcem
имати-сношај: kyuk
пешчани-сат: tlus
емпатија: mlif
бор: bres
хеликоптер: cwet
телур: tlum
rok: jyic
поравнајте: gwic
сантиметар: hfem
молибден: mlom
литијум: tfim
мултимедијални: myum
ажурирање: dyet
калорија: clom
робот: ryoc
домаћи-задатак: groc
логаритам: grom
mantis: gzas
инсталирати: nwut
амино-: myoc
глипх: glif
аорист: pyos
екологија: plec
покварити: flok
марихуана: bjam
микро: mrom
килограм: lwom
прејести-се: jrot
предвидљив: dzik
пица: zyas
прислушкивати: zris
лингвистика: bwis
фризура: braf
иридијум: ryom
расизам: gwim
оптималан: gyim
индустријализација: drif
седиште: krup
церијум: zrim
подударан: nrum
партитивни-случај: pxik
касета: ksep
снага-воље: blot
димензионалан: dzen
параметар: rwet
синхронизовати: nrop
максимално: dzim
семинар: mwec
диско: dyok
неон: nyok
осмијум: hzom
Богојављење: hp6n
плагирати: lyap
предмет-за-употребу: rwek
реактор: fyet
оригано: ryop
плутонијум: pwum
итријум: tyom
аугментативан: hxat
корисничко-име: mrum
постдипломац: zrot
десно-крило: dwaf
аргон: jros
фобија: hxot
социјализовати: sluk
глобализација: bluc
таласна-дужина: hnef
шифрирати: kfom
рециклирати: psoc
поново-покренути: nrek
хепатитис: pyes
плодиште: fros
хемотерапија: myep
модулу: mwok
протон: zwot
дискета: dwet
милиграм: mlum
пиксела: psep
тантал: twem
супстанца-која-се раствара: hjot
геноцид: nyos
грабљивица: rwes
галијум: glem
цирконијум: hzum
Детерминер: txin
нелинеарни: nlem
пестицид: pyif
берилијум: brem
Неурон: nrus
предикативни: pxit
гаће: tlif
факторијел: kref
неутрон: zrut
ниобијум: nwom
германијум: hjem
металоид: tlop
ставити-на: dlap
пролативе-случај: hl6k
биодиверзитет: jwic
џојстик: jyok
антибиотик: twok
радиоактивни-елемент: gjim
астронаут: srof
ванземаљци: tyes
лудак: hwup
маратон: mrof
итербијум: zwim
аутизам: tyif
јонизовати: nlof
радон: cwos
Нериум: nrem
епидемиологија: pwip
старо-доба: lyuc
камповање: kyep
стрипед: drip
индијум: nyum
истинит: hvik
вебсајт: bwes
Коран: kwek
флатваре: fwet
сис---корен: tfec
Лавренциум: lyem
грађанско-право: glip
мобилни-телефон: mlof
парализован: twoc
протактинијум: prum
зрачење: hd6n
зависити-на: pxin
торијум-атом: hxim
плаво---Јеан: bjun
собна-биљка: hxas
појединачно: dvit
проток-струје: lwuk
Трипле--тачка: ht6t
Људско-тело: hn6n
физика: bzik
малопродаја-продавница: hxan
цезијум: hs6m
дуг-пре: hqan
Табела: hxet
јединица---за - масе: hn6m
саставити: ml6n
бинарна-вредност: vrim
људски-биће: nyus
од-стране-средства од: hvan
depan-dari: pxat
Празеодијум: pyom
картон: kxat
ограничен-глагол: hqik
суђење-број: hr6n
професионалац-реченица: hr6t
критичар: hk6k
паковање: pxas
пролазност: pxan
у-већина: txas
дескриптор: drop
неодимијум: nyem
пријатељство: hvit
читати-само: xyak
оснива: xwan
гномски-расположење: kxin
фонема: hxom
рационалност: xlit
фонолошки: xlin
трпезарија-соба: hxac
живот-соба: hxic
центрични-случај: zrik
пред-данашњи: hx6n
пацијент-случај: hqak
посредан-случај: bwok
сеоски-област: hqat
баратам: hr6s
средњи-глас: dyos
меитнериум: hm6m
поштар: hvak
месања: kxit
Стоцк-тржиште: xrak
идентификовати: hxap
циљ-окидач: krof
jednu-sekundu: hxen
лативни-случај: dvak
следовање: hr6c
не-људски: hg6n
живот-ствар: hvic
такође-мало: hxut
биоскоп: hvin
Хасијум: xyim
аттенуативе: ty6t
мултал-број: ml6m
млечан-начин: txam
нептунијум: nwem
писац-који-пише за друге: txik
trans-цифра: ts6s
шалити-се: hqun
америциум: myem
јутро-слава: txan
ватрогасац: xran
Беркелиум: blem
галаксија-пол: kxan
Нобелиум: blum
zdravo: hvac
будизам: hfum
фермиум: frem
блацк: xyan
соја: syof
дистрибутер: qrit
штрајкбрехер: txak
процесор: ples
абессиве-случај: bvak
адессиве-случај: dvik
до-случај: kxak
агентиве-случај: dvek
Радерфордијум: hr6m
антитело: txip
као-много-као: hjos
заступник-окидач: hg6t
глумац-улога: xram
етидиум: txim
заједнички-пол: hk6n
пратиоца: kl6n
шафранике: kxam
францијум: fyam
ербијум: ry6m
пасиван-глас: xyis
астатине: hqit
жвакање-гума: hqam
Звезда-пол: hqin
цитат-образац: ht6m
кириум: jrim
стрип: kxis
далтонисти: hqon
еулер'с---број: hl6m
погледати-у: kxas
Конверзија: pwok
бојно-поље: txat
возач: vrit
кратак-спој: txok
усмен-именица: hvis
плач-напоље: hk6t
статистички: xyit
јогурт: txot
ксенон: hs6n
очарати: hxif
узети-ван: hxaf
клаузула-реп: hxok
директан-објекат: dwot
бакалница-продавница: kxun
састојати-се-од: hm6t
ергативе-случај: gvik
на---језику: txic
из-прве-руке: pxam
локатив-случај: hqok
базен: slup
прилошки-случај: vlak
разгледање: hqas
телевизија-комплет: ht6s
коначни-честица: xlik
евитативе-случај: hvek
рехабилитација: xlat
регресија: xris
блокирати-од-станови: kxot
пробудити-горе: hxup
полиција-официр: ps6s
Кунем-се-- у: vran
анкетар: qrat
ренијум: ryem
аеросол: xres
посесиван-случај: kxik
номинализатион: mlec
запоседнут-случај: dzak
преоптерећење: pxak
помоћни-глагол: xyik
Примарна-објекат: mlut
компјутерски-вирус: prus
пословна-особа: hqis
људи: hqen
антессиве-случај: ts6k
премијер: pxis
лутецијум: lyum
европијум: rwum
испољити-емоције: xrot
Народна-музика: zyik
песник: vwit
пошта: pxot
наводно: hvas
анимирати-пол: hven
субессиве-случај: bvik
папучица-гаса: glep
поларитет: pr6t
возило-пол: vlin
минерал-пол: xrin
глагол---суфикс: hvif
страстан: pc6n
самариј: sr6m
модератор: hs6t
имагинарно---јединица: xyin
брзина---на - светлости: kxac
ратно-ваздухопловство: hxes
говернанце-радост: pfec
kritična-tačka: qyit
пуно-време: hxem
хафнијум: xyam
инхибиција: hn6s
промена-од-догађај: qrin
holmium: xlim
различит-догађај: hf6t
свемир-пол: hvip
локалитет-пол: kxen
виртуелна-машина: hvim
истраживање-пол: txen
уметнички-пол: ts6n
црастинал-напет: sl6t
апстрактан-пол: srep
ексцентричних-случај: zrek
прелазан-глагол: txif
морфема: tfom
шовиниста: dvis
прошлост-свршен: xrat
занатски: hy6n
индиректан-говор: tyoc
други-језик: draf
до-бити: txis
гробље-смена: vrak
колективан-именица: hxos
абсолутиве-случај: bvuk
пацијент-окидач: tr6t
сам-поверење: hs6s
измет: hzos
рефлексиван-глас: hf6s
безличан-глагол: hxek
Сеаборгиум: br6m
бели-простор: hxep
модални-случај: dlok
нежив-пол: hj6n
узрочни: qran
пропоситиве-расположење: psom
електрични-струја: tr6n
асоцијациони-случај: nwok
суперлатив-случај: tluk
такође-много: xyut
планетарни-пол: pxen
анимирани-цртани-филм: nwuk
реципрочан-глас: vrik
доносити-законе: hqaf
у-најмање: vlas
граматичка---Цасе: qrak
корисник: pxut
језгро-бенефацтиве: kfef
голман: hgop
:-except-for: kcef
именилац: dvan
друго---ако: lyek
постранце: hx6s
један-другог: dles
узастопни-клаузула: lyuk
похабати-се: hxun
шорц: ht6k
ретки-метали: prom
ускоро-будућност-напет: rwec
си-jedinice: vyin
криптон: kxon
менделевиум: dlem
апликативни-глас: hp6s
антипассиве-глас: tsef
цонтинуативе-аспект: ht6p
зрачење---болест: hr6k
нецесситативе-расположење: hn6t
сингл-акција-глагол: hqek
раилцар: xlak
суперлатив-степен: tlup
егзистенцијални-клаузула: hs6k
калифорнијум: kf6n
поклон-партицип: vrat
светлосни-интензитет: hc6t
сингулативе-број: slus
граматичка---објекат: hy6t
пасиван-партицип: vris
прекомеран-трајање: kxic
суперкритична-флуида: sr6t
износ-од-супстанца: ks6t
постпоситионал-случај: pxok
изборни-квантификатор: lwif
гадолинијум: dl6n
епентетски-морфема: hp6m
који-негира-квантификатор: nwif
еинстеиниум: ny6n
вештачки-језик: txac
везник-честица: qrik
даљински-будућност-напет: twec
учестали-аспект: hfep
дистрибутиван-заменица: bvin
беседа-договор: hk6m
ћелав: blos
Предграђе: syum
универзалан-квантификатор: vlit
рачунар-програмирање: mr6m
телевизија-програм: tr6m
флоатинг-поинт---број: hvun
егзистенцијални-квантификатор: tl6t
дан-после-сутра: dwek
алтернатива-квантификатор: lw6t
злоћудан: hdup
прошлост-пасиван-партицип: hp6t
дан-пре-јуче: txet
локатив-усмерен-случај: tc6k
противчињенични-условни: ht6c
