ﺭﺪﺼﻤﻟﺍ-ﺔﻐﻴﺻ: hnit
ﻚﺑ-ﺔﺻﺎﺧ: hmuc
ﻥﻮﻴﻠﻣ: mlun
ﺐﻌﺘﻣ: tcik
ﻞﺘﻗ: ksam
ﻞﻇ: cwap
ﻥﺯﻮﻟﺍ: plas
ﺔﻠﺘﻛ: mlas
ﺄﺸﻧﺃ: tlip
ﻉﺎﺠﺷ: pyam
ﻒﻴﺤﻧ: plic
ﺽﺍﺭ: srat
ﺭﺎﻴﺘﺧﻻ﻿ﺍ: kcik
ﺔﻠﻴﻀﻓ: hdet
ﻲﻨﻃﻮﻟﺍ: nyaf
ﻲﻬﻟﺇ: swin
ﻱﺩﺍﻮﻟﺍ: clak
ﻦﻤﺨﻳ: kwam
ﺔﺑﺭﺎﻀﻤﻟﺍ-ﺝﺍﺰﻣ: hken
ﺮﻔﺻﺃ: clas
ﺎﻳﺎﻘﺑ: mwac
ﻰﻨﺤﻧﺍ: nlac
ﻕﻭﺪﻨﺻ: pwak
ﻢﺳﻮﻤﻟﺍ: tsim
ﻡﻮﻠﻌﻟﺍ: slas
ﻒﻳﻮﺠﺗ: kcuc
ﻡﻻ﻿ﺍ-ﻮﺧﺍ: hmuk
ﺔﻤﺋﺎﻗ: lyit
ﺲﻄﺴﻏﺃ: ksut
ﻲﺒﻌﺷ: hlup
ﻑﻭﺮﻌﻣ-ﺮﻴﻏ: fyit
ﻑﻮﻟﺄﻣ: flak
ﻑﻮﻟﺄﻣ-ﻞﻴﺠﺴﺗ: krit
ﺉﺭﺎﻗ: tsut
ﺔﺑﺭﺎﻘﻣ: pcuc
ﻦﻴﺗﺮﻣ: tsap
ﺮﻜﻔﻣ: tfik
ﺎﻘﺣ: tsam
ﻦﻫﺎﻛ: pcis
ﺢﻳﺮﺟ: fran
ﻥﺰﺣ: hpom
ﺮﺼﻗ: kfas
ﺏﺮﻀﻳ: clap
؟-ﻪﻳﺇ: hnec
ﻞﻘﻌﻟﺍ-ﻞﺘﺨﻣ: myuk
ﺔﻓﺎﺣ: pfac
ﺔﻌﺴﺗ: nwun
ﺭﺎﺠﻔﻧﺍ: psut
ﻰﻧﺎﻋ: tfas
ﺞﻴﺠﺿ: hcus
ﺏﺩﺃ: lyic
ﺔﺤﻴﺼﻨﻟﺍ: swas
ﺔﻏﺭﺎﻓ: kcuk
ﺔﺒﺗﺮﻣ: psik
ﻡﺎﺤﺘﻗﺍ: tcut
ﺐﻴﺟ: kyip
ﻝﺎﻴﺧ: nlin
ﻰﻠﻋ-ﻢﻜﺣ-ﻭﺍ ﺔﻠﻤﺟ: cwas
ﻲﻧﺎﺜﻟﺍ-ﻦﻳﺮﺸﺗ: nwap
ﺮﺒﻤﺴﻳﺩ: tsip
ﺏﺎﻴﻏ: psic
ﺍﺮﻜﺷ: ryak
ﻥﺍﻮﻨﻌﻟﺍ: tyis
ﺮﺋﺎﻃ: pyuc
ﻚﻟﺎﻣ: mlik
ﻒﻄﻌﻣ: kwut
ﺩﺍﺪﻋﺇ: tyip
ﺕﺎﻗﻼ﻿ﻋ: lwan
ﻥﺎﺧﺩ: htum
ﻲﻧﺎﺜﻟﺍ-ﻥﻮﻧﺎﻛ: nwak
ﺔﻟﺁ: clic
ﻯﻮﺘﺤﻣ: nyik
ﻥﺎﻨﺳﺃ: tlis
ﺭﺎﻋ: hcet
ﺞﻴﻠﺧ: kcaf
ﻍﺎﻣﺩ: pyuk
ﺔﻘﻠﺣ: klic
ﺓﺭﺎﺒﻌﻟﺍ-ﺔﻣﻼ﻿ﻋ: frak
ﻊﺑﺮﻣ: ksap
ﺔﻬﻛﺎﻓ: fyut
ﻱﺎﺷ: tsic
ﺡﺮﺷ: slam
ﺎﺒﺣﺮﻣ: cwam
ﺮﻌﺸﻟﺍ: pwis
ءﺍﺮﺷ: klam
ﻦﻣﺆﻣ: hdic
ﺓﺭﺎﺛﺇ: hcen
ﻥﻮﻌﺑﺭﺃ: klis
ﻞﻳﺮﺑﺃ: pyip
ﻰﺟﺮﻳ: kfit
ﺮﺑﻮﺘﻛﺍ-ﺮﻬﺷ: kfap
ﺓﺭﺍﺮﻣ: kyuc
ﺪﺒﻋ: tlaf
ﺽﺎﻔﻀﻓ: hluk
ﺺﻧ: tsus
ﻥﺎﻤﺘﺋﺍ: cyip
ﺮﺸﻋ-ﺔﺴﻤﺧ: pfit
ﺔﻴﺳﺎﻗ: kcim
ﻢﻀﻧﺍ: cluc
ﺔﻴﻠﻤﻋ: hpif
ﺔﻤﻳﺮﺟ: kyaf
ﺭﺎﺒﻏ: tsuc
ﻲﻠﻤﻋ: plik
ﻥﻮﻠﻟﺍ: nlak
ﻡﺪﻫ: nyuc
ﺓﺩﺎﻳﺯ: lyas
ﻒﻧﺃ: hnus
ﻑﺮﺘﻋﺍ: tyim
ﻖﺑﺎﺴﻟﺍ-ﻡﻮﻴﻟﺍ: kfac
hesternal-ﺮﺗﻮﺗ: tlen
ﻞﺸﻓ: slap
ﻞﻤﻛﺃ: tcim
ءﺍﺪﺗﺭﺍ: pwam
ﺪﻨﻴﻠﺑ: nlit
ﺔﻨﻳﺯﺩ: tsun
ﺮﻴﻄﻳ: fyap
ﺡﺪﻣ: cwin
ﺲﻴﻠﺑﺇ: cwaf
ﺎﻴﺠﻳﺭﺪﺗ: twic
ﺔﻴﺤﻀﺗ: kyif
ﺔﺳﺭﺎﻤﻣ: cyis
ﺮﻴﻤﺿ: tfin
ﺔﻳﺮﻈﻧ: tlic
ﺮﻳﺯﻭ: myis
ﺔﻴﻫﺍﺮﻛ: hnet
ﺓﺮﻴﺤﺑ: cwic
ﺰﻛﺮﻣ: syun
ﺖﻓﺎﺧ: pfic
ﻲﻧﻼ﻿ﻘﻋ-ﺚﻴﻧﺄﺗ-ﻭﺃ ﺮﻴﻛﺬﺗ ﺲﻨﺟ: hron
ﺭﺬﺣ: fwac
ﻊﺘﻤﺘﺳﺍ: nlam
ﺓﺩﺎﺒﻋ: pwap
ﻊﺋﺎﻀﺑ: twap
ﺓﺮﺸﺑ: twaf
ﺖﻴﺒﻟﺍ-ﺢﻄﺳ: tlut
ﺝﺎﺗ: gyan
ﺔﻌﻠﻗ: klap
ﺵﺮﻋ: tcus
ﻖﻓﺮﻤﻟﺍ: nlaf
ﻞﻴﻣ: mlim
ﻰﺼﻗﺃ: krim
ﻦﺠﺴﻟﺍ: fyis
ﺏﻮﻛ: kcip
ﻮﻀﻋ: mlam
ﻲﻧﺪﻣ: syim
ﻥﺎﻜﻣ-ﻞﻛ-ﻰﻓ: tsaf
ﺢﺿﺍﻭ: tfic
ﻥﺎﺟﻭﺯ: pwaf
ﺕﻮﺼﻟﺍ: clam
ﻑﺮﻋ: ksaf
ﺓءﺎﻨﺤﻧﺍ: ksun
ﺔﻟﺪﺑ: slut
ﻢﺤﻟ: mwak
ﺐﻴﻠﺣ: hluc
ﻲﺗﺎﺒﻧ-ﺚﻴﻧﺄﺗ-ﻭﺃ ﺮﻴﻛﺬﺗ ﺲﻨﺟ: hwen
ﺔﻳﺅﺭ: slic
ﺭﺩﺎﻧ: nlap
ﻪﻟﺎﺨﻟﺍ-ﻪﻨﺑﺍ: ksic
ﺮﺴﺟ: pwut
ﻲﻤﺤﻳ: pfak
ﺢﻠﻣ: swam
ﺉﺮﺑ: hwus
ﺔﻜﻠﻣ: kwim
ﺪﻋ: kcus
ﻉﻼ﻿ﻄﺘﺳﻻ﻿ﺍ-ﺐﺣ: hras
ﺺﻗﺭ: tyus
ﻕﺪﻨﻔﻟﺍ: clut
ﺔﺌﺒﻌﺗ: flin
ﻦﻴﺠﺳ: psun
ﺮﺠﺘﻣ: hjan
ﺝﺭﺩ: sric
ﻉﺮﻀﺗ: hmen
ﻞﻣﺭ: sran
ﻒﻴﻨﻋ: hgit
ﺮﺒﻤﺘﺒﺳ: hsem
ﺓﺭﺩﺎﻐﻣ: prac
ﺏﺍﺮﺧ: crin
ﺓﺭﺎﻬﻣ: krin
ﺔﻴﺷﺎﻣ: hwec
ﺕﺍﺪﻌﻣ: hwip
ﺦﺒﻄﻣ: hkon
ﻊﻴﺒﻳ: hbak
ﺔﻋﺮﺳ: hsot
ﺔﺻﻼ﻿ﺨﻟﺍ: clon
ﺏﻮﺳﺎﺤﻟﺍ: hkot
ﻱﺪﺑﺃ: hsen
ﺩﻭﺪﺤﻣ: mrit
ﺔﺒﺘﻜﻣ: hbek
ﺓﺪﻋﺎﻗ: hbac
ﻙﺎﺒﺗﺭﺍ: hrun
ﺪﻴﺠﻤﻟﺍ: cris
ﺎﻀﻳﺃ: hjic
ﻒﺋﺎﺧ: hbic
ﺲﻴﻌﺗ: prin
ﺔﻟﺎﻘﻣ: hrek
ﺦﺒﻃ: kfin
ﺔﻗﺮﻓ: hbat
ءﺍﺮﺤﺻ: hget
ﺔﻠﺒﻗ: hbun
ﺓﺮﻛ: hbot
ﺎﺼﻋ: hpot
ﻝﺍﺪﺟ: hrut
ﺪﺻﺭ: nrak
ﺔﻛﺮﺒﻟﺍ-ﺢﻨﻣ-ﺝﺍﺰﻣ: hbim
ﺶﻫﺪﻣ: hrim
ﺐﻧﺬﻣ: hdis
ﺔﻴﻗﺪﻨﺑ: hgin
ﺔﻃﺮﺷ: plis
ءﺎﻔﺧﺇ: hzan
ﺔﻠﻤﺣ: srin
ﻞﻫﺎﺟ: nrin
ﺔﻤﻳﺮﻛ: drac
ﺔﺑﺎﺤﺳ: blan
ﺕﺎﻔﻠﺨﻤﻟﺍ: htek
ﺮﻳﺍﺮﺒﻓ: frif
ﺽﺮﻣ: hren
ءﺎﻀﻗ: bwan
ﺭﺪﺼﻣ: sron
ﺓﺭﺩﺎﺒﻣ-ﺔﻟﺎﺣ: hnok
ﺔﻤﻋ: hbam
ﺮﻴﺧﺄﺗ: dlic
ﺮﻴﺧﺄﺗ-ﺐﺟﺍﻭ: hlip
ﺕﺮﻛﺫ-ﺮﻫﺎﻇ: prat
ﻞﻴﻠﻟﺍ-ﻒﺼﺘﻨﻣ: dyit
ﻞﻄﺑ: nrac
ﺔﻔﺴﻠﻓ: hfof
ﺪﻴﻟﺍ-ﻊﺒﺻﺍ: hjit
ﺢﻳﺮﻣ: hzat
ﺎﻣ-ﻥﺎﻜﻣ: hmoc
ﺔﻓﺎﺤﺻ: bran
ﻦﻴﻠﻣﺎﻌﻟﺍ: hraf
ﺓﺎﻓﺎﻜﻣ-ﻭﺍ-ﺓﺰﺋﺎﺟ: rwan
ﻰﻠﻋ-ﻡﻮﻠﻟﺍ-ءﺎﻘﻟﺇ: dlac
ﺱﺆﺑ: krat
ﺱﺃﺮﻟﺍ-ﺔﻬﺒﺟ: htec
ﻱﺩﻼ﻿ﻴﻣ: glan
ﻙﻼ﻿ﻣ: htet
ﺩﺮﻔﻤﻟﺍ-ﺔﻐﻴﺻ-ﺩﺪﻋ: hgam
ﺮﺠﻓ: hbon
ﻱﺭﺎﺠﺗ: krak
ﺮﻔﻏ: pran
ﻑﻭﺮﺧ: hcec
ﺮﺒﺻ: hpen
ﺔﻋﺭﺰﻣ: crac
ﻲﻌﺟﺮﻣ: hrec
ﺓﺭﺫ-ﺏﻮﺒﺣ: mran
ﺡﺎﺘﻔﻣ: kcif
ﺔﻴﺒﻠﻏﺃ: hmot
ﻒﻌﺿ: hdut
ﻮﺠﻟﺍ: traf
ﺪﻬﻨﺗ: tcoc
ﻱﺮﺸﺒﻟﺍ-ﺲﻨﺠﻟﺍ: mlis
ﺔﺿﺭﺎﻌﻣ: pric
ﺔﻧﺍﻮﻄﺳﺃ: hdik
ﺍﺪﻴﺣﻭ: hket
ﻥﺎﻨﻓ: nrat
ﺱﺭﺎﻓ: cwis
ﺮﺤﺳ: tran
ﺭﺍﺮﻗ: drin
ﻆﻓﺎﺤﻣ: gran
ﻉﺮﻓ: rwac
ﺐﻴﺗﺮﺗ: hsoc
ﺱﺎﻤﺣ: tsum
ﻲﺜﺣ-ﺝﺍﺰﻣ: hdum
ﻊﻤﺘﺠﻣ: hmum
ﻂﻔﻧ: hyen
ﺏﻮﺒﻧﺃ: hbap
ﺔﻋﺎﺒﻃ: trat
ﺎﻳ: dyoc
ﺭﺍﻮﺤﻟﺍ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hros
ﻲﺋﺍﺪﻧ-ﺔﻟﺎﺣ: hwok
ﺓﺮﻤﻗ: ksen
ﺭﺍﺬﻧﺇ: plam
ﻲﺒﺼﻋ: hnes
ﻢﺋﺍﺩ: hset
ﻦﻴﻜﺳ: ksuk
ﺮﻳﺮﺣ: slik
ءﺍﺭﺩﺯﺍ: grin
ﻢﻴﺤﺠﻟﺍ: nrik
ﻞﺼﻔﻨﻣ: plen
ﺩﺎﺟ-ﻞﻜﺸﺑ: mrat
ﻂﻠﺘﺨﻣ: mrik
ﻲﺒﺸﺧ: mrak
ﻞﻀﻔﺗ: hpet
ﺮﻳﺬﺤﺗ: trin
ﺏﺎﺘﻋ-ﺝﺍﺰﻣ: htom
ﺔﻌﻓﺩ: hmos
ﺡﻮﻤﻃ: mrac
ﺾﻓﺭ: hnek
ﺭﻮﺘﺳﺩ: swic
ﻚﺻ: srit
ﺮﻤﺘﺴﻣ-ﺐﻧﺎﺟ: hnip
ﺭﺰﺟ-ﻭ-ﺪﻣ: hgas
ﺔﻴﻠﻛ: klen
ﻞﻳﺫ: hkek
ﻞﻴﺟ: nric
ﻂﻗ: blat
ﺓﺮﺷﺎﺒﻣ-ﺮﻫﺎﻇ: hret
ﺔﻟﻮﻫﺄﻣ-ﺮﻴﻏ: trac
ﺓﺮﺸﻋ-ﻯﺪﺣﺍ: hyec
ﺱﺪﺣ: nlik
ﺓﺰﻴﻤﻣ-ﺔﻔﺻ: trit
ﺔﻠﻴﺒﻗ: hgik
ﻖﻠﻗ-ﺝﺍﺰﻣ: pcim
ﻯﻭﺄﻣ: crat
ﺏﺬﻬﻣ-ﺮﻴﻏ: hruc
ﺐﻛﺮﻳ: hris
ﺓﺰﻫ: hmon
ﺔﻋﺎﻨﺻ: hdot
ﺔﻨﻬﻣ: hres
ﺝﺍﺮﺳ: hdap
ﺓﻮﻬﻗ: kfif
ﻉﺎﻃﺃ: htot
ﻲﻟﺎﻤﺷ: nrit
ﺽﺮﻤﻣ: nris
ﻥﺎﻤﺿ: hjat
ﺔﻠﺴﻠﺳ: ryin
ﺲﻳﺭﺪﺗ: cric
ﺔﻳﺬﺣﺃ: hgut
ﻝﺰﻨﻣ-ﺔﻘﻳﺪﺣ: mram
ﺾﻣﺎﻏ: hmec
ﺮﺧﺍ-ﻥﺎﻜﻣ: hlet
ﺔﻘﺷ: pret
ﻁﺎﺸﻧ: twot
ﺖﺒﺴﻟﺍ-ﻡﻮﻳ: cram
ﻕﺍﺮﺷﺇ: hduc
ﺔﻠﻣﺭﺃ: hwuc
ﺮﺼﻨﻌﻟﺍ: hlem
ﺱﺎﻜﻌﻧﺍ: hfen
ﻢﻴﻈﻨﺘﻟﺍ: hgis
ﺔﻤﺠﻧ: tram
ﺙﺩﺎﺣ: hgon
ﻒﻴﺿ: hgip
ﺭﺎﺑ: brap
ﺔﺟﺎﺟﺯ: hbet
ﻙﺭﺎﺑ: blak
ﺔﺠﺿ: crak
ﻲﻠﺧﺍﺩ: trik
ﻞﺣ: krik
ﺹﻼ﻿ﺨﺘﺳﺍ: prit
ﻑﻮﺟﺃ: hcot
ﺔﻳﻻ﻿ﻭ: hpos
ﺓﺭﺎﻀﺣ: srac
ﻖﻠﻋ: hgak
ﺔﻣﺪﺻ: crok
ءﺎﻨﺜﺘﺳﺍ: swap
ﺔﻟﻼ﻿ﺳ: tren
ﺭﺎﻴﻌﻣ: ryan
ﺓﺩﺎﻴﻘﻟﺍ: dran
ﻦﻣ-ﺺﻠﺨﺗ: hruk
ﻢﺴﻗﺃ: kses
ﺰﻨﻛ: zran
ﺓﺭﺬﺑ: hbis
ﺝﺮﺑ: tras
ﻞﻀﻔﻤﻟﺍ: fwit
ﺎﺜﻳﺪﺣ: hcem
ﺓﺮﻴﺧﻷ﻿ﺍ-ﻲﺿﺎﻤﻟﺍ-ﺮﺗﻮﺗ: hrot
ﻆﻘﻴﺘﺴﻣ: srik
ﺙﺎﺛﺃ: mrin
ﻞﺒﺣ: hkos
ﺓﺮﻣﺎﻐﻣ: hdas
ﺔﻴﻜﻠﻣ: ryit
ﺪﻴﻋ: dyat
ﻒﺻﻭ: dras
ﻥﻮﺘﺳ: hses
ﺱﺎﻴﻘﻣ: hkem
ﻢﻳﺮﻜﺗ-ﻞﻔﺣ: srec
ﺪﻴﺼﻟﺍ: clik
ﺲﻤﻫ: psus
ﺮﻴﺒﻛ-ﺪﺣ-ﻰﻟﺇ: ryat
ﺔﻴﺤﻴﺴﻤﻟﺍ-ﺔﻧﺎﻳﺪﻟﺍ: ksim
ﻡﺎﺤﻣ: hwif
ﻞﻴﺻﺎﻔﺘﻟﺍ: drit
ﺓﺮﻴﻣﺃ: hrus
ﺢﺑﺬﻣ: dlat
ﺔﻜﺒﺷ: hwes
ﻲﺠﺴﻔﻨﺑ: brin
ﻊﻤﺟ: hkoc
ﺏﺎﺨﺘﻧﺍ: hben
ﺭﻮﺼﺗ: kren
ﻥﺍﺮﻜﺳ: crik
ﺐﺼﻳ: brac
ﻊﻓﺭ: hlif
ﺪﺴﺠﻟﺍ-ﺔﻐﻠﺑ-ﺮﻴﺒﻌﺗ: hjis
ﺓﺭﺍﺩﺇ: rwin
ﻝﺩﺎﺒﺗ: tcen
ﺓﺪﻴﻛﺃ-ﺔﻟﺎﻘﻣ: hdek
ﺭﻮﻃﺍﺮﺒﻣﺇ: mras
ﺪﻌﺑ-ﻦﻋ: hroc
ﺢﻴﺒﻗ: clup
ﺓﺭﺎﺿ-ﺮﻴﻏ: cras
ﺔﻔﻟ: hrof
ﺔﺻﻮﺑ: nlic
ﺓﺪﻳﺮﺟ: grat
ﺔﻴﺤﻟ: dric
ﻕﺰﻤﺗ: srim
ﺔﺌﻴﻫ-ﻭﺃ-ﺔﻟﻮﻤﻋ: kson
ﺎﻤﻨﻴﺑ: grak
ﺮﺒﻌﻣ: kcoc
ﻝﻼ﻿ﻘﺘﺳﺍ: htes
ﺔﺤﺋﺍﺭ: hwon
ﺓﺮﺸﻋ-ﺔﻴﻧﺎﻤﺛ: hdec
ﻲﺨﻳﺭﺎﺗ: tris
ﻲﻟﺎﻤﺟﺇ: krut
ﺭﺬﺟ: hrok
ﻦﻴﻃ: hbik
ﺱﻭﺮﻋ: dlan
ﺏﺎﺠﺣ: pras
ﺡﺮﺴﻣ: tret
ﺔﻧﺭﺎﻘﻣ: kras
ﺲﻓﺎﻨﻣ: rwis
ﺪﻴﺻﺮﻟﺍ: slen
ﺏﺭﺪﻣ: kron
ﺔﻫﺎﻜﻓ: hnum
ﺔﻳﺍﻭﺭ: rwas
ﻡﺎﻘﺘﻧﺍ: hbaf
ﺭﻮﻴﻏ: ryut
ﺔﻠﺠﻋ: hlok
ﻕﺮﺣﺃ: glat
ﺵﻼ﻿ﻓ: flac
ﻖﻠﺧ: hkec
ﻉﺍﺮﺻ: hnot
ﺔﻨﻌﻟ: hlos
ﻦﻋﺍ-ﺝﺍﺰﻣ: pram
ﺰﺟﺎﻋ: hces
ﻲﺑﺎﺠﻳﺇ: hzit
ﻱﺩﺎﻨﻟﺍ: klup
ﻥﺎﻀﻴﻓ: nras
ﺏﻮﺒﺣ: gwan
ﺓﻻ﻿ﺎﺒﻣ-ﻻ﻿: hdun
ﻲﻠﻘﻌﻟﺍ-ءﺮﻤﻟﺍ-ﻖﻓﺃ: crim
ﻪﺑ-ﻢﻠﺴﻣ-ﺝﺍﺰﻣ: hsom
ﺭﺪﺤﻟﺍ: htop
ﻡﺎﺠﺴﻧﻻ﻿ﺍ: mron
ﺪﻋﺮﻟﺍ-ﺕﻮﺻ: hgot
ﺔﻟﻮﻔﻄﻟﺍ-ﺔﻠﺣﺮﻣ: htok
ﺔﺒﻛﺭ: hgun
ﺕﺎﻴﺠﻣﺮﺒﻟﺍ: pwen
ﺡﺮﺟ: kram
ﻝﺎﺼﻳﺇ: ryis
ﻦﻴﻜﻤﺗ: nlim
protasis: hpoc
ﻕﻻ﻿ﺰﻧﺍ: slok
ﺓﺭﻮﺛ: hrif
ﻉﺭﺍﺰﻣ: hjim
ﺔﻴﻏﺎﻣﺪﻟﺍ-ﺔﺘﻜﺴﻟﺍ: trak
ﺔﺼﻨﻣ: hpof
ﻝﻮﺳﺭ: hmes
ﺯﺎﻴﺘﻣﺍ: hpek
ﻢﻈﻨﻣ: hyot
ﻢﻠﻋ-ﺐﻟﺎﻃ: clen
ﻒﻬﻛ: hgec
ﺪﻴﻠﻘﺘﻟﺍ: rwat
ﺓﺎﺳﺄﻣ: tses
ﻊﻳﺩﻮﺗ: hjap
ﺪﻘﻧ: ryik
ﻦﻄﻗ: krap
ﻰﻔﺸﺘﺴﻣ: slot
ﺭﺎﺠﻳﺇ: kris
ﺯﺎﻏ: hges
ﻪﻨﻣ-ﺮﻔﻣ-ﻻ﻿: pwic
ﺖﻴﻤﻣ: hgim
ﺮﺠﺸﻟﺍ-ﺔﻗﺭﻭ: glit
ﺭﻮﺸﻨﻣ: plun
ﻲﺋﺍﺪﻋ: tsup
ﺔﻤﺟﺮﺗ: dwan
ﺓﺯﺎﻨﺟ: jran
ﻖﻴﻗﺩ: mrun
ﺔﻠﺳﺍﺮﻣ: ryon
ﻲﺴﻧﺎﻣﻭﺭ: hrom
ﺥﻮﻛ: clun
ﺡﺮﺘﻗﺍ: psot
ﺪﻴﻠﻘﺘﻟﺎﺑ-ﻢﺴﺘﻣ: hmet
ﺭﻻ﻿ﻭﺩ: dlon
ﺭﺎﻬﻨﻟﺍ-ءﻮﺿ: hjac
ﺮﺸﻋ-ﺱﺩﺎﺴﻟﺍ: hsos
ﺔﻴﻌﻤﺟ: hzac
ﺓﺮﻤﻌﺘﺴﻣ: klon
ﺡﺎﻨﺟ: gyin
ﺪﺳﺃ: hles
ﺔﻓﺎﻘﺛ: klut
ﺩﻮﻤﻋ: hkom
ﺮﻜﻣ: glak
ﺎﻣﺍﺭﺩ: dram
ﺔﺘﻜﻧ: hjuc
ﺏﺎﺒﺿ: hdus
ءﺍﻭﺪﻟﺍ: dwas
ﺓﺮﺸﻋ-ﺔﻌﺑﺭﺃ: hkes
ﺾﻣﺎﺣ: sram
ﻱﺃ: hyet
ﻞﺧﺩ: hmok
ﻒﻘﺳﺃ: hbip
ﻲﻟﺎﻘﺗﺮﺒﻟﺍ: tron
ﻡﺎﻤﺣ: byan
ﻲﺋﺍﺪﺑ: rwit
ﺔﻠﺳ: ksek
ﻦﻴﻣﺃ: sris
ﺶﻗ: prak
ﺭﻮﺒﺻ-ﺮﻴﻏ: pfif
ﺹﻼ﻿ﺧ: slon
hodiernal-ﺮﺗﻮﺗ: dlin
ﻡﺰﺘﻋﺍ: zrin
ﺭﺎﺨﺑ: tcip
ﻢﺳ: hwoc
ﺔﺒﻫﻮﻣ: tlon
ﺥﺎﻨﻣ: lwim
ﻝﺎﻌﻓ: fric
ﺰﻴﻤﺗ: tcif
ﻞﺴﻏ: dwac
ﻑﺍﺮﺘﻋﺍ: kfis
ﻍﺭﺎﻓ-ﻡﻼ﻿ﻛ: hjas
ﻢﺤﻓ: kyon
ﻒﻴﻔﺧ-ﻞﻳﻮﻃ-ﻕﺭﻭﺯ ﻮﻨﻜﻟﺍ: kwon
ﺖﻗﺆﻣ: tric
delimitative-ﺐﻧﺎﺟ: hdip
ﻢﻈﻋ: hcos
ﻦﻴﻨﺛﻹ﻿ﺍ: nwic
ءﺎﺛﻼ﻿ﺜﻟﺍ: glac
ءﺎﻌﺑﺭﻷ﻿ﺍ: bwac
ﻲﻟﺍﺭﺪﻔﻟﺍ: frin
ﻪﻴﻓ-ﺏﻮﻏﺮﻣ: hzic
ﻞﺜﻤﻣ: ryic
ﻥﺎﺘﻛ: lwin
ﺔﻋﻮﻟﺎﺑ: swuk
ﺖﺧ-ﻷ﻿ﺍ-ﻭﺃ ﺥﻷ﻿ﺍ ﻦﺑﺇ: bwin
ﻡﺍﺩ: kric
ﺭﺎﺼﺣ: cren
ﺓﺪﻌﻣ: hpem
ﺱﺎﺤﻧ: pcon
ﺔﻤﻗ: hzik
ﺲﻣﺎﺨﻟﺍ: pfik
ﺺﻴﺧﺭ: brat
ﺔﻳﺮﺼﺣ-ﺺﺨﺷ: kwen
ﺰﺠﺣ: zrat
ﺝﺎﻴﺳ: hzas
ﻝﺎﺜﻤﺗ: tfam
ﺔﻴﻌﻓﺪﻤﻟﺍ-ﺡﻼ﻿ﺳ: tlep
ﻖﻧﺎﻌﺗ: mrap
ﻂﻴﺤﻤﻟﺍ: sren
ﺔﻗﺪﺑ: srot
ﻝﺍﺰﻐﻟﺍ: hluf
ﺓﺮﻴﺠﺷ: hbuc
ﺔﻳﺪﻳﺪﺤﻟﺍ-ﺔﻜﺴﻟﺍ: hrep
ﻎﻳﺮﻔﺗ: hduk
ﺚﻳﺭﻭ: mris
ﻁﻮﻠﺑ: blun
ﺾﻴﻐﺑ: pren
ﻉﺍﺮﺘﺧﺍ: hgic
ﻮﻧﺎﻴﺑ: pyon
ﻉﺎﻨﻗﺍ: swen
ﻰﺋﺮﻣ-ﺮﻴﻏ: gric
ﺭﻮﻬﺸﻣ: ryun
ﺓﻮﺴﻗ: kluk
ءﺍﺮﻏﺇ: hyoc
ﻚﻴﻠﻴﺗ-ﺐﻧﺎﺟ: hlep
ﻱﺩﺎﺼﺘﻗﺍ: kfik
ﻲﻟﻭﺩ: troc
ﻞﺧﺪﺗ: tcek
ﻑﻮﺴﻠﻴﻓ: flif
ﻖﻴﻧﻷ﻿ﺍ: gyit
ﺮﻴﺧ: kyen
ﻚﻤﺴﻟﺍ-ﺪﻴﺻ: mlak
ﺔﻗﺮﺳ: truc
ﺔﻔﺷ: hloc
ﺪﻋﺎﻘﺗ: ryac
ﺩﺍﺪﺘﻣﺍ: sras
ﺽﺮﻋ-ﺔﻟﺎﺻ: glen
ﻯﺯﺍﻮﻣ: zlan
atelic-ﺐﻧﺎﺟ: htep
ﺓﺭﺎﻗ: trap
ﻲﻤﻳﺮﺤﺗ-ﺝﺍﺰﻣ: nrim
ﻝﺩﺎﻌﺘﻟﺍ: dwat
ﺔﻧﺍﺰﻧﺯ: slep
ﺔﻀﻴﺑ: dyan
ﻊﻨﻄﺼﻣ: jrat
ﻥﻮﻀﻏ-ﻲﻓ: nwis
ﺔﻣﺯﺃ: ksot
ﺏﺬﻬﻣ: sloc
ءﺍﺪﻏ: lyon
ﺮﺑﻮﻨﺻ: pwon
ﻊﻓﺩﺇ: hcef
ﻒﻟﺎﺤﺗ: lyen
ﺮﺼﺨﻟﺍ: hkop
ﺓﺰﺠﻌﻣ: hmek
ﺭﺎﺤﺑ: slis
ءﺎﻘﻧ: prut
ﺔﻳﺭﻮﻬﻤﺟ: hguk
ﻒﺗﺎﻫ: tfen
ﻁﻮﺳ: krip
ﺺﻴﻤﻗ: cyim
ﻢﻳﺪﻘﺗ: ryas
ﺔﻜﻳﺭﺃ: hsof
ﺢﺴﻣ: hsup
ﻕﺭﺎﺴﻟﺍ: ksif
ﻆﻔﺘﺣﺍ: nrec
ﺓﺎﻨﻗ: kcen
ﺔﻴﺼﺨﺷ: klim
ﺡﻼ﻿ﺻﺇ: kfam
ﺩﺪﻬﻣ: hzim
ﻒﻛ: plim
ﺙﺪﺤﺘﻤﻟﺍ: hzak
ﺔﺒﺘﻋ: dwic
ﺚﺣ: pris
ﺔﺑﺮﺣ: bzak
ﻖﻴﻧﺃ: syec
ﺔﺴﻠﺟ: cwen
