Infinitive: hnit
დააკონვერტიროთ: kcet
განტოტვილი: kluc
ოპერა: hpop
დამტკიცების: nron
ღალატი: rwak
დასჯა: hzen
elbow: kcon
დანართი: tcet
სარემონტო: hrop
საეჭვო: cyec
სამოცდაათი: swet
წმინდა-წერილი: srip
pit: grac
არეულობის: dlak
ორობითი: byin
abbey: bjan
arrow: tcec
როგორც-წესი,: trec
შეიმუშაოს: frat
ერთგულება: hlot
მონეტა: syip
კანკალს: tcem
დევნილობაში: gwin
მექანიკური: myim
ხაფანგში: crap
ტორტი: kyek
sir: cyes
მოგერიდებათ: sret
ჩვიდმეტი: syet
თაფლი: myon
აქციების: dzat
tread: hjam
აგურის: brit
ოთხმოცი: hpes
სამწუხაროდ,: pcen
კონსულტაციები: kcot
ლეგენდა: lwen
მოსავალი: hfos
ხელშეწყობა: pfon
ღუმელი: hsop
მეამბოხე: bric
მოძველებული: hnom
swell: cron
swamp: swot
გასახდელი: hdes
ასკეტური: pces
მენეჯერი: mren
გუნდი: cros
რაციონალური: tson
დამუშავება: pson
wolf: blaf
ხალიჩა: hgap
ანტიკურ: hjak
ნაყოფიერი: frut
ისთვის: slif
ყველი: twis
bite: byat
მოიწვიოს: jwan
ტაძარი: kyet
harbor: brak
wander: djan
კულტურების: tsos
მუქი-ლურჯი: nlen
ნიღაბი: mrok
ფანქარი: pses
ბოსტნეულის: sroc
გამოფენა: hzet
შარვალი: tlun
კორუფცია: hrup
კაბინეტი: nram
წვნიანი: srup
ქირურგი: syon
შემწეობა: tcot
spy: gyas
უგუნური: hlec
gossip: gyic
ნიშანი: hzon
აბსტრაქტული: srok
ხუთშაბათი: cwim
საგზაო: ryaf
არქიტექტურა: ryek
crack: rwaf
ორნამენტი: rwon
დავამარცხებთ: lwas
amuse: mwun
აღდგენა: ksus
საფარის: plut
გადამწყვეტი: dyin
უარყოფითი: nraf
ფესტივალი: hfec
ამცირებს: hrum
ღალატის: zyan
hunter: djin
snake: syen
ბატარეის: bret
ცვილის: flam
დეტექტივი: dlit
ანალიზი: nlis
ყურადღება: hzot
swim: twen
კონვერტში: lwaf
ვინც: hgek
სიგარეტის: jrit
საავტომობილო: mrot
მოხალისე: hwot
რეაქცია: ryif
ბარგის: blam
ყრუ: hboc
წვენი: hjus
humility: jlit
სამინისტროს: mret
სექსუალური: hjon
დიამეტრი: dyam
ნაჯახი: blac
diamond: dlam
ალტერნატიული: hlek
echo: hgus
თავშეკავება: swon
პირადობის: hdaf
ეკრანზე: krun
lazy: lwis
momentane-ასპექტი: hmop
კომპაქტური: kfot
drift: hdif
გაქრება: hgaf
ray: ryen
მელნის: mwic
მასიური: mraf
მარანი: dyac
სამახსოვრო: nrun
glare: klek
სენატის: slet
კუბოში: tfap
პატიება: frac
მერცხალი: nlun
indulge: nlot
swing: swun
მინდვრის: gram
კომპლექსი: klos
გადადგომის: hzis
თავმდაბალი-რეგისტრაცია: nret
შეთქმულების: swim
წიწაკა: prip
pony: pron
კანდიდატი: hzam
fox: flik
chimney: tcon
იურისდიქცია: drik
სოფლის-მეურნეობის: rwic
სიზუსტით: tcuk
ყოფილი-გარდაცვლილი: brim
დემოკრატიული: mrek
bud: hbos
საბანი: bwat
სეტყვა: hgep
ღორის: srus
shaped: krek
სპილოს: craf
კლასიკური: ksok
დამკვირვებელი: nwet
elephant: lwit
ფრჩხილების: nwus
bee: hmif
დასამარებას: dzan
მსახიობი: bzat
ოფლი: zwan
polish: ploc
ილუზია: hlus
გაურკვევლობა: pcet
საშუალო: syif
ჩამოყაროს: tsot
სოფლის: grun
groan: nyen
ჰგავს: slec
პასუხის: hzun
ტომარა: cyek
გაღიზიანებას: fren
ნემსი: hjun
კონტროლირებადი: nroc
ქათამი: truk
თანმიმდევრული: kwot
ბარელზე: bras
მუდმივი-ასპექტი: hcep
ექსპერტი: ksec
შთაბეჭდილება: blin
olive: zlin
van: myen
დაბრკოლება: bwak
nod: kcec
foster: plaf
განმარტება: fyic
დაბადების-დღე: gjin
hammer: hcof
სურნელოვანი: hfon
განმეორება: trun
ტრივიალური: twut
kick: hjik
გათხრები: kwaf
ცხოველები: plot
თავის-ქალა: hcop
საკანონმდებლო: dlik
heel: cruk
frown: crun
პატენტის: plet
მილიარდი: blim
ქიმიური: fyik
პილოტი: pyot
იმიტაცია: mlot
skirt: kwet
უჩვეულოდ: srap
ყოველკვირეული: jwik
ტექნიკური: tfip
მცენარეული: tset
crow: kraf
sunrise: sruc
სიცოცხლის-განმავლობაში: glin
ხელი-შეუწყოს: hyom
hook: hdok
tiger: blic
შეაღწიონ: crut
ყდის: slun
გზატკეცილზე: jras
მილიციის: mlip
ditch: kroc
მთლიანობის: kret
ცხრამეტი: dzin
ორგანული: rwik
თეოლოგია: flic
float: flut
witch: byac
შეწუხებული: hwuk
დიპლომატიური: dyik
სტუდია: twos
უნდა-აღემატებოდეს: kcok
შამპანური: cyen
გააჩინოს: crif
ბანერი: hbes
გაყრა: lwon
bolt: hbut
ვენაში: jyan
პასიური: psif
ქაფი: hgum
ხრეში: grik
წინსაფარი: tyen
პლანეტის: gren
თაროზე: claf
fan: flon
ტროპიკული: hjip
ფაზა: fwas
თვითნებური: rwen
შეხედულებებსა: kfun
mercury: krok
creep: hrem
თვითმკვლელობა: tcos
რეპორტიორი: prot
ართმევს: hpok
გამოცდილი: klun
აივნით: blik
ჩანგალი: fras
თანამშრომელი: mlek
დამსაქმებელი: myot
სიგანე: jrak
გაღიზიანებული: djit
ადანაშაულებენ: klot
საპენსიო: pyen
ზმნა: kres
monkey: mwon
მისაღები: hwek
ხელმოწერა: tlim
მართლმადიდებელი: rwos
ირონია: fron
სანერგე: nrap
თავშეკავებით: jlan
იმპორტი: tyot
ლამპარი: croc
გრამატიკა: gjak
ანაბარი: gyat
კოლონიური: plon
yacht: jyat
შედეგობრივ: kwec
გუმბათი: kwun
სისქე: hfot
ჯიუტი: cyon
muscle: hmup
მასშტაბები: ryam
რუბლს-შეადგენს: ryos
cowardly: rwam
აღკაზმულობა: gwac
სადღეგრძელო: tros
მაუსი: myus
syllable: slim
pat: prap
დიალოგი: dlaf
ნეიტრალური: nrot
შრომისმოყვარეობა: dwin
ეწინააღმდეგება: trot
მისაღწევად: kfic
თხა: byak
აყვავება: hfet
დააწესოს: mlon
ანონიმური: nwim
ფორმალური-რეგისტრაცია: frit
ხბო: hbof
სახელმძღვანელო: mwut
melt: hjec
წაშლა: flas
ქოლგა: gras
boot: bzut
მინერალური: mrim
ზავი: crus
duck: hbok
დაგეგმვა: pfam
საპნის: hsuf
თოჯინა: gwak
ჩონჩხი: klet
ვილა: blis
სამკერვალო: jlin
შერიგება: dyak
kettle: kset
mature: mruc
კურდღელი: kruc
დირიჟორი: nwot
დამოკიდებულება: djat
მოთამაშე: jlic
insect: pset
რესტორანი: cret
owl: lwun
რადიკალური: djik
რეზიდენტი: zwin
dragon: dron
აუდიტორია-მტკიცებულების: drot
მწყურვალი: kyos
linger: dren
გაანგარიშება: glun
რეგულირება: ryim
მერი: mlap
უმცირესობის: mric
შეძენის: dwon
ვეტერანი: bren
ორკესტრი: ryes
ბეკონი: bjin
მინუსი: zwat
ქსოვილი: frap
მუსიკოსი: gzik
გონებრივად: hnep
ერთობლიობაში: nyon
არაადეკვატური: nrip
არქიტექტორი: tsek
lemon: nyim
ხველა: kcos
თავის-ტკივილი: crek
tenant: ryet
ნაყოფიერების: srun
მოშუშებისა: hfoc
ოთხმოცდაათი: nwon
შემთხვევითი: hbec
კოვზი: kcek
balloon: blon
ცარცი: hfip
ახსნითი-მტკიცებულების: nlet
გამომცემელი: pcot
ძმარი: sruk
ნაცარი: fyec
expletive: slek
აღორძინება: nrut
მგრძნობიარე: kfim
გვირაბი: tfun
თავსატეხი: hpef
მექანიზმი: mwim
მათემატიკის: gzit
fade: frun
ღვიძლის: jwin
sublative-შემთხვევაში: bwik
dip: dris
ერთეულის: twim
მონოპოლია: hnop
სათამაშო: hgup
წყალქვეშა: bzin
მიწისძვრის: hbem
ლაბორატორიული: brot
კორპის: kruk
თვითმმართველობის-კონტროლის: syot
buddha: hbus
იქსოვებოდა: bjat
საელჩოს: blas
შორეული: sres
დეკლარაციული-განწყობა: drim
სტიმული: tyuc
შოკოლადი: clot
დამთხვევა: tyon
ხელთათმანი: gwat
დაჩოქება: hjek
გეოგრაფია: hjif
საინვესტიციო: nwes
სიტყვიერი: mrec
ანალოგია: nlip
საერო: srek
hawk: blap
ფსიქოლოგია: nloc
შეიკარი: gjan
ჯართი: krep
როლი: cyum
დოზა: hdos
ორაგული: slom
pudding: pwun
მაგნიტური: gyik
ტუმბოს: pcom
ჟანგბადის: ksip
სერტიფიკატი: tfot
მედალი: hmem
რიტორიკა: trok
scrape: rwap
oar: dyas
ტელესკოპი: trip
ყელსაბამი: clek
ორთოგრაფიული: prif
ვისკი: hwos
willow: hwof
camel: hlum
amateur: myet
გასასვლელი: crec
ბიოგრაფია: brif
ვირი: gzac
ყოველთვიური: mwis
იგნორირება: nruk
დასვენება: byit
click: lyik
ოვალური: twon
ელასტიური: lyet
ლექსიკონი: kfon
ham: gzam
ცისარტყელა: rwun
მოიხმარენ: kcum
spit: tcup
სატანკო: trek
კოლეგა: clok
პეპელა: trif
გრაფიკი: graf
ტყუპი: jwat
დამოუკიდებლად: trem
bamboo: hbum
ბანკირი: jlat
დაგროვების: kles
ინსპექტორი: nyet
ლუკმა: hyos
კოშმარი: hbom
jam: gjam
მუზეუმი: mrem
ანბანი: lwam
scatter: zras
დარბევა: crip
გამჟღავნება: clus
rot: fraf
აგრესიული: gris
ხახუნის: mroc
პიერ: gyac
spider: brik
კარტოფილის: trut
რევიზია: cwon
გაუმაძღრობით: jlac
ნაადრევი: ryot
გამრავლების: gzan
დატრიალება: pcip
სტატისტიკა: tsok
კალენდარი: klem
ნომინაციაში: nwen
ტრილიონი: tlos
სხვენით: tlok
სასარგებლოდ-განწყობა: rwim
პროგრამები: pfen
ნომინალური: nlon
უკმაყოფილება: sraf
ინფექციის: hfok
ქვევრის: krot
გაკვირვებით: cyok
pioneer: gzin
უმოქმედობის: nlif
კომბოსტო: glic
სპორტული: tlet
ლოთობა: mrut
idiophone: hdof
ბერკეტი: lwek
სენატორი: syem
iris: nrif
ant: mwam
bug: hbop
ორსული: grim
პროვოცირება: hjet
ტერფის: tcok
კლასიფიკაცია: glik
ცვლადი: prim
გადაიტანოთ: ryap
ხვეული: krec
გოგირდის: hsef
უკარნახოს: dwik
წარმოშობა: brun
frog: fram
გადაჭარბებული-შემთხვევაში: twek
sponge: hjen
შემაშფოთებელი: djon
squirrel: slip
grind: zyin
irrealis-განწყობა: flim
ვულკანის: glam
შენობაში: gron
გამოყენებისათვის: kloc
გეოლოგიური: jlik
პასპორტი: psop
ამორალური: mlet
ორცხობილა: hbuk
თანამშრომლობა: kros
ტაბლეტი: tlot
დასვენების: kces
atom: trom
შიდსის: hzip
პირამიდის: psim
ციკლი: swok
nap: hnup
უკანონო: hjaf
paw: pfap
shyness: crom
eclipse: klip
არფაზე: lwap
ცოცხი: srum
პანელი: mwen
ასტრონომიის: tcom
maze: blen
სტიპენდია: bwit
კუს: kfuc
მრჩეველი: dwak
ბოჭკოვანი: fwic
cricket: jrik
მტრედი: ksom
ადაპტაციის: dyon
სამკუთხედის: tfon
ხაზინადარი: tsen
წყალბადის: jron
მყიფე: hfuk
პრინტერი: pyet
choke: tcof
ქრონიკული: gzon
გაუმკლავდეს: slaf
დილემა: dlim
საინჟინრო: jyin
კამერა: hkef
ბოდიშს: pluc
lick: lwet
მოცეკვავე: dret
მიგრაციის: mres
ჩოგბურთის: tces
ხერხემლის: clip
fry: zrac
იკვეთება: tfuc
stab: twuc
დაგავიწყდათ: psaf
ნახევარსფეროში: praf
სტრატეგია: zrit
კვარცის: krus
მაკრატელი: jris
საპატრულო: proc
მყინვარი: lwic
შუა: dwam
მემორანდუმი: mwap
cone: kwuc
სიმეტრია: hzut
მწარმოებელი: zrak
მოპასუხე: fwik
mosque: djis
ჭადრაკი: cres
ზარი: htof
cherry: tref
გავრცელებული: kfen
stumble: tfok
სატვირთო: ryok
მდოგვი: mros
პროცენტი: pfet
აუქციონზე: jlam
sieve: srif
ცვალებადი: swoc
magnet: gjat
ლევან-გაჩეჩილაძე: syus
islam: slum
tiptoe: twip
გარსის: mlen
shave: clet
გიტარა: gjit
გამოუყენებელი: bzan
თელა: hyem
soar: kcom
ნაცვალსახელი-marker: ryec
staple: pcus
spice: zlat
გირაო: jlas
გადამზიდავი: zyac
ვიბრაცია: bron
გაღიზიანება: trus
გუთნის: hlom
ფსიქოლოგიური: zlik
წყალსაწრეტი: hgok
comet: cyet
შუა-საუკუნეების: dyic
sparrow: grec
აუნაზღაუროს: twet
პლასტიკური: psuk
სქოლიო: cyot
ორბიტაზე: rwot
frugal: twum
გოლფის: hgof
ნულოვანი: zrun
ჩიპი: tcep
ზეწოლას: prok
yawn: gjac
უთანასწორობა: gwas
mole: tloc
ჭურჭელი: frik
დიასახლისი: hgif
ჭვავის: rwem
დაემორჩილებოდა: hyes
ტოლერანტული: glon
ემბრიონის: brec
miner: jren
მივესალმებით: zlac
საფუარი: lyim
პრემია: pfim
ქლიავი: plem
გაკოტრების: byas
სარწყავი: rwif
პიტნის: nyun
კაპიტალისტურ: glis
ელასტიურობას: hlef
ზვიგენი: gyak
გაწვევის: drut
შენახვის: zren
რეალიზმი: cles
ginger: djic
სასწრაფო-დახმარების: blus
შესადარებელი: kwip
საფულე: bjap
grimace: glim
მეცნიერი: gyis
gut: grot
equanimity: hwum
რადიო: href
შეუსაბამო: zlit
bean: bwam
არაფორმალური: frim
შვილიშვილი: gyut
უთანხმოება: dloc
სტეიკი: tfek
აზოტის: zron
razor: hjut
კონტრასტული: krom
პროპაგანდა: pcoc
ფეიერვერკი: fris
პოპ: pcop
undress: crop
furrow: cruc
მავნე: hzaf
იუდაიზმი: hjum
დაკომპლექტდეს: pluk
ობიექტივი: lyes
pegative-შემთხვევაში: pwek
კიბოს: kfes
სალომბარდო: pyek
ლექტორი: zyat
გაჟონვის: hzuk
კვალიფიკაციას: krif
სიმჭიდროვე: djot
ინდუქციური: dyis
საღეჭი: htuf
talkative: bzit
lobster: hgos
ფასდაკლება: dyut
ტაქსის: tsuk
იერარქია: crem
jade: gyec
snarl: glaf
lizard: lyis
ჩანჩქერი: crof
გულდასაწყვეტია: djak
ვეტო: frot
პრეზიდენტობის: ryip
მყიდველი: mrif
gallon: jlen
mosquito: mruk
გადახრა: dwen
ჭიდაობა: lyut
მოზაიკა: myok
plug: plok
squat: pcuk
სასურსათო: ksoc
კომუნისტური: myos
amaze: mwek
prosecutive-შემთხვევაში: rwuk
constellation: nlos
დიქტატორი: dwit
გატაცებული: tyet
სატელიტური: tlec
slipper: hlop
თანხმოვანთა: fyon
სავარაუდო: tsif
უმუშევარი: byet
მხარდამჭერი: sros
lotus: lwot
სალათა: sles
ქლორიდი: lwok
ბაქტერიების: bwic
წებოვანი: pcek
კომპონენტი: bwon
kernel: klec
feign: bjak
byte: bzet
სეკრეციის: sruf
მკაფიოდ: pres
ემთხვევა: mloc
ბალეტი: blet
შარდის: mrus
ნიორი: lyun
გასული: hguc
ეკონომიკა: kcem
საშუალო-კლასი: hdom
სწრაფი: gjic
მაშები: htef
სამრეცხაო: lyoc
მარწყვის: srem
ურბანული: pcos
გართულებების: mlaf
ნოუთბუქი: tfut
ალბომი: zlam
ბეისბოლის: hbep
sniff: sluc
ბუფეტი: hbuf
მიმღეობის: rwip
ავტოფარეხით: grek
დიაგნოზი: djas
ყავარჯენი: ksuc
გამოძალვის: srom
რეგისტრაციის: psuc
ხსნადი: jlun
ფოსფორის: psof
სტრუქტურული: rwut
წებო: glum
თეზისი: twes
ხელოსანთა: clif
ბანანის: bwas
აქსიომა: kyom
ნეკნი: psos
არცერთი: nyek
pi: pyim
ავტობუსი: bwos
ცენზორი: swes
სარაკეტო: mlus
ძეხვი: slos
მანიპულირება: nlut
ტომატის: tfet
გააძლიეროს: kfut
socket: syok
კალიუმის: tsom
ვიღებ: prup
ვირტუალური: zwit
ალგებრა: gjas
სტომატოლოგი: dzit
ოპტიკური: pcok
ბიუჯეტის: bzen
ბიოლოგიის: bwim
უმუშევრობის: byim
მუხლუხა: krum
solo: slof
ბრაუზერი: bjac
დისტანციური-ბოლო-დაძაბული: nyot
ისტორიული-დაძაბული: crep
ბირთვული: nluk
სპექტრი: pyem
ნატრიუმის: syom
ისტერიის: syes
რწმუნებულის: tyos
მძევალი: byik
gourd: gluk
wrinkle: kwuk
გამჭვირვალობა: tfif
spike: swip
პრიორიტეტი: pcif
საცალფეხო: dyen
ათეიზმის: tsem
მონიტორის: mwot
ოლქში: nlec
უკონტროლო: hkof
probe: grok
პლატინის: plip
ორმაგი-ნომერი: dlun
ფილტვის: pcep
super: syup
trolley: trop
ადგილობრივად: lyot
უბიძგებს: gzat
ბენზინზე: plif
თირკმლის: grif
ნაძარცვი: bzac
შეფასების: dlen
დარიშხანის: syek
snail: nrok
grasshopper: tsec
განტოლება: fwen
სოციალისტური: swos
ფილტრი: flot
სენსორული-მტკიცებულების-განწყობა: hxin
გაფართოება: kyot
გადასცემს: mwet
leash: pwet
მანდარინი: drun
ჟოკეი: hjok
პნევმონია: hnof
სოლიდარობა: gret
hinge: cyif
გრძივი: nruc
დივიდენდი: dwun
skate: hkep
მაჩვენებლებით: slop
ინვალიდობის: dlif
შეპყრობილი: bwen
გაცემის: pfun
ფოტოგრაფი: trof
delta: dlet
ციფრული: djim
bitch: brut
ქუთუთოს: hyop
დიაგონალური: dyun
ქვეცნობიერი: byon
წარბის: bruc
sneeze: pcec
იუმორისტული: dlis
ინდუისტი: nwum
ლტოლვილთა: nyif
სამარშრუტო: cwot
ცილის: pwot
ნაგავსაყრელი: hdop
დახვეწა: flen
რევა: hwom
გენი: gyen
პირველკურსელთა: hdem
სოციოლოგიის: syoc
squash: kwoc
fisher: hfuc
რეგიონალური: jyen
მოძრაობის-აღმართზე: hvok
რეტროსპექტივა: hxik
tornado: gyon
inversion: nwos
tv: twif
cube: kfet
პროდუქტიულობის: pwuk
სტაფილოს: krop
მოლეკულური: mwuk
კონგლომერატის: glet
ბუღალტერი: ksum
კიტრი: kyok
orgy: drok
გამხსნელი: jlet
ფოსფატი: psef
პრემიერის: gwik
ტუტე: flis
ტანვარჯიში: jyas
მძიმით: kwom
მოძრაობის-downhill: hvat
miscarriage: jwac
pod: tcop
დონორი: dzon
მანგანუმის: hzem
ფსიქოლოგი: syos
ქლორის: clos
კლავიატურის: kyoc
ელიტა: zyit
ფრჩხილებში: pfaf
რაგბის: rwoc
წყლული: jlon
inflected: hxit
nibble: nres
კვანტური: fwam
სვიტრი: swek
ევოლუციური: fwis
notation: nyoc
bounce: tcuf
სასექციო: drec
cache: kcep
წრფივი: lyec
სტიბიუმი: trum
superessive-შემთხვევაში: psek
სიმსივნური: twom
ეროზია: cyos
alpha: flaf
navel: nwip
იმუნური: myip
გრიპის: flun
ლუდსახარში: bjit
გაამარტივებს: slef
ამოკლებენ: bram
dent: djen
captivate: dwim
იძულება: brok
sock: bzas
ფილმის: fyim
კოსმოსში: klom
აბინძურებს: hpuf
gregarious: gjen
პენისი: zyis
სატყეო: lyif
ალუმინის: lwum
რხევის: zlon
ჰოროსკოპის: ksop
აგდებს: dlek
ჩართვა: nluc
ბენეფიციარი: byic
dolphin: dlip
killer: cyus
ძუძუმწოვარი: myaf
მაჩვენებელი: swif
დიოქსიდი: dwis
მსხვილი-ნაწლავის: zlen
ბიუროკრატია: brus
დამახინჯება: jric
მაცივარი: frip
არქეოლოგიური: cluk
მიუღებელია: kwok
დაზუსტება: pfis
ბროშურა: pfut
ანთროპოლოგია: nlom
გემრიელი: kyec
გარდამავალი: txit
უშიშარი: kwus
მზესუმზირის: hzuc
louse: glus
ion: lyos
ტურიზმი: tyum
მოდემი: myom
აჩქარება: jrun
გააყალბოს: tsoc
ემისიის: hmef
გატაცების: drap
გადახურვა: hwep
საპარიკმახერო: pfes
ფოლკლორის: floc
კაპილარული: plek
ნაციონალიზმი: nlum
buttocks: nros
მოტივი: hmuf
სულემის: slem
იმედგაცრუება: xras
კობალტის: kwos
შვრიის: gwam
მოძრაობის-upriver: trup
ტანში: gyam
მსხვილფეხა-რქოსანი: bwun
flip: flip
redundancy: dzun
ვიდეო: hwop
ბოიკოტი: bjik
ვიქტორინა: cwif
hockey: cwok
პარტიზანული: grip
მაგნიუმის: hgem
სარადარო: drek
შიმპანზე: hzif
საიმედოობის: kwif
მართკუთხედი: tyec
კელპი: klep
განზოგადება: jlak
კომენდანტის-საათი: kfec
ჰომოსექსუალი: mlok
სცენარი: srop
ფორმულირება: flus
ჩადის: nrom
გაღვივების: zlak
ურანის: ryum
catcher: kwes
კოორდინაცია: kyop
გადასახადის-გადამხდელის: nwaf
ინტეგრირებული: trep
მიიჩნია,: hzap
გამა: hxam
safari: fwim
მოძრაობის-downriver: ht6n
კოეფიციენტი: kfus
სათაურით: zlic
ანალიტიკოსი: nles
შამათის: hzes
mall: hmof
ბისმუტის: bzim
მისალოცი: psok
დაახლოების: bros
გადაუხვიოს: djet
აქციონერი: ksem
მიკრობთა: mrip
გენიტალური: jwit
მორფოლოგიური: mluk
beta: byot
jeans: gjis
მონაცემთა-ბაზაში: tles
კალკულატორი: klus
x--ray: ksef
გარჩევის: zram
გარემოს: zyen
sigma: zyim
გათიშვის: hxon
დღის-წესრიგში: gres
სავიზო: bzis
ინფრასტრუქტურის: nyuk
firefly: gyun
detector: tyek
ადაპტური: dyip
ბიოლოგი: byis
splice: pyec
ბრომი: brom
პალადიუმი: plum
hiccup: kfok
pastel: psec
ზოოპარკში: zwac
კლინიკა: lyok
კონტექსტში: nwoc
yoga: hjoc
წიგნის-მაღაზია: byun
თერაპია: grap
ნაციონალისტური: zlis
behead: zlet
yeah: swec
პრობლემური: byam
ჯაზის: dzas
ვოლფრამი: tsof
ტერორისტული: gwis
dribble: droc
ცვლის: tlem
alimony: lyaf
შაბათ-კვირას: hfom
chrysanthemum: gzim
ვაქცინა: byap
მოტოციკლი: tyok
მანტრა: dyot
სემესტრის: myes
ჰეროინის: gwon
დირექტორია: flap
კათოდური: kfoc
იდეოლოგია: dlec
პარკირების: prek
თეტა: fret
anticlimax: hxis
სელენი: clem
cycling: blek
ქერქის: pros
ექვივალენტობის: swaf
მიმდინარე-შესაბამისობის-marker: hxak
აეროპორტში: cwoc
ამპუტაციაზე: gyet
კალათბურთი: bwet
თვითმარქვია: mwip
ტარაკანი: tlek
ქრომის: hgom
ლიტრი: hl6t
მიუხედავად-ამისა,: nwec
ჰორმონის: cwom
ყალბი: tluc
გახვრიტეთ: prec
animism: nyom
პოლიგონის: cloc
ფემინისტური: hfes
შეუღლებული: kcop
ევრო: dros
ginseng: hjes
ალგორითმი: hlof
ლაზერული: lwes
აფთიაქი: dlot
მილიმეტრიანი: mlem
flex: flek
ანოდი: nlok
ნიუანსი: hzus
ნახევარი-განაკვეთი: prem
მგრძობიარობა: nyec
აქციის: drom
ჰელიუმი: clum
ორენოვანი: dzic
აკრონიმი: hqim
initialism: nl6m
gerund: gros
პლაზმური: psem
ქრომოსომის: rwom
რიგითი: rwok
კილომეტრიანი: klum
ფაქსი: tfes
გენეტიკა: nwek
freckle: frek
screwdriver: dres
ბროკოლი: blok
preterite: xrit
ვიტამინი: tyem
კადმიუმის: kyem
ბომბდამშენი: bwoc
გრაფიკული: gjik
ტიტანის: dyim
splurge: clec
ლამბდა: lwem
მეგობარი: pcem
copulate: kyuk
hourglass: tlus
თანაგრძნობა: mlif
ბორის: bres
ვერტმფრენი: cwet
tellurium: tlum
ბოლო-ვადა: jyic
უერთდებიან: gwic
სანტიმეტრი: hfem
მოლიბდენის: mlom
lithium: tfim
მულტიმედია: myum
განახლება: dyet
calorie: clom
რობოტი: ryoc
საშინაო-დავალება: groc
ლოგარითმი: grom
mantis: gzas
instal: nwut
ამინო: myoc
glyph: glif
aorist: pyos
ეკოლოგია: plec
დახვეწა: flok
მარიხუანა: bjam
მიკრო: mrom
კილოგრამი: lwom
overeat: jrot
პროგნოზირებადი: dzik
pizza: zyas
მოსმენას: zris
ენათმეცნიერების: bwis
თმის-შეჭრა: braf
iridium: ryom
რასიზმის: gwim
ოპტიმალური: gyim
ინდუსტრიალიზაცია: drif
შტაბი: krup
ცერიუმის: zrim
შესაბამისები: nrum
partitive-შემთხვევაში: pxik
კასეტა: ksep
ნებისყოფის: blot
განზომილებიანი: dzen
პარამეტრი: rwet
სინქრონიზაციისათვის: nrop
მაქსიმალურად: dzim
სემინარი: mwec
დისკო: dyok
neon: nyok
ოსმიუმი: hzom
ნათლისღების: hp6n
პლაგიატობის: lyap
artifact: rwek
reactor: fyet
oregano: ryop
პლუტონიუმი: pwum
yttrium: tyom
augmentative: hxat
სახელი: mrum
სამაგისტრო: zrot
მარჯვენა-ფლანგიდან: dwaf
არგონი: jros
phobia: hxot
სოციალიზაციისა: sluk
გლობალიზაციის: bluc
ტალღის-სიგრძე: hnef
encode: kfom
მეორადი: psoc
რესტარტი: nrek
ჰეპატიტი: pyes
torus: fros
ქიმიოთერაპიის: myep
modulo: mwok
პროტონული: zwot
diskette: dwet
milligram: mlum
pixel: psep
ტანტალის: twem
გადაწყვიტოს: hjot
გენოციდი: nyos
predator: rwes
გალიუმის: glem
ცირკონიუმის: hzum
განმსაზღვრელი: txin
არაწრფივი: nlem
პესტიციდების: pyif
ბერილიუმის: brem
neuron: nrus
predicative: pxit
underpants: tlif
factorial: kref
ნეიტრონული: zrut
ნიობიუმის: nwom
გერმანიუმი: hjem
metalloid: tlop
ბოლო-on: dlap
prolative-შემთხვევაში: hl6k
ბიომრავალფეროვნების: jwic
ჯოისტიკი: jyok
ანტიბიოტიკი: twok
actinium: gjim
ასტრონავტ: srof
ლოგო: tyes
crackpot: hwup
მარათონი: mrof
იტერბიუმის: zwim
აუტიზმით: tyif
ionize: nlof
რადონის: cwos
Nerium: nrem
ეპიდემიოლოგია: pwip
მოხუცებულთა: lyuc
კარავში: kyep
ზოლიანი: drip
indium: nyum
veridical: hvik
ნახვა: bwes
ყურანის: kwek
ჭურჭელი-და-დანა: fwet
nth--root: tfec
lawrencium: lyem
სამოქალაქო-უფლებები: glip
მობილური-ტელეფონი: mlof
პარალიზებულია: twoc
protactinium: prum
რადიაციული: hd6n
დამოკიდებული-on: pxin
თორიუმის-atom: hxim
blue--jean: bjun
სახლი-მცენარეთა: hxas
ინდივიდუალურად: dvit
ნაკადის-მიმდინარე: lwuk
triple--პუნქტიანი: ht6t
ადამიანის-სხეულის: hn6n
ფიზიკის: bzik
საცალო-მაღაზია: hxan
ცეზიუმ: hs6m
ხანგრძლივი-წინ: hqan
ცხრილების: hxet
ერთეულის--of--მასობრივი: hn6m
შედგენა: ml6n
ორობითი---ღირებულება: vrim
ადამიანის-მიმდინარეობს: nyus
მიერ-საშუალება-საქართველოს: hvan
depan-dari: pxat
praseodymium: pyom
მუყაოს: kxat
სასრული-verb: hqik
სასამართლო-ნომერი: hr6n
პრო-წინადადება: hr6t
კრიტიკოსი: hk6k
შეფუთვა: pxas
impermanence: pxan
at-ყველაზე: txas
აღმწერი: drop
ნეოდიმი: nyem
მეგობრობისათვის: hvit
წაკითხული-მხოლოდ: xyak
ნაპოვნია: xwan
gnomic-განწყობა: kxin
ფონემა: hxom
რაციონალობა: xlit
ფონოლოგიური: xlin
სასადილო-ოთახი: hxac
ცხოვრების-ოთახი: hxic
centric-შემთხვევაში: zrik
წინასწარ-hodiernal: hx6n
პაციენტი-შემთხვევაში: hqak
oblique-შემთხვევაში: bwok
სოფლის-ტერიტორიაზე: hqat
recurse: hr6s
