απαρέμφατο: hnit
αγκώνα: kcon
προσάρτημα: tcet
επισκευή: hrop
ύποπτος: cyec
εβδομήντα: swet
γραφή: srip
λάκκος: grac
αταξία: dlak
δυάδικος: byin
μονή: bjan
βέλος: tcec
τείνω: trec
επεξεργάζομαι: frat
πίστη: hlot
κέρμα: syip
τρέμω: tcem
εξορία: gwin
μηχανικός: myim
παγίδα: crap
κέικ: kyek
Κύριε: cyes
διστάζω: sret
δεκαεπτά: syet
μέλι: myon
στοίχημα: dzat
πάτημα: hjam
τούβλο: brit
ογδόντα: hpes
δυστυχώς: pcen
συμβουλεύομαι: kcot
θρύλος: lwen
συγκομιδή: hfos
προαγωγή: pfon
σόμπα: hsop
επαναστάτης: bric
ντεμοντέ: hnom
φούσκωμα: cron
τέλμα: swot
σάλτσα: hdes
ασκητής: pces
διευθυντής: mren
χορωδία: cros
λογικός: tson
επεξεργασία: pson
λύκος: blaf
χαλί: hgap
αρχαιότητα: hjak
εύφορος: frut
σφύριγμα: slif
τυρί: twis
δάγκωμα: byat
καλώ: jwan
καθεδρικός-ναός: kyet
λιμάνι: brak
περιπλανιέμαι: djan
σπάρτα: tsos
ναυτικό: nlen
μάσκα: mrok
μολύβι: pses
λαχανικό: sroc
έκθεμα: hzet
παντελόνι: tlun
διαφθορά: hrup
υπουργικό-συμβούλιο: nram
σούπα: srup
χειρουργός: syon
επίδομα: tcot
κατάσκοπος: gyas
ριψοκίνδυνος: hlec
κουτσομπολεύω: gyic
ένδειξη: hzon
περίληψη: srok
Πέμπτη: cwim
κυκλοφορία: ryaf
αρχιτεκτονική: ryek
ρωγμή: rwaf
στολίδι: rwon
αντίστροφο: lwas
διασκεδάζω: mwun
ανάκτηση: ksus
πεζοδρόμιο: plut
αποφασιστικός: dyin
αρνητικός: nraf
φεστιβάλ: hfec
περιορίζω: hrum
προδοσία: zyan
κυνηγός: djin
φίδι: syen
μπαταρία: bret
κερί: flam
ντεντεκτίβ: dlit
ανάλυση: nlis
έμφαση: hzot
ζάλη: twen
φάκελος: lwaf
οποιοσδήποτε: hgek
τσιγάρο: jrit
μοτέρ: mrot
εθελοντής: hwot
αντίδραση: ryif
αποσκευές: blam
κουφός: hboc
χυμός: hjus
ταπεινότητα: jlit
υπουργείο: mret
σεξουαλικός: hjon
διάμετρος: dyam
τσεκούρι: blac
διαμάντι: dlam
εναλλασσόμενος: hlek
ηχώ: hgus
συγκράτηση: swon
ταυτότητα: hdaf
οθόνη: krun
τεμπέλης: lwis
momentane-άποψη: hmop
συμπαγής: kfot
τάση: hdif
εξαφανίζομαι: hgaf
ακτίνα: ryen
μελάνι: mwic
ογκώδης: mraf
κελάρι: dyac
αξιομνημόνευτος: nrun
αντηλιά: klek
γερουσία: slet
φέρετρο: tfap
συγχώρεση: frac
καταπιεί: nlun
ικανοποιώ: nlot
κούνια: swun
λιβάδι: gram
συγκρότημα: klos
παραίτηση: hzis
ταπεινός-μητρώο: nret
συνωμοσία: swim
πιπέρι: prip
πόνυ: pron
υποψήφιος: hzam
αλεπού: flik
καμινάδα: tcon
δικαιοδοσία: drik
γεωργία: rwic
ακρίβεια: tcuk
πρώην-μακαρίτης: brim
δημοκρατικός: mrek
μπουμπούκι: hbos
κουβέρτα: bwat
χαλάζι: hgep
χοίρος: srus
σχηματισμένος: krek
ελεφαντόδοντο: craf
κλασσικός: ksok
παρατηρητής: nwet
ελέφαντας: lwit
καρφιά: nwus
μέλισσα: hmif
θάβω: dzan
ηθοποιός: bzat
ιδρώτας: zwan
στίλβωση: ploc
ψευδαίσθηση: hlus
αβεβαιότητα: pcet
δευτερεύων: syif
πτυχή: tsot
αγροτικός: grun
βογγητό: nyen
μοιάζω: slec
παραθέτω: hzun
σάκος: cyek
ενόχληση: fren
βελόνα: hjun
ελεγχόμενη: nroc
κοτόπουλο: truk
συνεπής: kwot
βαρέλι: bras
συνήθης-άποψη: hcep
ειδικός: ksec
εντυπωσιάζω: blin
ελιά: zlin
βαν: myen
εμπόδιο: bwak
νεύμα: kcec
θετός: plaf
ορισμός: fyic
γενέθλια: gjin
σφυρί: hcof
ευώδης: hfon
επανάληψη: trun
ασήμαντος: twut
λάκτισμα: hjik
σκάβω: kwaf
κατοικίδιο-ζώο: plot
κρανίο: hcop
νομοθετικό-σώμα: dlik
φτέρνα: cruk
συνοφρυώνομαι: crun
ευρεσιτεχνία: plet
δισεκατομμύριο: blim
χημική-ουσία: fyik
πιλότος: pyot
μιμούμαι: mlot
φούστα: kwet
ασυνήθιστα: srap
εβδομαδιαίος: jwik
τεχνικός: tfip
βλάστηση: tset
κοράκι: kraf
ανατολή-ηλίου: sruc
Διάρκεια-Ζωής: glin
συμβάλλει: hyom
άγκιστρο: hdok
τίγρη: blic
διαπερνώ: crut
μανίκι: slun
αυτοκινητόδρομος: jras
πολιτοφυλακή: mlip
χαντάκι: kroc
ακεραιότητα: kret
δεκαεννέα: dzin
οργανικός: rwik
θεολογία: flic
φλοτέρ: flut
μάγισσα: byac
βαριόμουνος: hwuk
διπλωματικός: dyik
στούντιο: twos
υπερβαίνω: kcok
σαμπάνια: cyen
εμπνέω: crif
σημαία: hbes
διαζύγιο: lwon
μπουλόνι: hbut
φλέβα: jyan
παθητικός: psif
αφρός: hgum
χαλίκι: grik
ποδιά: tyen
πλανήτης: gren
ράφι: claf
ανεμιστήρας: flon
τροπικός: hjip
φάση: fwas
αυθαίρετος: rwen
προφέρω: kfun
υδράργυρος: krok
ανατριχιάζω: hrem
αυτοκτονία: tcos
δημοσιογράφος: prot
στερώ: hpok
έμπειρος: klun
μπαλκόνι: blik
πιρούνι: fras
υπάλληλος: mlek
εργοδότης: myot
πλάτος: jrak
ενοχλημένος: djit
κατηγορώ: klot
σύνταξη: pyen
ρήμα: kres
μαϊμού: mwon
δεκτός: hwek
υπογραφή: tlim
ορθόδοξος: rwos
ειρωνεία: fron
φυτώριο: nrap
απροθυμία: jlan
εισαγωγή: tyot
δάδα: croc
γραμματική: gjak
κατάθεση: gyat
αποικιακός: plon
θαλαμηγός: jyat
επακόλουθος: kwec
θόλος: kwun
πάχος: hfot
πεισματάρης: cyon
μυς: hmup
μέγεθος: ryam
τρίψιμο: ryos
άνανδρος: rwam
ιπποσκευή: gwac
τοστ: tros
ποντίκι: myus
συλλαβή: slim
ελαφρό-κτύπημα: prap
διάλογος: dlaf
ουδέτερος: nrot
επιμέλεια: dwin
αντίφαση: trot
κατορθώνω: kfic
κατσίκα: byak
κόσμημα: hfet
επιβάλλω: mlon
ανώνυμη: nwim
επίσημος-μητρώο: frit
μοσχάρι: hbof
εγχειρίδιο: mwut
τήκω: hjec
διαγράφω: flas
ομπρέλα: gras
μπότα: bzut
ορυκτό: mrim
εκεχειρία: crus
πάπια: hbok
σχεδίαση: pfam
σαπούνι: hsuf
κούκλα: gwak
σκελετός: klet
βίλα: blis
ράψιμο: jlin
συμφιλίωση: dyak
βραστήρας: kset
ώριμος: mruc
κουνέλι: kruc
αγωγός: nwot
εξάρτηση: djat
παίχτης: jlic
έντομο: pset
εστιατόριο: cret
κουκουβάγια: lwun
ριζικό: djik
κάτοικος: zwin
δράκων: dron
ακουστικός-αποδεικτικός: drot
διψασμένος: kyos
αργοπορώ: dren
λογαριασμός: glun
κανονισμός: ryim
δήμαρχος: mlap
μειονότητα: mric
απόκτηση: dwon
βετεράνος: bren
ορχήστρα: ryes
μπέικον: bjin
μειονέκτημα: zwat
ύφασμα: frap
μουσικός: gzik
διανοητικά: hnep
σύνδεση: nyon
ανεπαρκής: nrip
αρχιτέκτων: tsek
λεμόνι: nyim
βήχας: kcos
πονοκέφαλο: crek
ενοικιαστής: ryet
γονιμότητα: srun
θεραπεύω: hfoc
ενενήντα: nwon
τυχαίος: hbec
κουτάλι: kcek
μπαλόνι: blon
κιμωλία: hfip
επαγωγική-αποδεικτικός: nlet
εκδότης: pcot
ξύδι: sruk
φλαμουριά: fyec
βλαστήμια: slek
ανασταίνω: nrut
ευαίσθητος: kfim
σήραγγα: tfun
παζλ: hpef
μηχανισμός: mwim
μαθηματικά: gzit
ξεθωριάζει: frun
συκώτι: jwin
sublative-περίπτωση: bwik
βουτιά: dris
μονάδα: twim
μονοπώλιο: hnop
χαρτοπαίγνιο: hgup
υποβρύχιο: bzin
σεισμός: hbem
εργαστήριο: brot
φελλός: kruk
εαυτός-έλεγχος: syot
Βούδας: hbus
πλέκω: bjat
πρεσβεία: blas
απώτατος: sres
δηλωτικός-διάθεση: drim
κίνητρο: tyuc
σοκολάτα: clot
σύμπτωση: tyon
γάντι: gwat
γονατίζω: hjek
γεωγραφία: hjif
επένδυση: nwes
προφορικός: mrec
αναλογία: nlip
κοσμικός: srek
γεράκι: blap
ψυχολογία: nloc
στερεώνω: gjan
ξύσμα: krep
ρόλος: cyum
δόση: hdos
σολομός: slom
πουτίγκα: pwun
μαγνητικός: gyik
αντλία: pcom
οξυγόνο: ksip
πιστοποιητικό: tfot
μετάλλιο: hmem
ρητορική: trok
ξύνω: rwap
κουπί: dyas
τηλεσκόπιο: trip
κολιέ: clek
ορθογραφία: prif
ουίσκι: hwos
ιτιά: hwof
καμήλα: hlum
ερασιτέχνης: myet
έξοδος: crec
βιογραφία: brif
γάιδαρος: gzac
μηνιαίος: mwis
αγνοώ: nruk
διακοπές: byit
κλικ: lyik
ωοειδής: twon
ελαστικό: lyet
λεξικό: kfon
ζαμπόν: gzam
ουράνιο-τόξο: rwun
καταναλώνω: kcum
σούβλα: tcup
δεξαμενή: trek
συνάδελφος: clok
πεταλούδα: trif
διάγραμμα: graf
δίδυμο: jwat
ανεξάρτητα: trem
μπαμπού: hbum
έμπορος: jlat
συσσώρευση: kles
επιθεωρητής: nyet
κομματάκι: hyos
εφιάλτης: hbom
μαρμελάδα: gjam
μουσείο: mrem
αλφάβητο: lwam
σκορπίζω: zras
επιδρομή: crip
αποκαλύπτω: clus
σαπίλα: fraf
επιθετικός: gris
τριβή: mroc
αποβάθρα: gyac
αράχνη: brik
πατάτα: trut
αναθεώρηση: cwon
απληστία: jlac
πρόωρος: ryot
πολλαπλασιάζω: gzan
γνέθω: pcip
στατιστική: tsok
ημερολόγιο: klem
υποψηφιότητα: nwen
τρισεκατομμύριο: tlos
σοφίτα: tlok
καταφατικός-διάθεση: rwim
εφαρμογές: pfen
ονομαστικός: nlon
δυσαρέσκεια: sraf
μόλυνση: hfok
στάμνα: krot
σήκωμα-των-ώμων: cyok
πρωτοπόρος: gzin
παράλειψη: nlif
λάχανο: glic
αθλητικός: tlet
μέθη: mrut
ιδιόφωνο: hdof
μοχλός: lwek
γερουσιαστής: syem
Ίρις: nrif
μυρμήγκι: mwam
έντομο: hbop
έγκυος: grim
ίζημα: hjet
αστράγαλος: tcok
ταξινόμηση: glik
μεταβλητός: prim
κάλυμμα: ryap
κατσαρός: krec
θείο: hsef
υπαγόρευση: dwik
αναδύομαι: brun
βάτραχος: fram
υπερβολικό-περίπτωση: twek
σφουγγάρι: hjen
ενοχλητικός: djon
σκίουρος: slip
αλέθω: zyin
irrealis-διάθεση: flim
ηφαίστειο: glam
εντός-κτίριου: gron
εκμεταλλεύομαι: kloc
γεωλογικός: jlik
διαβατήριο: psop
ανήθικος: mlet
μπισκότο: hbuk
συνεργασία: kros
δισκίο: tlot
χαλάρωση: kces
άτομο: trom
βοηθήματα: hzip
πυραμίδα: psim
κύκλος: swok
υπνάκο: hnup
παράνομος: hjaf
πόδι-ζώου: pfap
συστολή: crom
έκλειψη: klip
λαούτο: lwap
σκούπα: srum
πίνακας: mwen
αστρονομία: tcom
λαβύρινθος: blen
υποτροφία: bwit
χελώνα: kfuc
σύμβουλος: dwak
ίνα: fwic
κρίκετ: jrik
περιστέρι: ksom
προσαρμογή: dyon
τρίγωνο: tfon
ταμίας: tsen
υδρογόνο: jron
εύθραυστος: hfuk
εκτυπωτής: pyet
εμφράκτης: tcof
χρόνιος: gzon
αντιμετωπίζω: slaf
δίλημμα: dlim
μηχανική: jyin
κάμερα: hkef
απολογούμαι: pluc
γλείψιμο: lwet
χορεύτρια: dret
μετανάστευση: mres
τένις: tces
σπονδυλική-στήλη: clip
μαρίδα: zrac
αργαλειός: tfuc
μαχαιριά: twuc
σύνθημα: psaf
ημισφαίριο: praf
στρατηγική: zrit
χαλαζίας: krus
ψαλίδι: jris
περιπολία: proc
παγετώνας: lwic
στα-μέσα-του δρόμου: dwam
υπόμνημα: mwap
κώνος: kwuc
συμμετρία: hzut
κατασκευαστής: zrak
εναγόμενος: fwik
τζαμί: djis
σκάκι: cres
διόδια: htof
κεράσι: tref
εκτενής: kfen
παραπάτημα: tfok
φορτηγό: ryok
μουστάρδα: mros
τοις-εκατό: pfet
δημοπρασία: jlam
κόσκινο: srif
ασταθής: swoc
μαγνήτης: gjat
ρουφώ: syus
Ισλάμ: slum
ακροποδητί: twip
μεμβράνη: mlen
ξύρισμα: clet
κιθάρα: gjit
λαμπερός: bzan
φτελιά: hyem
πτήση: kcom
αντωνυμία-σημάδι: ryec
κύριο-προϊόν: pcus
μπαχαρικό: zlat
εγγύηση: jlas
φορέας: zyac
δόνηση: bron
πειράζω: trus
άροτρο: hlom
φυσιολογικός: zlik
υδρορροή: hgok
κομήτης: cyet
μεσαιονικός: dyic
σπουργίτης: grec
αποζημιώνω: twet
πλαστική-ύλη: psuk
υποσημείωση: cyot
τροχιά: rwot
ολιγαρκής: twum
γκολφ: hgof
μηδέν: zrun
τσιπ: tcep
καταπιέζω: prok
χασμουρητό: gjac
ανισότητα: gwas
τυφλοπόντικας: tloc
κεραμικά: frik
νοικοκυρά: hgif
σίκαλη: rwem
απειθώ: hyes
ανεκτικός: glon
έμβρυο: brec
μεταλλωρύχος: jren
χειροκροτώ: zlac
ζύμη: lyim
ασφάλιστρο: pfim
δαμάσκηνο: plem
πτώχευση: byas
άρδευση: rwif
μέντα: nyun
καπιταλιστής: glis
ελαστικότητα: hlef
καρχαρίας: gyak
νεοσύλλεκτος: drut
αποθήκευση: zren
ρεαλισμός: cles
τζίντζερ: djic
ασθενοφόρο: blus
συγκρίσιμος: kwip
πορτοφόλι: bjap
γκριμάτσα: glim
επιστήμονας: gyis
έντερο: grot
γαλήνη: hwum
ραδιόφωνο: href
άσχετος: zlit
φασόλι: bwam
άτυπος: frim
εγγονή: gyut
διαφωνία: dloc
μπριζόλα: tfek
άζωτο: zron
ξυράφι: hjut
αντίθετος: krom
προπαγάνδα: pcoc
πυροτεχνήματα: fris
κρότος: pcop
γδύνομαι: crop
αυλάκι: cruc
επιβλαβής: hzaf
ιουδαϊσμός: hjum
συμπλήρωμα: pluk
φακός: lyes
pegative-περίπτωση: pwek
Καρκίνος: kfes
πιόνι: pyek
λέκτορας: zyat
διαρροή: hzuk
έχω-τα-προσόντα: krif
πυκνότητα: djot
επαγωγή: dyis
μάσημα: htuf
ομιλητικός: bzit
αστακός: hgos
έκπτωση: dyut
ταξί: tsuk
ιεραρχία: crem
νεφρίτης: gyec
γρύλισμα: glaf
σαύρα: lyis
υδατόπτωση: crof
απογοητευτικά: djak
βέτο: frot
προεδρία: ryip
αγοραστής: mrif
γαλόνι: jlen
κουνούπι: mruk
παρέκκλιση: dwen
παλαίω: lyut
μωσαϊκό: myok
βύσμα: plok
κοντόχονδρος: pcuk
παντοπωλείο: ksoc
κομμουνιστικός: myos
καταπλήσσω: mwek
διωκτικών-περίπτωση: rwuk
σχηματισμού: nlos
δικτάτορας: dwit
έγνοια: tyet
δορυφόρος: tlec
παντόφλα: hlop
σύμφωνο: fyon
κατά-προσέγγιση: tsif
άνεργος: byet
υποστηρικτής: sros
λωτός: lwot
μαρούλι: sles
χλωριούχο: lwok
βακτήρια: bwic
κολλώδης: pcek
συστατικό: bwon
πυρήνας: klec
προσποιούμαι: bjak
ψηφιόλεξη: bzet
έκκριση: sruf
ρητώς: pres
συμπίπτω: mloc
μπαλέτο: blet
ούρο: mrus
σκόρδο: lyun
παρέλθει: hguc
οικονομολογία: kcem
μεσαία-τάξη: hdom
ευκίνητος: gjic
λαβίδα: htef
πλυντήριο: lyoc
φράουλα: srem
αστικός: pcos
στενοχωρώ: mlaf
σημειωματάριο: tfut
άλμπουμ: zlam
μπέιζμπολ: hbep
όσφρηση: sluc
μπουφές: hbuf
μετοχή: rwip
γκαράζ: grek
διάγνωση: djas
δεκανίκι: ksuc
αποσπώ: srom
εγγραφή: psuc
διαλυτός: jlun
φώσφορος: psof
κατασκευαστικός: rwut
κόλλα: glum
διατριβή: twes
τεχνίτης: clif
μπανάνα: bwas
αξίωμα: kyom
σχηματίζω-πλευρές: psos
νικέλιο: nyek
Π: pyim
λεωφορείο: bwos
λογοκριτής: swes
βλήμα: mlus
λουκάνικο: slos
χειρισμός: nlut
ντομάτα: tfet
ενισχύω: kfut
υποδοχή: syok
κάλιο: tsom
ανακτώ: prup
πραγματικός: zwit
άλγεβρα: gjas
οδοντίατρος: dzit
οπτικός: pcok
κινούμαι: bzen
βιολογία: bwim
ανεργία: byim
κάμπια: krum
μονοφωνία: slof
πρόγραμμα-περιήγησης: bjac
μακρινός-το-παρελθόν σε υπερένταση: nyot
ιστορικός-σε-υπερένταση: crep
πυρηνικός: nluk
φάσμα: pyem
νάτριο: syom
υστερία: syes
θεματοφύλακας: tyos
όμηρος: byik
νεροκολόκυθο: gluk
ρυτίδα: kwuk
διαφάνεια: tfif
ακίδα: swip
προτεραιότητα: pcif
πεζός: dyen
αθεϊσμός: tsem
μηνυτής: mwot
εκλογική-περιφέρεια: nlec
ανεξέλεγκτος: hkof
καθετήρας: grok
πλατίνα: plip
διπλός-αριθμός: dlun
πνεύμονας: pcep
σούπερ: syup
καροτσάκι: trop
σε-τοπικό-επίπεδο: lyot
ερεθίζω: gzat
βενζίνη: plif
νεφρό: grif
λάφυρο: bzac
εκτίμηση: dlen
αρσενικό: syek
σαλιγκάρι: nrok
ακρίδα: tsec
εξίσωση: fwen
σοσιαλιστής: swos
φίλτρο: flot
αισθητήριος-αποδεικτικός-διάθεση: hxin
ευρύνω: kyot
εκπέμπουν: mwet
λουρί: pwet
μανταρίνι: drun
αναβάτης: hjok
πνευμονία: hnof
αλληλεγγύη: gret
μεντεσές: cyif
γεωγραφικού-μήκους: nruc
μέρισμα: dwun
πατινάζ: hkep
εκθέτης: slop
αναπηρία: dlif
έμμονη-ιδέα: bwen
κατανομή: pfun
φωτογράφος: trof
δέλτα: dlet
ψηφιακό: djim
σκύλα: brut
βλέφαρο: hyop
διαγώνιος: dyun
υποσυνείδητο: byon
φρύδι: bruc
φτάρνισμα: pcec
εύθυμος: dlis
ινδουϊσμός: nwum
πρόσφυγας: nyif
σαΐτα: cwot
πρωτεΐνη: pwot
σκουπιδότοπος: hdop
εκκαθαρίζω: flen
κάνω-εμετό: hwom
γονίδιο: gyen
πρωτοετής: hdem
κοινωνιολογία: syoc
σκουός: kwoc
ψαράς: hfuc
περιφερειακός: jyen
κίνηση-ανηφορικός: hvok
αναδρομικός: hxik
ανεμοστρόβιλος: gyon
αναστροφή: nwos
τηλεόραση: twif
κύβος: kfet
παραγωγικότητα: pwuk
καρότο: krop
μοριακός: mwuk
συσφαιρώνω: glet
λογιστής: ksum
αγγούρι: kyok
όργιο: drok
διαλυτικό-μέσο: jlet
φωσφορικό-άλας: psef
αλφαβητάρι: gwik
αλκαλική: flis
γυμναστική: jyas
κόμμα: kwom
κίνηση-κατηφορικός: hvat
αποτυχία: jwac
φλούδα: tcop
δότης: dzon
μαγγάνιο: hzem
ψυχολόγος: syos
χλώριο: clos
πληκτρολόγιο: kyoc
αφρόκρεμα: zyit
παρένθεση: pfaf
ράγκμπι: rwoc
έλκος: jlon
κλιτές: hxit
ροκανίζω: nres
ποσοστό: fwam
ζακέτα: swek
εξελικτική: fwis
σημειογραφία: nyoc
πήδημα: tcuf
ανατομή: drec
κρύπτη: kcep
γραμμικός: lyec
αντιμόνιο: trum
superessive-περίπτωση: psek
όγκος: twom
διάβρωση: cyos
άλφα: flaf
ομφαλός: nwip
απρόσβλητος: myip
γρίπη: flun
ζυθοποιείο: bjit
απλοποιώ: slef
μειώνω: bram
βαθούλωμα: djen
σαγηνεύω: dwim
αναγκάζω: brok
κάλτσα: bzas
ταινία: fyim
σύμπαν: klom
ρυπαίνω: hpuf
αγελαίος: gjen
πέος: zyis
δασοκομία: lyif
αλουμίνιο: lwum
ταλάντωση: zlon
ωροσκόπιο: ksop
εκβάλλω: dlek
συμπερίληψη: nluc
δικαιούχος: byic
δελφίνι: dlip
φονιάς: cyus
θηλαστικό-ζώο: myaf
δείκτης: swif
διοξίδιο: dwis
άνω-κάτω-τελεία: zlen
γραφειοκρατία: brus
διαστροφέας: jric
ψυγείο: frip
αρχαιολογικός: cluk
απαράδεκτος: kwok
προσδιορισμός: pfis
φυλλάδιο: pfut
ανθρωπολογία: nlom
γευστικός: kyec
μεταβατικός: txit
μαζεύομαι: kwus
ηλιοτρόπιο: hzuc
ψείρα: glus
ιόν: lyos
τουρισμός: tyum
μοντέμ: myom
επιτάχυνση: jrun
νοθεύω: tsoc
εκπομπή: hmef
απαγωγή: drap
επικάλυψη: hwep
κομμωτής: pfes
λαογραφία: floc
τριχοειδής: plek
εθνικισμός: nlum
οπίσθια: nros
μοτίβο: hmuf
εξάχνωση: slem
ματαίωση: xras
κοβάλτιο: kwos
βρόμη: gwam
κίνηση-ποτάμι: trup
πρωκτός: gyam
βοδινός: bwun
αναρρίπτω: flip
πλεονασμός: dzun
βίντεο: hwop
μποϋκοτάζ: bjik
κουίζ: cwif
χακί: cwok
ανταρτοπόλεμος: grip
μαγνήσιο: hgem
ραντάρ: drek
χιμπατζής: hzif
αξιοπιστία: kwif
ορθογώνιο-παραλληλόγραμμο: tyec
φαιοφύκη: klep
γενικεύω: jlak
απαγόρευση-της-κυκλοφορίας: kfec
ομοφυλόφιλος: mlok
σενάριο: srop
διατύπωση: flus
μετενσάρκωση: nrom
ανάβω: zlak
ουράνιο: ryum
συλλέκτης: kwes
συντεταγμένη: kyop
φορολογούμενος: nwaf
ολοκληρωμένος: trep
αποφάνθηκε: hzap
γάμμα: hxam
σαφάρι: fwim
κίνηση-κατάντη: ht6n
συντελεστής: kfus
επικεφαλίδα: zlic
αναλυτής: nles
ματ: hzes
εμπορικό-κέντρο: hmof
βισμούθιο: bzim
καρτ-ποστάλ: psok
σύγκλιση: bros
εκτρέπομαι: djet
μέτοχος: ksem
μικρόβιο: mrip
γεννητικός: jwit
μορφολογικός: mluk
βήτα: byot
τζην: gjis
βάση-δεδομένων: tles
αριθμομηχανή: klus
ακτινογραφία: ksef
αναλύω-πρόταση: zram
περιβαλλοντικές: zyen
σίγμα: zyim
διαχώριση: hxon
ημερήσια-διάταξη: gres
Visa: bzis
υποδομή: nyuk
πυγολαμπίδα: gyun
ανιχνευτής: tyek
προσαρμοστική: dyip
βιολόγος: byis
συνδέω: pyec
βρώμιο: brom
παλλάδιο: plum
λόξυγγας: kfok
παστέλ: psec
ζωολογικός-κήπος: zwac
κλινική: lyok
έννοια: nwoc
γιόγκα: hjoc
βιβλιοπωλείο: byun
θεραπεία: grap
εθνικιστής: zlis
καρατομώ: zlet
ναι: swec
προβληματικός: byam
τζαζ: dzas
βολφράμιο: tsof
τρομοκράτης: gwis
τρίπλα: droc
μεταβολισμός: tlem
επίδομα-διατροφής: lyaf
σαββατοκύριακο: hfom
χρυσάνθεμο: gzim
εμβόλιο: byap
μοτοσυκλέτα: tyok
μάντρα: dyot
ακαδημαϊκό-εξάμηνο: myes
ηρωίνη: gwon
ντοσιέ: flap
κάθοδος: kfoc
ιδεολογία: dlec
στάθμευση: prek
θήτα: fret
απότομη-πτώση: hxis
σελήνιο: clem
ποδηλασία: blek
φλοιός: pros
ισοροππία: swaf
ρεύμα-συνάφεια-σημάδι: hxak
αεροδρόμιο: cwoc
ακρωτηριάζω: gyet
μπάσκετ: bwet
απατεώνα: mwip
κατσαρίδα: tlek
χρώμιο: hgom
λίτρο: hl6t
παρ-'όλα-αυτά: nwec
ορμόνη: cwom
ελαττωματική: tluc
διάτρητος: prec
ανιμισμός: nyom
πολύγωνο: cloc
φεμινιστής: hfes
κλίνω: kcop
ευρώ: dros
ginseng: hjes
αλγόριθμος: hlof
λέιζερ: lwes
φαρμακείο: dlot
χιλιοστόμετρο: mlem
καλώδιο: flek
άνοδος: nlok
απόχρωση: hzus
μερικής-απασχόλησης: prem
ευαισθησία: nyec
διαδηλωτής: drom
ήλιο: clum
δίγλωσσος: dzic
ακρώνυμο: hqim
αρκτικόλεξο: nl6m
γερούνδιο: gros
πλάσμα-αίματος: psem
χρωμόσωμα: rwom
τακτικός: rwok
χιλιόμετρο: klum
φαξ: tfes
γενεσιολογία: nwek
φακίδα: frek
κατσαβίδι: dres
μπρόκολο: blok
preterite: xrit
βιταμίνη: tyem
κάδμιο: kyem
βομβαρδιστικό: bwoc
γραφικός: gjik
τιτάνιο: dyim
φιγούρα: clec
λάμδα: lwem
φιλενάδα: pcem
συνουσιάζομαι: kyuk
κλεψύδρα: tlus
εμπάθεια: mlif
βόριο: bres
ελικόπτερο: cwet
τελλούριο: tlum
διορία: jyic
ευθυγραμμίζω: gwic
εκατοστόμετρο: hfem
μολυβδαίνιο: mlom
λίθιο: tfim
πολυμέσων: myum
εκσυγχρονίζω: dyet
θερμίδα: clom
ρομπότ: ryoc
δουλεια-για-το ΣΠΙΤΙ: groc
λογάριθμος: grom
αλογάκι-της-παναγίας: gzas
εγκαταστήσουν: nwut
αμινοξέα: myoc
γλύφω: glif
αόριστος: pyos
οικολογία: plec
πονηρεύω: flok
μαριχουάνα: bjam
μικρο: mrom
χιλιόγραμμο: lwom
παρατρώω: jrot
αναμενόμενος: dzik
πίτσα: zyas
αφουγκράζομαι: zris
γλωσσολογία: bwis
κούρεμα: braf
ιρίδιο: ryom
ρατσισμός: gwim
άριστος: gyim
εκβιομηχάνιση: drif
έδρα: krup
δημήτριο: zrim
σύμφωνος: nrum
μεριστικός-περίπτωση: pxik
κασέτα: ksep
δύναμη-της-θέλησης: blot
διαστατικός: dzen
παράμετρος: rwet
συγχρονίζω: nrop
αυξάνω-στον-ανώτατο βαθμό: dzim
σεμινάριο: mwec
ντίσκο: dyok
νέο: nyok
ωσμίο: hzom
θεοφάνεια: hp6n
λογοκλοπώ: lyap
τεχνούργημα: rwek
αντιδραστήρας: fyet
ρίγανη: ryop
πλουτώνιο: pwum
ύττριο: tyom
αυξητικός: hxat
όνομα-χρήστη: mrum
μεταπτυχιακός: zrot
δεξιά-πτέρυγα: dwaf
αργόν: jros
φοβία: hxot
καθιστώ-κοινωνικόν: sluk
παγκοσμιοποίηση: bluc
μήκος-κύματος: hnef
κωδικοποιούν: kfom
ανακυκλώνω: psoc
επανεκκίνηση: nrek
ηπατίτιδα: pyes
βάση-στήλης: fros
χημειοθεραπεία: myep
modulo: mwok
πρωτόνιο: zwot
δισκέτα: dwet
χιλιοστόγραμμο: mlum
εικονοκύτταρο: psep
ταντάλιο: twem
διαλυτό: hjot
γενοκτονία: nyos
αρπακτικό: rwes
γάλλιο: glem
ζιρκόνιο: hzum
determiner: txin
μη-γραμμική: nlem
φυτοφάρμακο: pyif
βηρύλλιο: brem
νευρώνας: nrus
κατηγορηματικός: pxit
σώβρακο: tlif
παραγοντικό: kref
νετρόνιο: zrut
νιόβιο: nwom
γερμάνιο: hjem
μεταλοειδές: tlop
βάζω-επί: dlap
prolative-περίπτωση: hl6k
βιοποικιλότητα: jwic
χειριστήριο: jyok
αντιβιοτικό: twok
ακτίνιο: gjim
αστροναύτης: srof
εξωγήινο: tyes
εκκεντρικός: hwup
μαραθώνας: mrof
υττερβίο: zwim
αυτισμό: tyif
ιονίζω: nlof
ραδόνιο: cwos
Nerium: nrem
επιδημιολογία: pwip
