mastar: hnit
belediye-başkanı: mlap
azınlık: mric
edinme: dwon
emektar: bren
orkestra: ryes
domuz-pastırması: bjin
dezavantaj: zwat
kumaş: frap
müzisyen: gzik
zihinsel-olarak: hnep
bağlaç: nyon
yetersiz: nrip
mimar: tsek
limon: nyim
öksürük: kcos
başağrısı: crek
kiracı: ryet
doğurganlık: srun
iyileşmek: hfoc
doksan: nwon
rasgele: hbec
kaşık: kcek
balon: blon
tebeşir: hfip
anlaşılan-ortada: nlet
yayımcı: pcot
sirke: sruk
kül: fyec
küfür: slek
canlandırmak: nrut
duyarlı: kfim
tünel: tfun
bulmaca: hpef
mekanizma: mwim
matematik: gzit
karartmak: frun
karaciğer: jwin
sublative-dava: bwik
daldırma: dris
birim: twim
tekel: hnop
kumar: hgup
denizaltı: bzin
deprem: hbem
laboratuvar: brot
mantar: kruk
öz-kontrol: syot
Buda: hbus
örme: bjat
elçilik: blas
en-uzak: sres
bildiren-ruh-hali: drim
uyarıcı: tyuc
çikolata: clot
tesadüf: tyon
eldiven: gwat
diz-çökmek: hjek
coğrafya: hjif
yatırım: nwes
sözlü: mrec
analoji: nlip
laik: srek
şahin: blap
psikoloji: nloc
tutturmak: gjan
hurda: krep
rol: cyum
doz: hdos
somon: slom
puding: pwun
manyetik: gyik
pompa: pcom
oksijen: ksip
sertifika: tfot
madalya: hmem
belâgat: trok
sıyrık: rwap
kürek: dyas
teleskop: trip
kolye: clek
yazım: prif
viski: hwos
Söğüt: hwof
deve: hlum
amatör: myet
çıkış: crec
biyografi: brif
eşek: gzac
aylık: mwis
aldırmamak: nruk
tatil: byit
tık: lyik
oval: twon
elastik: lyet
sözlük: kfon
jambon: gzam
gökkuşağı: rwun
tüketmek: kcum
tükürmek: tcup
tank: trek
meslektaş: clok
kelebek: trif
grafik: graf
ikiz: jwat
bağımsız: trem
bambu: hbum
satıcı: jlat
birikim: kles
müfettiş: nyet
lokma: hyos
karabasan: hbom
reçel: gjam
müze: mrem
alfabe: lwam
dağılım: zras
baskın: crip
ifşa: clus
çürüme: fraf
agresif: gris
sürtünme: mroc
iskele: gyac
örümcek: brik
patates: trut
revizyon: cwon
açgözlülük: jlac
erken: ryot
çarpmak: gzan
dönme: pcip
istatistik: tsok
takvim: klem
adaylık: nwen
trilyon: tlos
çatı-katı: tlok
olumlu-ruh-hali: rwim
uygulamaları: pfen
nominal: nlon
memnuniyetsizlik: sraf
enfeksiyon: hfok
sürahi: krot
omuz-silkme: cyok
öncü: gzin
ihmal: nlif
lahana: glic
atletik: tlet
sarhoşluk: mrut
idiophone: hdof
manivela: lwek
senatör: syem
iris: nrif
karınca: mwam
böcek: hbop
hamile: grim
çökelti: hjet
ayak-bileği: tcok
sınıflandırma: glik
değişken: prim
sarmak: ryap
Kıvırcık: krec
sülfür: hsef
dikte: dwik
çıkmak: brun
kurbağa: fram
aşırı-dava: twek
sünger: hjen
can-sıkıcı: djon
sincap: slip
eziyet: zyin
irrealis-ruh-hali: flim
volkan: glam
içeriye: gron
sömürmek: kloc
jeolojik: jlik
pasaport: psop
ahlaksız: mlet
bisküvi: hbuk
işbirliği: kros
tablet: tlot
gevşeme: kces
atom: trom
AİDS: hzip
piramit: psim
devir: swok
şekerleme: hnup
yasadışı: hjaf
pençe: pfap
utangaçlık: crom
tutulma: klip
ut: lwap
süpürge: srum
panel: mwen
astronomi: tcom
labirent: blen
burs: bwit
kaplumbağa: kfuc
danışman: dwak
lif: fwic
kriket: jrik
güvercin: ksom
adaptasyon: dyon
üçgen: tfon
veznedar: tsen
hidrojen: jron
kırılgan: hfuk
yazıcı: pyet
boğma: tcof
kronik: gzon
başa-çıkmak: slaf
ikilem: dlim
mühendislik: jyin
kamera: hkef
özür-dilemek: pluc
yalamak: lwet
dansçı: dret
göç: mres
tenis: tces
omurga: clip
kızartma: zrac
dokuma-tezgâhı: tfuc
bıçaklama: twuc
parola: psaf
yarımküre: praf
strateji: zrit
kuvars: krus
makas: jris
devriye: proc
buzul: lwic
yarım: dwam
muhtıra: mwap
koni: kwuc
simetri: hzut
üretici: zrak
sanık: fwik
cami: djis
satranç: cres
Geçiş-ücreti: htof
Kiraz: tref
yaygın: kfen
yanılmak: tfok
kamyon: ryok
hardal: mros
yüzde: pfet
açık-artırma: jlam
elek: srif
kararsız: swoc
mıknatıs: gjat
emmek: syus
İslâm: slum
heyecanla: twip
zar: mlen
tıraş: clet
gitar: gjit
parlak: bzan
karaağaç: hyem
uçmak: kcom
zamir-işaretleyici: ryec
zımba: pcus
baharat: zlat
kefalet: jlas
taşıyıcı: zyac
titreşim: bron
kızdırmak: trus
pulluk: hlom
fizyolojik: zlik
oluk: hgok
kuyrukluyıldız: cyet
ortaçağ: dyic
serçe: grec
tazmin-etmek: twet
plastik: psuk
dipnot: cyot
yörünge: rwot
tutumlu: twum
golf: hgof
sıfır: zrun
yonga: tcep
ezmek: prok
esnemek: gjac
eşitsizlik: gwas
mol: tloc
çanak-çömlek: frik
ev-hanımı: hgif
çavdar: rwem
uymamak: hyes
hoşgörülü: glon
embriyo: brec
madenci: jren
alkışlamak: zlac
maya: lyim
prim: pfim
Erik: plem
iflas: byas
sulama: rwif
nane: nyun
kapitalist: glis
elastikiyet: hlef
Köpekbalığı: gyak
acemi: drut
depolama: zren
gerçekçilik: cles
zencefil: djic
ambulans: blus
karşılaştırılabilir: kwip
cüzdan: bjap
yüz-buruşturma: glim
bilim-adamı: gyis
bağırsak: grot
ağırbaşlılık: hwum
radyo: href
ilgisiz: zlit
fasulye: bwam
resmi-olmayan: frim
torun: gyut
anlaşmazlık: dloc
biftek: tfek
azot: zron
jilet: hjut
zıt: krom
propaganda: pcoc
havai-fişek-gösterisi: fris
pop: pcop
soyunmak: crop
kırışık: cruc
zararlı: hzaf
Yahudilik: hjum
tamamlayıcı: pluk
mercek: lyes
pegative-dava: pwek
kanser: kfes
piyon: pyek
okutman: zyat
sızıntı: hzuk
nitelemek: krif
yoğunluk: djot
indüksiyon: dyis
çiğnemek: htuf
konuşkan: bzit
Istakoz: hgos
indirim: dyut
taksi: tsuk
hiyerarşi: crem
yeşim-taşı: gyec
söylenmek: glaf
kertenkele: lyis
çağlayan: crof
hayal-kırıklığı: djak
veto: frot
başkanlık: ryip
alıcı: mrif
galon: jlen
sivrisinek: mruk
sapma: dwen
güreşmek: lyut
mozaik: myok
fiş: plok
bodur: pcuk
bakkal: ksoc
komünist: myos
şaşırtmak: mwek
prosecutive-dava: rwuk
takımyıldız: nlos
diktatör: dwit
kaygı: tyet
uydu: tlec
terlik: hlop
ünsüz: fyon
yaklaşık: tsif
işsiz: byet
destekçi: sros
lotus: lwot
marul: sles
klorid: lwok
bakteriler: bwic
yapışkan: pcek
bileşen: bwon
çekirdek: klec
uydurmak: bjak
bayt: bzet
salgı: sruf
açıkça: pres
rastlamak: mloc
bale: blet
idrar: mrus
sarımsak: lyun
geçen: hguc
ekonomi-bilimi: kcem
orta-sınıf: hdom
çevik: gjic
maşa: htef
çamaşır: lyoc
çilek: srem
kentsel: pcos
utandırmak: mlaf
not-defteri: tfut
albüm: zlam
beyzbol: hbep
koklama: sluc
büfe: hbuf
ortaç: rwip
garaj: grek
tanı: djas
koltuk-değneği: ksuc
koparmak: srom
kayıt: psuc
çözünür: jlun
fosfor: psof
yapısal: rwut
tutkal: glum
tez: twes
esnaf: clif
muz: bwas
aksiyom: kyom
kaburga: psos
nikel: nyek
pi-sayısı: pyim
otobüs: bwos
sansürcü: swes
füze: mlus
sosis: slos
hile: nlut
domates: tfet
güçlendirmek: kfut
soket: syok
potasyum: tsom
geri-almak: prup
sanal: zwit
cebir: gjas
dişçi: dzit
optik: pcok
hareket-ettirmek: bzen
biyoloji: bwim
işsizlik: byim
tırtıl: krum
solo: slof
tarayıcı: bjac
uzak-geçmiş-gergin: nyot
tarihi-gergin: crep
nükleer: nluk
spektrum: pyem
sodyum: syom
histeri: syes
yediemin: tyos
rehin: byik
sukabağı: gluk
kırışıklık: kwuk
şeffaflık: tfif
başak: swip
öncelik: pcif
yaya: dyen
ateizm: tsem
izlemek: mwot
seçim-bölgesi: nlec
kontrolsüz: hkof
sonda: grok
platin: plip
çift-sayı: dlun
akciğer: pcep
Süper: syup
tramvay: trop
lokal-olarak: lyot
tahrik: gzat
benzin: plif
böbrek: grif
yağma: bzac
değerlendirme: dlen
arsenik: syek
salyangoz: nrok
çekirge: tsec
denklem: fwen
sosyalist: swos
filtre: flot
duyusal-ortada-ruh hali: hxin
genişletmek: kyot
yaymak: mwet
tasma-kayışı: pwet
mandalina: drun
jokey: hjok
zatürree: hnof
dayanışma: gret
menteşe: cyif
uzunlamasına: nruc
kâr-payı: dwun
paten: hkep
üs: slop
sakatlık: dlif
takıntı: bwen
tahsis: pfun
fotoğrafçı: trof
delta: dlet
dijital: djim
orospu: brut
gözkapağı: hyop
diyagonal: dyun
bilinçaltı: byon
kaş: bruc
hapşırma: pcec
neşeli: dlis
Hinduizm: nwum
mülteci: nyif
mekik: cwot
protein: pwot
çöplük: hdop
arıtmak: flen
kusmuk: hwom
gen: gyen
birinci-sınıf-öğrencisi: hdem
sosyoloji: syoc
kabak: kwoc
balıkçı: hfuc
bölgesel: jyen
hareket-yokuş-yukarı: hvok
geçmişe-yönelik: hxik
kasırga: gyon
ters-çevirme: nwos
TV: twif
küp: kfet
verimlilik: pwuk
havuç: krop
moleküler: mwuk
holding: glet
muhasebeci: ksum
salatalık: kyok
alem: drok
çözücü: jlet
fosfat: psef
astar-boya: gwik
alkalik: flis
Jimnastik: jyas
virgül: kwom
hareket-yokuş-aşağı: hvat
düşük: jwac
koza: tcop
verici: dzon
manganez: hzem
psikolog: syos
klor: clos
klavye: kyoc
seçkinler: zyit
parantez: pfaf
Ragbi: rwoc
ülser: jlon
çekimli: hxit
kemirmek: nres
kuantum: fwam
kazak: swek
evrimsel: fwis
notasyonu: nyoc
sıçrama: tcuf
teşrih: drec
önbellek: kcep
doğrusal: lyec
antimon: trum
superessive-dava: psek
tümör: twom
erozyon: cyos
alfa: flaf
göbek: nwip
bağışık: myip
grip: flun
bira-fabrikası: bjit
basitleştirmek: slef
kısaltmak: bram
göçük: djen
cezbetmek: dwim
zorlamak: brok
çorap: bzas
film: fyim
kozmos: klom
kirletmek: hpuf
sokulgan: gjen
penis: zyis
ormancılık: lyif
alüminyum: lwum
salınım: zlon
burç: ksop
çıkarmak: dlek
içerme: nluc
hak-sahibi: byic
yunus: dlip
katil: cyus
memeli: myaf
gösterge: swif
dioksit: dwis
kolon: zlen
bürokrasi: brus
çarpıtmak: jric
buzdolabı: frip
arkeolojik: cluk
kabul-edilemez: kwok
şartname: pfis
broşür: pfut
antropoloji: nlom
lezzetli: kyec
geçişli: txit
çömelmek: kwus
ayçiçeği: hzuc
bit: glus
iyon: lyos
turizm: tyum
modem: myom
hızlanma: jrun
tahrif-etmek: tsoc
emisyon: hmef
kaçırmak: drap
üst-üste-gelme: hwep
kuaför: pfes
folklor: floc
kılcal: plek
milliyetçilik: nlum
kalça: nros
motif: hmuf
yüceltmek: slem
hüsran: xras
kobalt: kwos
yulaf: gwam
hareket-akıntıya-karşı: trup
anüs: gyam
sığır: bwun
çevirmek: flip
fazlalık: dzun
video: hwop
boykot: bjik
bilgi-yarışması: cwif
hokey: cwok
gerilla: grip
magnezyum: hgem
radar: drek
şempanze: hzif
güvenilirlik: kwif
dikdörtgen: tyec
varek: klep
genellemek: jlak
sokağa-çıkma-yasağı: kfec
homoseksüel: mlok
senaryo: srop
formülasyon: flus
reenkarnasyon: nrom
tutuşturmak: zlak
uranyum: ryum
yakalayan-şey: kwes
koordinat: kyop
vergi-mükellefi: nwaf
entegre: trep
opined: hzap
gama: hxam
safari: fwim
hareket-akıntı-yönünde: ht6n
katsayı: kfus
başlık: zlic
analist: nles
mat: hzes
alışveriş-Merkezi: hmof
bizmut: bzim
kartpostal: psok
yakınsama: bros
sapmak: djet
hissedar: ksem
mikrop: mrip
jenital: jwit
morfolojik: mluk
beta: byot
kot: gjis
veritabanı: tles
hesap-makinesi: klus
X-ışını: ksef
ayrıştırmak: zram
çevre: zyen
sigma: zyim
parçalanma: hxon
gündem: gres
Visa: bzis
altyapı: nyuk
ateş-böceği: gyun
detektör: tyek
adaptif: dyip
biyolog: byis
ek-yeri: pyec
brom: brom
palladyum: plum
hıçkırık: kfok
pastel: psec
hayvanat-bahçesi: zwac
klinik: lyok
çağrışım: nwoc
yoga: hjoc
kitapçı: byun
tedavi: grap
milliyetçi: zlis
kafasını-kesmek: zlet
Evet: swec
sorunsal: byam
caz: dzas
tungsten: tsof
terörist: gwis
salya: droc
metabolizma: tlem
nafaka: lyaf
hafta-sonu: hfom
krizantem: gzim
aşı: byap
motosiklet: tyok
mantra: dyot
yarıyıl: myes
eroin: gwon
Klasör: flap
katot: kfoc
ideoloji: dlec
otopark: prek
teta: fret
düş-kırıklığı: hxis
selenyum: clem
bisiklete-binme: blek
korteks: pros
denklik: swaf
akım-ilgi-işaretleyici: hxak
havalimanı: cwoc
kesmek: gyet
basketbol: bwet
taklitçi: mwip
hamamböceği: tlek
krom: hgom
litre: hl6t
yine-de: nwec
hormon: cwom
kusurlu: tluc
delmek: prec
animizm: nyom
çokgen: cloc
feminist: hfes
eşlenik: kcop
euro: dros
jinseng: hjes
algoritma: hlof
lazer: lwes
eczane: dlot
milimetre: mlem
esnek: flek
anot: nlok
nüans: hzus
yarı-zamanlı: prem
duyarlılık: nyec
gösterici: drom
helyum: clum
iki-dil-bilen: dzic
kısaltması: hqim
initialism: nl6m
ulaç: gros
plazma: psem
kromozom: rwom
sıra: rwok
kilometre: klum
faks: tfes
genetik: nwek
çil: frek
tornavida: dres
brokoli: blok
geçmiş-zaman: xrit
vitamin: tyem
kadmiyum: kyem
bombardıman-uçağı: bwoc
grafiksel: gjik
titanyum: dyim
savurganlık: clec
lambda: lwem
kız-arkadaş: pcem
çiftleşmek: kyuk
kum-saati: tlus
empati: mlif
bor: bres
helikopter: cwet
tellür: tlum
son-tarih: jyic
hizalamak: gwic
santimetre: hfem
molibden: mlom
lityum: tfim
multimedya: myum
güncelleştirme: dyet
kalori: clom
robot: ryoc
ev-ödevi: groc
logaritma: grom
peygamber-devesi: gzas
instal: nwut
amino: myoc
kabartma: glif
aorist: pyos
ekoloji: plec
kaşarlanmak: flok
esrar: bjam
mikro: mrom
kilogram: lwom
çok-yemek: jrot
tahmin-edilebilir: dzik
pizza: zyas
kulak-misafiri-olmak: zris
dilbilim: bwis
saç-kesimi: braf
iridyum: ryom
ırkçılık: gwim
optimum: gyim
sanayileşme: drif
Merkezi: krup
seryum: zrim
uyumlu: nrum
bir-parçayı-belirten dava: pxik
kaset: ksep
irade: blot
boyutlu: dzen
parametre: rwet
senkronize-etmek: nrop
maksimuma-çıkarmak: dzim
seminer: mwec
disko: dyok
neon: nyok
osmiyum: hzom
görünüş: hp6n
çalıntı-yapmak: lyap
eser: rwek
reaktör: fyet
keklikotu: ryop
plutonyum: pwum
itriyum: tyom
büyüten: hxat
kullanıcı-adı: mrum
doktora: zrot
sağ-kanat: dwaf
argon: jros
fobi: hxot
sosyalleştirmek: sluk
küreselleşme: bluc
dalga-boyu: hnef
kodlamak: kfom
geri-dönüşüm: psoc
tekrar-başlat: nrek
hepatit: pyes
yumru: fros
kemoterapi: myep
modülo: mwok
proton: zwot
disket: dwet
miligram: mlum
piksel: psep
tantal: twem
çözünen: hjot
soykırım: nyos
yırtıcı-hayvan: rwes
galyum: glem
zirkonyum: hzum
belirteç: txin
doğrusal-olmayan: nlem
böcek-zehiri: pyif
berilyum: brem
nöron: nrus
doğrulayıcı: pxit
külot: tlif
faktöryel: kref
nötron: zrut
niyobyum: nwom
germanyum: hjem
metaloid: tlop
koymak-üzerinde: dlap
uzatan-dava: hl6k
biyoçeşitlilik: jwic
joystick: jyok
antibiyotik: twok
aktinyum: gjim
astronot: srof
dünya-dışı: tyes
çılgın: hwup
maraton: mrof
iterbiyum: zwim
otizm: tyif
iyonlaştırmak: nlof
radon: cwos
nerium: nrem
epidemioloji: pwip
ihtiyarlık: lyuc
kamp: kyep
çizgili: drip
indiyum: nyum
gerçeğe-uygun: hvik
web-sitesi: bwes
Kuran: kwek
sofra-takımı: fwet
nth-kök: tfec
lavrensiyum: lyem
insan-hakları: glip
cep-telefonu: mlof
felçli: twoc
protaktinyum: prum
radyasyon: hd6n
bağlı-üzerinde: pxin
toryum-atom: hxim
Mavi---jean: bjun
ev-bitkisi: hxas
bireysel: dvit
Akış---akım: lwuk
Üç-nokta: ht6t
insan-vücudu: hn6n
fizik: bzik
perakende-mağaza: hxan
sezyum: hs6m
uzun-önce: hqan
tablo: hxet
Birim-kütle: hn6m
derlemek: ml6n
ikili-değer: vrim
insan-varlık: nyus
tarafından-araç-arasında: hvan
depan-dari: pxat
praseodim: pyom
karton: kxat
sınırlı-fiil: hqik
Deneme-sayı: hr6n
profesyonel-cümle: hr6t
eleştirmen: hk6k
paketleme: pxas
geçiciliktir: pxan
En-en: txas
tanımlayıcı: drop
neodimyum: nyem
dostluk: hvit
okumak-sadece: xyak
kurar: xwan
Gnomic-ruh-hali: kxin
fonem: hxom
rasyonellik: xlit
fonolojik: xlin
yemek-oda: hxac
yaşam-oda: hxic
merkezi-dava: zrik
ön-hodiernal: hx6n
sabırlı-dava: hqak
eğik-dava: bwok
kırsal-alan: hqat
recurse: hr6s
orta-ses: dyos
meitnerium: hm6m
mail-taşıyıcı: hvak
çekimser: kxit
stok-pazar: xrak
teşhis-edilebilir: hxap
hedef-tetik: krof
bir-saniye: hxen
yasama-dava: dvak
tayın: hr6c
olmayan-insan: hg6n
yaşam-şey: hvic
çok-küçük: hxut
sinema: hvin
hassiyum: xyim
soğurma: ty6t
multal-sayı: ml6m
sütlü-yol: txam
neptunyum: nwem
Hayalet-Yazar: txik
trans-rakam: ts6s
Takılmak: hqun
americium: myem
sabah-şan: txan
itfaiyeci: xran
berkelyum: blem
gökada-cinsiyet: kxan
nobelium: blum
güle-güle: hvac
Budizm: hfum
fermium: frem
camgöbeği: xyan
soya: syof
distribütör: qrit
strikebreaker: txak
işlemci: ples
abessive-dava: bvak
adessive-dava: dvik
için-dava: kxak
agentive-dava: dvek
rutherfordiyum: hr6m
antikor: txip
olarak-çok-olarak: hjos
ajan-tetik: hg6t
aktör-rol: xram
ethidium: txim
ortak-cinsiyet: hk6n
yakınının-bulunmasını: kl6n
aspir: kxam
francium: fyam
erbiyum: ry6m
pasif-ses: xyis
astatin: hqit
çiğneme-sakız: hqam
star-cinsiyet: hqin
alıntı-form: ht6m
curium: jrim
çizgi-roman: kxis
renk-körü: hqon
euler's-numarası: hl6m
bak-En: kxas
yaya-geçidi: pwok
savaş-alanı: txat
araba-kullanan-kimse: vrit
kısa-devre: txok
sözlü-isim: hvis
ağlamak-dışarı: hk6t
istatistiksel: xyit
yoğurt: txot
ksenon: hs6n
uyutmak: hxif
almak-kapalı: hxaf
fıkra---tail: hxok
direkt-nesne: dwot
bakkal-mağaza: kxun
oluşur-arasında: hm6t
kılıcısız-dava: gvik
in--dili: txic
ilk-elden: pxam
lokatif-dava: hqok
yüzme-havuzu: slup
zarf-dava: vlak
gezi: hqas
televizyon-set: ht6s
son-parçacık: xlik
evitative-dava: hvek
rehabilitasyon: xlat
gerileme: xris
blok-arasında-yassı: kxot
uyanmak-yukarı: hxup
polis-subay: ps6s
yemin--in: vran
görüşmeci: qrat
renyum: ryem
aerosol: xres
iyelik-dava: kxik
adlaştırma: mlec
deli-dava: dzak
abartma: pxak
yardımcı-fiil: xyik
birincil-nesne: mlut
bilgisayar-virüsü: prus
iş-adamı: hqis
bir-insanlar: hqen
antessive-dava: ts6k
Başbakan: pxis
lutesyum: lyum
öropiyum: rwum
emote: xrot
Halk-Müziği: zyik
şair: vwit
Postane: pxot
sözde: hvas
hareketlendirmek-cinsiyet: hven
subessive-dava: bvik
gaz-pedalı: glep
polarite: pr6t
araç-cinsiyet: vlin
mineral-cinsiyet: xrin
fiil---eki: hvif
tutkulu: pc6n
samaryum: sr6m
kolaylaştırıcı: hs6t
hayali-birim: xyin
ışık-hızı: kxac
hava-Kuvveti: hxes
empatik-sevinç: pfec
kritik-nokta: qyit
tam-zamanlı: hxem
hafniyum: xyam
engelleme: hn6s
değişim-arasında-olay: qrin
holmiyum: xlim
farklı-olay: hf6t
Evren-cinsiyet: hvip
yer-cinsiyet: kxen
sanal-makine: hvim
araştırma-cinsiyet: txen
artistik-cinsiyet: ts6n
crastinal-gergin: sl6t
soyut-cinsiyet: srep
exocentric-dava: zrek
geçişli-fiil: txif
morfem: tfom
şovenist: dvis
geçmiş-tamamlanma-belirten: xrat
mesleki: hy6n
dolaylı-konuşma: tyoc
ikinci-dil: draf
için-olmak: txis
mezarlık-vardiya: vrak
toplu-isim: hxos
absolutive-dava: bvuk
sabırlı-tetik: tr6t
öz-güven: hs6s
dışkı: hzos
dönüşlü-ses: hf6s
kişiliksiz-fiil: hxek
seaborgiyum: br6m
beyaz-boşluk: hxep
tipik-dava: dlok
cansız-cinsiyet: hj6n
ettirgen: qran
propositive-ruh-hali: psom
elektrik-akım: tr6n
ilişkisel-dava: nwok
üstün-dava: tluk
çok-çok: xyut
gezegen-cinsiyet: pxen
canlandırılmış-karikatür: nwuk
karşılıklı-ses: vrik
yasamak: hqaf
En-en-az: vlas
dilbilgisi-durum: qrak
kullanıcı: pxut
çekirdek-benefactive: kfef
kaleci: hgop
:-except-for: kcef
payda: dvan
else-if: lyek
yanlamasına: hx6s
herbiri: dles
ardışık-fıkra: lyuk
aşınma--out: hxun
şort: ht6k
disporsiyum: prom
yakında-gelecek-gergin: rwec
si-birimler: vyin
kripton: kxon
mendelevyum: dlem
uygulamalı-ses: hp6s
antipassive-ses: tsef
continuative-görünüş: ht6p
radyasyon-hastalığı: hr6k
necessitative-ruh-hali: hn6t
tek-eylem-fiil: hqek
vagon: xlak
üstün-derece: tlup
varoluşsal-fıkra: hs6k
kaliforniyum: kf6n
mevcut-ortaç: vrat
aydınlık-yoğunluk: hc6t
singulative-sayı: slus
dilbilgisi-nesne: hy6t
pasif-ortaç: vris
aşırı-süre: kxic
süper-kritik-akışkan: sr6t
miktar-arasında-madde: ks6t
İlgeç-dava: pxok
seçmeli-nicelik: lwif
gadolinyum: dl6n
epenthetic-morfem: hp6m
olumsuz-nicelik: nwif
aynştaynyum: ny6n
yapay-dil: txac
bağlayıcı-parçacık: qrik
uzak-gelecek-gergin: twec
tekrarlama-bildiren-görünüş: hfep
dağıtım-zamir: bvin
hitabe-anlaşma: hk6m
kel: blos
banliyö: syum
evrensel-nicelik: vlit
bilgisayar-programlama: mr6m
televizyon-program: tr6m
kayan-noktalı-sayı: hvun
varoluşsal-nicelik: tl6t
gün-sonra-yarın: dwek
alternatif-nicelik: lw6t
kötü-huylu: hdup
geçmiş-pasif-ortaç: hp6t
gün-önce-dün: txet
lokatif-yönlü-dava: tc6k
counterfactual-şartlı: ht6c
