Infinitiv: hnit
Verb: kres
Affe: mwon
akzeptabel: hwek
Stempel,-Unterschrift: tlim
orthodox: rwos
Ironie: fron
Kindergarten: nrap
Abneigung: jlan
Import: tyot
Fackel: croc
Grammatik: gjak
Anzahlung: gyat
kolonial: plon
Yacht: jyat
Folge: kwec
Kuppel: kwun
Dicke: hfot
stur: cyon
Muskel: hmup
Größe: ryam
reiben: ryos
feige: rwam
Geschirr: gwac
Toast: tros
Maus: myus
Silbe: slim
klopfen: prap
Dialog: dlaf
neutral: nrot
Sorgfalt: dwin
Widerspruch: trot
erreichen: kfic
Ziege: byak
blühen: hfet
auferlegen: mlon
anonym: nwim
formal-Neu-registrieren: frit
Kalb: hbof
Handbuch: mwut
Schmelze: hjec
löschen: flas
Regenschirm: gras
Stiefel: bzut
Mineral: mrim
Waffenstillstand: crus
Ente: hbok
Planung: pfam
Seife: hsuf
Puppe: gwak
Skeleton: klet
Villa: blis
Nähen: jlin
versöhnen: dyak
Kessel: kset
reifen: mruc
Kaninchen: kruc
Leiter: nwot
Abhängigkeit: djat
Spieler: jlic
Insekt: pset
Restaurant: cret
Eule: lwun
Radikale: djik
Einwohner: zwin
Drachen: dron
Hör--beweiskräftig: drot
durstig: kyos
verweilen: dren
Berechnung: glun
Verordnung: ryim
Bürgermeister: mlap
Minderheit: mric
Erwerb: dwon
Veteran: bren
Orchester: ryes
Speck: bjin
Nachteil: zwat
Stoff: frap
Musiker: gzik
geistig: hnep
Verbindung: nyon
unzureichend: nrip
Architekt: tsek
Zitrone: nyim
Husten: kcos
Kopfschmerzen: crek
Mieter: ryet
Fruchtbarkeit: srun
heilen: hfoc
neunzig: nwon
zufällig: hbec
Löffel: kcek
Ballon: blon
Kreide: hfip
folgernd-beweiskräftig: nlet
Herausgeber: pcot
Essig: sruk
Asche: fyec
Kraftausdruck: slek
beleben: nrut
anfällig: kfim
Tunnel: tfun
Puzzle: hpef
Mechanismus: mwim
Mathematik: gzit
verblassen: frun
Leber: jwin
sublative-Fall: bwik
tauchen: dris
Einheit: twim
Monopol: hnop
Spiel: hgup
U-Boot: bzin
Erdbeben: hbem
Labor: brot
Kork: kruk
selbst-steuern: syot
Buddha: hbus
stricken: bjat
Botschaft: blas
am-weitesten: sres
deklarative-Stimmung: drim
Stimulus: tyuc
Schokolade: clot
Zufall: tyon
Handschuh: gwat
knien: hjek
Erdkunde: hjif
Investition: nwes
verbal: mrec
Analogie: nlip
weltlich: srek
Falke: blap
Psychologie: nloc
befestigen: gjan
Schrott: krep
Rolle: cyum
Dosis: hdos
Lachs: slom
Pudding: pwun
magnetisch: gyik
Pumpe: pcom
Sauerstoff: ksip
Zertifikat: tfot
Medaille: hmem
Rhetorik: trok
kratzen: rwap
Ruder: dyas
Fernrohr: trip
Halskette: clek
Rechtschreibung: prif
Whiskey: hwos
Weide: hwof
Kamel: hlum
Amateur: myet
Ausgang: crec
Biografie: brif
Esel: gzac
monatlich: mwis
ignorieren: nruk
Ferien: byit
klicken: lyik
Oval: twon
elastisch: lyet
Wörterbuch: kfon
Schinken: gzam
Regenbogen: rwun
verbrauchen: kcum
spucken: tcup
Panzer: trek
Kollege: clok
Schmetterling: trif
Diagramm: graf
Zwilling: jwat
unabhängig: trem
Bambus: hbum
Händler: jlat
Akkumulation: kles
Inspektor: nyet
Bissen: hyos
Alptraum: hbom
Marmelade: gjam
Museum: mrem
Alphabet: lwam
streuen: zras
Überfall: crip
bekannt-geben: clus
verrotten: fraf
aggressiv: gris
Reibung: mroc
Seebrücke: gyac
Spinne: brik
Kartoffel: trut
Revision: cwon
Gier: jlac
verfrüht: ryot
multiplizieren: gzan
drehen: pcip
Statistiken: tsok
Kalender: klem
Nominierung: nwen
Trillion: tlos
Dachboden: tlok
positiv-Stimmung: rwim
Anwendungen: pfen
nominal: nlon
Unzufriedenheit: sraf
Infektion: hfok
Krug: krot
zucken: cyok
Pionier: gzin
Unterlassung: nlif
Kohl: glic
sportlich: tlet
Trunkenheit: mrut
idiophone: hdof
Hebel: lwek
Senator: syem
Iris: nrif
Ameise: mwam
Fehler: hbop
schwanger: grim
Präzipitat: hjet
Knöchel: tcok
Einstufung: glik
Variable: prim
wickeln: ryap
lockig: krec
Schwefel: hsef
diktieren: dwik
entstehen: brun
Frosch: fram
übertrieben-Fall: twek
Schwamm: hjen
nervig: djon
Eichhörnchen: slip
schleifen: zyin
irrealis-Stimmung: flim
Vulkan: glam
drinnen: gron
verwerten: kloc
geologisch: jlik
Reisepass: psop
unmoralisch: mlet
Keks: hbuk
Zusammenarbeit: kros
Tablette: tlot
Entspannung: kces
Atom: trom
AIDS: hzip
Pyramide: psim
Zyklus: swok
Nickerchen: hnup
ungesetzlich: hjaf
Pfote: pfap
Schüchternheit: crom
Finsternis: klip
Laute: lwap
Besen: srum
Platte: mwen
Astronomie: tcom
Labyrinth: blen
Stipendium: bwit
Schildkröte: kfuc
Berater: dwak
Faser: fwic
Kricket: jrik
Taube: ksom
Anpassung: dyon
Dreieck: tfon
Schatzmeister: tsen
Wasserstoff: jron
zerbrechlich: hfuk
Drucker: pyet
Choke: tcof
chronisch: gzon
zurechtkommen: slaf
Dilemma: dlim
Ingenieurwesen: jyin
Kamera: hkef
entschuldigen: pluc
lecken: lwet
Tänzer: dret
Migration: mres
Tennis: tces
Rücken: clip
braten: zrac
Webstuhl: tfuc
stechen: twuc
Passwort: psaf
Hemisphäre: praf
Strategie: zrit
Quarz: krus
Schere: jris
patrouillieren: proc
Gletscher: lwic
halb: dwam
Memorandum: mwap
Kegel: kwuc
Symmetrie: hzut
Hersteller: zrak
Beklagte: fwik
Moschee: djis
Schach: cres
Maut: htof
Kirsche: tref
weit-verbreitet: kfen
stolpern: tfok
LKW: ryok
Senf: mros
Prozent: pfet
Auktion: jlam
Sieb: srif
unsicher: swoc
Magnet: gjat
saugen: syus
Islam: slum
auf-Zehenspitzen: twip
Membran: mlen
rasieren: clet
Gitarre: gjit
glänzend: bzan
Ulme: hyem
steigen: kcom
Pronomen-Marker: ryec
Klammer: pcus
würzen: zlat
Kaution: jlas
Träger: zyac
Vibration: bron
necken: trus
Pflug: hlom
physiologisch: zlik
Rinne: hgok
Komet: cyet
mittelalterlich: dyic
Spatz: grec
kompensieren: twet
Kunststoff: psuk
Fußnote: cyot
Orbit: rwot
sparsam: twum
Golf: hgof
Zero: zrun
Chip: tcep
unterdrücken: prok
gähnen: gjac
Ungleichheit: gwas
Mole: tloc
Keramik: frik
Hausfrau: hgif
Roggen: rwem
nicht-gehorchen: hyes
tolerant: glon
Embryo: brec
Bergmann: jren
applaudieren: zlac
Hefe: lyim
Prämie: pfim
Pflaume: plem
Konkurs: byas
Bewässerung: rwif
Minze: nyun
Kapitalist: glis
Elastizität: hlef
Hai: gyak
rekrutieren: drut
Lagerung: zren
Realismus: cles
Ingwer: djic
Ambulanz: blus
vergleichbar: kwip
Brieftasche: bjap
Grimasse: glim
Wissenschaftler: gyis
Darm: grot
Gleichmut: hwum
Radio: href
irrelevant: zlit
Bohne: bwam
informell: frim
Enkelin: gyut
Uneinigkeit: dloc
Steak: tfek
Stickstoff-: zron
Rasierer: hjut
kontrastierend: krom
Propaganda: pcoc
Feuerwerk: fris
Pop: pcop
ausziehen: crop
Furche: cruc
schädlich: hzaf
Judentum: hjum
ergänzen: pluk
Linse: lyes
pegative-Fall: pwek
Krebs: kfes
Pfand: pyek
Dozent: zyat
Leck: hzuk
qualifizieren: krif
Dichte: djot
Induktion: dyis
kauen: htuf
gesprächig: bzit
Hummer: hgos
Rabatt: dyut
Taxi: tsuk
Hierarchie: crem
Jade: gyec
Knurren: glaf
Eidechse: lyis
Wasserfall: crof
enttäuschend: djak
Veto: frot
Präsidentschaft: ryip
Käufer: mrif
Gallone: jlen
Moskito: mruk
Abweichung: dwen
ringen: lyut
Mosaik-: myok
Stecker: plok
hocken: pcuk
Lebensmittelgeschäft: ksoc
Kommunist: myos
verblüffen: mwek
prosecutive-Fall: rwuk
Konstellation: nlos
Diktator: dwit
Beschäftigung: tyet
Satellit: tlec
Slipper: hlop
Konsonant: fyon
ungefähr: tsif
arbeitslos: byet
Fan: sros
Lotus: lwot
Salat: sles
Chlorid: lwok
Bakterien: bwic
klebrig: pcek
Komponente: bwon
Kern: klec
vortäuschen: bjak
Byte: bzet
Sekretion: sruf
ausdrücklich: pres
übereinstimmen: mloc
Ballett: blet
Urin: mrus
Knoblauch: lyun
verstrichene: hguc
Wirtschaft: kcem
Mittelklasse: hdom
agil: gjic
Zange: htef
Wäsche: lyoc
Erdbeere: srem
städtisch: pcos
in-Verlegenheit-bringen: mlaf
Notizbuch: tfut
Album: zlam
Baseball: hbep
Schnupfen: sluc
Buffet: hbuf
Partizip: rwip
Garage: grek
Diagnose: djas
Krücke: ksuc
erpressen: srom
Registrierung: psuc
löslich: jlun
Phosphor: psof
strukturell: rwut
kleben: glum
These: twes
Handwerker: clif
Banane: bwas
Axiom: kyom
Rippe: psos
Nickel: nyek
Pi: pyim
Bus: bwos
zensieren: swes
Rakete: mlus
Wurst: slos
Manipulation: nlut
Tomate: tfet
verstärken: kfut
Steckdose: syok
Kalium: tsom
abrufen: prup
virtuell: zwit
Algebra: gjas
Zahnarzt: dzit
optisch: pcok
nachgeben: bzen
Biologie: bwim
Arbeitslosigkeit: byim
Raupe: krum
Solo: slof
Browser: bjac
entfernt-Vergangenheit-Tempus: nyot
historisch-Tempus: crep
Atom-: nluk
Spektrum: pyem
Natrium: syom
Hysterie: syes
Treuhänder: tyos
Geisel: byik
Kürbisflasche: gluk
Falte: kwuk
Transparenz: tfif
Spitze: swip
Priorität: pcif
Fußgänger: dyen
Atheismus: tsem
Monitor: mwot
Wahlkreis: nlec
unkontrolliert: hkof
Sonde: grok
Platin: plip
Dual-Nummer: dlun
Lunge: pcep
Super: syup
Wagen: trop
örtlich: lyot
anregen: gzat
Benzin: plif
Niere: grif
Beute: bzac
Bewertung: dlen
Arsen: syek
Schnecke: nrok
Heuschrecke: tsec
Gleichung: fwen
Sozialist: swos
Filter: flot
sensorisch-beweiskräftig-Stimmung: hxin
erweitern: kyot
emittieren: mwet
Leine: pwet
Mandarin: drun
Jockey: hjok
Lungenentzündung: hnof
Solidarität: gret
Scharnier: cyif
in-Längsrichtung: nruc
Dividende: dwun
Schlittschuh: hkep
Exponent: slop
Behinderung: dlif
Obsession: bwen
Zuteilung: pfun
Fotograf: trof
Delta: dlet
digital: djim
Hündin: brut
Augenlid: hyop
Diagonale: dyun
Unterbewusstsein: byon
Augenbraue: bruc
niesen: pcec
urkomisch: dlis
Hinduismus: nwum
Flüchtling: nyif
pendeln: cwot
Eiweiß: pwot
Müllkippe: hdop
verfeinern: flen
erbrechen: hwom
Gen: gyen
Student-im-ersten Jahr: hdem
Soziologie: syoc
quetschen: kwoc
Fischer: hfuc
regional: jyen
Bewegung-bergauf: hvok
retrospektiv: hxik
Tornado: gyon
Inversion: nwos
Fernseher: twif
Würfel: kfet
Produktivität: pwuk
Karotte: krop
Molekular-: mwuk
Konglomerat: glet
Buchhalter: ksum
Gurke: kyok
Orgie: drok
Lösungsmittel: jlet
Phosphat: psef
Grundierung: gwik
alkalisch: flis
Gymnastik: jyas
Komma: kwom
Bewegung-bergab: hvat
Fehlgeburt: jwac
Schote: tcop
Spender: dzon
Mangan: hzem
Psychologe: syos
Chlor: clos
Tastatur: kyoc
Elite: zyit
Parenthese: pfaf
Rugby: rwoc
Geschwür: jlon
gebeugt: hxit
knabbern: nres
Quant: fwam
Pullover: swek
evolutionär: fwis
Notation: nyoc
prallen: tcuf
Präparation: drec
Cache-Speicher: kcep
linear: lyec
Antimon: trum
superessive-Fall: psek
Tumor: twom
Erosion: cyos
Alpha: flaf
Nabel: nwip
immun: myip
Grippe: flun
Brauerei: bjit
vereinfachen: slef
kürzen: bram
Delle: djen
bestechen: dwim
zwingen: brok
Socke: bzas
Film: fyim
Kosmos: klom
verschmutzen: hpuf
gesellig: gjen
Penis: zyis
Forstwirtschaft: lyif
Aluminium: lwum
Schwingung: zlon
Horoskop: ksop
auswerfen: dlek
Aufnahme: nluc
Nutznießer: byic
Delphin: dlip
Mörder: cyus
Säugetier: myaf
Indikator: swif
Dioxyd: dwis
Doppelpunkt: zlen
Bürokratie: brus
verzerren: jric
Kühlschrank: frip
archäologisch: cluk
nicht-akzeptabel: kwok
Spezifikation: pfis
Broschüre: pfut
Anthropologie: nlom
lecker: kyec
transitiv: txit
kauern: kwus
Sonnenblume: hzuc
Laus: glus
Ion: lyos
Tourismus: tyum
Modem: myom
Beschleunigung: jrun
verfälschen: tsoc
Emission: hmef
entführen: drap
überlappen: hwep
Friseur: pfes
Folklore: floc
kapillar: plek
Nationalismus: nlum
Gesäß: nros
Motiv: hmuf
Sublimat: slem
Frustration: xras
Kobalt: kwos
Hafer: gwam
Bewegung-flussaufwärts: trup
After: gyam
Rinder-: bwun
Flip: flip
Redundanz: dzun
Video: hwop
Boykott: bjik
Quiz: cwif
Eishockey: cwok
Guerilla: grip
Magnesium: hgem
Radar: drek
Schimpanse: hzif
Zuverlässigkeit: kwif
Rechteck: tyec
Seetang: klep
verallgemeinern: jlak
Sperrstunde: kfec
Homosexuelle: mlok
Szenario: srop
Formulierung: flus
Reinkarnation: nrom
entzünden: zlak
Uran: ryum
Fänger: kwes
koordinieren: kyop
Steuerzahler: nwaf
integriert: trep
meinte,: hzap
Gamma: hxam
Safari: fwim
Bewegung-flussabwärts: ht6n
Koeffizient: kfus
Überschrift: zlic
Analytiker: nles
Schachmatt: hzes
Einkaufszentrum: hmof
Wismut: bzim
Postkarte: psok
Konvergenz: bros
abschweifen: djet
Aktionär: ksem
Mikrobe: mrip
genital: jwit
morphologisch: mluk
Beta: byot
Jeans: gjis
Datenbank: tles
Taschenrechner: klus
Röntgenstrahl: ksef
parsen: zram
Umwelt-: zyen
Sigma: zyim
Trennung: hxon
Agenda: gres
Visum: bzis
Infrastruktur: nyuk
Glühwürmchen: gyun
Detektor: tyek
adaptiv: dyip
Biologe: byis
spleißen: pyec
Brom: brom
Palladium: plum
Schluckauf: kfok
Pastell-: psec
Zoo: zwac
Klinik: lyok
Konnotation: nwoc
Yoga: hjoc
Buchhandlung: byun
Therapie: grap
Nationalist: zlis
enthaupten: zlet
Ja: swec
problematisch: byam
Jazz: dzas
Wolfram: tsof
Terrorist: gwis
dribbeln: droc
Stoffwechsel: tlem
Alimente: lyaf
Wochenende: hfom
Chrysantheme: gzim
Impfstoff: byap
Motorrad: tyok
Mantra: dyot
Semester: myes
Heroin: gwon
Mappe: flap
Kathode: kfoc
Ideologie: dlec
Parken: prek
Theta: fret
Enttäuschung: hxis
Selen: clem
Radfahren: blek
Kortex: pros
Gleichwertigkeit: swaf
Strom-Relevanz-Marker: hxak
Flughafen: cwoc
amputieren: gyet
Basketball: bwet
Betrüger: mwip
Kakerlake: tlek
Chrom: hgom
Liter: hl6t
dennoch: nwec
Hormon: cwom
fehlerhaft: tluc
perforieren: prec
Animismus: nyom
Vieleck: cloc
Feminist: hfes
konjugieren: kcop
Euro: dros
Ginseng: hjes
Algorithmus: hlof
Laser-: lwes
Drogerie: dlot
Millimeter: mlem
biegen: flek
Anode: nlok
Nuance: hzus
Teilzeit: prem
Empfindlichkeit: nyec
Vorführer: drom
Helium: clum
zweisprachig: dzic
Akronym: hqim
initialism: nl6m
Gerundium: gros
Plasma: psem
Chromosom: rwom
Ordinal-: rwok
Kilometer: klum
Fax: tfes
Genetik: nwek
Sommersprosse: frek
Schraubendreher: dres
Brokkoli: blok
Präteritum: xrit
Vitamin: tyem
Cadmium: kyem
Bomber: bwoc
grafischen: gjik
Titan: dyim
protzen: clec
Lambda: lwem
Freundin: pcem
kopulieren: kyuk
Sanduhr: tlus
Empathie: mlif
Bor: bres
Hubschrauber: cwet
Tellur: tlum
Frist: jyic
ausrichten: gwic
Zentimeter: hfem
Molybdän: mlom
Lithium: tfim
Multimedia: myum
aktualisieren: dyet
Kalorie: clom
Roboter: ryoc
Hausaufgaben: groc
Logarithmus: grom
Gottesanbeterin: gzas
installieren: nwut
Amino: myoc
Glyphe: glif
aorist: pyos
Ökologie: plec
sophisticate: flok
Marihuana: bjam
Mikro: mrom
Kilogramm: lwom
zu-viel-essen: jrot
berechenbar: dzik
Pizza: zyas
lauschen: zris
Linguistik: bwis
Haarschnitt: braf
Iridium: ryom
Rassismus: gwim
optimal: gyim
Industrialisierung: drif
Hauptsitz: krup
Cer: zrim
kongruent: nrum
partitiv-Fall: pxik
Kassette: ksep
Willenskraft: blot
dimensional: dzen
Parameter: rwet
synchronisieren: nrop
maximieren: dzim
Seminar: mwec
Disko: dyok
Neon-: nyok
Osmium: hzom
Offenbarung: hp6n
plagiieren: lyap
Artefakt: rwek
Reaktor: fyet
Oregano: ryop
Plutonium: pwum
Yttrium: tyom
Unterstützten: hxat
Benutzername: mrum
Doktorand: zrot
rechter-Flügel: dwaf
Argon: jros
Phobie: hxot
sozialisieren: sluk
Globalisierung: bluc
Wellenlänge: hnef
kodieren: kfom
recyceln: psoc
Neustart: nrek
Hepatitis: pyes
Wulst: fros
Chemotherapie: myep
Modulo: mwok
Proton: zwot
Diskette: dwet
Milligramm: mlum
Pixel: psep
Tantal: twem
solute: hjot
Völkermord: nyos
Raubtier: rwes
Gallium: glem
Zirkonium: hzum
Ermittler: txin
nichtlineare: nlem
Schädlingsbekämpfungsmittel: pyif
Beryllium: brem
Neuron: nrus
prädikativ: pxit
Unterhose: tlif
Fakultät: kref
Neutron: zrut
Niob: nwom
Germanium: hjem
Halbmetall: tlop
stellen-auf: dlap
prolative-Fall: hl6k
Biodiversität: jwic
Joystick: jyok
Antibiotikum: twok
Aktinium: gjim
Astronaut: srof
Außerirdische: tyes
spinös: hwup
Marathon-: mrof
Ytterbium: zwim
Autismus: tyif
ionisieren: nlof
Radon: cwos
nerium: nrem
Epidemiologie: pwip
hohes-Alter: lyuc
Camping: kyep
gestreift: drip
Indium: nyum
veridical: hvik
Webseite: bwes
Koran: kwek
Besteck: fwet
n-ter-Wurzel: tfec
Lawrencium: lyem
Bürgerrechte: glip
Mobiltelefon: mlof
gelähmt: twoc
Protaktinium: prum
Strahlung: hd6n
abhängen-auf: pxin
Thorium-Atom: hxim
blau--jean: bjun
Zimmerpflanze: hxas
individuell: dvit
Flussstrom: lwuk
Dreipunkt: ht6t
menschlicher-Körper: hn6n
Physik: bzik
Verkauf-Geschäft: hxan
Cäsium: hs6m
lange-vor: hqan
Kalkulationstabelle: hxet
Einheit-Punkts: hn6m
kompilieren: ml6n
Binär---Wert: vrim
Mensch-Sein: nyus
durch-Mittel-von: hvan
depan-dari: pxat
Praseodym: pyom
Karton: kxat
endlich-Verb: hqik
Versuch-Nummer: hr6n
Profi-Satz: hr6t
Kritiker: hk6k
Verpackung: pxas
Unbeständigkeit: pxan
beim-die-meisten: txas
Descriptor: drop
Neodym: nyem
Freundschaft: hvit
lesen-nur: xyak
gründet: xwan
gnomic-Stimmung: kxin
Phonem: hxom
Rationalität: xlit
phonologisch: xlin
Speise--Zimmer: hxac
Leben-Zimmer: hxic
zentrisch-Fall: zrik
vor-hodiernal: hx6n
geduldig-Fall: hqak
schräg-Fall: bwok
ländlich-Bereich: hqat
recurse: hr6s
Mitte-Stimme: dyos
meitnerium: hm6m
Briefträger: hvak
unverbindlich: kxit
Stock-Markt: xrak
identifizierbar: hxap
Tor-auslösen: krof
eine-Sekunde: hxen
geberischen-Fall: dvak
Ration: hr6c
nicht-Mensch: hg6n
Leben-Ding: hvic
auch-wenig: hxut
Kino: hvin
hassium: xyim
abschwäche: ty6t
multal-Nummer: ml6m
milchig-Weg: txam
Neptunium: nwem
Ghostwriter: txik
trans-Ziffer: ts6s
narren-um: hqun
Americium: myem
Morgen--Ruhm: txan
Feuerwehrmann: xran
berkelium: blem
Galaxis-Geschlecht: kxan
nobelium: blum
Tschüss: hvac
Buddhismus: hfum
fermium: frem
cyan: xyan
Soja: syof
Verteiler: qrit
Streikbrecher: txak
Prozessor: ples
Abessiv-Fall: bvak
Adessiv-Fall: dvik
zu-Fall: kxak
Agens-Fall: dvek
rutherfordium: hr6m
Antikörper: txip
wie-viel-wie: hjos
Agent-auslösen: hg6t
Darsteller-Rolle: xram
Ethidium-: txim
verbreitet-Geschlecht: hk6n
Begleiter: kl6n
Distel: kxam
francium: fyam
Erbium: ry6m
passiv-Stimme: xyis
Astat: hqit
Kauen-Gummi: hqam
Star-Geschlecht: hqin
Zitat-bilden: ht6m
Curium: jrim
Comic: kxis
farbenblind: hqon
Eulersche---Nummer: hl6m
guckt-mal-beim: kxas
Fußgängerübergang: pwok
Schlachtfeld: txat
Autofahrer: vrit
Kurzschluss: txok
verbal-Substantiv: hvis
Schrei-aus: hk6t
statistisch: xyit
Joghurt: txot
Xenon: hs6n
hypnotisieren: hxif
nehmen-aus: hxaf
Klausel--tail: hxok
direkt-Objekt: dwot
Lebensmittelgeschäft-Geschäft: kxun
bestehen-von: hm6t
ergative-Fall: gvik
in---Sprache: txic
aus-erster-Hand: pxam
Lokativ-Fall: hqok
Pool: slup
adverbial-Fall: vlak
besichtigen: hqas
Fernsehen-Set: ht6s
Finale-Teilchen: xlik
evitative-Fall: hvek
Rehabilitation: xlat
Regression: xris
Block-von-wohnungen: kxot
aufwachen-oben: hxup
Polizei-Offizier: ps6s
schwören---in: vran
Interviewer: qrat
Rhenium: ryem
Sprühdose: xres
besitzergreifend-Fall: kxik
Substantivierung: mlec
besessen-Fall: dzak
überladen: pxak
Hilfs--Verb: xyik
primär-Objekt: mlut
Computer-Virus: prus
Geschäftsperson: hqis
ein-Menschen: hqen
antessive-Fall: ts6k
Premierminister: pxis
Lutetium: lyum
Europium: rwum
emote: xrot
Volksmusik: zyik
Dichter: vwit
Post: pxot
angeblich: hvas
animieren-Geschlecht: hven
subessive-Fall: bvik
Gaspedal: glep
Polarität: pr6t
Fahrzeug-Geschlecht: vlin
Mineral-Geschlecht: xrin
Verb---Endung: hvif
leidenschaftlich: pc6n
Samarium: sr6m
Moderator: hs6t
imaginären-Einheit: xyin
Lichtgeschwindigkeit: kxac
Luftwaffe: hxes
einfühlsam-Freude: pfec
kritischer-Punkt: qyit
Vollzeit: hxem
Hafnium: xyam
Hemmung: hn6s
Veränderung-von-Event: qrin
Holmium: xlim
anders-Event: hf6t
Universum-Geschlecht: hvip
Gegend-Geschlecht: kxen
virtuell-Maschine: hvim
Forschung-Geschlecht: txen
künstlerisch-Geschlecht: ts6n
crastinal-Tempus: sl6t
abstrakt-Geschlecht: srep
exocentric-Fall: zrek
transitiv-Verb: txif
Morphem: tfom
Chauvinist: dvis
Vergangenheit-perfektiv: xrat
beruflich: hy6n
indirekt-Rede: tyoc
zweite-Sprache: draf
zu-Sein: txis
Friedhof-Verschiebung: vrak
Kollektiv-Substantiv: hxos
absolutive-Fall: bvuk
geduldig-auslösen: tr6t
selbst-Vertrauen: hs6s
Kot: hzos
reflexiv-Stimme: hf6s
unpersönlich-Verb: hxek
seaborgium: br6m
white-space: hxep
modal-Fall: dlok
unbelebt-Geschlecht: hj6n
kausativ: qran
propositive-Stimmung: psom
elektrisch-Strom: tr6n
assoziativ-Fall: nwok
Superlativ-Fall: tluk
auch-viel: xyut
Planeten--Geschlecht: pxen
lebhaft-Karikatur: nwuk
reziprok-Stimme: vrik
Gesetze-erlassen: hqaf
beim-am-wenigsten: vlas
grammatisch--Fall: qrak
Benutzer: pxut
Ader-benefactive: kfef
Torwart: hgop
:-except-for: kcef
Nenner: dvan
else-if: lyek
seitwärts: hx6s
gegenseitig: dles
aufeinanderfolgende-Klausel: lyuk
abnutzen: hxun
Shorts: ht6k
Dysprosium: prom
bald-Zukunft-Tempus: rwec
si-Einheiten: vyin
Krypton: kxon
mendelevium: dlem
applicative-Stimme: hp6s
Antipassiv-Stimme: tsef
weiter-Aspekt: ht6p
Strahlungskrankheit: hr6k
necessitative-Stimmung: hn6t
Single-Aktion-Verb: hqek
Triebwagen: xlak
Superlativ-Grad: tlup
Existenz-Klausel: hs6k
Californium: kf6n
Geschenk-Partizip: vrat
leuchtend-Intensität: hc6t
singulative-Nummer: slus
grammatisch--Objekt: hy6t
passiv-Partizip: vris
übertrieben-Dauer: kxic
kritischem-Fluid: sr6t
Menge-von-Substanz: ks6t
postpositional-Fall: pxok
Wahl--Quantor: lwif
Gadolinium: dl6n
epenthetic-Morphem: hp6m
negatory-Quantor: nwif
einsteinium: ny6n
künstlich-Sprache: txac
verbindend-Teilchen: qrik
entfernt-Zukunft-Tempus: twec
frequentative-Aspekt: hfep
distributive-Pronomen: bvin
Ansprache-Zustimmung: hk6m
kahl: blos
Vorort: syum
Universal--Quantor: vlit
Computer-Programmierung: mr6m
Fernsehen-Programm: tr6m
Floating-Point---Zahl: hvun
existentielle-Quantor: tl6t
das-Tag-nach Morgen: dwek
Alternative-Quantor: lw6t
schlecht-gelaunt: hdup
Vergangenheit-passiv-Partizip: hp6t
das-Tag-Vor gestern: txet
Lokativ-Richtungs--Fall: tc6k
kontra-bedingt: ht6c
