bendratis: hnit
žvyras: grik
prijuostė: tyen
planeta: gren
lentyna: claf
ventiliatorius: flon
tropinis: hjip
fazė: fwas
savavališkas: rwen
ištarti: kfun
gyvsidabris: krok
slinkti: hrem
savižudybė: tcos
reporteris: prot
atimti: hpok
kvalifikuotas: klun
balkonas: blik
šakės: fras
darbuotojas: mlek
darbdavys: myot
plotis: jrak
suirzęs: djit
apkaltinti: klot
pensija: pyen
veiksmažodis: kres
beždžionė: mwon
priimtinas: hwek
parašas: tlim
ortodoksinis: rwos
ironija: fron
medelynas: nrap
nenoras: jlan
importas: tyot
deglas: croc
gramatika: gjak
užstatas: gyat
kolonijinis: plon
jachta: jyat
logiškai: kwec
kupolas: kwun
storis: hfot
užsispyręs: cyon
raumuo: hmup
dydis: ryam
patrinti: ryos
bailiai: rwam
reikmenys: gwac
skrebutis: tros
pelė: myus
skiemuo: slim
paglostyti: prap
dialogas: dlaf
neutralus: nrot
darbštumas: dwin
prieštaravimas: trot
pasiekti: kfic
ožka: byak
klestėti: hfet
primesti: mlon
anoniminis: nwim
formalus-registruotis: frit
veršelis: hbof
vadovas: mwut
išlydyti: hjec
panaikinti: flas
skėtis: gras
bagažinė: bzut
mineralinis: mrim
paliaubos: crus
antis: hbok
planavimas: pfam
muilas: hsuf
lėlė: gwak
skeletas: klet
vila: blis
siuvimas: jlin
suderinti: dyak
virdulys: kset
brandus: mruc
triušis: kruc
dirigentas: nwot
priklausomybė: djat
žaidėjas: jlic
vabzdys: pset
restoranas: cret
pelėda: lwun
radikalus: djik
gyventojas: zwin
drakonas: dron
girdimasis-pagrįstas-įrodymu: drot
ištroškęs: kyos
užgaišti: dren
skaičiavimas: glun
reguliavimas: ryim
meras: mlap
mažuma: mric
įsigijimas: dwon
veteranas: bren
orkestras: ryes
bekonas: bjin
nenauda: zwat
audinys: frap
muzikantas: gzik
protiškai: hnep
jungtukas: nyon
netinkamas: nrip
architektas: tsek
citrina: nyim
kosulys: kcos
galvos-skausmas: crek
nuomininkas: ryet
vaisingumas: srun
išgydyti: hfoc
devyniasdešimt: nwon
atsitiktinis: hbec
šaukštas: kcek
balionas: blon
kreida: hfip
Netiesiogiai-pagrįstas-įrodymu: nlet
leidėjas: pcot
actas: sruk
uosis: fyec
užpildantis: slek
atgaivinti: nrut
jautrus: kfim
tunelis: tfun
dėlionės: hpef
mechanizmas: mwim
matematika: gzit
blukinti: frun
kepenys: jwin
sublative-atvejis: bwik
panirti: dris
vienetas: twim
monopolija: hnop
lošimas: hgup
povandeninis-laivas: bzin
žemės-drebėjimas: hbem
laboratorija: brot
kamštis: kruk
savarankiškai-kontrolė: syot
Buda: hbus
megzti: bjat
ambasada: blas
toliausiai: sres
deklaratyvus-nuotaika: drim
stimulas: tyuc
šokoladas: clot
sutapimas: tyon
pirštinė: gwat
atsiklaupti: hjek
geografija: hjif
investicija: nwes
žodinis: mrec
analogija: nlip
pasaulietinis: srek
vanagas: blap
psichologija: nloc
įkabinti: gjan
metalo-laužas: krep
vaidmuo: cyum
dozė: hdos
lašiša: slom
pudingas: pwun
magnetinis: gyik
siurblys: pcom
deguonis: ksip
pažymėjimas: tfot
medalis: hmem
retorika: trok
džiržginti: rwap
irkluotojas: dyas
teleskopas: trip
karoliai: clek
rašyba: prif
viskis: hwos
gluosnis: hwof
kupranugaris: hlum
mėgėjas: myet
išeiti: crec
biografija: brif
asilas: gzac
kas-mėnesį: mwis
ignoruoti: nruk
atostogos: byit
spragtelėjimas: lyik
ovalus: twon
elastingas: lyet
žodynas: kfon
kumpis: gzam
vaivorykštė: rwun
vartoti: kcum
nerija: tcup
bakas: trek
kolega: clok
drugys: trif
schema: graf
dvynys: jwat
nepriklausomai: trem
bambukas: hbum
prekiautojas: jlat
kaupimas: kles
inspektorius: nyet
kąsnelis: hyos
košmaras: hbom
uogienė: gjam
muziejus: mrem
abėcėlė: lwam
sklaida: zras
reidas: crip
atskleisti: clus
puvinys: fraf
agresyvus: gris
trintis: mroc
prieplauka: gyac
voras: brik
bulvės: trut
peržiūrėjimas: cwon
godumas: jlac
pirmalaikis: ryot
daugintis: gzan
sukinys: pcip
statistika: tsok
kalendorius: klem
skyrimas: nwen
trilijonas: tlos
mansarda: tlok
teigiamas-nuotaika: rwim
programos: pfen
nominalus: nlon
nepasitenkinimas: sraf
infekcija: hfok
ąsotis: krot
trūkčioti-pečiais: cyok
pradininkas: gzin
praleidimas: nlif
kopūstai: glic
Atletiškas: tlet
girtumas: mrut
saviskambių: hdof
svirtis: lwek
senatorius: syem
rainelė: nrif
skruzdė: mwam
klaidą: hbop
nėščia: grim
nusodinti: hjet
kulkšnis: tcok
klasifikacija: glik
kintamas: prim
suvynioti: ryap
garbanotas: krec
siera: hsef
diktuoti: dwik
atsirasti: brun
varlė: fram
perdėtas-atvejis: twek
kempinė: hjen
erzina: djon
voverė: slip
šlifuoti: zyin
irrealis-nuotaika: flim
vulkanas: glam
patalpoje: gron
išnaudoti: kloc
geologinis: jlik
pasas: psop
amoralus: mlet
biskvitas: hbuk
bendradarbiavimas: kros
tabletė: tlot
poilsis: kces
atomas: trom
AIDS: hzip
piramidė: psim
ciklas: swok
plaukeliai: hnup
neteisėtas: hjaf
letena: pfap
drovumas: crom
užtemimas: klip
liutnia: lwap
šluota: srum
skydas: mwen
astronomija: tcom
labirintas: blen
stipendija: bwit
vėžlys: kfuc
patarėjas: dwak
pluoštas: fwic
Kriketas: jrik
karvelis: ksom
pritaikymas: dyon
trikampis: tfon
iždininkas: tsen
vandenilis: jron
trapus: hfuk
spausdintuvas: pyet
droselinė-sklendė: tcof
lėtinis: gzon
susidoroti: slaf
dilema: dlim
inžinerija: jyin
fotoaparatas: hkef
atsiprašyti: pluc
laižymas: lwet
šokėjas: dret
migracija: mres
tenisas: tces
stuburas: clip
mailius: zrac
staklės: tfuc
dūris: twuc
slaptažodis: psaf
pusrutulis: praf
strategija: zrit
kvarcas: krus
žirklės: jris
patrulis: proc
ledynas: lwic
pusiaukelėje: dwam
memorandumas: mwap
kūgis: kwuc
simetrija: hzut
gamintojas: zrak
atsakovas: fwik
mečetė: djis
Šachmatai: cres
rinkliava: htof
vyšnių: tref
paplitęs: kfen
suklupti: tfok
sunkvežimis: ryok
garstyčių: mros
procentų: pfet
aukcionas: jlam
sietas: srif
netvirtas: swoc
magnetas: gjat
žįsti: syus
islamas: slum
pasistiebus: twip
membrana: mlen
skustis: clet
gitara: gjit
blizgus: bzan
guoba: hyem
sklęsti: kcom
įvardis-žymeklis: ryec
pagrindinis: pcus
prieskonis: zlat
perdarynė: jlas
vežėjas: zyac
vibracija: bron
erzinti: trus
plūgas: hlom
fiziologinis: zlik
latakas: hgok
kometa: cyet
viduramžių: dyic
žvirblis: grec
kompensuoti: twet
plastmasinis: psuk
išnaša: cyot
orbita: rwot
kuklus: twum
golfas: hgof
nulis: zrun
lustas: tcep
engti: prok
žiovulys: gjac
nelygybė: gwas
molis: tloc
keramika: frik
namų-šeimininkė: hgif
rugiai: rwem
nepaklusti: hyes
tolerantiškas: glon
embrionas: brec
kalnakasys: jren
ploti: zlac
mielės: lyim
premija: pfim
slyva: plem
bankrotas: byas
drėkinimas: rwif
mėta: nyun
kapitalistas: glis
elastingumas: hlef
ryklys: gyak
naujokas: drut
saugojimas: zren
realizmas: cles
imbieras: djic
greitosios-pagalbos-automobilis: blus
panašus: kwip
piniginė: bjap
kraipytis: glim
mokslininkas: gyis
nusiaubti: grot
šaltakraujiškumas: hwum
radijo: href
nesvarbus: zlit
pupa: bwam
neoficialus: frim
dukraitė: gyut
nesutarimas: dloc
kepsnys: tfek
azotas: zron
skustuvas: hjut
kontrastingos: krom
propaganda: pcoc
fejerverkas: fris
popmuzika: pcop
nusirengti: crop
vaga: cruc
žalingas: hzaf
judaizmas: hjum
papildymas: pluk
lęšis: lyes
pegative-atvejis: pwek
Vėžys: kfes
pėstininkas: pyek
lektorius: zyat
nutekėjimas: hzuk
kvalifikuoti: krif
tankis: djot
indukcija: dyis
kramtyti: htuf
kalbus: bzit
omaras: hgos
nuolaida: dyut
taksi: tsuk
hierarchija: crem
nuvarytas: gyec
urzgimas: glaf
driežas: lyis
krioklys: crof
apviliantis: djak
veto: frot
pirmininkavimas: ryip
pirkėjas: mrif
galonas: jlen
uodas: mruk
nukrypimas: dwen
ristis: lyut
mozaika: myok
kištukas: plok
pritūpęs: pcuk
bakalėjos: ksoc
komunistas: myos
stebinti: mwek
prosecutive-atvejis: rwuk
žvaigždynas: nlos
diktatorius: dwit
susirūpinimas: tyet
palydovas: tlec
šlepetė: hlop
priebalsis: fyon
apytikslis: tsif
bedarbis: byet
rėmėjas: sros
lotosas: lwot
salotos: sles
chloridas: lwok
bakterijos: bwic
lipnus: pcek
komponentas: bwon
branduolys: klec
apsimesti: bjak
baitų: bzet
sekrecija: sruf
aiškiai: pres
sutapti: mloc
baletas: blet
šlapimas: mrus
česnakas: lyun
praėjo: hguc
ekonomika: kcem
vidurinė-klasė: hdom
judrus: gjic
žnyplės: htef
skalbiniai: lyoc
žemuogė: srem
miesto: pcos
varžyti: mlaf
užrašų-knygutė: tfut
albumas: zlam
beisbolas: hbep
šnirpštimas: sluc
bufetas: hbuf
dalyvis: rwip
garažas: grek
diagnozė: djas
ramentas: ksuc
iškvosti: srom
Registracija: psuc
tirpus: jlun
fosforas: psof
struktūrinis: rwut
klijai: glum
disertacija: twes
amatininkas: clif
bananas: bwas
aksioma: kyom
šonkaulis: psos
nikelis: nyek
Pi: pyim
autobusas: bwos
cenzūruoti: swes
raketa: mlus
dešra: slos
manipuliacijos: nlut
pomidoras: tfet
sustiprinti: kfut
lizdas: syok
kalis: tsom
atgauti: prup
virtualus: zwit
algebros: gjas
dantistas: dzit
optinis: pcok
judintis: bzen
biologija: bwim
nedarbas: byim
vikšras: krum
solo: slof
naršyklė: bjac
Nuotolinis-praeitis-įtempti: nyot
istorinis-įtempti: crep
branduolinis: nluk
spektras: pyem
natris: syom
isterija: syes
globėjas: tyos
įkaitas: byik
moliūgas: gluk
raukšlėtis: kwuk
skaidrumas: tfif
smaigalys: swip
prioritetas: pcif
pėsčiasis: dyen
ateizmas: tsem
monitorius: mwot
rinkimų-apygarda: nlec
nekontroliuojamas: hkof
zondas: grok
platina: plip
dvigubas-skaičius: dlun
plaučių: pcep
Super: syup
vežimėlis: trop
vietoje: lyot
kurstyti: gzat
benzinas: plif
inkstas: grif
plėšikauti: bzac
įvertinimas: dlen
arsenas: syek
sraigė: nrok
žiogas: tsec
lygtis: fwen
socialistinė: swos
filtras: flot
sensorinis-pagrįstas-įrodymu nuotaika: hxin
išplėsti: kyot
skleisti: mwet
pasaitėlis: pwet
mandarinas: drun
menestrelis: hjok
plaučių-uždegimas: hnof
solidarumas: gret
vyris: cyif
išilginis: nruc
dividendas: dwun
raja: hkep
eksponentė: slop
nedarbingumas: dlif
manija: bwen
paskirstymas: pfun
fotografas: trof
delta: dlet
skaitmeninis: djim
kalė: brut
akies-vokas: hyop
įstrižainė: dyun
pasąmonė: byon
antakis: bruc
čiaudėti: pcec
labai-linksmas: dlis
induizmas: nwum
pabėgėlis: nyif
Pervežimas: cwot
baltymas: pwot
sąvartynas: hdop
tobulinti: flen
vemti: hwom
genas: gyen
pirmakursis: hdem
sociologija: syoc
skvošas: kwoc
žvejys: hfuc
regioninis: jyen
judėjimas-į-kalną: hvok
retrospektyvus: hxik
tornadas: gyon
inversija: nwos
televizija: twif
kubas: kfet
produktyvumas: pwuk
morka: krop
Molekulinė: mwuk
konglomeratas: glet
buhalteris: ksum
agurkas: kyok
orgija: drok
tirpiklis: jlet
fosfatas: psef
gruntas: gwik
šarminis: flis
gimnastika: jyas
kablelis: kwom
judėjimas-žemyn: hvat
persileidimas: jwac
ankštis: tcop
donoras: dzon
manganas: hzem
psichologas: syos
chloras: clos
klaviatūra: kyoc
elitas: zyit
įterptinys: pfaf
Regbis: rwoc
opa: jlon
fleksyjnych: hxit
kandinėti: nres
Quantum: fwam
megztinis: swek
evoliucinis: fwis
užrašymas: nyoc
atšokti: tcuf
skrodimas: drec
slėptuvė: kcep
linijinis: lyec
stibis: trum
superessive-atvejis: psek
navikas: twom
erozija: cyos
alfa: flaf
bamba: nwip
imuninis: myip
gripas: flun
alaus-darykla: bjit
supaprastinti: slef
sutrumpinti: bram
apmažinti: djen
sužavėti: dwim
priversti: brok
puskojinė: bzas
filmas: fyim
kosmosas: klom
teršti: hpuf
visuomeniškas: gjen
varpa: zyis
miškininkystė: lyif
aliuminis: lwum
svyravimas: zlon
horoskopas: ksop
kraustyti: dlek
įtraukimas: nluc
gavėjas: byic
delfinas: dlip
žudikas: cyus
žinduolis: myaf
rodiklis: swif
dvideginis: dwis
dvitaškis: zlen
biurokratija: brus
iškreipti: jric
šaldytuvas: frip
archeologinis: cluk
nepriimtinas: kwok
detalizavimas: pfis
lapelis: pfut
antropologija: nlom
skanus: kyec
pereinamas: txit
susigūžti: kwus
saulėgrąža: hzuc
utėlė: glus
jonų: lyos
turizmas: tyum
modemas: myom
pagreitis: jrun
klastoti: tsoc
emisija: hmef
pagrobti: drap
iš-dalies-sutapti: hwep
kirpėjas: pfes
folkloras: floc
kapiliarinis: plek
nacionalizmas: nlum
užpakalis: nros
motyvas: hmuf
sublimuoti: slem
nusivylimas: xras
kobaltas: kwos
aviža: gwam
judėjimas-Prieš-srovę: trup
išangės: gyam
jaučio: bwun
atvirkštinė: flip
atleidimas: dzun
video: hwop
boikotas: bjik
viktorina: cwif
ledo-ritulys: cwok
partizanas: grip
magnis: hgem
radaras: drek
šimpanzė: hzif
patikimumas: kwif
stačiakampis: tyec
rusvieji-dumbliai: klep
apibendrinti: jlak
komendanto-valanda: kfec
homoseksualus: mlok
scenarijus: srop
formulavimas: flus
reinkarnacija: nrom
užsidegti: zlak
uranas: ryum
gaudytojas: kwes
koordinuoti: kyop
mokesčių-mokėtojas: nwaf
integruota: trep
išreiškė-nuomonę,: hzap
gama: hxam
Safari: fwim
judėjimas-srovę: ht6n
koeficientas: kfus
antraštė: zlic
analitikas: nles
matas: hzes
prekybos-centras: hmof
bismuto: bzim
atvirukas: psok
konvergencija: bros
nutolti: djet
akcininkas: ksem
mikrobas: mrip
lyties: jwit
morfologinis: mluk
beta: byot
džinsai: gjis
duomenų-bazė: tles
skaičiuoklė: klus
rentgeno: ksef
išnagrinėti: zram
aplinkos: zyen
Sigma: zyim
Padalijimas: hxon
darbotvarkė: gres
viza: bzis
infrastruktūra: nyuk
žibukas: gyun
detektorius: tyek
prisitaikanti: dyip
biologė: byis
sudurti: pyec
bromas: brom
paladis: plum
žagsėti: kfok
pastelė: psec
zoologijos-sodas: zwac
klinika: lyok
konotacija: nwoc
joga: hjoc
knygynas: byun
terapija: grap
nacionalistas: zlis
nukirsti-galvą: zlet
Taip: swec
problemiškas: byam
džiazas: dzas
volframas: tsof
teroristas: gwis
driblingas: droc
medžiagų-apykaita: tlem
alimentai: lyaf
savaitgalis: hfom
chrizantema: gzim
vakcina: byap
motociklas: tyok
Mantra: dyot
semestras: myes
heroinas: gwon
aplankas: flap
katodas: kfoc
ideologija: dlec
automobilių-stovėjimo-aikštelė: prek
teta: fret
atoslūgis: hxis
selenas: clem
dviračių: blek
žievė: pros
lygiavertiškumas: swaf
dabartinis-aktualumas-žymeklis: hxak
oro-uostas: cwoc
amputuoti: gyet
krepšinis: bwet
apgavikai: mwip
tarakonas: tlek
chromas: hgom
litras: hl6t
vis-dėlto: nwec
hormonas: cwom
su-trūkumais: tluc
pradurti: prec
Animizmas: nyom
poligonas: cloc
feministų: hfes
sujungtas: kcop
euras: dros
ženšenis: hjes
algoritmas: hlof
lazeris: lwes
vaistinė: dlot
milimetras: mlem
lankstytis: flek
anodas: nlok
niuansas: hzus
ne-visą-darbo laiką: prem
jautrumas: nyec
demonstruotojas: drom
helis: clum
dvikalbis: dzic
akronimas: hqim
Sukurti: nl6m
gerundijus: gros
plazma: psem
chromosoma: rwom
kelintinis: rwok
kilometras: klum
faksas: tfes
genetika: nwek
šlakelis: frek
atsuktuvas: dres
Brokoliai: blok
būtasis-laikas: xrit
vitaminas: tyem
kadmio: kyem
bombonešis: bwoc
grafinis: gjik
titanas: dyim
švaistytis: clec
Lambda: lwem
draugė: pcem
poruotis: kyuk
smėlio-laikrodis: tlus
empatija: mlif
boro: bres
sraigtasparnis: cwet
telūras: tlum
terminas: jyic
lygiuoti: gwic
centimetras: hfem
molibdeno: mlom
ličio: tfim
daugialypė-terpė: myum
atnaujinimas: dyet
kalorija: clom
robotas: ryoc
namų-darbai: groc
logaritmas: grom
Mantis: gzas
įrengti: nwut
amino: myoc
glifas: glif
aoristas: pyos
ekologija: plec
padirbinėti: flok
marihuana: bjam
mikro: mrom
kilogramas: lwom
persivalgyti: jrot
nuspėjamas: dzik
pica: zyas
nusiklausyti: zris
kalbotyra: bwis
kirpimas: braf
iridis: ryom
rasizmas: gwim
optimalus: gyim
industrializacija: drif
Buveinės: krup
cerio: zrim
kongruentinis: nrum
dalijamasis-atvejis: pxik
kasetė: ksep
valios: blot
erdvinis: dzen
parametras: rwet
sinchronizuoti: nrop
maksimizuoti: dzim
seminaras: mwec
diskoteka: dyok
neonas: nyok
osmis: hzom
Trys-karaliai: hp6n
plagijuoti: lyap
artefaktas: rwek
reaktorius: fyet
raudonėlis: ryop
plutonis: pwum
itris: tyom
patobulintus: hxat
Vartotojo-vardas: mrum
magistrantas: zrot
Dešinysis-sparnas: dwaf
argonas: jros
fobija: hxot
bendrauti: sluk
globalizacija: bluc
bangos-ilgis: hnef
koduoti: kfom
pakartotinai-panaudoti: psoc
perkrauti: nrek
hepatito: pyes
toras: fros
chemoterapija: myep
modulį: mwok
protonų: zwot
diskelyje: dwet
miligramas: mlum
pikselių: psep
tantalas: twem
tirpinys: hjot
genocidas: nyos
plėšrūnas: rwes
galio: glem
cirkonio: hzum
nulėmėjas: txin
netiesinė: nlem
pesticidas: pyif
Berilis: brem
neuronas: nrus
predikatinis: pxit
apatinės-kelnaitės: tlif
faktorialas: kref
neutronas: zrut
niobio: nwom
germanis: hjem
Nemetāls: tlop
sudėti-apie: dlap
prolative-atvejis: hl6k
biologinė-įvairovė: jwic
kreiptuką: jyok
antibiotikas: twok
Actinium: gjim
astronautas: srof
esantis-už-žemės ribų: tyes
Głupek: hwup
maratonas: mrof
iterbis: zwim
autizmas: tyif
jonizuoti: nlof
radonas: cwos
Nerium: nrem
epidemiologija: pwip
senatvė: lyuc
stovyklavietė: kyep
dryžuotas: drip
indžio: nyum
Teisingą: hvik
Interneto-svetainė: bwes
Koranas: kwek
stalo-įrankiai: fwet
n-ojo-šaknis: tfec
lawrencium: lyem
civilines---teises: glip
Mobilusis-telefonas: mlof
paralyžiuotas: twoc
Protactinium: prum
radiacija: hd6n
priklausyti-apie: pxin
toris-atomas: hxim
mėlyna--Jean: bjun
namas-augalas: hxas
atskirai: dvit
srauto-srovė: lwuk
trigubas-taškas: ht6t
Žmogaus-kūnas: hn6n
fizika: bzik
mažmeninė-prekyba-parduotuvė: hxan
cezio: hs6m
ilgai-prieš: hqan
skaičiuoklės: hxet
vienetas--of--mas: hn6m
sudaryti: ml6n
dvejetainis-vertė: vrim
žmogaus-esamas: nyus
iki-priemonė-iš: hvan
depan-dari: pxat
praseodymium: pyom
kartonas: kxat
baigtinis-veiksmažodis: hqik
bandomasis-skaičius: hr6n
už-sakinys: hr6t
kritikas: hk6k
pakavimas: pxas
nepastovumą: pxan
prie-dauguma: txas
deskriptorius: drop
neodimio: nyem
draugystė: hvit
skaityti-tik: xyak
steigia: xwan
Gnomiczny-nuotaika: kxin
fonema: hxom
racionalumas: xlit
fonologinis: xlin
valgomasis-kambarys: hxac
gyvenimas-kambarys: hxic
orientuotas-atvejis: zrik
prieš-hodiernal: hx6n
pacientas-atvejis: hqak
įstrižas-atvejis: bwok
kaimo-plotas: hqat
recurse: hr6s
vidurys-balsas: dyos
meitnerium: hm6m
pašto-vežėjas: hvak
neįpareigojanti: kxit
ištekliai-rinka: xrak
atpažįstami: hxap
tikslas-gaidukas: krof
viena-sekundė: hxen
liacinės-atvejis: dvak
racionas: hr6c
ne-žmogaus: hg6n
gyvenimas-dalykas: hvic
per-daug-mažai: hxut
kino-teatras: hvin
hasis: xyim
attenuative: ty6t
multal-skaičius: ml6m
pieniškas-būdas: txam
neptūnus: nwem
svetimų-kalboje: txik
Trans-skaitvardis: ts6s
kvailioti: hqun
americį: myem
rytas-šlovė: txan
gaisrininkas: xran
berkelium: blem
galaktika-lytis: kxan
Nobelium: blum
iki: hvac
budizmas: hfum
fermis: frem
žydra: xyan
soja: syof
skirstytuvas: qrit
streiklaužys: txak
procesorius: ples
abessive-atvejis: bvak
adessive-atvejis: dvik
į-atvejis: kxak
agentive-atvejis: dvek
Rutherfordium: hr6m
antikūno: txip
kaip-daug-kaip: hjos
agentas-gaidukas: hg6t
aktorius-vaidmuo: xram
etidžio: txim
bendras-lytis: hk6n
accompanier: kl6n
dygminų: kxam
francis: fyam
erbis: ry6m
pasyvus-balsas: xyis
astatas: hqit
kramtomas-guma: hqam
žvaigždė-lytis: hqin
citata-forma: ht6m
Curie: jrim
komiksų-juostelės: kxis
neskiriantis-spalvų: hqon
euler's-numeris: hl6m
žiūrėti-prie: kxas
Crosswalk: pwok
mūšio-laukas: txat
automobilistas: vrit
trumpas-sujungimas: txok
žodinis-daiktavardis: hvis
šauksmas-iš: hk6t
statistiškai: xyit
jogurtas: txot
xenon: hs6n
hipnotizuoti: hxif
imti-nuo: hxaf
sąlyga-uodegą: hxok
tiesioginis-objektas: dwot
bakalėjos-parduotuvė: kxun
būti-apie: hm6t
ergatyvinis-atvejis: gvik
in--kalba: txic
iš-pirmų-rankų: pxam
vietininkas-atvejis: hqok
plaukiojimo-baseinas: slup
prieveiksminis-atvejis: vlak
sightsee: hqas
televizija-rinkinys: ht6s
galutinis-dalelė: xlik
evitative-atvejis: hvek
reabilitacija: xlat
regresija: xris
blokas-apie-Butai: kxot
pažadinti-aukštyn: hxup
policija-pareigūnas: ps6s
prisiekiu--in: vran
pašnekovas: qrat
renis: ryem
aerozolio: xres
savininkiškas-atvejis: kxik
nominalization: mlec
apsėstas-atvejis: dzak
užprašyti: pxak
pagalbinis-veiksmažodis: xyik
pagrindinis-objektas: mlut
kompiuterių-virusų: prus
verslo-žmogus: hqis
žmonės: hqen
antessive-atvejis: ts6k
ministras-Pirmininkas: pxis
lutecis: lyum
Europis: rwum
įsijausti: xrot
liaudies-muzika: zyik
poetas: vwit
paštas: pxot
manoma: hvas
pagyvinti-lytis: hven
subessive-atvejis: bvik
greičio-pedalas: glep
poliškumas: pr6t
transporto-priemonė-lytis: vlin
mineralinis-lytis: xrin
veiksmažodžio-priesaga--: hvif
aistringas: pc6n
samariu: sr6m
pagalbininkas: hs6t
įsivaizduojama-vienetų: xyin
greitis-nuo-šviesos: kxac
oro-pajėgos: hxes
empatiškas-džiaugsmas: pfec
kritinis-taškas: qyit
pilnas-laikas: hxem
hafnio: xyam
slopinimas: hn6s
pokytis-iš-renginys: qrin
holmis: xlim
kitoks-renginys: hf6t
visata-lytis: hvip
vietovė-lytis: kxen
virtualus-mašina: hvim
tyrimas-lytis: txen
meninis-lytis: ts6n
crastinal-įtempti: sl6t
abstraktus-lytis: srep
exocentric-atvejis: zrek
pereinamas-veiksmažodis: txif
Morpheme: tfom
šovinistas: dvis
praeitis-Tobulas: xrat
profesinis: hy6n
netiesioginis-kalbos: tyoc
antra-kalba: draf
į-būti: txis
kapinės-perėjimas: vrak
kolektyvas-daiktavardis: hxos
absolutive-atvejis: bvuk
pacientas-gaidukas: tr6t
savarankiškai-pasitikėjimas: hs6s
išmatos: hzos
sangrąžinis-balsas: hf6s
beasmenis-veiksmažodis: hxek
seaborgium: br6m
balta-erdvė: hxep
modalinis-atvejis: dlok
negyvas-lytis: hj6n
priežastinis: qran
propositive-nuotaika: psom
elektros-dabartinis: tr6n
asociatyvus-atvejis: nwok
aukščiausias-atvejis: tluk
per-daug-daug: xyut
planetinis-lytis: pxen
animacinis-karikatūra: nwuk
abipusis-balsas: vrik
leisti-įstatymus: hqaf
prie-mažiau: vlas
gramatinė-atvejis: qrak
vartotojas: pxut
šerdis-benefactive: kfef
vartininkas: hgop
:-except-for: kcef
vardiklis: dvan
dar---jei: lyek
į-šoną: hx6s
vienas-kitą: dles
nuoseklus-išlyga: lyuk
susidėvėti: hxun
šortai: ht6k
dysprosium: prom
greitai-ateitis-įtempti: rwec
si-vienetai: vyin
kriptonas: kxon
Mendelevis: dlem
TAIKOMOSIOS-balsas: hp6s
antipassive-balsas: tsef
Continuative-aspektas: ht6p
radiacijos-ligos: hr6k
necessitative-nuotaika: hn6t
vienas-veiksmas-veiksmažodis: hqek
Torpeda: xlak
aukščiausias-laipsnis: tlup
egzistencinis-išlyga: hs6k
kalifornis: kf6n
dovana-dalyvis: vrat
šviečiantis-intensyvumas: hc6t
singulative-skaičius: slus
gramatinė-objektų: hy6t
pasyvus-dalyvis: vris
perdėtas-trukmė: kxic
superkritinis-skystis--: sr6t
suma-iš-medžiaga: ks6t
postpositional-atvejis: pxok
pasirenkamas-quantifier: lwif
gadolinio: dl6n
epentetinis-morpheme: hp6m
Neigiamai-quantifier: nwif
einšteinis: ny6n
dirbtinis-kalba: txac
jungiamasis-dalelė: qrik
Nuotolinis-ateitis-įtempti: twec
dažninis-aspektas: hfep
skirstomasis-įvardis: bvin
Kreipimasis-susitarimas: hk6m
nuplikęs: blos
priemiestis: syum
universalus-quantifier: vlit
kompiuteris-programavimas: mr6m
televizija-programa: tr6m
slankaus-kablelio-numeris: hvun
egzistencinis-quantifier: tl6t
diena-po-rytoj: dwek
alternatyva-quantifier: lw6t
Gderliwy: hdup
praeitis-pasyvus-dalyvis: hp6t
diena-prieš-vakar: txet
vietininkas-krypties-atvejis: tc6k
priešingos-sąlyginis: ht6c
