berfenw: hnit
gohebydd: prot
amddifadu: hpok
medrus: klun
balconi: blik
fforc: fras
cyflogai: mlek
cyflogwr: myot
lled: jrak
llidiog: djit
cyhuddo: klot
pensiwn: pyen
ferf: kres
mwnci: mwon
derbyniol: hwek
llofnod: tlim
uniongred: rwos
eironi: fron
meithrinfa: nrap
amharodrwydd: jlan
mewnforio: tyot
tortsh: croc
gramadeg: gjak
blaendal: gyat
trefedigaethol: plon
cwch-hwylio: jyat
ganlyniadol: kwec
cromen: kwun
trwch: hfot
styfnig: cyon
cyhyrau: hmup
maint: ryam
rhwbio: ryos
llwfr: rwam
harnais: gwac
tost: tros
llygoden: myus
sillaf: slim
pat: prap
deialog: dlaf
niwtral: nrot
diwydrwydd: dwin
gwrthddywediad: trot
cyflawni: kfic
gafr: byak
ffynnu: hfet
gosod: mlon
dienw: nwim
ffurfiol-gofrestru: frit
llo: hbof
llawlyfr: mwut
toddi: hjec
dileu: flas
ymbarél: gras
lesewch: bzut
mwynau: mrim
cadoediad: crus
hwyaden: hbok
cynllunio: pfam
sebon: hsuf
ddol: gwak
sgerbwd: klet
fila: blis
gwnïo: jlin
cysoni: dyak
tegell: kset
aeddfed: mruc
cwningen: kruc
arweinydd: nwot
dibyniaeth: djat
chwaraewr: jlic
pryfed: pset
bwyty: cret
tylluan: lwun
radical: djik
preswylydd: zwin
dragon: dron
clywedol-tystiolaethol: drot
sychedig: kyos
Linger: dren
cyfrifiad: glun
rheoleiddio: ryim
maer: mlap
lleiafrifol: mric
caffael: dwon
cyn-filwr: bren
gerddorfa: ryes
cig-moch: bjin
anfantais: zwat
ffabrig: frap
cerddor: gzik
yn-feddyliol: hnep
cyd: nyon
annigonol: nrip
pensaer: tsek
lemon: nyim
peswch: kcos
cur-pen: crek
tenant: ryet
ffrwythlondeb: srun
gwella: hfoc
naw-deg: nwon
ar-hap: hbec
llwy: kcek
balŵn: blon
sialc: hfip
casgliadol-tystiolaethol: nlet
cyhoeddwr: pcot
finegr: sruk
lludw: fyec
expletive: slek
adfywio: nrut
dueddol: kfim
twnnel: tfun
pos: hpef
mecanwaith: mwim
mathemateg: gzit
pylu: frun
afu: jwin
sublative-achos: bwik
dip: dris
uned: twim
monopoli: hnop
gamblo: hgup
llong-danfor: bzin
daeargryn: hbem
labordy: brot
corc: kruk
hunan-rheoli: syot
Buddha: hbus
wau: bjat
llysgenhadaeth: blas
pellaf: sres
declarative-hwyliau: drim
ysgogiad: tyuc
siocled: clot
cyd-ddigwyddiad: tyon
maneg: gwat
penlinio: hjek
daearyddiaeth: hjif
buddsoddiad: nwes
llafar: mrec
cyfatebiaeth: nlip
seciwlar: srek
hebog: blap
seicoleg: nloc
Caewch: gjan
sgrap: krep
rôl: cyum
dos: hdos
eog: slom
pwdin: pwun
magnetig: gyik
pwmp: pcom
ocsigen: ksip
tystysgrif: tfot
medal: hmem
rhethreg: trok
crafu: rwap
rhwyf: dyas
telesgop: trip
mwclis: clek
sillafu: prif
wisgi: hwos
helyg: hwof
camel: hlum
amatur: myet
allanfa: crec
bywgraffiad: brif
asyn: gzac
misol: mwis
anwybyddu: nruk
ystod-y-gwyliau: byit
cliciwch: lyik
hirgrwn: twon
elastig: lyet
geiriadur: kfon
ham: gzam
enfys: rwun
defnyddio: kcum
tafod: tcup
tanc: trek
cydweithiwr: clok
glöyn-byw: trif
siart: graf
dau-wely: jwat
yn-annibynnol: trem
bambŵ: hbum
ddeliwr: jlat
cronni: kles
arolygydd: nyet
damaid: hyos
hunllef: hbom
jam: gjam
amgueddfa: mrem
wyddor: lwam
gwasgariad: zras
cyrch: crip
datgelu: clus
pydredd: fraf
ymosodol: gris
ffrithiant: mroc
pier: gyac
pry-cop: brik
tatws: trut
adolygu: cwon
trachwant: jlac
cynamserol: ryot
lluoswch: gzan
sbin: pcip
ystadegau: tsok
calendr: klem
enwebiad: nwen
triliwn: tlos
atig: tlok
gadarnhaol-hwyliau: rwim
ceisiadau: pfen
nominal: nlon
anfodlonrwydd: sraf
haint: hfok
piser: krot
shrug: cyok
arloeswr: gzin
hepgoriad: nlif
bresych: glic
athletaidd: tlet
meddwdod: mrut
idiophone: hdof
lifer: lwek
seneddwr: syem
iris: nrif
ant: mwam
bug: hbop
feichiog: grim
gwaddod: hjet
ffêr: tcok
dosbarthiad: glik
newidyn: prim
lapio: ryap
cyrliog: krec
sylffwr: hsef
arddweud: dwik
yn-dod-i'r amlwg: brun
llyffant: fram
gormodol-achos: twek
sbwng: hjen
blino: djon
wiwer: slip
falu: zyin
irrealis-hwyliau: flim
llosgfynydd: glam
dan-do: gron
manteisio: kloc
daearegol: jlik
pasbort: psop
anfoesol: mlet
bisged: hbuk
cydweithredu: kros
tabled: tlot
ymlacio: kces
atom: trom
cymhorthion: hzip
pyramid: psim
cylch: swok
nap: hnup
anghyfreithlon: hjaf
paw: pfap
swildod: crom
Eclipse: klip
liwt: lwap
banadl: srum
panel: mwen
seryddiaeth: tcom
ddrysfa: blen
ysgoloriaeth: bwit
crwban: kfuc
ymgynghorydd: dwak
ffibr: fwic
criced: jrik
colomen: ksom
addasu: dyon
triongl: tfon
trysorydd: tsen
hydrogen: jron
bregus: hfuk
argraffydd: pyet
tagu: tcof
cronig: gzon
ymdopi: slaf
penbleth: dlim
peirianneg: jyin
camera: hkef
yn-ymddiheuro: pluc
llyfu: lwet
dawnsiwr: dret
mudo: mres
tennis: tces
asgwrn-cefn: clip
ffrio: zrac
gwŷdd: tfuc
stab: twuc
cyfrinair: psaf
hemisffer: praf
strategaeth: zrit
cwarts: krus
siswrn: jris
patrôl: proc
rhewlif: lwic
hanner-ffordd: dwam
memorandwm: mwap
côn: kwuc
cymesuredd: hzut
manufacturer: zrak
diffynnydd: fwik
mosg: djis
gwyddbwyll: cres
toll: htof
ceirios: tref
eang: kfen
baglu: tfok
lori: ryok
mwstard: mros
y-cant: pfet
arwerthiant: jlam
ridyll: srif
anwastad: swoc
magnet: gjat
sugno: syus
islam: slum
flaenau-eich-traed: twip
pilen: mlen
eillio: clet
gitâr: gjit
sgleiniog: bzan
llwyfen: hyem
esgyn: kcom
rhagenw-marciwr: ryec
stwffwl: pcus
sbeis: zlat
mechnïaeth: jlas
cludwr: zyac
dirgryniad: bron
hudo: trus
aradr: hlom
ffisiolegol: zlik
gwter: hgok
comed: cyet
ganoloesol: dyic
aderyn-y-to: grec
wneud-iawn: twet
plastig: psuk
troednodyn: cyot
orbit: rwot
gynnil: twum
golff: hgof
sero: zrun
sglodion: tcep
orthrymu: prok
yawn: gjac
anghydraddoldeb: gwas
man-geni: tloc
crochenwaith: frik
gwraig-tŷ: hgif
rhyg: rwem
anufuddhau: hyes
goddefgar: glon
embryo: brec
glöwr: jren
yn-cymeradwyo: zlac
burum: lyim
premiwm: pfim
eirin: plem
methdaliad: byas
dyfrhau: rwif
mintys: nyun
gyfalafol: glis
elastigedd: hlef
siarc: gyak
recriwtio: drut
storio: zren
realaeth: cles
sinsir: djic
ambiwlans: blus
cymaradwy: kwip
waled: bjap
grimace: glim
gwyddonydd: gyis
perfedd: grot
equanimity: hwum
radio: href
amherthnasol: zlit
ffa: bwam
anffurfiol: frim
wyres: gyut
anghytundeb: dloc
stêc: tfek
nitrogen: zron
rasel: hjut
cyferbyniol: krom
propaganda: pcoc
tân-gwyllt: fris
pop: pcop
dadwisgo: crop
rhych: cruc
niweidiol: hzaf
Iddewiaeth: hjum
ategu: pluk
lens: lyes
pegative-achos: pwek
canser: kfes
gwystlo: pyek
darlithydd: zyat
gollwng: hzuk
yn-gymwys: krif
dwysedd: djot
cynefino: dyis
cnoi: htuf
siaradus: bzit
cimychiaid: hgos
disgownt: dyut
tacsi: tsuk
hierarchaeth: crem
jâd: gyec
y-chwyrn: glaf
madfall: lyis
rhaeadr: crof
siomedig: djak
feto: frot
llywyddiaeth: ryip
prynwr: mrif
galwyn: jlen
mosgito: mruk
gwyriad: dwen
wrestle: lyut
mosaic: myok
plwg: plok
squat: pcuk
groser: ksoc
gomiwnyddol: myos
amaze: mwek
prosecutive-achos: rwuk
names: nlos
unben: dwit
pwyslais-mawr: tyet
lloeren: tlec
sliper: hlop
cytsain: fyon
bras: tsif
yn-ddi-waith: byet
cefnogwr: sros
Lotus: lwot
letys: sles
clorid: lwok
bacteria: bwic
gludiog: pcek
cydran: bwon
cnewyllyn: klec
feign: bjak
beit: bzet
secretiad: sruf
benodol: pres
cyd-daro: mloc
bale: blet
wrin: mrus
garlleg: lyun
mynd-heibio: hguc
economeg: kcem
dosbarth-canol: hdom
ystwyth: gjic
gefeiliau: htef
golchi-dillad: lyoc
mefus: srem
trefol: pcos
godi-cywilydd: mlaf
llyfr-nodiadau: tfut
albwm: zlam
pêl-fas: hbep
arogli: sluc
bwffe: hbuf
rhangymeriad: rwip
garej: grek
diagnosis: djas
crutch: ksuc
extort: srom
cofrestru: psuc
hydawdd: jlun
ffosfforws: psof
strwythurol: rwut
glud: glum
thesis: twes
grefftwr: clif
Banana: bwas
Axiom: kyom
asen: psos
nicel: nyek
pi: pyim
bws: bwos
sensro: swes
taflegryn: mlus
selsig: slos
trin: nlut
tomato: tfet
atgyfnerthu: kfut
soced: syok
potasiwm: tsom
adfer: prup
rhithwir: zwit
algebra: gjas
deintydd: dzit
optegol: pcok
Budge: bzen
bioleg: bwim
diweithdra: byim
lindysyn: krum
solo: slof
porwr: bjac
bell-gorffennol-amser: nyot
hanesyddol-amser: crep
niwclear: nluk
sbectrwm: pyem
sodiwm: syom
hysteria: syes
ymddiriedolwr: tyos
gwystl: byik
cicaion: gluk
wrinkle: kwuk
tryloywder: tfif
spike: swip
blaenoriaeth: pcif
cerddwyr: dyen
anffyddiaeth: tsem
monitor: mwot
etholaeth: nlec
heb-ei-reoli: hkof
probe: grok
platinwm: plip
deuol-rhif: dlun
ysgyfaint: pcep
super: syup
troli: trop
yn-lleol: lyot
ysgogi: gzat
gasoline: plif
yr-arennau: grif
loot: bzac
asesiad: dlen
arsenig: syek
Malwoden: nrok
ceiliog-rhedyn: tsec
hafaliad: fwen
sosialaidd: swos
hidlo: flot
synhwyraidd-tystiolaethol-hwyliau: hxin
ehangu: kyot
allyrru: mwet
dennyn: pwet
mandarin: drun
joci: hjok
niwmonia: hnof
undod: gret
colfach: cyif
hydredol: nruc
difidend: dwun
sglefrio: hkep
ddehonglwr: slop
anabledd: dlif
obsesiwn: bwen
rhandir: pfun
ffotograffydd: trof
delta: dlet
digidol: djim
ast: brut
amrant: hyop
lletraws: dyun
subconscious: byon
ael: bruc
tisian: pcec
doniol: dlis
Hindŵaeth: nwum
ffoaduriaid: nyif
gwennol: cwot
protein: pwot
dymp: hdop
mireinio: flen
cyfog: hwom
genyn: gyen
freshman: hdem
cymdeithaseg: syoc
sboncen: kwoc
Fisher: hfuc
rhanbarthol: jyen
cynnig-i-fyny'r allt: hvok
ôl-weithredol: hxik
gorwynt: gyon
gwrthdroad: nwos
tv: twif
ciwb: kfet
cynhyrchiant: pwuk
moron: krop
moleciwlaidd: mwuk
conglomerate: glet
cyfrifydd: ksum
ciwcymbr: kyok
orgy: drok
toddydd: jlet
ffosffad: psef
primer: gwik
alcalïaidd: flis
gymnasteg: jyas
coma: kwom
cynnig-i-lawr y rhiw: hvat
camesgoriad: jwac
pod: tcop
rhoddwr: dzon
manganîs: hzem
seicolegydd: syos
clorin: clos
bysellfwrdd: kyoc
elitaidd: zyit
parenthesis: pfaf
rygbi: rwoc
wlser: jlon
ffurfdroëdig: hxit
cnoi: nres
cwantwm: fwam
siwmper: swek
esblygiadol: fwis
nodiant: nyoc
bownsio: tcuf
dyrannu: drec
cache: kcep
llinol: lyec
antimoni: trum
superessive-achos: psek
tiwmor: twom
erydiad: cyos
alffa: flaf
navel: nwip
imiwnedd: myip
y-ffliw: flun
bragdy: bjit
symleiddio: slef
talfyrru: bram
tolc: djen
swyno: dwim
gorfodi: brok
hosan: bzas
ffilm: fyim
cosmos: klom
llygru: hpuf
heidiol: gjen
pidyn: zyis
coedwigaeth: lyif
alwminiwm: lwum
osgiliad: zlon
horoscope: ksop
ddiarddel: dlek
cynhwysiant: nluc
buddiolwr: byic
dolffin: dlip
llofrudd: cyus
mamaliaid: myaf
dangosydd: swif
deuocsid: dwis
colon: zlen
biwrocratiaeth: brus
ystumio: jric
oergell: frip
archeolegol: cluk
annerbyniol: kwok
fanyleb: pfis
taflen: pfut
anthropoleg: nlom
blasus: kyec
transitive: txit
cower: kwus
blodyn-yr-haul: hzuc
lleuen: glus
ion: lyos
twristiaeth: tyum
modem: myom
cyflymiad: jrun
ffugio: tsoc
allyriadau: hmef
herwgipio: drap
gorgyffwrdd: hwep
trin-gwallt: pfes
llên-gwerin: floc
capilari: plek
cenedlaetholdeb: nlum
pen-ôl: nros
motiff: hmuf
sublimate: slem
rhwystredigaeth: xras
cobalt: kwos
ceirch: gwam
cynnig-fyny'r-afon: trup
anws: gyam
buchol: bwun
fflip: flip
diswyddo: dzun
'n-fideo: hwop
boicot: bjik
cwis: cwif
hoci: cwok
gerila: grip
magnesiwm: hgem
radar: drek
tsimpansî: hzif
dibynadwyedd: kwif
petryal: tyec
môr-wiail: klep
cyffredinoli: jlak
cyrffyw: kfec
cyfunrywiol: mlok
senario: srop
llunio: flus
ailymgnawdoliad: nrom
tanio: zlak
wraniwm: ryum
daliwr: kwes
cydlynu: kyop
trethdalwr: nwaf
integredig: trep
Mynegwyd-barn-gan: hzap
gama: hxam
safari: fwim
cynnig-lawr-yr afon: ht6n
cyfernod: kfus
pennawd: zlic
dadansoddwr: nles
checkmate: hzes
mall: hmof
bismwth: bzim
cerdyn-post: psok
cydgyfeirio: bros
digress: djet
cyfranddaliwr: ksem
microb: mrip
organau-rhywiol: jwit
morffolegol: mluk
beta: byot
jîns: gjis
Cronfa-ddata: tles
cyfrifiannell: klus
pelydr---x: ksef
dosrannu: zram
amgylcheddol: zyen
sigma: zyim
datgysylltiad: hxon
agenda: gres
fisa: bzis
seilwaith: nyuk
Firefly: gyun
synhwyrydd: tyek
ymaddasol: dyip
biolegydd: byis
sbleis: pyec
bromin: brom
Palladium: plum
faglu: kfok
pastel: psec
sw: zwac
clinig: lyok
connotation: nwoc
ioga: hjoc
siop-lyfrau: byun
therapi: grap
genedlaetholwr: zlis
behead: zlet
yeah: swec
broblemus: byam
jazz: dzas
twngsten: tsof
terfysgol: gwis
driblo: droc
metaboledd: tlem
alimoni: lyaf
penwythnos: hfom
chrysanthemum: gzim
brechlyn: byap
beic-modur: tyok
mantra: dyot
semester: myes
heroin: gwon
ffolder: flap
catod: kfoc
ideoleg: dlec
parcio: prek
theta: fret
disgynneb: hxis
seleniwm: clem
beicio: blek
cortecs: pros
cywerthedd: swaf
ar-hyn-o bryd perthnasedd marciwr: hxak
maes-awyr: cwoc
trychu: gyet
pêl-fasged: bwet
imposter: mwip
chwilod-duon: tlek
cromiwm: hgom
litr: hl6t
serch-hynny: nwec
hormon: cwom
ddiffygiol: tluc
dyllu'r: prec
animism: nyom
polygon: cloc
ffeministaidd: hfes
cyfun: kcop
ewro: dros
ginseng: hjes
algorithm: hlof
laser: lwes
drugstore: dlot
milimedr: mlem
flex: flek
anod: nlok
naws: hzus
rhan-amser: prem
sensitifrwydd: nyec
arddangoswr: drom
heliwm: clum
dwyieithog: dzic
acronym: hqim
initialism: nl6m
gerund: gros
plasma: psem
cromosom: rwom
trefnol: rwok
cilometr: klum
ffacs: tfes
geneteg: nwek
freckle: frek
sgriwdreifer: dres
brocoli: blok
preterite: xrit
fitamin: tyem
cadmiwm: kyem
awyren-fomio: bwoc
graffigol: gjik
titaniwm: dyim
afradlon: clec
lamda: lwem
gariad: pcem
copulate: kyuk
hourglass: tlus
empathi: mlif
boron: bres
hofrennydd: cwet
tellurium: tlum
dyddiad-cau: jyic
alinio: gwic
centimetr: hfem
molybdenwm: mlom
lithiwm: tfim
amlgyfrwng: myum
diweddariad: dyet
calorïau: clom
robot: ryoc
gwaith-Cartref: groc
logarithm: grom
mantis: gzas
instal: nwut
amino: myoc
glyph: glif
aorist: pyos
ecoleg: plec
sophisticate: flok
marijuana: bjam
micro: mrom
cilogram: lwom
gorfwyta: jrot
rhagweladwy: dzik
pizza: zyas
eavesdrop: zris
ieithyddiaeth: bwis
haircut: braf
iridium: ryom
hiliaeth: gwim
optimaidd: gyim
ddiwydiannu: drif
pencadlys: krup
Ceriwm: zrim
gyfath: nrum
partitive-achos: pxik
casét: ksep
grym-ewyllys: blot
dimensiwn: dzen
paramedr: rwet
Cydamseru: nrop
gwneud-y-mwyaf: dzim
seminar: mwec
disgo: dyok
neon: nyok
osmiwm: hzom
Ystwyll: hp6n
plagiarize: lyap
artifact: rwek
adweithydd: fyet
oregano: ryop
plwtoniwm: pwum
Ytriwm: tyom
cynyddol: hxat
enw-defnyddiwr: mrum
ôl-raddedig: zrot
asgell-dde: dwaf
argon: jros
ffobia: hxot
cymdeithasu: sluk
globaleiddio: bluc
tonfedd: hnef
amgodio: kfom
ailgylchu: psoc
Ail-ddechrau: nrek
hepatitis: pyes
Torus: fros
cemotherapi: myep
modulo: mwok
proton: zwot
ddisgen: dwet
milligram: mlum
picsel: psep
tantalum: twem
hydoddyn: hjot
hil-laddiad: nyos
ysglyfaethwr: rwes
gallium: glem
sirconiwm: hzum
determiner: txin
aflinol: nlem
plaleiddiaid: pyif
beryliwm: brem
neuron: nrus
predicative: pxit
underpants: tlif
ffactoraidd: kref
niwtronau: zrut
niobium: nwom
germaniwm: hjem
metalloid: tlop
rhoi-ar: dlap
prolative-achos: hl6k
bioamrywiaeth: jwic
ffon-reoli: jyok
gwrthfiotig: twok
actiniwm: gjim
gofodwr: srof
allfydol: tyes
crackpot: hwup
marathon: mrof
yterbiwm: zwim
awtistiaeth: tyif
ionize: nlof
radon: cwos
nerium: nrem
epidemioleg: pwip
hen---oed: lyuc
gwersylla: kyep
streipiog: drip
indium: nyum
veridical: hvik
gwefan: bwes
Koran: kwek
flatware: fwet
nfed---gwraidd: tfec
lawrenciwm: lyem
sifil-ar-hawliau: glip
Ffôn-Symudol: mlof
barlysu: twoc
protactiniwm: prum
ymbelydredd: hd6n
yn-dibynnu-ar: pxin
thoriwm-atom: hxim
glas---jean: bjun
planhigion-tŷ: hxas
yn-unigol: dvit
llif---gyfredol: lwuk
triphlyg---bwynt: ht6t
dynol---gorff: hn6n
ffiseg: bzik
manwerthu-siop: hxan
caesiwm: hs6m
hir-yn-ôl: hqan
taenlen: hxet
uned--of-- màs: hn6m
llunio: ml6n
gwerth-deuaidd: vrim
dynol-sef: nyus
gan-fodd-o: hvan
depan-dari: pxat
praseodymiwm: pyom
cardfwrdd: kxat
cyfyngedig-ferf: hqik
treial-rhif: hr6n
pro-dedfryd: hr6t
beirniad: hk6k
pecynnu: pxas
byrhoedledd: pxan
yn-y-rhan fwyaf o: txas
disgrifydd: drop
neodymiwm: nyem
cyfeillgarwch: hvit
darllen-yn-unig: xyak
founds: xwan
gnomic-hwyliau: kxin
ffonem: hxom
rhesymoledd: xlit
ffonolegol: xlin
bwyta-ystafell: hxac
byw-ystafell: hxic
ganolog-achos: zrik
cyn-hodiernal: hx6n
claf-achos: hqak
oblique-achos: bwok
gwledig-ardal: hqat
recurse: hr6s
canol-llais: dyos
meitnerium: hm6m
bost---cludwr: hvak
noncommittal: kxit
stoc-farchnad: xrak
adnabyddadwy: hxap
nod-sbardun: krof
un---eiliad: hxen
lative-achos: dvak
dogn: hr6c
nad-ydynt-yn dynol: hg6n
byw-beth: hvic
hefyd-ychydig: hxut
ffilm---theatr: hvin
hassium: xyim
attenuative: ty6t
multal-rhif: ml6m
llaethog-ffordd: txam
neptwniwm: nwem
ghostwriter: txik
trans-rhifolyn: ts6s
ffwl---o gwmpas: hqun
Americiwm: myem
bore-gogoniant: txan
diffoddwr-tân: xran
berkelium: blem
galaeth-rhyw: kxan
Nobeliwm:: blum
Hwyl-fawr: hvac
bwdhaeth: hfum
Fermiwm: frem
cyan: xyan
soia: syof
dosbarthwr: qrit
strikebreaker: txak
prosesydd: ples
abessive-achos: bvak
adessive-achos: dvik
i-achos: kxak
agentive-achos: dvek
Rutherfordiwm: hr6m
gwrthgyrff: txip
fel-llawer-fel: hjos
asiant-sbardun: hg6t
actor-rôl: xram
ethidium: txim
cyffredin-rhyw: hk6n
deithydd: kl6n
safflower: kxam
Ffransiwm: fyam
Erbium: ry6m
goddefol-llais: xyis
astatin: hqit
cnoi-gwm: hqam
seren-rhyw: hqin
dyfyniad-ffurflen: ht6m
curium: jrim
comic---stribed: kxis
lliw---ddall: hqon
euler's---rif: hl6m
edrych-yn: kxas
crosswalk: pwok
gad: txat
modurwr: vrit
--Cylched-byr: txok
llafar-noun: hvis
crio-allan: hk6t
yn-ystadegol: xyit
iogwrt: txot
xenon: hs6n
hypnotize: hxif
cymryd-off: hxaf
cymal---gynffon: hxok
uniongyrchol-gwrthrych: dwot
groser-siop: kxun
cynnwys-o: hm6t
ergative-achos: gvik
yn---iaith: txic
uniongyrchol: pxam
locative-achos: hqok
pwll-Nofio: slup
adferfol-achos: vlak
sightsee: hqas
teledu-set: ht6s
terfynol-gronynnau: xlik
evitative-achos: hvek
adsefydlu: xlat
atchweliad: xris
bloc-o-fflatiau: kxot
deffro-i-fyny: hxup
heddlu-swyddog: ps6s
rhegi---mewn: vran
cyfwelydd: qrat
rheniwm: ryem
aerosol: xres
meddiannol-achos: kxik
nominaleiddiad: mlec
meddu-achos: dzak
overcharge: pxak
ategol-ferf: xyik
cynradd-gwrthrych: mlut
cyfrifiadur--firws: prus
person-busnes: hqis
a-pobl: hqen
antessive-achos: ts6k
Prif-Weinidog: pxis
Lwtetiwm: lyum
europium: rwum
emote: xrot
werin---cerddoriaeth: zyik
bardd: vwit
ôl--swyddfa: pxot
sôn,: hvas
animeiddio-rhyw: hven
subessive-achos: bvik
nwy---bedal: glep
polaredd: pr6t
cerbyd-rhyw: vlin
mwynau-rhyw: xrin
berf---ddodiad: hvif
angerddol: pc6n
Samarium: sr6m
hwylusydd: hs6t
dychmygol---uned: xyin
cyflymder--of-- golau: kxac
llu-Awyr: hxes
empathetig-llawenydd: pfec
yn-feirniadol-- bwynt: qyit
llawn-amser: hxem
Haffniwm: xyam
ataliad: hn6s
newid-o-digwyddiad: qrin
holmiwm: xlim
gwahanol-digwyddiad: hf6t
bydysawd-rhyw: hvip
ardal-rhyw: kxen
rhithwir-peiriant: hvim
ymchwil-rhyw: txen
artistig-rhyw: ts6n
crastinal-amser: sl6t
haniaethol-rhyw: srep
exocentric-achos: zrek
transitive-ferf: txif
morpheme: tfom
chauvinist: dvis
gorffennol-perfective: xrat
galwedigaethol: hy6n
anuniongyrchol-lleferydd: tyoc
ail-iaith: draf
i-fod: txis
fynwent-sifft: vrak
ar-y-cyd noun: hxos
absolutive-achos: bvuk
claf-sbardun: tr6t
hunan-hyder: hs6s
feces: hzos
atblygol-llais: hf6s
amhersonol-ferf: hxek
Seaborgiwm: br6m
gofod-gwyn: hxep
foddol-achos: dlok
difywyd-rhyw: hj6n
causative: qran
propositive-hwyliau: psom
trydan-ar-hyn o bryd: tr6n
cysylltiadol-achos: nwok
radd-eithaf-achos: tluk
hefyd-llawer: xyut
planedol-rhyw: pxen
animeiddiedig-cartŵn: nwuk
cilyddol-llais: vrik
ddeddfu: hqaf
yn-lleiaf: vlas
gramadegol---achos: qrak
defnyddiwr: pxut
craidd-benefactive: kfef
gôl-geidwad: hgop
:-except-for: kcef
enwadur: dvan
arall---os: lyek
i'r-ochr: hx6s
eich-gilydd: dles
olynol-cymal: lyuk
gwisgo---allan: hxun
siorts: ht6k
dysprosiwm: prom
cyn-bo-hir dyfodol amser: rwec
si-unedau: vyin
crypton: kxon
mendelevium: dlem
applicative-llais: hp6s
antipassive-llais: tsef
continuative-agwedd: ht6p
ymbelydredd---salwch: hr6k
necessitative-hwyliau: hn6t
sengl-gweithredu-ferf: hqek
railcar: xlak
radd-eithaf-radd: tlup
dirfodol-cymal: hs6k
Califforniwm: kf6n
yn-bresennol-rhangymeriad: vrat
luminous-dwysedd: hc6t
singulative-rhif: slus
gramadegol---gwrthrych: hy6t
goddefol-rhangymeriad: vris
gormodol-hyd: kxic
supercritical---hylif: sr6t
swm-o-sylweddau: ks6t
postpositional-achos: pxok
dewisol-quantifier: lwif
gadoliniwm: dl6n
epenthetic-morpheme: hp6m
negyddu-quantifier: nwif
einsteiniwm: ny6n
artiffisial-iaith: txac
cysylltiol-gronynnau: qrik
bell-dyfodol-amser: twec
frequentative-agwedd: hfep
dosbarthol-rhagenw: bvin
allocution-cytundeb: hk6m
moel: blos
maestref: syum
cyffredinol-quantifier: vlit
cyfrifiadur-rhaglennu: mr6m
teledu-rhaglen: tr6m
fel-y-bo'r angen - pwynt- rif: hvun
dirfodol-quantifier: tl6t
y-dydd-ar ôl yfory: dwek
amgen-quantifier: lw6t
drwg---tymer: hdup
gorffennol-goddefol-rhangymeriad: hp6t
y-dydd-cyn ddoe: txet
locative-cyfeiriadol-achos: tc6k
gwrthffeithiol-amodol: ht6c
