инфинитив: hnit
эластичный: lyet
Словарь: kfon
ветчина: gzam
радуга: rwun
потреблять: kcum
плевать: tcup
бак: trek
коллега: clok
бабочка: trif
диаграмма: graf
близнец: jwat
независимо: trem
бамбук: hbum
дилер: jlat
накопление: kles
инспектор: nyet
кусочек: hyos
кошмар: hbom
варенье: gjam
музей: mrem
алфавит: lwam
разброс: zras
рейд: crip
раскрывать: clus
гниль: fraf
агрессивный: gris
трение: mroc
мол: gyac
паук: brik
картошка: trut
пересмотр: cwon
жадность: jlac
преждевременный: ryot
умножить: gzan
вращение: pcip
статистика: tsok
календарь: klem
выдвижение: nwen
триллион: tlos
чердак: tlok
утвердительный-настроение: rwim
Приложения: pfen
номинальный: nlon
неудовлетворенность: sraf
инфекционное-заболевание: hfok
кувшин: krot
пожимание-плечами: cyok
пионер: gzin
упущение: nlif
капуста: glic
Спортивное: tlet
пьянство: mrut
идиофон: hdof
рычаг: lwek
сенатор: syem
Ирис: nrif
муравей: mwam
ошибка: hbop
беременна: grim
осадок: hjet
лодыжка: tcok
классификация: glik
переменная: prim
заворачивать: ryap
кудрявый: krec
сера: hsef
диктовать: dwik
появляться: brun
лягушка: fram
чрезмерное-дело: twek
губка: hjen
раздражающий: djon
белка: slip
молоть: zyin
irrealis-настроение: flim
вулкан: glam
в-помещении: gron
эксплуатировать: kloc
геологических: jlik
заграничный-пасспорт: psop
аморальный: mlet
бисквит: hbuk
сотрудничество: kros
таблетка: tlot
релаксация: kces
атом: trom
СПИД: hzip
пирамида: psim
цикл: swok
ворс: hnup
незаконное: hjaf
лапа: pfap
застенчивость: crom
затмение: klip
лютня: lwap
метла: srum
панель: mwen
астрономия: tcom
лабиринт: blen
стипендия: bwit
черепаха: kfuc
консультант: dwak
волокно: fwic
крикет: jrik
голубь: ksom
приспособление: dyon
треугольник: tfon
казначей: tsen
водород: jron
хрупкий: hfuk
принтер: pyet
удушение: tcof
хронический: gzon
справиться: slaf
дилемма: dlim
инжиниринг: jyin
камера: hkef
принести-извинения: pluc
лизать: lwet
танцор: dret
миграция: mres
большой-теннис: tces
позвоночник: clip
жарить: zrac
ткацкий-станок: tfuc
попытка: twuc
пароль: psaf
полушарие: praf
стратегия: zrit
кварц: krus
ножницы: jris
патруль: proc
ледник: lwic
наполовину: dwam
меморандум: mwap
конус: kwuc
симметрия: hzut
производитель: zrak
ответчик: fwik
мечеть: djis
шахматы: cres
Потери: htof
вишня: tref
широко-распространен: kfen
спотыкаться: tfok
грузовая-машина: ryok
горчица: mros
процент: pfet
аукцион: jlam
сито: srif
неустойчивый: swoc
магнит: gjat
сосать: syus
ислам: slum
на-цыпочках: twip
мембрана: mlen
брить: clet
гитара: gjit
блестящий: bzan
вяз: hyem
витать: kcom
местоимение-маркер: ryec
основной: pcus
специи: zlat
залог: jlas
перевозчик: zyac
вибрация: bron
дразнить: trus
плуг: hlom
физиологический: zlik
желоб: hgok
комета: cyet
средневековый: dyic
воробей: grec
компенсировать: twet
пластик: psuk
сноска: cyot
орбита: rwot
скромный: twum
гольф: hgof
нуль: zrun
чип: tcep
угнетать: prok
зевать: gjac
неравенство: gwas
моль: tloc
керамика: frik
домохозяйка: hgif
рожь: rwem
не-подчиняться: hyes
толерантный: glon
эмбрион: brec
шахтер: jren
аплодировать: zlac
дрожжи: lyim
премия: pfim
слива: plem
банкротство: byas
орошение: rwif
мята: nyun
капиталист: glis
эластичность: hlef
акула: gyak
нанимать-на-работу: drut
место-хранения: zren
реализм: cles
имбирь: djic
скорая: blus
сравнимый: kwip
бумажник: bjap
гримаса: glim
ученый: gyis
потрошить: grot
невозмутимость: hwum
радио: href
значения: zlit
фасоль: bwam
неофициальный: frim
внучка: gyut
разногласие: dloc
стейк: tfek
азот: zron
бритва: hjut
контрастные: krom
пропаганда: pcoc
фейерверк: fris
поп: pcop
раздевать: crop
борозда: cruc
вредный: hzaf
иудаизм: hjum
дополнение: pluk
объектив: lyes
pegative-дело: pwek
рак: kfes
пешка: pyek
преподаватель: zyat
утечка: hzuk
квалифицировать: krif
плотность: djot
индукция: dyis
жевать: htuf
разговорчивый: bzit
Омар: hgos
скидка: dyut
такси: tsuk
иерархия: crem
нефрит: gyec
рычание: glaf
ящерица: lyis
водопад: crof
неутешительный: djak
вето: frot
президентство: ryip
покупатель: mrif
галлон: jlen
комар: mruk
отклонение: dwen
бороться: lyut
мозаика: myok
штекер: plok
приземистый: pcuk
продуктовый: ksoc
коммунист: myos
поражать: mwek
обвинительный-дело: rwuk
созвездие: nlos
диктатор: dwit
озабоченность: tyet
спутник: tlec
тапочка: hlop
согласный: fyon
приблизительный: tsif
безработные: byet
сторонник: sros
лотос: lwot
салат: sles
хлористый: lwok
бактерии: bwic
липкий: pcek
компонент: bwon
ядро: klec
симулировать: bjak
байт: bzet
секреция: sruf
недвусмысленно: pres
совпадать: mloc
балет: blet
моча: mrus
чеснок: lyun
прошедшее: hguc
экономика: kcem
средний-класс: hdom
проворный: gjic
щипцы: htef
прачечная: lyoc
клубника: srem
городской: pcos
смущать: mlaf
блокнот: tfut
альбом: zlam
бейсбол: hbep
сопение: sluc
буфет: hbuf
причастие: rwip
гараж: grek
диагноз: djas
костыль: ksuc
вымогать: srom
постановка-на-учет: psuc
растворимый: jlun
фосфор: psof
структурный: rwut
клей: glum
Тезис: twes
ремесленник: clif
банан: bwas
аксиома: kyom
ребро: psos
никель: nyek
Пи: pyim
автобус: bwos
цензор: swes
ракета: mlus
колбаса: slos
манипуляция: nlut
помидор: tfet
усиливать: kfut
разъем: syok
калий: tsom
извлекать: prup
виртуальный: zwit
алгебра: gjas
Дантист: dzit
оптический: pcok
сдвинуть-с-места: bzen
биология: bwim
безработица: byim
гусеница: krum
соло: slof
браузер: bjac
дистанционный-пульт-мимо напряженный: nyot
исторический-напряженный: crep
ядерного: nluk
спектр: pyem
натрий: syom
истерия: syes
доверенное-лицо: tyos
заложник: byik
тыква: gluk
морщина: kwuk
прозрачность: tfif
шип: swip
приоритет: pcif
пешеход: dyen
атеизм: tsem
монитор: mwot
избирательный-округ: nlec
неконтролируемый: hkof
зонд: grok
платина: plip
двойной-номер: dlun
легкое: pcep
супер: syup
тележка: trop
в-местном-масштабе: lyot
подстрекать: gzat
бензин: plif
почка: grif
добыча: bzac
оценка: dlen
мышьяк: syek
улитка: nrok
кузнечик: tsec
уравнение: fwen
социалист: swos
фильтр: flot
сенсорный-доказательный-настроение: hxin
расширять: kyot
испускают: mwet
привязь: pwet
мандарин: drun
жокей: hjok
пневмония: hnof
солидарность: gret
петля: cyif
продольная: nruc
дивиденд: dwun
кататься-на-коньках: hkep
экспонента: slop
инвалидность: dlif
навязчивая-идея: bwen
выделение: pfun
фотограф: trof
дельта: dlet
цифровой: djim
сука: brut
веко: hyop
диагональ: dyun
подсознательный: byon
бровь: bruc
чихать: pcec
веселый: dlis
индуизм: nwum
беженец: nyif
челнок: cwot
белок: pwot
свалка: hdop
усовершенствовать: flen
рвота: hwom
ген: gyen
первокурсник: hdem
социология: syoc
сквош: kwoc
рыболов: hfuc
региональный: jyen
движение-в-гору: hvok
ретроспективный: hxik
торнадо: gyon
инверсия: nwos
ТВ: twif
куб: kfet
производительность: pwuk
морковь: krop
молекулярная: mwuk
конгломерат: glet
бухгалтер: ksum
огурец: kyok
оргия: drok
растворитель: jlet
фосфат: psef
грунтовка: gwik
щелочной: flis
гимнастика: jyas
запятая: kwom
движение-спуск: hvat
выкидыш: jwac
стручок: tcop
донор: dzon
марганец: hzem
психолог: syos
хлор: clos
клавиатура: kyoc
элита: zyit
круглая-скобка: pfaf
регби: rwoc
язва: jlon
изменяемую: hxit
клев: nres
квантовая: fwam
свитер: swek
эволюционный: fwis
обозначение: nyoc
отскок: tcuf
рассечение: drec
кэш: kcep
линейный: lyec
сурьма: trum
superessive-дело: psek
опухоль: twom
эрозия: cyos
альфа: flaf
пупок: nwip
иммунный: myip
грипп: flun
пивоваренный-завод: bjit
упрощать: slef
сокращать: bram
вмятина: djen
пленять: dwim
принудить: brok
носок: bzas
кино: fyim
космос: klom
загрязнять: hpuf
общительный: gjen
пенис: zyis
лесоводство: lyif
алюминий: lwum
колебание: zlon
Гороскоп: ksop
выталкивать: dlek
включение: nluc
бенефициар: byic
дельфин: dlip
убийца: cyus
млекопитающее: myaf
индикатор: swif
диоксид: dwis
двоеточие: zlen
бюрократия: brus
искажать: jric
холодильник: frip
археологический: cluk
неприемлемо: kwok
Спецификация: pfis
листовка: pfut
антропология: nlom
вкусно: kyec
переходный: txit
приседать: kwus
подсолнечник: hzuc
вошь: glus
ион: lyos
туризм: tyum
модем: myom
ускорение: jrun
фальсифицировать: tsoc
эмиссия: hmef
похищать: drap
перекрытие: hwep
парикмахер: pfes
фольклор: floc
капиллярный: plek
национализм: nlum
ягодицы: nros
лейтмотив: hmuf
сублимировать: slem
разочарование: xras
кобальт: kwos
овес: gwam
движение-вверх-по течению: trup
анус: gyam
бычий: bwun
кувырок: flip
избыточность: dzun
видео: hwop
бойкотировать: bjik
викторина: cwif
хоккей: cwok
партизанский: grip
магний: hgem
радар: drek
шимпанзе: hzif
надежность: kwif
прямоугольник: tyec
ламинария: klep
обобщать: jlak
комендантский-час: kfec
гомосексуальный: mlok
сценарий: srop
формулировка: flus
реинкарнация: nrom
воспламеняться: zlak
уран: ryum
ловец: kwes
координировать: kyop
налогоплательщик: nwaf
интегрированный: trep
высказал-мнение,: hzap
гамма: hxam
сафари: fwim
движение-вниз-по реке: ht6n
коэффициент: kfus
Заголовок: zlic
аналитик: nles
мат: hzes
торговый-центр: hmof
висмут: bzim
открытка: psok
сходимость: bros
отвлекаться: djet
акционер: ksem
микроб: mrip
генитальный: jwit
морфологический: mluk
бета: byot
джинсы: gjis
база-данных: tles
калькулятор: klus
Рентгеновский: ksef
разбор: zram
экологическая: zyen
сигма: zyim
дизъюнкция: hxon
повестка-дня: gres
виза: bzis
инфраструктура: nyuk
Светляк: gyun
детектор: tyek
адаптивный: dyip
биолог: byis
сращивание: pyec
бром: brom
палладий: plum
икота: kfok
пастельный: psec
зоопарк: zwac
клиника: lyok
коннотация: nwoc
йога: hjoc
книжный-магазин: byun
терапия: grap
националист: zlis
обезглавить: zlet
Да: swec
проблематичный: byam
джаз: dzas
вольфрам: tsof
террорист: gwis
капать: droc
метаболизм: tlem
алименты: lyaf
выходные: hfom
хризантема: gzim
вакцина: byap
мотоцикл: tyok
мантра: dyot
семестр: myes
героин: gwon
папка: flap
катод: kfoc
идеология: dlec
стоянка: prek
тета: fret
антиклимакс: hxis
селен: clem
езда-на-велосипеде: blek
кора: pros
эквивалентность: swaf
текущий-актуальность-маркер: hxak
аэропорт: cwoc
ампутировать: gyet
баскетбол: bwet
самозванец: mwip
таракан: tlek
хром: hgom
литр: hl6t
тем-не-менее: nwec
гормон: cwom
недостатки: tluc
перфорировать: prec
анимизм: nyom
многоугольник: cloc
феминистка: hfes
сопряженный: kcop
евро: dros
женьшень: hjes
алгоритм: hlof
лазер: lwes
аптека: dlot
миллиметр: mlem
сгибать: flek
анод: nlok
нюанс: hzus
неполная-занятость: prem
чувствительность: nyec
демонстратор: drom
гелий: clum
двуязычный: dzic
акроним: hqim
аббревиатуру: nl6m
герундий: gros
плазма: psem
хромосома: rwom
порядковый: rwok
километр: klum
факс: tfes
генетика: nwek
веснушка: frek
отвертка: dres
брокколи: blok
претерит: xrit
витамин: tyem
кадмий: kyem
бомбардировщик: bwoc
графический: gjik
титан: dyim
бахвальство: clec
лямбда: lwem
Подруга: pcem
совокупляться: kyuk
песочные-часы: tlus
сопереживание: mlif
бор: bres
вертолет: cwet
теллур: tlum
крайний-срок: jyic
выравнивать: gwic
сантиметр: hfem
молибден: mlom
литий: tfim
мультимедиа: myum
Обновить: dyet
калория: clom
робот: ryoc
домашнее-задание: groc
логарифм: grom
богомол: gzas
устанавливать: nwut
амино-: myoc
глиф: glif
аорист: pyos
экология: plec
подделывать: flok
марихуана: bjam
микро: mrom
килограмм: lwom
переедать: jrot
предсказуемый: dzik
пицца: zyas
подслушивать: zris
лингвистика: bwis
стрижка: braf
иридий: ryom
расизм: gwim
оптимальный: gyim
индустриализация: drif
штаб-квартира: krup
церий: zrim
конгруэнтный: nrum
партитивный-дело: pxik
кассета: ksep
сила-воли: blot
мерное: dzen
параметр: rwet
синхронизировать: nrop
максимизировать: dzim
семинар: mwec
дискотека: dyok
неон: nyok
осмий: hzom
Богоявление: hp6n
заниматься-плагиатом: lyap
артефакт: rwek
реактор: fyet
орегано: ryop
плутоний: pwum
иттрий: tyom
увеличительный: hxat
имя-пользователя: mrum
аспирант: zrot
правое-крыло: dwaf
аргон: jros
фобия: hxot
общаться: sluk
глобализация: bluc
длина-волны: hnef
кодировать: kfom
перерабатывать: psoc
перезапуск: nrek
гепатит: pyes
торус: fros
химиотерапия: myep
по-модулю: mwok
протон: zwot
дискета: dwet
миллиграмм: mlum
пиксель: psep
тантал: twem
растворенное-вещество: hjot
геноцид: nyos
хищник: rwes
галлия: glem
цирконий: hzum
детерминанта: txin
нелинейный: nlem
пестицид: pyif
бериллий: brem
нейрон: nrus
предикативный: pxit
Трусы: tlif
факториал: kref
нейтрон: zrut
ниобий: nwom
германий: hjem
металлоид: tlop
положил-на: dlap
prolative-дело: hl6k
биоразнообразия: jwic
джойстик: jyok
антибиотик: twok
актиний: gjim
астронавт: srof
внеземной: tyes
ненормальный: hwup
марафон: mrof
иттербий: zwim
аутизм: tyif
ионизировать: nlof
радон: cwos
Нериум: nrem
эпидемиология: pwip
старость: lyuc
кемпинг: kyep
в-полоску: drip
индий: nyum
правдивый: hvik
Веб-сайт: bwes
Коран: kwek
столовый-прибор: fwet
п--корень: tfec
лоуренсий: lyem
гражданские-права: glip
мобильный-телефон: mlof
парализованный: twoc
протактиний: prum
излучение: hd6n
зависеть-на: pxin
торий-атом: hxim
синие-джинсы: bjun
домашнее-растение: hxas
в-отдельности: dvit
поток-тока: lwuk
тройной-точкой: ht6t
тело-человека: hn6n
физика: bzik
розничная-торговля-магазин: hxan
цезий: hs6m
длинный-тому-назад: hqan
таблица: hxet
Блок---масс: hn6m
компилировать: ml6n
двоичный-значение: vrim
человек-являющийся: nyus
от-означает-из: hvan
depan-PF: pxat
празеодимий: pyom
картон: kxat
конечный-глагол: hqik
испытание-номер: hr6n
за-предложение: hr6t
критик: hk6k
упаковка: pxas
непостоянство: pxan
в-большинство: txas
дескриптор: drop
неодим: nyem
дружба: hvit
читать-только: xyak
основывает: xwan
гномический-настроение: kxin
фонема: hxom
рациональность: xlit
фонологический: xlin
обеденный-комната: hxac
живой-комната: hxic
центральный-дело: zrik
предварительно-сегодняшний: hx6n
пациент-дело: hqak
косой-дело: bwok
сельский-площадка: hqat
Recurse: hr6s
средний-голос: dyos
мейтнерий: hm6m
почтальон: hvak
уклончивый: kxit
акции-рынок: xrak
опознаваемый: hxap
Цель-вызывать: krof
одна-секунда: hxen
нигиляционными-дело: dvak
рацион: hr6c
не-человек: hg6n
живой-вещь: hvic
слишком-немного: hxut
кинотеатр: hvin
гания: xyim
степенью-сбраживания: ty6t
multal-номер: ml6m
молочный-путь: txam
нептуний: nwem
литературный-раб: txik
транс-цифра: ts6s
валять-дурака: hqun
америций: myem
утро-слава: txan
пожарный: xran
беркелий: blem
галактика-Пол: kxan
нобелий: blum
пока-пока: hvac
буддизм: hfum
фермий: frem
голубой: xyan
соевый: syof
распределитель: qrit
штрейкбрехер: txak
процессор: ples
abessive-дело: bvak
адессив-дело: dvik
к-дело: kxak
агентивного-дело: dvek
резерфордия: hr6m
антитело: txip
в-виде-гораздо в виде: hjos
агент-вызывать: hg6t
актер-роль: xram
этидия: txim
общий-Пол: hk6n
сопровождающий: kl6n
сафлоровое: kxam
франция: fyam
эрбий: ry6m
пассивный-голос: xyis
астатин: hqit
жевание-жвачка: hqam
звезда-Пол: hqin
цитата-форма: ht6m
кюрий: jrim
комикс: kxis
дальтонизм: hqon
euler's-номер: hl6m
смотреть-в: kxas
пешеходный-переход: pwok
поле-битвы: txat
автомобилист: vrit
короткое-замыкание: txok
словесный-имя-существительное: hvis
плакать-вне: hk6t
статистически: xyit
йогурт: txot
ксенон: hs6n
гипнотизировать: hxif
взять-от: hxaf
Предложение-хвост: hxok
непосредственный-объект: dwot
продуктовый-магазин: kxun
состоять-из: hm6t
эргатив-дело: gvik
в---языке: txic
из-первых-рук: pxam
местный-дело: hqok
бассейн: slup
адвербиальный-дело: vlak
осмотреть: hqas
телевидение-задавать: ht6s
окончательный-частица: xlik
evitative-дело: hvek
реабилитация: xlat
регрессия: xris
блок-из-квартиры: kxot
разбудить-вверх: hxup
полиция-сотрудник: ps6s
клянусь-в: vran
интервьюер: qrat
рений: ryem
аэрозоль: xres
притяжательный-падеж-дело: kxik
номинализация: mlec
одержимый-дело: dzak
перезарядка: pxak
вспомогательный-глагол: xyik
первичная-объект: mlut
Компьютерный-вирус: prus
деловой-человек: hqis
люди: hqen
antessive-дело: ts6k
премьер-министр: pxis
лютеций: lyum
европий: rwum
переигрывать: xrot
Народная-музыка: zyik
поэт: vwit
Почта: pxot
предположительно: hvas
оживить-Пол: hven
subessive-дело: bvik
педаль-газа: glep
полярность: pr6t
средство-передвижения-Пол: vlin
минеральная-Пол: xrin
глагол---суффиксов: hvif
страстный: pc6n
самарий: sr6m
посредник: hs6t
мнимая-единица--: xyin
скорость-света: kxac
воздушные-силы: hxes
чуткими-радость: pfec
критическая-точка: qyit
на-постоянной-основе: hxem
гафний: xyam
ингибирование: hn6s
изменение-из-мероприятие: qrin
гольмий: xlim
другой-мероприятие: hf6t
вселенная-Пол: hvip
местонахождение-Пол: kxen
виртуальный-машина: hvim
исследование-Пол: txen
художественный-Пол: ts6n
crastinal-напряженный: sl6t
Абстрактные-Пол: srep
экзоцентричный-дело: zrek
переходный-глагол: txif
морфема: tfom
шовинист: dvis
мимо-совершенный: xrat
профессиональное: hy6n
непрямой-речь: tyoc
второй-язык: draf
к-быть: txis
кладбище-сдвиг: vrak
коллектив-имя-существительное: hxos
абсолютива-дело: bvuk
пациент-вызывать: tr6t
само-уверенность: hs6s
фекалии: hzos
возвратный-голос: hf6s
безличный-глагол: hxek
сиборгия: br6m
белое-пространство: hxep
модальный-дело: dlok
неодушевленный-Пол: hj6n
причинный: qran
propositive-настроение: psom
электрический-текущий: tr6n
ассоциативный-дело: nwok
превосходный-дело: tluk
слишком-гораздо: xyut
планетарный-Пол: pxen
анимационный-мультфильм: nwuk
взаимная-голос: vrik
законодательствовать: hqaf
в-наименее: vlas
грамматическая-случая: qrak
пользователь: pxut
ядро-благословляющий: kfef
вратарь: hgop
:-ekstsept-odds: kcef
знаменатель: dvan
еще---если: lyek
боком: hx6s
друг-друга: dles
последующий-пункт: lyuk
изнашивания: hxun
шорты: ht6k
диспрозий: prom
скоро-будущее-напряженный: rwec
си-единицы: vyin
криптон: kxon
менделевий: dlem
аппликативны-голос: hp6s
antipassive-голос: tsef
continuative-аспект: ht6p
радиационно--болезни: hr6k
necessitative-настроение: hn6t
Один-действие-глагол: hqek
автомотриса: xlak
превосходный-степень: tlup
экзистенциальный-пункт: hs6k
калифорний: kf6n
настоящее-время-причастие: vrat
светящийся-интенсивность: hc6t
singulative-номер: slus
грамматическая---объект: hy6t
пассивный-причастие: vris
чрезмерное-продолжительность: kxic
сверхкритической-жидкости: sr6t
количество-из-вещество: ks6t
послелоги-дело: pxok
факультативный-квантификатором: lwif
гадолиний: dl6n
вставной-морфема: hp6m
негативный-квантификатором: nwif
эйнштейний: ny6n
искусственный-язык: txac
соединительный-частица: qrik
дистанционный-пульт-будущее напряженный: twec
многократный-аспект: hfep
дистрибутивный-местоимение: bvin
назидательная-речь-соглашение: hk6m
лысый: blos
пригород: syum
универсальный-квантификатором: vlit
компьютер-программирование: mr6m
телевидение-программа: tr6m
с-плавающей-точкой номер: hvun
экзистенциальный-квантификатором: tl6t
день-после-завтра: dwek
альтернатива-квантификатором: lw6t
раздражительный: hdup
мимо-пассивный-причастие: hp6t
день-до-вчера: txet
местный-направленный-дело: tc6k
контрфактическое-условный: ht6c
