வினையெச்சம்: hnit
பொருளாதார: kfik
சர்வதேச: troc
தலையிட: tcek
தத்துவஞானி: flif
நேர்த்தியான: gyit
நலன்புரி: kyen
மீன்பிடி: mlak
திருட: truc
லிப்: hloc
ஓய்வு: ryac
நீட்டிக்க: sras
கேலரி: glen
இணை: zlan
atelic-அம்சம்: htep
கண்டம்: trap
தடை-மனநிலை: nrim
டை: dwat
செல்: slep
முட்டை: dyan
செயற்கை: jrat
இடை-நேரம்: nwis
நெருக்கடி: ksot
கண்ணியமாக: sloc
மதிய-உணவு: lyon
பைன்: pwon
மிகுதி: hcef
கூட்டணி: lyen
இடுப்பு: hkop
அதிசயம்: hmek
கடலோடி: slis
தூய்மை: prut
குடியரசு: hguk
தொலைபேசி: tfen
சவுக்கை: krip
சட்டை: cyim
அறிமுகப்படுத்த: ryas
சோபா: hsof
ஸ்வீப்: hsup
திருடன்: ksif
தக்கவைத்து: nrec
சேனல்: kcen
ஆளுமை: klim
சீர்திருத்தம்: kfam
அச்சுறுத்தும்: hzim
பனை: plim
பேச்சாளர்: hzak
வாசலில்: dwic
தூண்ட: pris
ஈட்டி: bzak
சுத்தமாகவும்: syec
அமர்வு: cwen
சித்திரவதை: crot
ஈரமான: tcum
ரிட்ஜ்: grit
பயணி: hyek
ஆலை: mwik
வரைபடம்: jrac
காலர்: klok
பதிலாக: klif
வேண்டுமென்றே: drat
பீர்: hbif
வெல்வெட்: hwem
ஈர்ப்பு: gwit
பிரசங்கம்: hpum
தவறாக: glas
மந்தையை: hgen
பதின்மூன்று: tres
நியாயப்படுத்த: jyit
வெள்ளி: crum
தூரிகை: broc
பதிவிறக்க: dlas
கிரீம்: krem
குன்றின்: klaf
ஜூரி: jrin
அசுரன்: ksos
உறைந்த: hgoc
பானை: pfot
பென்னி: psen
வலியுறுத்துகின்றனர்: srut
ஆப்பிள்: hpep
விவாதிக்க: drak
பின்னணி: prun
படியாக்கம்: trim
தனிம: prik
பொழுதுபோக்கு: nren
வைரஸ்: bris
குழந்தைத்தனமாக: blit
பிரதிபலிக்கும்: flit
மாற்ற: kcet
அவுட்லைன்: kluc
ஓபரா: hpop
ஒப்புதல்: nron
துரோகம்: rwak
தண்டிக்க: hzen
முழங்கை: kcon
இணைப்பு: tcet
பழுது: hrop
சந்தேகத்திற்கிடமான: cyec
எழுபது: swet
வேதம்: srip
குழி: grac
கோளாறு: dlak
பைனரி: byin
அபே: bjan
arrow: tcec
முனைகிகிறது: trec
விரிவாக: frat
விசுவாசத்தை: hlot
நாணயம்: syip
நடுங்குபவர்களாகவும்: tcem
வெளிநாட்டில்: gwin
இயந்திர: myim
பொறி: crap
கேக்: kyek
ஐயா: cyes
தயங்க: sret
பதினேழு: syet
தேன்: myon
பங்குகளை: dzat
ஜாக்கிரதையாக: hjam
செங்கல்: brit
எண்பது: hpes
எதிர்பாராதவிதமாக: pcen
கலந்தாலோசிக்க: kcot
செவி: lwen
அறுவடை: hfos
பதவி-உயர்வு: pfon
அடுப்பு: hsop
கிளர்ச்சி: bric
பழங்காலத்து: hnom
வடிகிறது: cron
சதுப்பு: swot
டிரஸ்ஸிங்: hdes
துறவி: pces
மேலாளர்: mren
கோரஸ்: cros
பகுத்தறிவு: tson
செயலாக்க: pson
ஓநாய்: blaf
கம்பள: hgap
பழங்காலத்தில்: hjak
வளமான: frut
விசில்: slif
சீஸ்: twis
கடிக்க: byat
அழைக்க: jwan
கதீட்ரல்: kyet
துறைமுகம்: brak
அலைய: djan
பயிர்கள்: tsos
கடற்படை: nlen
மூடிமறைக்கும்: mrok
பென்சில்: pses
காய்கறி: sroc
கண்காட்சியின்: hzet
கால்சட்டை: tlun
ஊழல்: hrup
மந்திரி-சபை: nram
சூப்: srup
அறுவை-சிகிச்சை: syon
கொடுப்பனவு: tcot
உளவு: gyas
பொறுப்பற்ற: hlec
கிசுகிசு: gyic
டோக்கன்: hzon
சுருக்கம்: srok
வியாழக்கிழமை: cwim
போக்குவரத்து: ryaf
கட்டிடக்கலை: ryek
கிராக்: rwaf
ஆபரணம்: rwon
தலைகீழாக: lwas
உல்லாச: mwun
மீட்பு: ksus
நடைபாதை: plut
தீர்க்கமான: dyin
எதிர்மறை: nraf
திருவிழா: hfec
குறைக்க: hrum
தேசத்துரோகம்: zyan
வேட்டையாடி: djin
பாம்பு: syen
பேட்டரி: bret
மெழுகு: flam
துப்பறியும்: dlit
ஆய்வு: nlis
வலியுறுத்தல்: hzot
நீந்து: twen
உறை: lwaf
எவர்: hgek
சிகரெட்: jrit
மோட்டார்: mrot
தன்னார்வ: hwot
எதிர்வினை: ryif
பேக்கேஜ்: blam
செவிடு: hboc
சாறு: hjus
பணிவு: jlit
அமைச்சகம்: mret
பாலியல்: hjon
விட்டம்: dyam
கோடரி: blac
வைர: dlam
மாற்று: hlek
எதிரொலி: hgus
நிதானம்-வேண்டும்: swon
அடையாள: hdaf
திரை: krun
சோம்பேறி: lwis
momentane-அம்சம்: hmop
கச்சிதமான: kfot
சறுக்கல்: hdif
மறைந்துவிடும்: hgaf
ரே: ryen
மை: mwic
பாரிய: mraf
பாதாள: dyac
மறக்கமுடியாத: nrun
கண்ணை-கூசும்: klek
செனட்: slet
சவப்பெட்டியில்: tfap
மன்னிப்பு: frac
விழுங்க: nlun
ஈடுபடுத்தி: nlot
ஊஞ்சலில்: swun
பசும்புல்: gram
சிக்கலான: klos
ராஜினாமா: hzis
தாழ்மையான-பதிவு: nret
சதி: swim
மிளகு: prip
குதிரைவண்டி: pron
வேட்பாளர்: hzam
நரி: flik
புகைபோக்கி: tcon
அதிகார-வரம்பு: drik
விவசாயம்: rwic
துல்லியம்: tcuk
முன்னாள்-இறந்தவரின்: brim
ஜனநாயக: mrek
மொட்டு: hbos
போர்வை: bwat
ஆலங்கட்டி-மழை: hgep
பன்றி: srus
வடிவ: krek
தந்தம்: craf
பாரம்பரிய: ksok
பார்வையாளர்: nwet
யானை: lwit
நகங்கள்: nwus
தேனீ: hmif
அடக்கம்: dzan
நடிகர்: bzat
வியர்வை: zwan
போலிஷ்: ploc
மாயையை: hlus
நிச்சயமற்ற: pcet
இரண்டாம்: syif
மடி: tsot
கிராமப்புற: grun
புலம்பல்: nyen
ஒத்திருக்கின்றன: slec
மேற்கோள்: hzun
வேலையிலிருந்து: cyek
எரிச்சலை: fren
ஊசி: hjun
கட்டுப்படுத்தப்பட்ட: nroc
கோழி: truk
சீரான: kwot
பீப்பாய்: bras
பழக்கமானவர்கள்-அம்சம்: hcep
நிபுணர்: ksec
ஈர்க்க: blin
ஆலிவ்: zlin
வேன்: myen
தடையாக: bwak
விருதினை: kcec
வளர்ப்பு: plaf
வரையறை: fyic
பிறந்த-நாள்: gjin
சுத்தியல்: hcof
மணம்: hfon
திரும்பச்-செய்தல்: trun
அற்பமான: twut
கிக்: hjik
தோண்ட: kwaf
pet: plot
மண்டை: hcop
சட்டமன்றம்: dlik
குதிகால்: cruk
சிடுசிடுப்பு: crun
காப்புரிமை: plet
பில்லியன்: blim
இரசாயன: fyik
பைலட்: pyot
பின்பற்ற: mlot
பாவாடை: kwet
வழக்கத்திற்கு-மாறாக: srap
வாராந்திர: jwik
தொழில்நுட்ப: tfip
தாவர: tset
காகம்: kraf
சூரிய-உதயம்: sruc
வாழ்நாள்: glin
பங்களிக்க: hyom
கொக்கி: hdok
புலி: blic
ஊடுருவி: crut
பூண்: slun
நெடுஞ்சாலை: jras
குடிப்படை: mlip
பள்ளத்தில்: kroc
நேர்மை: kret
பத்தொன்பது: dzin
கரிம: rwik
இறையியல்: flic
மிதவை: flut
சூனிய: byac
சலித்து: hwuk
இராஜதந்திர: dyik
ஸ்டூடியோ: twos
தாண்ட: kcok
மதுவை: cyen
ஊக்குவிக்கும்: crif
பேனர்: hbes
விவாகரத்து: lwon
ஆணி: hbut
நரம்பு: jyan
செயலற்ற: psif
நுரை: hgum
சரளை: grik
கவச: tyen
கிரகம்: gren
அலமாரியில்: claf
ரசிகர்: flon
வெப்பமண்டல: hjip
கட்ட: fwas
தன்னிச்சையான: rwen
உச்சரிக்க: kfun
பாதரசம்: krok
ஆட்டுக்குட்டி: hrem
தற்கொலை: tcos
நிருபர்: prot
இழந்துவிட: hpok
திறமையான: klun
பால்கனியில்: blik
போர்க்: fras
ஊழியர்: mlek
முதலாளி: myot
அகலம்: jrak
எரிச்சல்: djit
குற்றஞ்சாட்டத்: klot
ஓய்வூதிய: pyen
வினை: kres
குரங்கு: mwon
ஏற்கத்தக்க: hwek
கையொப்பம்: tlim
ஆச்சாரமான: rwos
முரண்பாட்டை: fron
நாற்றங்கால்: nrap
தயக்கம்: jlan
இறக்குமதி: tyot
ஜோதி: croc
இலக்கணம்: gjak
வைப்பு: gyat
காலனித்துவ: plon
படகு: jyat
அதன்-விளைவால்: kwec
குவிமாடம்: kwun
தடிமன்: hfot
பிடிவாதமாக: cyon
தசை: hmup
ரிக்டர்-அளவில்: ryam
துடைப்பான்: ryos
கோழைத்தனமான: rwam
சேணம்: gwac
சிற்றுண்டி: tros
சுட்டி: myus
அசை: slim
பேட்: prap
உரையாடல்: dlaf
நடுநிலை: nrot
விடாமுயற்சி: dwin
முரண்பாடு: trot
அடைய: kfic
வெள்ளாடு: byak
வளம்: hfet
சுமத்த: mlon
பெயரில்லா: nwim
சாதாரண-பதிவு: frit
கன்று: hbof
கையேடு: mwut
உருகுகின்றன: hjec
நீக்க: flas
குடை: gras
துவக்க: bzut
கனிம: mrim
போர்-நிறுத்த-உடன்பாடு: crus
வாத்து: hbok
திட்டமிடல்: pfam
சோப்பு: hsuf
பொம்மை: gwak
எலும்புக்கூட்டை: klet
வில்லா: blis
தையல்: jlin
சரிசெய்யும்: dyak
கெண்டி: kset
முதிர்ந்த: mruc
முயல்: kruc
நடத்துனர்: nwot
சார்ந்திருத்தல்: djat
ஆட்டக்காரர்: jlic
பூச்சி: pset
உணவகம்: cret
ஆந்தை: lwun
தீவிரவாத: djik
குடியுரிமை: zwin
டிராகன்: dron
செவிப்புல-சான்றுத்: drot
தாகம்: kyos
தாமதி: dren
கணக்கீடு: glun
கட்டுப்பாடு: ryim
மேயர்: mlap
சிறுபான்மை: mric
கையகப்படுத்தல்: dwon
மூத்த: bren
இசைக்குழுவிற்கு: ryes
பன்றி-இறைச்சி: bjin
அனுகூலமற்ற: zwat
துணி: frap
இசைக்கலைஞர்: gzik
மன: hnep
இணைந்து: nyon
போதிய: nrip
கட்டட-வடிவமைப்பாளர்: tsek
எலுமிச்சை: nyim
இருமல்: kcos
தலைவலி: crek
குடியிருப்போர்: ryet
கருவுறுதல்: srun
ஆற: hfoc
தொண்ணூறு: nwon
சீரற்ற: hbec
ஸ்பூன்: kcek
பலூன்: blon
சுண்ணாம்பு: hfip
அனுமான-சான்றுத்: nlet
வெளியீட்டாளர்: pcot
வினிகர்: sruk
சாம்பல்: fyec
உதவிப்படைவீரர்: slek
புதுப்பிக்க: nrut
பாதிக்கப்படுகின்றன: kfim
சுரங்கப்பாதை: tfun
புதிர்: hpef
பொறிமுறையை: mwim
கணிதம்: gzit
ஃபேட்: frun
கல்லீரல்: jwin
sublative-வழக்கு: bwik
டிப்: dris
அலகு: twim
ஏகபோக: hnop
சூதாட்ட: hgup
நீர்மூழ்கி: bzin
நிலநடுக்கம்: hbem
ஆய்வக: brot
கார்க்: kruk
சுய-கட்டுப்பாடு: syot
புத்தர்: hbus
பின்னப்பட்ட: bjat
தூதரகம்: blas
வெகுதொலைவில்: sres
அறிவித்தல்-மனநிலை: drim
ஊக்க: tyuc
சாக்லேட்: clot
தற்செயல்: tyon
கையுறை: gwat
நெடுஞ்சாண்-கிடையாக: hjek
நிலவியல்: hjif
முதலீட்டு: nwes
வாய்மொழி: mrec
ஒப்புமை: nlip
மதச்சார்பற்ற: srek
பருந்து: blap
உளவியல்: nloc
கட்டு: gjan
குப்பை: krep
பங்கு: cyum
டோஸ்: hdos
சால்மன்: slom
புட்டு: pwun
காந்த: gyik
பம்ப்: pcom
ஆக்சிஜன்: ksip
சான்றிதழ்: tfot
பதக்கம்: hmem
சொல்லாட்சி: trok
சுரண்டு: rwap
துடுப்பு: dyas
தொலைநோக்கி: trip
அட்டிகை: clek
எழுத்துப்பிழை: prif
விஸ்கி: hwos
வில்லோ: hwof
ஒட்டகம்: hlum
அமெச்சூர்: myet
வெளியேறும்: crec
சுயசரிதை: brif
கழுதை: gzac
மாதாந்திர: mwis
புறக்கணிக்க: nruk
விடுமுறை: byit
கிளிக்: lyik
ஓவல்: twon
மீள்: lyet
அகராதி: kfon
ஹாம்: gzam
வானவில்: rwun
நுகர்வு: kcum
துப்பும்: tcup
தொட்டி: trek
சக: clok
பட்டாம்பூச்சி: trif
விளக்கப்படம்: graf
இரட்டை: jwat
சுதந்திரமாக: trem
மூங்கில்: hbum
வியாபாரி: jlat
குவிப்பு: kles
இன்ஸ்பெக்டர்: nyet
பருக்கை: hyos
கனவு: hbom
ஜாம்: gjam
அருங்காட்சியகம்: mrem
எழுத்துக்களை: lwam
சிதறல்: zras
RAID: crip
வெளியிட: clus
அழுகல்: fraf
ஆக்கிரமிப்பு: gris
உராய்வு: mroc
கப்பல்-துறை: gyac
சிலந்தி: brik
உருளைக்கிழங்கு: trut
திருத்தம்: cwon
பேராசை: jlac
அகால: ryot
பெருக்கவும்: gzan
சுழல்: pcip
புள்ளியியல்: tsok
நாட்காட்டி: klem
பரிந்துரையை: nwen
டிரில்லியன்: tlos
மாட: tlok
உடன்பாட்டு-மனநிலை: rwim
பயன்பாடுகள்: pfen
பெயரளவு: nlon
அதிருப்தியை: sraf
தொற்று: hfok
பிட்சர்: krot
அலட்சியமாக: cyok
முன்னோடியாக: gzin
விடுபடுதல்: nlif
முட்டைக்கோஸ்: glic
தடகள: tlet
குடிவெறி: mrut
idiophone: hdof
நெம்புகோல்: lwek
செனட்டர்: syem
கருவிழி: nrif
எறும்பு: mwam
பிழை: hbop
கர்ப்பிணி: grim
உருக்கொள்வதற்கு: hjet
கணுக்கால்: tcok
வகைப்பாடு: glik
மாறி: prim
மடிக்க: ryap
சுருள்: krec
சல்பர்: hsef
கட்டளையிட: dwik
வெளிப்பட: brun
தவளை: fram
அதிகப்படியான-வழக்கு: twek
கடற்பாசி: hjen
எரிச்சலூட்டும்: djon
அணில்: slip
அரை: zyin
irrealis-மனநிலை: flim
எரிமலை: glam
உட்புறங்களில்: gron
சுரண்ட: kloc
புவியியல்: jlik
பாஸ்போர்ட்: psop
ஒழுக்கங்கெட்ட: mlet
பிஸ்கட்: hbuk
ஒத்துழைப்பு: kros
மாத்திரை: tlot
தளர்வு: kces
அணுவின்: trom
எய்ட்ஸ்: hzip
பிரமிடு: psim
சுழற்சி: swok
தூக்கம்: hnup
சட்டவிரோத: hjaf
தனக்காகப்: pfap
கூச்சம்: crom
மங்க: klip
வீணை: lwap
விளக்குமாறு: srum
குழு: mwen
வானியல்: tcom
பிரமை: blen
உதவித்தொகை: bwit
ஆமை: kfuc
ஆலோசகர்: dwak
ஃபைபர்: fwic
கிரிக்கெட்: jrik
புறா: ksom
தழுவல்: dyon
முக்கோணம்: tfon
பொருளாளர்: tsen
ஹைட்ரஜன்: jron
உடையக்கூடிய: hfuk
பிரிண்டர்: pyet
சோக்: tcof
நாள்பட்ட: gzon
சமாளிக்க: slaf
சங்கடத்தை: dlim
பொறியியல்: jyin
கேமரா: hkef
மன்னிப்பு: pluc
சுவைக்க: lwet
நடன-கலைஞர்: dret
இடம்பெயர்வு: mres
டென்னிஸ்: tces
முதுகெலும்பு: clip
வறுக்கவும்: zrac
தறி: tfuc
குத்துவதற்கு: twuc
கடவுச்சொல்: psaf
துருவத்தில்: praf
மூலோபாயம்: zrit
குவார்ட்ஸ்: krus
கத்தரிக்கோல்: jris
ரோந்து: proc
பனிப்பாறை: lwic
பாதியிலேயே: dwam
குறிப்பாணை: mwap
கூம்பு: kwuc
சமச்சீர்: hzut
உற்பத்தியாளர்: zrak
பிரதிவாதி: fwik
மசூதி: djis
சதுரங்க: cres
எண்ணிக்கை: htof
செர்ரி: tref
பரவலாக: kfen
தவறுகிறோம்: tfok
டிரக்: ryok
கடுகு: mros
சதவீதம்: pfet
ஏலத்தில்: jlam
சல்லடை: srif
நிலையற்று: swoc
காந்தம்: gjat
சக்: syus
இஸ்லாமியம்: slum
தயாராக: twip
சவ்வு: mlen
ஷேவ்: clet
கிட்டார்: gjit
பளபளப்பான: bzan
இலம்: hyem
எழு: kcom
சுட்டுப்பெயர்-மார்க்கர்: ryec
பிரதான: pcus
மசாலா: zlat
ஜாமீன்: jlas
கேரியர்: zyac
அதிர்வு: bron
கேலி: trus
கலப்பை: hlom
உடலியல்: zlik
நீரோடி: hgok
வால்மீன்: cyet
இடைக்கால: dyic
குருவி: grec
ஈடு: twet
பிளாஸ்டிக்: psuk
அடிக்குறிப்பு: cyot
வட்ட-பாதையில்-சுற்றி: rwot
குறைந்த-பட்ஜெட்டில்: twum
கோல்ப்: hgof
பூஜ்யம்: zrun
சிப்: tcep
ஒடுக்குகிற: prok
கொட்டாவி: gjac
சமத்துவமின்மை: gwas
மோல்: tloc
மட்பாண்ட: frik
இல்லத்தரசி: hgif
கம்பு: rwem
மாறு: hyes
சகிப்புத்தன்மை: glon
கரு: brec
சுரங்க: jren
கைத்தட்டல்: zlac
ஈஸ்ட்: lyim
பிரீமியம்: pfim
பிளம்: plem
திவால்: byas
பாசன: rwif
புதினா: nyun
முதலாளித்துவ: glis
நெகிழ்ச்சி: hlef
சுறா: gyak
பணியமர்த்த: drut
சேமிப்பு: zren
ரியலிசம்: cles
இஞ்சி: djic
ஆம்புலன்ஸ்: blus
ஒப்பிடக்கூடிய: kwip
பணப்பை: bjap
பழிப்பு: glim
விஞ்ஞானி: gyis
குடல்: grot
மனஅமைதி: hwum
வானொலி: href
பொருத்தமற்ற: zlit
பீன்: bwam
முறைசாரா: frim
பேத்தி: gyut
கருத்து-வேறுபாடு: dloc
மாமிசத்தை: tfek
நைட்ரஜன்: zron
ரேஸர்: hjut
முரண்பாடான: krom
பிரச்சார: pcoc
வானவேடிக்கை: fris
பாப்: pcop
கழற்று: crop
வரப்பு: cruc
தீங்கு: hzaf
யூதம்: hjum
நிறைவுடன்: pluk
லென்ஸ்: lyes
pegative-வழக்கு: pwek
புற்றுநோய்: kfes
சிப்பாய்: pyek
விரிவுரையாளர்: zyat
கசிவு: hzuk
தகுதி: krif
அடர்த்தி: djot
தூண்டல்: dyis
மெல்லும்: htuf
பேச்சாளராக: bzit
இரால்: hgos
தள்ளுபடி: dyut
டாக்ஸி: tsuk
வரிசைக்கு: crem
ஜேட்: gyec
snarl: glaf
பல்லி: lyis
நீர்வீழ்ச்சி: crof
ஏமாற்றம்: djak
தடுப்பதிகார: frot
ஜனாதிபதி: ryip
வாங்குபவர்: mrif
கேலன்: jlen
கொசு: mruk
விலகல்: dwen
மல்யுத்தம்: lyut
மொசைக்: myok
பிளக்: plok
குந்து: pcuk
மளிகை: ksoc
கம்யூனிஸ்ட்: myos
கவர்வது: mwek
prosecutive-வழக்கு: rwuk
விண்மீன்: nlos
சர்வாதிகாரி: dwit
சிந்தனையுடன்: tyet
செயற்கைக்கோள்: tlec
ஸ்லிப்பர்: hlop
மெய்: fyon
தோராயமான: tsif
வேலையற்ற: byet
ஆதரவாளர்: sros
தாமரை: lwot
கீரை: sles
குளோரைடு: lwok
பாக்டீரியா: bwic
ஒட்டும்: pcek
கூறு: bwon
கர்னல்: klec
feign: bjak
பைட்: bzet
சுரப்பு: sruf
வெளிப்படையாக: pres
யதேச்சையாக-நடந்தது: mloc
பாலே: blet
சிறுநீர்: mrus
பூண்டு: lyun
கடந்துவிட்ட: hguc
பொருளாதாரம்: kcem
நடுத்தரம்,-நடுத்தரவர்க்கம்: hdom
சுறுசுறுப்பான: gjic
இடுக்கி: htef
சலவை: lyoc
ஸ்ட்ராபெரி: srem
நகர்ப்புற: pcos
தர்மசங்கடத்தில்: mlaf
நோட்புக்: tfut
ஆல்பம்: zlam
பேஸ்பால்: hbep
முகர: sluc
பஃபே: hbuf
பெயரெச்சம்: rwip
கேரேஜ்: grek
ஆய்வுக்கு: djas
ஊன்றுகோலாக: ksuc
பறி: srom
பதிவு: psuc
கரையக்கூடிய: jlun
பாஸ்பரஸ்: psof
கட்டமைப்பு: rwut
பசை: glum
ஆய்வறிக்கை: twes
கைவினைஞர்: clif
வாழை: bwas
வெளிப்படையான: kyom
விலா-எலும்பு: psos
நிக்கல்: nyek
பை: pyim
பேருந்து: bwos
தணிக்கைக்: swes
ஏவுகணை: mlus
தொத்திறைச்சி: slos
கையாளுதல்: nlut
தக்காளி: tfet
வலுப்படுத்தும்: kfut
சாக்கெட்: syok
பொட்டாசியம்: tsom
மீட்டெடுக்க: prup
மெய்நிகர்: zwit
இயற்கணிதம்: gjas
பல்: dzit
ஆப்டிகல்: pcok
அடங்க: bzen
உயிரியல்: bwim
வேலையின்மை: byim
கம்பளிப்பூச்சி: krum
தனி: slof
உலாவி: bjac
தொலை-கடந்த-பதட்டமான: nyot
வரலாற்று-பதட்டமான: crep
அணு: nluk
ஸ்பெக்ட்ரம்: pyem
சோடியம்: syom
வெறித்தனம்,: syes
அறங்காவலர்: tyos
பணயக்கைதிகள்: byik
ஆமணக்குச்: gluk
தோல்-சுருக்கம்: kwuk
வெளிப்படைத்தன்மை: tfif
ஸ்பைக்: swip
முன்னுரிமை: pcif
பாதசாரி: dyen
நாத்திகம்: tsem
மானிட்டர்: mwot
தொகுதியில்: nlec
கட்டுப்பாடற்ற: hkof
விசாரணை: grok
பிளாட்டினம்: plip
இரட்டை-எண்: dlun
நுரையீரல்: pcep
சூப்பர்: syup
ரெயில்-தண்டவாளங்களின்-மேல் கையால் தள்ளப்படும் வண்டி: trop
உள்நாட்டில்: lyot
துாண்டு: gzat
பெட்ரோல்: plif
சிறுநீரக: grif
திருட்டை: bzac
மதிப்பீடு: dlen
ஆர்சனிக்: syek
நத்தை: nrok
வெட்டுக்கிளி: tsec
சமன்பாடு: fwen
சோசலிச: swos
வடிகட்டி: flot
உணர்ச்சி-சான்றுத்-மனநிலை: hxin
விரிவுபடுத்தும்: kyot
வெளியிடுவதில்லை: mwet
தோல்வார்: pwet
மாண்டரின்: drun
தொகுப்பாளராக: hjok
நிமோனியா: hnof
ஒற்றுமை: gret
கீல்: cyif
நெடுக்கு: nruc
ஈவுத்தொகை: dwun
ஸ்கேட்: hkep
உள்ளீடு: slop
இயலாமை: dlif
தொல்லை: bwen
ஒதுக்கீடு: pfun
புகைப்பட: trof
டெல்டா: dlet
டிஜிட்டல்: djim
பிச்: brut
கண்ணிமை: hyop
மூலைவிட்ட: dyun
ஆழ்: byon
புருவம்: bruc
தும்மல்: pcec
பெருங்களிப்புடைய: dlis
இந்து-மதம்: nwum
அகதி: nyif
விண்கலம்: cwot
புரதம்: pwot
டம்ப்: hdop
சுத்தி: flen
வாந்தி: hwom
மரபணு: gyen
புதியவர்களை: hdem
சமூகவியல்: syoc
ஸ்குவாஷ்: kwoc
ஃபிஷர்: hfuc
பிராந்திய: jyen
இயக்கம்-மேல்நோக்கி: hvok
சுயபரிசோதனை: hxik
சூறாவளியினால்: gyon
தலைகீழ்: nwos
தொலைக்காட்சி: twif
கன: kfet
உற்பத்தித்: pwuk
கேரட்: krop
மூலக்கூறு: mwuk
கூட்டுக்குழுமம்: glet
கணக்காளர்: ksum
வெள்ளரி: kyok
களியாட்டம்: drok
கரைப்பான்: jlet
பாஸ்பேட்: psef
அறிமுகம்: gwik
கார: flis
ஜிம்னாஸ்டிக்ஸ்: jyas
கமா: kwom
இயக்கம்-கீழ்நோக்கி: hvat
கருச்சிதைவு: jwac
நெற்று: tcop
கொடை: dzon
மாங்கனீசு: hzem
உளவியலாளர்: syos
குளோரின்: clos
விசைப்பலகை: kyoc
உயரடுக்கு: zyit
அடைப்பு: pfaf
ரக்பி: rwoc
புண்: jlon
தொனித்திரிபு: hxit
சிறுக-சிறுக-கொரித்து தின்: nres
குவாண்டம்: fwam
ஸ்வெட்டர்: swek
பரிணாம: fwis
குறியீட்டில்: nyoc
துள்ளல்: tcuf
இடர்: drec
கேச்: kcep
நேரியல்: lyec
ஆண்டிமனியை: trum
superessive-வழக்கு: psek
கட்டி: twom
அரிப்பு: cyos
ஆல்பா: flaf
தொப்புள்: nwip
நோய்-எதிர்ப்பு: myip
காய்ச்சல்: flun
மது-வடித்தல்: bjit
எளிமைப்படுத்த: slef
குறுக்குங்கள்: bram
பள்ளம்: djen
இழுக்கும்: dwim
நிர்ப்பந்திக்கின்றனர்: brok
சாக்: bzas
திரைப்பட: fyim
அகிலம்: klom
மாசுபடுத்த: hpuf
கூட்டம்-கூடும்: gjen
ஆண்குறி: zyis
வனவியல்: lyif
அலுமினியம்: lwum
அலைவு: zlon
ஜாதகம்: ksop
வெளியேற்றுவீர்கள்: dlek
சேர்ப்பதற்காக: nluc
பயனாளியின்: byic
டால்பின்: dlip
கொலையாளி: cyus
பாலூட்டி: myaf
காட்டி: swif
டை-ஆக்சைடு: dwis
பெருங்குடல்: zlen
அதிகாரத்துவம்: brus
சிதைக்க: jric
குளிர்சாதன-பெட்டி: frip
தொல்பொருள்: cluk
ஏற்றுக்கொள்ள-முடியாத: kwok
விவரக்குறிப்பு: pfis
துண்டுப்பிரசுரம்: pfut
மானுடவியல்: nlom
சுவையான: kyec
டிரான்சிடிவ்: txit
முடங்கிப்போக: kwus
சூரியகாந்தி: hzuc
பேன்: glus
அயன்: lyos
சுற்றுலா: tyum
மோடம்: myom
முடுக்கம்: jrun
பொய்ப்பதிவுரு: tsoc
உமிழ்வு: hmef
கடத்தல்: drap
ஒன்றுடன்-ஒன்று: hwep
சிகையலங்கார-நிபுணர்: pfes
நாடோடிப்பாடலின்படி,: floc
தந்துகி: plek
தேசியவாதம்: nlum
பிட்டம்: nros
மையக்கருத்தை: hmuf
பதங்கம்: slem
விரக்தி: xras
கோபால்ட்: kwos
ஓட்ஸ்: gwam
இயக்கம்-upriver: trup
ஆசனவாய்: gyam
மாட்டிறைச்சி: bwun
வைக்கவும்: flip
பணிநீக்க: dzun
காணொளி: hwop
புறக்கணிப்பு: bjik
வினாடி-வினா: cwif
ஹாக்கி: cwok
கொரில்லா: grip
மெக்னீசியம்: hgem
ரேடார்: drek
சிம்பன்சி: hzif
நம்பகத்தன்மை: kwif
செவ்வகம்: tyec
கெல்ப்: klep
பொதுமைப்படுத்த: jlak
ஊரடங்கு-உத்தரவு: kfec
ஓரின: mlok
சூழ்நிலையில்: srop
உருவாக்கம்: flus
மறுபிறவி: nrom
எரியூட்ட: zlak
யுரேனியம்: ryum
பிடிப்பவன்: kwes
ஒருங்கிணைக்க: kyop
வரிப்பண: nwaf
ஒருங்கிணைந்த: trep
யூகத்தை: hzap
காமா: hxam
சபாரி: fwim
இயக்கம்-downriver: ht6n
குணகம்: kfus
தலைப்பு: zlic
ஆய்வாளர்: nles
செக்மேட்: hzes
மால்: hmof
பிஸ்மத்: bzim
அஞ்சலட்டை: psok
குவிதல்: bros
விலகு: djet
பங்குதாரர்: ksem
நுண்ணுயிர்: mrip
பிறப்புறுப்பு: jwit
உருவ: mluk
பீட்டா: byot
ஜீன்ஸ்: gjis
தகவல்: tles
கால்குலேட்டர்: klus
எக்ஸ்-ரே: ksef
இட: zram
சுற்றுச்சூழல்: zyen
சிக்மா: zyim
பிரிவுநிலை: hxon
நிகழ்ச்சி-நிரல்: gres
விசா: bzis
உள்கட்டமைப்பு: nyuk
மின்மினிப்-பூச்சி: gyun
கண்டுபிடிப்பான்,: tyek
தகவமைப்பு: dyip
உயிரியலாளர்: byis
கயிற்றின்: pyec
புரோமின்: brom
பல்லேடியம்: plum
விக்கல்: kfok
