hi li hu  ser li ha ya
sulc hu  solución li ha ya
tals hu  fingir li ha ya
sark hu  sarcasmo li ha ya
talc hu  dar-derecho li ha ya
tafp hu  defender li ha ya
nuft hu  hostil li ha ya
tacp hu  discutir li ha ya
tumk hu  vómito li ha ya
tump hu  templo li ha ya
tiym hu  tarde li ha ya
nalt hu  naturaleza li ha ya
tuyp hu  prototipo li ha ya
sayt hu  velocidad-de-la-luz li ha ya
tiyf hu  conducir li ha ya
sant hu  arte li ha ya
timp hu  tiempo-gramatical ha ya
tuwk hu  deber li ha ya
tuwn hu  tono li ha ya
tins hu  denso li ha ya
tunp hu  adaptar li ha ya
tawk hu  autoridad li ha ya
tusp hu  destripar li ha ya
tulk hu  total li ha ya
tulp hu  dolor li ha ya
tufk hu  objetivo li ha ya
tuck hu  diccionario li ha ya
limk hu  Perfecto li ha ya
limt hu  límite li ha ya
tiys hu  distancia li ha ya
tink hu  texto li ha ya
ticp hu  casi li ha ya
tiwk hu  actividad li ha ya
tisk hu  texto li ha ya
tinp hu  golden-relación li ha ya
tick hu  diccionario ha ya
tayf hu  oferta li ha ya
linp hu  largo li ha ya
tisp hu  representar li ha ya
tuym hu  mundo li ha ya
tayk hu  adjuntar li ha ya
lifk hu  lanzamiento li ha ya
lick hu  conferencia li ha ya
licp hu  hoja li ha ya
lict hu  electo li ha ya
lamk hu  ley li ha ya
lamt hu  local li ha ya
liys hu  libertad li ha ya
task hu  tarea li ha ya
layc hu  literatura li ha ya
laws hu  perezoso li ha ya
talk hu  hablar li ha ya
taym hu  tiempo li ha ya
lask hu  ofender li ha ya
lasp hu  lucha li ha ya
talf hu  ocultar li ha ya
tank hu  repentino li ha ya
lack hu  idioma li ha ya
tayn hu  zona li ha ya
lumt hu  melodía li ha ya
tasp hu  base-de-datos li ha ya
tuyk hu  médico li ha ya
tuyn hu  turno li ha ya
tuys hu  ladrón li ha ya
tuyc hu  destruir li ha ya
fiym hu  firma li ha ya
fiyn hu  evitar li ha ya
fiys hu  versión li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 triángulo li ha ya
lisk hu  vacaciones li ha ya
tukc hu  Turco li ha ya
liyp hu  biblioteca li ha ya
talp hu  mesa li ha ya
layt hu  once li ha ya
lank hu  local li ha ya
tusk hu  progreso li ha ya
tamk hu  mirar li ha ya
liwk hu  legal li ha ya
tanp hu  aparecer li ha ya
tack hu  agradecer li ha ya
tuwm hu  duración li ha ya
fayt hu  hecho li ha ya
list hu  minimo li ha ya
fals hu  falso li ha ya
falt hu  defecto li ha ya
funk hu  función li ha ya
lant hu  lento li ha ya
last hu  lista li ha ya
laft hu  beneficio li ha ya
lunk hu  lógica li ha ya
fult hu  hotel li ha ya
liyk hu  líquido li ha ya
lufk hu  bloquear li ha ya
liyt hu  literatura li ha ya
liwt hu  regalo li ha ya
fint hu  encontrar li ha ya
fayk hu  fábrica li ha ya
liyn hu  línea li ha ya
link hu  enlace li ha ya
layk hu  lago li ha ya
fast hu  visita li ha ya
fisk hu  afijo li ha ya
faym hu  granja li ha ya
lint hu  dentro li ha ya
fuyk hu  pobre li ha ya
fans hu  Francés li ha ya
fusk hu  foco li ha ya
lumk hu  logaritmo li ha ya
ciyk hu  seguro li ha ya
lunt hu  gente li ha ya
fuym hu  forma li ha ya
cink hu  desear li ha ya
cank hu  signo li ha ya
cant hu  hábito li ha ya
cint hu  agente li ha ya
funm hu  fonema li ha ya
lunp hu  bucle li ha ya
luwt hu  laúd li ha ya
kwal hu  idioma ha ya
budz hu  Budismo li ha ya
cinp hu  información li ha ya
