hi li hu  be li ha ya
fumt hu  tomorrow li ha ya
fuym hu  form ha ya
fuyk hu  poor ha ya
fuys hu  offence li ha ya
funk hu  function ha ya
funt hu  trust li ha ya
fusk hu  focus ha ya
fust hu  skirt li ha ya
fult hu  hotel ha ya
fulc hu  hair li ha ya
cimt hu  imaginary-unit li ha ya
ciyk hu  sure ha ya
ciyn hu  region li ha ya
ciwk hu  hamlet li ha ya
cink hu  wish ha ya
cint hu  genital li ha ya
cisk hu  sharp li ha ya
cisp hu  particular li ha ya
cist hu  history li ha ya
cilk hu  cheek li ha ya
cils hu  resolve li ha ya
cilt hu  stillness li ha ya
camk hu  shirt li ha ya
cayk hu  judge li ha ya
cayp hu  shame li ha ya
cayn hu  survive li ha ya
cays hu  award li ha ya
cayf hu  jaw li ha ya
cawn hu  animal li ha ya
cank hu  sign ha ya
canp hu  habit ha ya
cant hu  hand li ha ya
cast hu  station li ha ya
calk hu  heart li ha ya
cafk hu  victim li ha ya
cumt hu  enemy li ha ya
cuym hu  rumour li ha ya
cuyk hu  burn li ha ya
cuyp hu  hip li ha ya
cuyn hu  river li ha ya
cuys hu  house li ha ya
cuyt hu  city li ha ya
cunk hu  sing li ha ya
cunt hu  sew li ha ya
cusk hu  town li ha ya
cusp hu  shoes li ha ya
cust hu  exist li ha ya
culp hu  smell li ha ya
cult hu  shoulder li ha ya
