abako                         abacus
basketbalo                    basketball
baskulo                       weighing machine
basludanto                    bass player
baso                          bass, bass voice
Basro                         Basrah
bastarda                      bastard
bastardeco                    bastardy
bastardo                      bastard
bastiono                      bastion
basto                         bast
bastonadi                     beat, beat up, flog, thrash, whack
bastoneto                     stick, little stick
bastono                       baton, cane, stick
basulo                        bass
basviolono                    bass-viol, violoncello
batadi                        clatter
batalema                      truculent
batali                        fight, struggle
bataliono                     battalion
batalo                        battle, scuffle, struggle
batava                        Batavian
batavo                        Batavian
bategi                        thrash
baterio                       battery
bati                          beat, hit, strike
batiki                        batik
batisto                       batiste, cambric, lawn
batita kremo                  whipped cream
bato                          blow
bauxdo                        baud
bauxksito                     bauxite
bavara                        Bavarian
Bavario                       Bavaria
bavaro                        Bavarian
Bavarujo                      Bavaria
baza                          basic
baza salajro                  basic wage
bazalto                       basalt, whimstone
bazaro                        bazaar, fair, market
Bazelo                        Basel, Basle
bazi                          base
baziliko                      basilica
bazilio                       basil
bazo                          base, basis
bazopilkludo                  baseball
bazuko                        anti-tank gun, bazooka
bebo                          baby
bebofono                      baby intercom, baby phone
bebovartantino                baby-sitter
bebovartanto                  baby-sitter
bedauxri                      be sorry about, regret
bedauxriga                    miserable
bedauxrinda                   regrettable
bedauxrinde                   regrettably, unfortunately
bedauxro                      regret
bedo                          bed
bedueno                       Bedouin, Beduin
beginejo                      beguinage
begino                        beguine
begonio                       begonia
bekerelo                      becquerel
beko                          beak, bill
bela                          beautiful, fine, handsome, lovely
beladono                      belladonna
bele                          beautifully
beleco                        beauty
belega                        lovely
beleta                        pretty
beletagxo                     ground floor
beletre klera                 well-read
beletristiko                  belles-lettres
beletro                       belles-lettres
Belfasto                      Belfast
belfrido                      belfry, bell tower
belga                         Belgian
belgino                       Belgian, Belgian woman
Belgio                        Belgium
belgo                         Belgian
Belgujo                       Belgium
beliza                        Belizian
belizanino                    Belizian, Belizian lady, Belizian woman
belizano                      Belizian
Belizo                        Belize
belo                          bel
belsona                       euphonious
belulino                      beautiful woman, beauty
bemolo                        flat
bendi                         tape
bendo                         binding, strip, tape
benediktano                   Benedictine, Benedictine monk
benediktanto                  Benedictine
benefico                      benefit performance
Benelukso                     Benelux
bengala                       Bengal
bengala fajro                 bengal-light, bengal-lights
Bengala Golfo                 Bay of Bengal
Bengalio                      Bengal
Bengalujo                     Bengal
beni                          bless
benigna                       benign
benina                        Beninese
beninanino                    Beninese woman
beninano                      Beninese
Benino                        Benin
benketo                       small bench, stool
benko                         bench
benksegxaro                   lounge suite, three-piece suite
beno                          blessing, boon
benzeno                       benzene
benzinbombo                   Molotov cocktail
benzincisterno                fuel tank
benzinkrucxo                  petrol can
benzinmezurilo                petrol gauge
benzinmotoro                  petrol engine
benzinnivela indikilo         petrol gauge
benzino                       gasolene, gasoline, petrol
benzinstacio                  filling station
benzinujo                     gas tank, petrol tank
Beogrado                      Belgrade
berberiso                     barberry
berbero                       Berber
bergamoto                     bergamot
bergamotoleo                  bergamot
Berhxeno                      Mons
berilio                       beryllium
berilo                        beryl
berilsxtono                   beryl
Beringomaro                   Bering Sea
berlina                       Berlin
berlinanino                   Berliner, Berlin lady, Berlin woman
berlinano                     Berliner
Berlino                       Berlin
bermo                         shoulder, verge, verge of a road
Bermudoj                      Bermudas
berna                         Bernese
bernano                       Bernese
Berno                         Bern, Berne
bero                          berry
Berviko cxe la Tvido          Berwick upon Tweed
Besarabio                     Bessarabia
Besarabujo                    Bessarabia
besta                         beastly, bestial
bestacxo                      monster
besteca                       beastly, bestial
bestejo                       pen, sty
bestia                        beastly, bestial, brutal, brutish
bestio                        beast, brute, wild animal
bestkuracisto                 veterinarian
besto                         animal, beast
beta                          beet, beet-, of a beet
Betlehxemo                    Bethlehem
beto                          beet
betono                        concrete
betsukero                     beet sugar, beetroot sugar
betulo                        birch
bezona                        necessary
bezonajxo                     requisite
bezonajxoj                    materials, necessaries, requisites
bezonata                      necessary
bezoni                        need, require
bezono                        need, want
Biblio                        Bible
bibliografio                  bibliography
bibliotekisto                 librarian
biblioteko                    library
bicikli                       cycle
biciklo                       bike, cycle, bicycle
biciklosako                   cycle-bag
bido                          bead
bienisto                      farmer, rancher
bieno                         estate, farm, property, ranch
biero                         ale, beer
bifsteko                      steak, beefsteak
bikino                        bikini
bilanco                       balance sheet
bilardo                       billiards
bildekrano                    screen
bildero                       pixel
bildkarto                     picture postcard
bildo                         image, picture
bildodetruo                   iconoclasm
bildotubo                     cathode tube
bildsimbolo                   icon
bildtubo                      cathode tube
bildvalvo                     cathode tube
biletgicxeto                  booking-office
bileto                        bill, ticket, note
binara                        binary
bindajxo                      binding, cover
bindi                         bind
bindo                         binding, cover
binoklo                       binoculars
biografo                      biographer
biologo                       biologist
birdajxo                      fowl, poultry
birdaro                       birds
birdejo                       aviary
birdeto                       little bird
birdo                         bird
bireto                        beret
Birkenhedo                    Birkenhead
birma                         Burmese
birmanino                     Burmese woman
birmano                       Burmese
Birmo                         Burma
bis                           encore, one more time
Bisauxo                       Bissau
biskoto                       bicuit
biskvito                      biscuit, cookie
bismuto                       bismuth
bitmatrico                    bitmap
bito                          bit
bitoko                        byte
bizanca                       Byzantine
bizancano                     Byzantine
Bizanco                       Byzantium
bizara                        bizarre, odd, weird
bizono                        bison
Bjelorusio                    White Russia
Bjelorusujo                   White Russia
blagi                         kid, pull someone's leg
blago                         sly joke
Blakpulo                      Blackpool
blanka                        blank, white
blanka argilo                 white clay
Blanka Maro                   White Sea
Blanka Nilo                   White Nile
blanka poplo                  abele
blanketo                      blank cheque, carte blanche
blankigi                      blanch, whiten
blanko                        white
blankulo                      European, white man
blasfemanto                   blasphemer
blasfemi                      blaspheme, cuss, curse, swear
blasfemo                      blasphemy
blato                         cockroach
blazo                         blister
bleki                         bellow, bleat, neigh
blinda                        blind
blindeco                      blindness
blindigi                      dazzle
blindulo                      blind, sightless person
blindumi                      dazzle
blokado                       blockade
bloketo                       bit
bloki                         block, blockade
bloklavo                      aa lava, block lava
bloko                         block, pad
blonda                        blond, fair
bloveksciti                   stir up
blovi                         blow
blovinstrumento               wind instrument, wind-instrument
blua                          blue
Blua Nilo                     Blue Nile
Blubarbulo                    Bluebeard
bluo                          blue
bluzo                         blouse
bo-                           by marriage, -in-law
Boacolago                     Reindeer Lake
boao                          boa
boateto                       little boat
boato                         boat
bobeli                        bubble
bobelo                        bubble
bobeni                        wind
bobeno                        bobbin, coil, spool
Bocvano                       Bechuanaland, Botswana
Bodenlago                     Bodensee, Constance
bofilo                        son-in-law
Boformaro                     Beaufort Sea
bofrato                       brother-in-law
bogepatroj                    parents-in-law
bohema                        Bohemian
Bohemio                       Bohemia
bohemo                        Bohemian
Bohemujo                      Bohemia
bojegi                        bark, bay
boji                          bark
bojminaci                     bay at, bark at
boksi                         box
boksisto                      boxer
bokso                         boxing
boleti                        simmer
boli                          boil
boligi                        boil
bolilo                        kettle
bolivia                       Bolivian
bolivianino                   Bolivian woman
boliviano                     Bolivian
Bolivio                       Bolivia
bolkrucxo                     kettle
bolsxeviko                    Bolshevik
bolsxevisto                   Bolshevik
boltingo                      nut
bombardi                      bombard
Bombejo                       Bombay
bombi                         bomb
bombikso                      silkworm
bombo                         bomb
bombono                       bonbon, bon-bon
bona                          good, nice, okay
bonan matenon                 good morning
bonan nokton                  good night
bonan posttagmezon            good afternoon
bonan sxancon                 good luck
bonan tagon                   good day
bonan vesperon                good evening
bonaspekta                    good-looking
bone                          OK, okay, well
bone edukita                  cultivated, cultured, educated
boneco                        goodness
bonega                        fine, great
bonege                        fine, very well
boneta                        nice
bonete                        so so
bonfama                       of good repute
bonfara vendo                 bazaar, fancy fair, jumble-sale
bonfartanta                   well
bonfarti                      be well, feel fine
bonfarto                      well-being
bongusta                      nice, tasty
bongustega                    delicious
bongusto                      good taste
bonhava                       in easy circumstances, well-to-do
bonhumora                     gay, merry
bonifiko                      bonus
bonkaraktera                  good-hearted
bonkonduta                    sweet
bonkora                       good-hearted, kind
bonkvaliteco                  virtue
bonmaniera                    courteous, polite, well-mannered
bonmaniereco                  good breeding, refinement
bono                          good
bonodora                      fragrant, good-smelling, nutty
bonodoro                      nice smell, sweet smell
bonstata                      in good condition
bonstato                      well-being
bonsxance                     fortunately
bonsxanco                     luck
bonsxancon                    good luck
bonulo                        nice guy
bonvenigi                     welcome
bonvenigo                     greeting, salutation
bonvenon                      welcome
bonvolo                       affection
bonvolu                       please
bopatrino                     mother-in-law
bopatro                       father-in-law
borakso                       borax
boratingi                     bore, broach, sink, strike, tap
bordelo                       brothel
bordero                       border
bordo                         bank, border, edge, shore
Borglono                      Looz
bori                          bore, drill
borilo                        bore
Borneo                        Borneo
boro                          boron
borso                         stock exchange
bosna                         Bosnian
bosnino                       Bosnian woman
Bosnio                        Bosnia
Bosnio-Hercegovino            Bosnia-Hercegovina
bosno                         Bosnian
Bosnujo                       Bosnia
Bosporo                       Bosporus
botaniko                      botany
botelmalfermilo               bottle opener
botelo                        bottle
Botna Golfo                   Gulf of Bothnia
boto                          boot
botsvana                      Botswanan
botsvananino                  Botswanan woman
botsvanano                    Botswanan
bova                          bovine, cow, cow-
bovajxo                       beef
bovejo                        byre, cowhouse, cowshed
bovidajxo                     veal
bovido                        calf
bovino                        cow
bovo                          bovine, bovine animal
bovorabanto                   cattle-lifter, cattle-stealer
bovorabisto                   cattle-lifter, cattle-stealer
brabanta                      Brabantine
brabantano                    Brabantine
Brabanto                      Brabant
braceleto                     bracelet
bradipo                       sloth
bragxo                        charcoal
brajlo                        Braille, braille
braka                         arm, arm, of an arm
brakapogilo                   arm, arm-rest
brakhorlogxo                  watch, wrist-watch
brako                         arm
brakringo                     bracelet
braksegxo                     armchair
brakumi                       embrace
bramo[1]                      bream
bramo[2]                      topgallant mast
brancxeto                     twig
brancxo                       bough, branch
brancxotrancxilo              bill, pruning-knife
brancxvojo                    by-way, side-way
brando                        brandy
brankardo                     stretcher
branko                        gill
brasiko                       cabbage
brasikstumpo                  stalk of cabbage
brava                         brave, gallant
brazila                       Brazilian
brazilanino                   Brazilian woman
brazilano                     Brazilian
Brazilo                       Brazil
brecxi                        breach
brecxo                        breach, gap
bredi                         breed, keep, raise, rear
bremsi                        brake
bremso                        brake
bretaro                       cabinet
breto                         shelf
Bretonio                      Bretagne, Brittany
bretono                       Breton
Bretonujo                     Bretagne, Brittany
bridi                         bridle, check, restrain
Bridlintono                   Bridlington
brido                         bridle, check, restraints
brigado                       brigade
brika                         brick
briketo                       bar
briko                         brick
brila                         bright, brilliant
brili                         shine
brilo                         gloss, sheen
brita                         British
Brita Kolombio                British Columbia
Britio                        Britain, Great Britain
brito                         Briton
Britujo                       Britain, Great Britain
brizo                         breeze
brocxo                        brooch
brodi                         embroider
Brodiko                       Brodick
brogi                         scald
brokanta                      second hand, secondhand
brokanti                      deal in secondhand goods
brokantisto                   secondhand dealer
brokolo                       broccoli, brocoli
bronza                        bronze
bronzo                        bronze
brosi                         brush
broso                         brush
brosxura                      paperbacked
brosxuro                      leaflet, pamphlet, paperback
brovo                         brow, eyebrow
brua                          noisy
Brugo                         Bruges
brui                          make a noise
brulajxo                      fuel
brulalkoholo                  methylated spirit
brulavertilo                  fire-alarm, firecall
brulbombo                     incendiary bomb
brulema                       flammable
brulgluigxi                   burn
brulgusta                     burnt
bruli                         burn
bruligi                       burn
bruligxo                      combustion
brulligno                     firewood
brulstampi                    brand
brulstampilo                  branding iron
brulstampo                    brand
brulsxtiparo                  faggot
brulvundi                     burn
bruna                         brown
Brunajo                       Brunei
bruneja                       Bruneian
brunejanino                   Bruneian woman
brunejano                     Bruneian
Brunejo                       Brunei
brunhara                      brunette
Brunhildo                     Brunhild, Bruennhilde
bruno                         brown
brunokula                     browneyed
Brunsviko                     Brunswick
bruo                          ado, din, noise
brusela                       Brussels
brusela brasiko               Brussels-sprouts
Bruselo                       Brussels
bruska                        abrupt
brustangoro                   angina pectoris
brusto                        bosom, breast, chest
bruta                         brute, harsh
brutaro                       livestock
brutigi                       dull
brutigxi                      become dull
bruto                         head of cattle
bubacxo                       naughty boy, pickle
bubalo                        buffalo
bubo[1]                       brat, urchin
bubo[2]                       jack
bucxejo                       abattoir, slaughterhouse
bucxi                         butcher, slaughter
bucxistbutiko                 butcher's shop
bucxisto                      butcher
budaismo                      Buddhism
budaisto                      Buddhist
Budao                         Buddha
Budapesxto                    Budapest
buddhisma erao                Buddhist Era
Buddo                         Buddha
budgxeto                      budget
budo                          barn, shed, stand
bufedo                        buffet
bufo                          toad
bufro                         buffer, bumper
Bugo                          Bug
bugri                         bugger, sodomize
bugro                         anal sex
bugxeta deficito              budgetary deficit
bugxeto                       budget
bukanisto                     buccaneer
bukedo                        bouquet
buki                          buckle
bukli                         curl
buklo                         curl
buko                          buckle
bukso                         box-tree
Bukuresxto                    Bucharest
bulbo                         bulb
buldozo                       bulldozer
buleto                        small ball
bulgara                       Bulgarian
bulgarino                     Bulgarian woman
Bulgario                      Bulgaria
bulgaro                       Bulgar, Bulgarian
Bulgarujo                     Bulgaria
buljono                       bouillon
bulko                         roll
bulo                          chunk, clod, lump
bulteno                       bulletin
bulvardo                      boulevard
bulvolvi                      wind up
bunkro                        bunker, shelter
bunta                         multicoloured
buo                           buoy
Burdegalo                     Bordeaux
burdo                         bumblebee
Burgoponto                    Boroughbridge
burgunda                      Burgundian
burgunda vino                 burgundy
Burgundio                     Burgundy
burgundo                      Burgundian
Burgundujo                    Burgundy
burgxa                        bourgeois, middleclass
burgxaro                      bourgeoisie
burgxo                        middleclass citizen
burgxoni                      bud
burgxono                      bud
Burkinafaso                   Upper Volta
buro                          Boer
burokrataro                   bureaucracy, officialdom
burundia                      Burundian
burundianino                  Burundian woman
burundiano                    Burundian
Burundio                      Burundi
bushaltejo                    bus stop, busstop
buso                          bus, omnibus
busstacidomo                  bus station
busxa                         oral
busxa seksumo                 oral sex
busxego                       jaws, mouth, muzzle
busxmano                      Bushman
busxo                         mouth
busxo[1]                      mouth
busxo[2]                      mouth
busxo[3]                      mouth
busxpleno                     morsel, mouthful
busxpreno                     bite
busxtuko                      napkin
busxumi                       muzzle
busxumo                       muzzle
butana                        Bhutanese
butananino                    Bhutanese woman
butanano                      Bhutanese
Butano                        Bhutan
buterigi                      churn
butero                        butter
buterpano                     bread and butter
buti                          earth, earth up, hill, hill up
butika centro                 shopping-centre
butikisto                     shopkeeper
butiko                        boutique, shop, store
butikumi                      shop
butoni                        button
butono[1]                     button
butono[2]                     button
butonumi                      button
bv.                           please

C

carino                        czarina
caro                          czar
cedema                        accommodating
cedemo                        accommodation
cedi                          cede, give in, give up, give way, relinquish, yield
cedigi                        soften up
cedo                          abandonment
cedra                         cedar, of a cedar
cedro                         cedar
cejlona                       Ceylonese
cejlonano                     Ceylonese
Cejlono                       Ceylon
Celebesmaro                   Celebes Sea
Celebeso                      Celebes
celebrado                     celebration
celebri                       celebrate
celerio                       celery
celi                          aim, intend
celilo                        sight, gunsight
celo                          aim, goal, purpose
Celsiuso                      Celsius
celtusxi                      finish
celulito                      cellulite
cemento                       cement
cendo                         cent
cent                          hundred, one hundred
centauxro                     centaur
centavo                       centavo
centimetro                    centimeter, centimetre
centmil                       hundred thousand
centona bado                  one hundredth of a baht, satang
centra                        central
centra hejtado                central heating
Centrafriko                   Central African Republic
centralo                      exchange, power station
centro                        centre
Centroburgo                   Middlesbrough
cenzuri                       censor
cenzuro                       censor
cepo                          onion
cerasto                       cerastes, horned viper
Cerbero                       Cerberus
cerbo                         brain
cerbumajxoj                   worries
cerbumi                       puzzle over, rack one's brains
ceremonia                     formal, measured, stiff
ceremonieco                   ceremony, solemnity
ceremonio                     ceremony
Cereso                        Ceres
cerio                         cerium
cerkopiteko                   meercat
certa                         certain, sure
certagrade                    to a certain degree
certe                         certainly
certeco                       certainty
certgrade                     to a certain degree
certigi                       assure, certify, make certain
cerva                         deer, deer-, of a deer
cervido                       fawn
cervino                       hind
cervo                         deer
cervoparko                    deer-park
cetera                        additional, remaining, rest of
cetere                        besides, for the rest, moreover, what's more
cetero                        remainder
Cezaro                        Caesar
cezio                         caesium
Character set                 ASCII
ci                            thou, you
cia                           your
Cibelo                        Cybele
cibernetiko                   cybernetics
Cicero                        Cicero
cico                          nipple
cicumo                        nipple
cidonio                       quince
cidro                         cider
ciferi                        figure
cifero                        cipher, digit, figure, numeral
ciferplato                    dial
cigano                        gypsy, Gypsy
cigaredo                      cigarette
cigaredstumpo                 cigarette-end, stub
cigareto                      cigarillo
cigaro                        cigar
cigarstumpo                   cigar-end, cigar-stub
cigno                         swan
cikatro                       scar
Cikladoj                      Cyclades
ciklono                       cyclone
cikonio                       stork
cikorio                       chicory
cilindro                      cylinder, roller
cimbalisto                    cymbalist
cimbalo                       cymbal
cimo                          bug, bedbug
cin                           you
cinamo                        cinnamon
Cindra Merkredo               Ash Wednesday
cindrigi                      incinerate
cindro                        ash, cinder
cindroblonda                  ash-blond, ash-blonde
cindrogriza                   ashen
Cindromerkredo                Ash Wednesday
cindrujo                      ashtray
Cindrulino                    Cinderella
cinika                        cynical
cipra                         Cypriot, Cypriote
cipranino                     Cyprian woman
ciprano                       Cypriot, Cypriote
cipreso                       cypres
Cipro                         Cyprus
cirklo                        circle
cirko                         circus
cirkonferenco                 circumference
cirkonstanco                  circumstance
cirkulado                     circulation, traffic
cirkulanta                    about, abroad
cirkulero                     circular
cirkuli                       be about, circulate
cirkumcidi                    circumcise
cirkumcido                    circumcision
cirkumflekso                  circumflex
cirkvito                      circuit
ciro                          polish, wax
cisterno                      cistern, tank
citadelo                      citadel
citajxo                       quotation
citi                          cite, quote
citilo                        inverted comma, quotation mark, quote
citiloj                       quotation marks, quotes
citro                         zither
citrolo                       water-melon
citronarbo                    lemon-tree
citrono                       lemon
citronsuko                    lemon juice
citronujo                     lemon-tree
civila                        civil, civilian, non-military
civilizacio                   civilization
civilizado                    civilization
civilizi                      civilize
civilizita                    civilized
civilizo                      civilization
civita                        civic
civitano                      citizen
civito                        city state
colo                          inch
conga lingvo                  Tsonga, Tsonga language
congo                         Tsonga

Cx

cxadio                        Chad
cxado                         Chad
cxadolago                     Lake Chad
cxagosinsuloj                 Chagos Islands
cxagrena                      deplorable, pitiable, sad
cxagreni                      annoy, grieve, vex, worry
cxagreni sin                  worry oneself
cxagreno                      annoyance, disappointment, grief
cxambristino                  maid
cxambro                       chamber, room
cxambroj                      quarters
cxamo                         chamois
cxampanjo                     champagne
cxampano                      champagne
cxampinjono                   mushroom
cxampiono                     champion
cxano                         trigger
cxapelo                       hat
cxapitro                      chapter
cxapo                         cap
cxar                          as, because, for, since
cxareto                       carriage, typewriter carriage
cxarlatani                    bilk, cheat, take in
cxarlatano                    charlatan, imposter, quack
cxarma                        charming, lovely
cxarmega                      most charming
cxarmi                        charm
cxarmo                        charm
cxarniro                      hinge
cxaro                         cart, chariot
cxarpenti                     build, build from wood
cxarpentisto                  carpenter
cxarto                        charter
cxarumo                       wheelbarrow
cxasi                         chase, hunt
cxasisto                      hunter
cxaskuri                      chase, hunt for
cxasta                        chaste
cxasteco                      chastity, purity
cxastigi                      bowdlerize, chasten, expurgate, purify
cxastrancxilego               cutlass
cxatrio                       chatri
cxe                           at, beside, with
cxecxena                      Chechen
cxecxenio                     Chechenia
cxecxeno                      Chechen
cxecxenujo                    Chechenia
cxeestanta                    present
cxeestanto                    present one
cxeesti                       attend, be present, witness
cxeesto                       presence
cxef-                         arch-, chief-
cxefa                         chief, main, major, principal
cxefangxelo                   archangel
cxefartikolo                  leading article
cxefduklando                  archduchy
cxefduko                      archduke
cxefe                         chiefly
cxefepiskoplando              archbishopric
cxefepiskopo                  archbishop
cxefkonsulo                   consul general
cxefkuiristo                  chef
cxefministro                  premier, prime minister
cxefo                         chief, boss
cxefparte                     for the greater part, for the most part
cxefurbo                      capital, capital city, metropolis
cxefvojo                      major road
cxehxa                        Czech
cxehxino                      Czech woman
cxehxio                       Czech Republic
cxehxo                        Czech
cxehxoslovaka                 Czechoslovak, Czechoslovakian
cxehxoslovakino               Czech woman
cxehxoslovakio                Czechoslovakia
cxehxoslovako                 Czechoslovak, Czechoslovakian
cxehxoslovakujo               Czechoslovakia
cxehxujo                      Czech Republic
cxekaro                       cheque-book
cxeko                         check, cheque
cxelo                         cell
cxemizo                       shirt
cxenero                       link
cxeno                         chain
cxerizarbo                    cherry-tree
cxerizo                       cherry
cxerizujo                     cherry-tree
cxerko                        coffin
cxerpi                        draw
cxesi                         cease, stop
cxesigi                       stop
cxestro                       Chester
cxetabligxi                   draw up to the table, sit down to table
cxevala                       equestrian, horse, horse-, of a horse
cxevalbleki                   neigh
cxevalbredejo                 studfarm
cxevalejo                     corral, stable
cxevaleto                     pony
cxevalforto                   horsepower
cxevalisto                    groom, stableman
cxevalo                       horse
cxevalpiedo                   coltsfoot
cxevalpovo                    horsepower
cxevaltrio                    team of three horses
cxi tie                       here
cxi tien                      here, hither, this way
cxi tio                       these, this, this here
cxi tiu                       this
cxi tiuj                      these
cxi tiun nokton               tonight
cxia                          all, every kind of
cxial                         for every reason
cxiam                         always, ever
cxiama                        everlasting
cxie                          all about, everywhere
cxie en la                    all over the, throughout the
cxieesta                      omnipresent, ubiquitous
cxiel                         in every way
cxiela                        celestial, heavenly
cxielarko                     rainbow
cxielblua                     sky blue
cxielbluo                     sky blue
cxielglora                    heavenly
cxielirtago                   Ascension Day
cxielo                        heaven, sky
cxies                         everyone's
cxiesulino                    hooker, prostitute, whore
cxifi                         crease, crumble
cxifonisto                    ragpicker
cxifono                       rag, scrap
cxifro                        code, secret code
cxikagano                     Chicagan, Chicagoan
cxikago                       Chicago
cxikanado                     hair-splitting
cxikanema                     censorious
cxikanemo                     censoriousness
cxikani                       carp at, haze, quibble
cxikanulo                     hair-splitter, niggler, nit-picker
cxikune                       herewith
cxilia                        Chilean
cxilianino                    Chilean woman
cxiliano                      Chilean
cxilio                        Chile
cximomente                    at this moment
cximpanzo                     chimpanzee
cxina                         Chinese
cxina inko                    Indian ink
cxina lingvo                  Chinese, Chinese language
cxina Novjaro                 Chinese New Year
cxinio                        China
cxino                         Chinese
cxinujo                       China
cxio                          all, altogether, everything
cxiokapabla                   all-round
cxiom                         all, all of it
cxiopova                      almighty, all-powerful, omnipotent
cxiopovo                      omnipotence
cxioscia                      all-knowing, omniscient
cxiovendejo                   bazaar
cxipa                         cheap, inexpensive
cxipe                         cheaply
cxirkaux                      about, round, around, towards
cxirkauxajxo                  environment, environs, surroundings
cxirkauxajxoj                 surroundings
cxirkauxbarejo                corral, enclosure
cxirkauxbari                  fence off
cxirkauxbraki                 embrace, hug
cxirkauxbrako                 bracelet
cxirkauxcxizi                 chip, chip off
cxirkauxe                     roundabout, thereabout, thereabouts
cxirkauxfermi                 enclose
cxirkauxi                     surround
cxirkauxiri                   circumvent, go around
cxirkauxkolo                  collar
cxirkauxmano                  bracelet
cxirkauxpalpi                 fumble
cxirkauxpreni                 embrace, hug
cxisupre                      above
cxiu                          each, every
cxiu[1]                       all the
cxiuflanke                    on every side
cxiufoje                      each time, every time
cxiuj                         all
cxiujara                      annual, yearly
cxiujare                      yearly
cxiuloke                      everywhere
cxiumomente                   any time, momentarily
cxiumonate                    monthly
cxiun duan tagon              every other day
cxiurilate                    in all respects, in every respect, in every way
cxiuriska asekuro             comprehensive insurance
cxiusemajne                   weekly
cxiutaga                      daily
cxiutage                      daily
cxizi                         carve, chisel
cxizilo                       chisel
cxokoladbriketo               bar of chocolate
cxokoladkovrita pufkuko       chocolate @clair
cxokolado                     chocolate
cxu                           either, if, is it, whether
cxu ne                        isn't it, isn't that so, or not
cxuro                         sperm

D

D-kordo                       D-chord
d-ro                          Dr.
D-trajno                      corridor train, corridor-train
da                            of
Dafno                         Daphne
dagestana                     Dagestan, Daghestan
Dagestano                     Dagestan, Daghestan
Dagono                        Dagon
Dahomeo                       Dahomey
Dakaro                        Dakar
Dako                          Dacca
dakoto                        Sioux
daktilo                       date
daktilujo                     date palm, date-palm
dalio                         dahlia
Dalmacio                      Dalmatia
Dalmacujo                     Dalmatia
dalmato                       Dalmatian
damagxi                       damage
damagxo                       damage
Damasko                       Damascus
damludo                       checkers
damne                         damn
damni                         damn
damoj                         checkers
Damokleso                     Damocles
dana                          Danish
dana lingvo                   Danish, Danish language
Dana Markolo                  Denmark Strait
danci                         dance
danci nupte                   display
dancistino                    dancer
dancisto                      dancer
danco                         dance
dando                         dandy, dude, fop
dangxera                      dangerous
dangxereco                    danger
dangxero                      danger, peril
danino                        Danish woman
Danio                         Denmark
danka                         thankful
danka pro                     grateful for
danke al                      thanks to
dankeco                       gratitude
dankema                       thankful
dankema pro                   grateful for
dankemo                       gratitude
danki                         thank
danki pro                     thank for
danko                         gratitude, thanks
dankon                        thank you, thanks
Danlando                      Denmark
dano                          Dane
Danubo                        Danube
Danujo                        Denmark
Danuo                         Don
Dardaneloj                    Dardanelles
Darlintono                    Darlington
darmo                         dharma
dartro                        acne
dati                          date
dato                          date
datreveno                     anniversary
dauxra                        abiding, lasting
dauxradi                      continue, hold, last
dauxre                        constantly, continually, continuously
dauxri                        continue, endure, keep on, last
dauxrigi                      continue, go on, proceed with
dauxrigo                      continuation
dauxrigota                    to be continued
Davido                        David
dazipo                        armadillo
de                            by, from, of, since
de cxi tie                    from here, hence
de kiam                       since
de kie                        from where, whence
de kiu                        of which
de la jaro                    of the year
de tempo al tempo             now and then
de tie                        from there, thence
de tie cxi                    from here, hence
de[1]                         from, of
de[2]                         by
de[3]                         since
debati                        beat off, knock off, strike off
debato                        debate
debeto                        debit
debito                        demand, sale
debutanta                     junior, future, young
deca                          decent, fitting, proper, suitable
dece                          decently, properly
decembro                      December
deci                          befit, be fitting
decida                        decisive
decida konkurso               decider, play-off
decideco                      decision, firmness, peremptoriness, resolution
decidi                        decide
decidiga                      decisive
decidigxi                     make up one's mind
decidigxo                     decision-making
decido                        decision
decxevaligxi                  dismount
decxifri                      decipher
dedicxi                       dedicate, devote
dedicxi atenton al            pay attention to
dedukti                       abstract, deduce, gather
deerigi                       split off
defalajxejo                   dump, refuse dump, tip, rubbish tip
defalajxo                     clippings, cuttings, parings, refuse, rubbish, waste, windfall
defali                        fall, fall off, tumble down
